Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Wagner Pina,CPV,DF,Estoril,22-002,2002,10,8,688,7.6,2,0,2,2,0,0,1,0,1.4,1.4,0.5,1.9,11,8,29,0.26,0.00,0.26,0.26,0.26,0.19,0.06,0.25,0.19,0.25
Rodrigo Pinheiro,POR,DF,Famalicão,22-069,2002,7,3,276,3.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,9,14,17,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07
Rodrigo Pinho,BRA,FW,Estrela,33-159,1991,10,5,476,5.3,2,0,2,1,1,1,0,0,2.0,1.2,0.0,1.2,4,5,11,0.38,0.00,0.38,0.19,0.19,0.38,0.00,0.38,0.24,0.24
Alexandre Pinto,POR,"DF,FW",Arouca,26-120,1998,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dinis Pinto,POR,DF,Moreirense,24-073,2000,5,3,332,3.7,0,1,1,0,0,0,1,0,0.4,0.4,0.4,0.7,10,12,13,0.00,0.27,0.27,0.00,0.27,0.11,0.10,0.20,0.11,0.20
Jaime Pinto,POR,MF,Farense,27-038,1997,1,0,39,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,1,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08
João Pinto,POR,MF,Gil Vicente FC,22-066,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ole Pohlmann,GER,"FW,MF",Rio Ave,23-214,2001,7,4,390,4.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,7,9,17,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06
Carlos Ponck,CPV,DF,Moreirense,29-297,1995,5,3,259,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,7,0,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
Boris Popović,SRB,DF,Arouca,24-253,2000,6,5,455,5.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,12,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Darío Poveda,ESP,"FW,MF",Farense,27-237,1997,8,3,344,3.8,1,0,1,1,0,0,0,0,1.0,1.0,0.0,1.0,6,7,20,0.26,0.00,0.26,0.26,0.26,0.27,0.00,0.27,0.27,0.27
Gianluca Prestianni,ARG,"MF,FW",Benfica,18-279,2006,7,4,274,3.0,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.7,7,20,37,0.00,0.00,0.00,0.00,0.00,0.18,0.04,0.22,0.18,0.22
Miguel Puche García,ESP,FW,Arouca,23-189,2001,4,0,17,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,6,7,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.27,0.27,0.27
Quaresma,BRA,DF,Arouca,28-075,1996,3,0,78,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,4,5,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Eduardo Quaresma,POR,DF,Sporting CP,22-248,2002,6,5,391,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,12,33,6,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Geovany Quenda,POR,"MF,DF",Sporting CP,17-189,2007,10,8,666,7.4,1,0,1,1,0,0,0,0,1.1,1.1,0.6,1.7,38,32,66,0.14,0.00,0.14,0.14,0.14,0.15,0.09,0.23,0.15,0.23
Jesús Ramírez,VEN,FW,Vitória,26-185,1998,10,2,248,2.8,1,1,2,1,0,0,0,0,1.0,1.0,0.4,1.4,3,4,16,0.36,0.36,0.73,0.36,0.73,0.37,0.13,0.50,0.37,0.50
Guilherme Ramos,POR,DF,Santa Clara,27-086,1997,2,1,69,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
João Rêgo,POR,FW,Benfica,19-138,2005,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Francisco Reis Ferreira,POR,DF,Estrela,27-224,1997,4,4,360,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Matheus Reis,BRA,"DF,MF",Sporting CP,29-261,1995,8,3,267,3.0,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,8,21,10,0.00,0.34,0.34,0.00,0.34,0.00,0.20,0.20,0.00,0.20
Tiago Reis,BRA,FW,Nacional,25-083,1999,5,3,203,2.3,0,0,0,0,0,0,1,0,1.6,1.6,0.0,1.7,0,2,6,0.00,0.00,0.00,0.00,0.00,0.73,0.01,0.73,0.73,0.73
Miguel Reisinho,POR,"MF,FW",Boavista,25-210,1999,8,6,612,6.8,3,0,3,0,3,3,3,0,3.1,0.7,0.2,0.9,1,20,27,0.44,0.00,0.44,0.00,0.00,0.45,0.03,0.48,0.10,0.13
Marco Ribeiro,POR,MF,Boavista,19-144,2005,6,0,53,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Rodrigo Ribeiro,POR,FW,Sporting CP,19-191,2005,1,0,2,0.0,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,0,1,0.00,0.00,0.00,0.00,0.00,16.35,0.00,16.35,16.35,16.35
Rodrigo Ribeiro,POR,FW,AVS Futebol,19-191,2005,5,4,363,4.0,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,8,4,18,0.00,0.00,0.00,0.00,0.00,0.12,0.01,0.14,0.12,0.14
Tomás Ribeiro,POR,DF,Vitória,25-189,1999,4,3,315,3.5,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.3,0,7,1,0.29,0.00,0.29,0.29,0.29,0.07,0.00,0.07,0.07,0.07
Yuri Ribeiro,POR,DF,Braga,27-286,1997,6,3,280,3.1,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,4,26,19,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09
Ricardinho,POR,"FW,MF",Santa Clara,26-091,1998,10,1,293,3.3,2,0,2,2,0,0,1,0,1.6,1.6,0.2,1.8,12,15,14,0.61,0.00,0.61,0.61,0.61,0.49,0.06,0.54,0.49,0.54
Riccieli,BRA,DF,Famalicão,26-049,1998,3,1,136,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Omar Richards,ENG,"DF,MF",Rio Ave,26-264,1998,7,7,499,5.5,0,1,1,0,0,0,2,0,0.0,0.0,0.7,0.7,6,20,25,0.00,0.18,0.18,0.00,0.18,0.00,0.12,0.12,0.00,0.12
Rivaldo,,DF,Farense,24-048,2000,4,4,360,4.0,0,1,1,0,0,0,0,0,0.1,0.1,1.0,1.1,9,19,22,0.00,0.25,0.25,0.00,0.25,0.01,0.25,0.26,0.01,0.26
Pablo Roberto,BRA,"FW,MF",Casa Pia,24-357,1999,7,2,234,2.6,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,5,11,17,0.00,0.00,0.00,0.00,0.00,0.18,0.09,0.27,0.18,0.27
Joel Robles,ESP,GK,Estoril,34-141,1990,9,9,810,9.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Matí­as Rocha,URU,DF,Arouca,23-266,2001,3,3,260,2.9,0,0,0,0,0,0,2,1,0.1,0.1,0.0,0.1,0,11,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Rochinha,POR,FW,Famalicão,29-186,1995,9,8,552,6.1,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.7,9,18,19,0.00,0.00,0.00,0.00,0.00,0.07,0.05,0.12,0.07,0.12
Afonso Rodrigues,POR,FW,Famalicão,22-078,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ivo Rodrigues,POR,"MF,FW",Arouca,29-220,1995,8,6,487,5.4,0,1,1,0,0,0,4,0,0.6,0.6,0.6,1.2,11,37,28,0.00,0.18,0.18,0.00,0.18,0.10,0.12,0.22,0.10,0.22
Luís Carlos Rocha Rodrigues,POR,DF,Santa Clara,38-084,1986,8,8,720,8.0,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,1,14,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
