Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Mohamed Abdelmoneim,EGY,DF,Nice,25-281,1999,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,2,4,1,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06
Ali Abdi,TUN,"MF,DF",Nice,30-324,1993,2,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Taha Abdi Ali,SWE,FW,Malmö,26-130,1998,4,1,111,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,7,2,16,0.00,0.00,0.00,0.00,0.00,0.16,0.08,0.24,0.16,0.24
Jalal Abdulai,GHA,FW,Elfsborg,19-308,2005,3,0,79,0.9,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,2,1,5,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.38,0.38,0.38
Saud Abdulhamid,KSA,DF,Roma,25-113,1999,2,1,84,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,3,3,6,0.00,0.00,0.00,0.00,0.00,0.05,0.13,0.17,0.05,0.17
Abner,BRA,MF,Lyon,24-165,2000,1,1,90,1.0,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,4,6,1.00,0.00,1.00,1.00,1.00,0.09,0.00,0.09,0.09,0.09
Mohammad Abu Fani,ISR,MF,Ferencváros,26-195,1998,4,4,332,3.7,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,6,25,10,0.00,0.00,0.00,0.00,0.00,0.09,0.11,0.20,0.09,0.20
Emmanuel Addai,GHA,"FW,MF",Qarabağ,23-099,2001,4,1,108,1.2,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,3,3,9,0.00,0.00,0.00,0.00,0.00,0.22,0.18,0.40,0.22,0.40
Jayden Addai,NED,FW,AZ Alkmaar,19-074,2005,2,1,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,2,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Henry Addo,SVK,FW,Maccabi Tel Aviv,21-191,2003,4,0,85,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,0,0,12,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08
Prince Adu Kwabena,GHA,FW,Viktoria Plzeň,21-046,2003,4,4,319,3.5,2,1,3,2,0,0,1,0,1.3,1.3,0.6,1.9,9,3,20,0.56,0.28,0.85,0.56,0.85,0.38,0.16,0.53,0.38,0.53
Julen Agirrezabala,ESP,GK,Athletic Club,23-318,2000,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nayef Aguerd,MAR,DF,Real Sociedad,28-223,1996,3,2,225,2.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,11,1,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
Yunus Akgün,TUR,"DF,FW",Galatasaray,24-124,2000,4,4,341,3.8,4,0,4,4,0,0,1,0,1.6,1.6,1.1,2.7,13,19,36,1.06,0.00,1.06,1.06,1.06,0.43,0.28,0.71,0.43,0.71
Kevin Akpoguma,NGA,DF,Hoffenheim,29-203,1995,3,3,253,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Chuba Akpom,ENG,FW,Ajax,29-030,1995,4,0,102,1.1,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,2,2,4,0.88,0.00,0.88,0.88,0.88,0.25,0.09,0.34,0.25,0.34
Baba Alhassan,GHA,"MF,FW",FCSB,24-310,2000,3,1,165,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,6,1,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06
Mohamed Ali Cho,FRA,"FW,MF",Nice,20-294,2004,3,0,94,1.0,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.5,1,1,5,0.96,0.00,0.96,0.96,0.96,0.40,0.09,0.49,0.40,0.49
Dinis Almeida,POR,DF,Ludogorets,29-133,1995,4,4,347,3.9,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,2,5,0,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18
Barış Alper Yılmaz,TUR,"DF,FW",Galatasaray,24-169,2000,4,4,340,3.8,1,0,1,1,0,0,0,0,1.2,1.2,0.9,2.1,20,11,62,0.26,0.00,0.26,0.26,0.26,0.31,0.24,0.55,0.31,0.55
Aurele Amenda,SUI,DF,Eint Frankfurt,21-100,2003,3,1,106,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,10,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sofyan Amrabat,MAR,MF,Fenerbahçe,28-079,1996,4,4,360,4.0,0,1,1,0,0,0,1,0,0.0,0.0,0.7,0.7,1,21,2,0.00,0.25,0.25,0.00,0.25,0.00,0.16,0.16,0.00,0.16
Francis Amuzu,BEL,FW,Anderlecht,25-077,1999,2,2,101,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8,1,13,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02
Joel Andersson,SWE,DF,Midtjylland,27-363,1996,4,4,346,3.8,0,1,1,0,0,0,0,0,0.3,0.3,0.9,1.2,4,23,10,0.00,0.26,0.26,0.00,0.26,0.08,0.22,0.30,0.08,0.30
Leandro Andrade,CPV,"FW,MF",Qarabağ,25-045,1999,4,2,194,2.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,11,10,13,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08
Patrick Andrade,CPV,MF,Qarabağ,31-273,1993,4,3,280,3.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,13,2,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05
Fredrik André Bjørkan,NOR,DF,Bodø/Glimt,26-079,1998,4,4,350,3.9,0,1,1,0,0,0,0,0,0.1,0.1,0.8,0.9,7,15,12,0.00,0.26,0.26,0.00,0.26,0.01,0.21,0.23,0.01,0.23
Valdemar Andreasen,DEN,"MF,FW",Midtjylland,19-288,2005,3,0,56,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,3,7,4,0.00,0.00,0.00,0.00,0.00,0.15,0.27,0.43,0.15,0.43
Oleksandr Andriyevskyi,UKR,MF,Dynamo Kyiv,30-136,1994,3,1,77,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11
Angeliño,ESP,DF,Roma,27-309,1997,4,4,360,4.0,0,1,1,0,0,0,1,0,0.0,0.0,0.8,0.8,4,14,34,0.00,0.25,0.25,0.00,0.25,0.01,0.20,0.21,0.01,0.21
Nilson Angulo,ECU,FW,Anderlecht,21-142,2003,1,0,41,0.5,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,2,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Antony,BRA,FW,Manchester Utd,24-258,2000,2,0,39,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,7,0.00,0.00,0.00,0.00,0.00,0.13,0.05,0.19,0.13,0.19
Apostolos Apostolopoulos,GRE,DF,Olympiacos,21-333,2002,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
Jon Aramburu,VEN,DF,Real Sociedad,22-108,2002,3,2,195,2.2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3,16,11,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11
Bright Arrey-Mbi,GER,DF,Braga,21-227,2003,3,2,193,2.1,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,4,0,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20
Tyrese Asante,NED,DF,Maccabi Tel Aviv,22-213,2002,2,2,179,2.0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,5,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Majeed Ashimeru,GHA,MF,Anderlecht,27-029,1997,3,1,83,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,1,7,0,0.00,0.00,0.00,0.00,0.00,0.15,0.20,0.34,0.15,0.34
Kristoffer Askildsen,NOR,"MF,FW",Midtjylland,23-304,2001,3,0,54,0.6,0,1,1,0,0,0,0,0,0.1,0.1,0.7,0.7,1,1,2,0.00,1.67,1.67,0.00,1.67,0.09,1.12,1.21,0.09,1.21
Ludwig Augustinsson,SWE,DF,Anderlecht,30-201,1994,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,5,7,7,0.00,0.00,0.00,0.00,0.00,0.05,0.17,0.22,0.05,0.22
