Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Ahmed Abdullahi,NGA,MF,Gent,20-142,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Francis Abu,GHA,MF,Cercle Brugge,23-195,2001,13,7,713,7.9,0,2,2,0,0,0,0,0,0.3,0.3,1.4,1.7,4,65,15,0.00,0.25,0.25,0.00,0.25,0.04,0.18,0.21,0.04,0.21
Desmond Acquah,BEL,"MF,DF",Dender,22-108,2002,7,0,168,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,10,12,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04
Noah Adedeji,BEL,"FW,MF",Genk,19-142,2005,7,0,29,0.3,1,0,1,1,0,0,0,0,0.8,0.8,0.0,0.8,1,0,5,3.10,0.00,3.10,3.10,3.10,2.37,0.00,2.37,2.37,2.37
Lawrence Agyekum,GHA,MF,Cercle Brugge,20-351,2003,11,8,734,8.2,0,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5,7,34,13,0.00,0.00,0.00,0.00,0.00,0.06,0.13,0.18,0.06,0.18
Takahiro Akimoto,JPN,DF,OH Leuven,26-282,1998,13,11,"1,031",11.5,0,0,0,0,0,0,3,0,0.5,0.5,0.4,0.9,10,33,19,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.08,0.04,0.08
Ali Akman,TUR,"MF,DF",Dender,22-204,2002,3,0,33,0.4,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,0,3,3,2.73,0.00,2.73,2.73,2.73,0.23,0.00,0.23,0.23,0.23
Josimar Alcocer,CRC,"MF,DF",Westerlo,20-124,2004,12,6,616,6.8,1,0,1,1,0,0,4,0,1.3,1.3,0.3,1.7,17,19,44,0.15,0.00,0.15,0.15,0.15,0.20,0.05,0.24,0.20,0.24
Toby Alderweireld,BEL,DF,Antwerp,35-251,1989,13,13,"1,170",13.0,2,1,3,2,0,0,3,0,0.5,0.5,1.5,2.1,1,39,3,0.15,0.08,0.23,0.15,0.23,0.04,0.13,0.17,0.04,0.17
Ryan Alebiosu,ENG,DF,Kortrijk,22-327,2001,7,5,387,4.3,0,1,1,0,0,0,1,0,0.1,0.1,0.7,0.8,13,12,27,0.00,0.23,0.23,0.00,0.23,0.01,0.17,0.19,0.01,0.19
