Player,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Jarrod Bowen,FW,England,27,1996,0.4,1,2.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Róbert Boženík,FW,Slovakia,24,1999,2.3,4,2.02,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Volodymyr Brazhko,MF,Ukraine,22,2002,2.0,3,1.48,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
David Brekalo,MF,Slovenia,25,1998,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Brian Brobbey,FW,Netherlands,21,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Armando Broja,FW,Albania,22,2001,1.2,6,5.00,4,0,0,0,2,0,0,0.00,0,0,0,0,0,0
Marcelo Brozović,MF,Croatia,31,1992,2.5,6,2.40,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Jacob Bruun Larsen,FW,Denmark,25,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ante Budimir,FW,Croatia,32,1991,1.4,5,3.69,2,0,1,2,0,0,2,1.48,1,0,0,1,0,0
Adam Buksa,FW,Poland,27,1996,1.7,3,1.81,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Andrei Burcă,DF,Romania,30,1993,4.0,3,0.75,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Riccardo Calafiori,DF,Italy,21,2002,3.0,8,2.67,7,0,0,1,0,0,1,0.33,1,0,0,0,0,0
Hakan Çalhanoğlu,MF,Türkiye,29,1994,3.9,11,2.79,8,2,0,0,1,0,0,0.00,0,0,0,0,0,0
Eduardo Camavinga,MF,France,21,2002,1.9,7,3.73,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Andrea Cambiaso,"FW,DF",Italy,23,2000,0.8,2,2.40,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Emre Can,MF,Germany,30,1994,1.1,2,1.75,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
João Cancelo,"DF,MF",Portugal,29,1994,3.8,14,3.65,8,0,3,0,3,0,0,0.00,0,0,0,0,0,0
Yannick Carrasco,"DF,FW",Belgium,30,1993,2.4,5,2.06,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Dani Carvajal,DF,Spain,32,1992,5.2,13,2.49,13,0,0,0,0,0,1,0.19,1,0,0,0,0,0
Timothy Castagne,DF,Belgium,28,1995,4.0,2,0.50,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Koen Casteels,GK,Belgium,31,1992,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Žan Celar,"FW,MF",Slovenia,24,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Zeki Çelik,"DF,MF",Türkiye,26,1997,1.2,6,5.14,4,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Václav Černý,MF,Czechia,26,1997,0.6,5,8.33,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Giorgi Chakvetadze,"MF,FW",Georgia,24,1999,2.7,5,1.84,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Federico Chiesa,"FW,MF",Italy,26,1997,2.9,6,2.05,4,0,2,0,0,0,0,0.00,0,0,0,0,0,0
Tomáš Chorý,MF,Czechia,29,1995,0.4,2,5.00,0,0,0,1,1,0,1,2.50,0,0,0,1,0,0
Andreas Christensen,DF,Denmark,27,1996,3.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ryan Christie,"MF,FW",Scotland,28,1995,1.1,2,2.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mojmir Chytil,FW,Czechia,24,1999,1.2,2,1.68,1,0,0,1,0,0,1,0.84,0,0,0,1,0,0
Alexandru Cicâldău,MF,Romania,26,1997,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Florinel Coman,MF,Romania,25,1998,1.3,3,2.29,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Kingsley Coman,MF,France,27,1996,0.2,1,5.63,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Francisco Conceição,"FW,MF",Portugal,21,2002,2.0,14,10.33,9,0,1,1,3,0,0,0.00,0,0,0,0,0,0
Diogo Costa,GK,Portugal,24,1999,5.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Vladimír Coufal,"DF,FW",Czechia,31,1992,3.0,14,4.67,7,7,0,0,0,0,1,0.33,1,0,0,0,0,0
Bryan Cristante,MF,Italy,28,1995,1.5,2,1.35,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kevin Csoboth,DF,Hungary,23,2000,0.1,3,30.00,2,0,0,0,1,0,1,10.00,1,0,0,0,0,0
Marc Cucurella,DF,Spain,25,1998,6.1,15,2.62,14,0,0,0,0,1,2,0.35,2,0,0,0,0,0
Mirlind Daku,FW,Albania,26,1998,0.1,2,30.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Diogo Dalot,"DF,MF",Portugal,24,1999,1.7,6,3.55,4,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Mikkel Damsgaard,FW,Denmark,23,2000,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kevin Danso,DF,Austria,25,1998,2.4,3,1.27,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Márton Dárdai,DF,Hungary,21,2002,1.9,2,1.03,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Matteo Darmian,DF,Italy,34,1989,1.8,2,1.11,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Zuriko Davitashvili,"FW,MF",Georgia,22,2001,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Paweł Dawidowicz,DF,Poland,28,1995,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kevin De Bruyne,MF,Belgium,32,1991,4.0,28,7.00,17,8,2,1,0,0,0,0.00,0,0,0,0,0,0
Charles De Ketelaere,FW,Belgium,22,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Zeno Debast,DF,Belgium,20,2003,1.2,1,0.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Thomas Delaney,MF,Denmark,32,1991,0.9,1,1.07,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ousmane Dembélé,"FW,MF",France,26,1997,4.0,27,7.34,15,6,3,1,2,0,2,0.54,1,0,0,0,1,0
Merih Demiral,DF,Türkiye,25,1998,2.3,1,0.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Giovanni Di Lorenzo,"DF,FW",Italy,30,1993,4.0,4,1.00,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Rúben Dias,DF,Portugal,26,1997,4.7,3,0.75,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Federico Dimarco,"DF,FW",Italy,26,1997,2.5,4,1.58,3,1,0,0,0,0,1,0.39,1,0,0,0,0,0
Berat Djimsiti,DF,Albania,30,1993,3.0,3,1.00,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Jeremy Doku,"FW,MF",Belgium,21,2002,3.6,19,5.34,12,0,6,1,0,0,1,0.28,1,0,0,0,0,0
Kasper Dolberg,FW,Denmark,26,1997,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gianluigi Donnarumma,GK,Italy,24,1999,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
David Doudera,FW,Czechia,25,1998,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Artem Dovbyk,FW,Ukraine,26,1997,2.7,8,2.93,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Denis Drăguș,FW,Romania,24,1999,3.2,4,1.24,3,0,1,0,0,0,1,0.31,1,0,0,0,0,0
Radu Drăgușin,DF,Romania,21,2002,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Vanja Drkušič,DF,Slovenia,24,1999,4.3,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kwadwo Duah,FW,Switzerland,26,1997,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Martin Dúbravka,GK,Slovakia,35,1989,4.3,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ondrej Duda,MF,Slovakia,29,1994,3.5,9,2.56,7,1,0,0,1,0,0,0.00,0,0,0,0,0,0
Denzel Dumfries,DF,Netherlands,27,1996,5.0,9,1.80,6,1,0,1,0,1,0,0.00,0,0,0,0,0,0
Dávid Ďuriš,"FW,MF",Slovakia,24,1999,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lasha Dvali,DF,Georgia,28,1995,4.0,2,0.50,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Timi Elšnik,MF,Slovenia,25,1998,4.0,7,1.76,5,0,1,1,0,0,1,0.25,1,0,0,0,0,0
Breel Embolo,FW,Switzerland,26,1997,3.3,3,0.91,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Christian Eriksen,"MF,FW",Denmark,31,1992,3.9,26,6.72,12,12,1,1,0,0,0,0.00,0,0,0,0,0,0
Eberechi Eze,"DF,MF",England,25,1998,1.1,2,4.29,1,0,0,1,0,0,1,2.14,0,0,0,1,0,0
Wout Faes,DF,Belgium,25,1998,4.0,2,0.50,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nicolò Fagioli,MF,Italy,22,2001,1.1,4,3.79,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
João Félix,"MF,FW",Portugal,24,1999,1.2,8,8.00,6,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Bruno Fernandes,MF,Portugal,29,1994,4.2,19,4.97,14,5,0,0,0,0,0,0.00,0,0,0,0,0,0
Attila Fiola,DF,Hungary,33,1990,2.0,2,1.00,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Phil Foden,"FW,MF",England,23,2000,6.9,17,2.48,8,3,3,2,1,0,0,0.00,0,0,0,0,0,0
Youssouf Fofana,MF,France,25,1999,0.5,1,8.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Michael Folorunsho,FW,Italy,25,1998,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Przemysław Frankowski,DF,Poland,28,1995,3.0,9,3.00,8,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Davide Frattesi,MF,Italy,24,1999,2.1,4,1.95,3,0,0,0,1,0,1,0.49,1,0,0,0,0,0
Remo Freuler,MF,Switzerland,31,1992,5.1,7,1.38,7,0,0,0,0,0,2,0.39,2,0,0,0,0,0
Jeremie Frimpong,FW,Netherlands,23,2000,1.0,1,1.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Chris Führich,FW,Germany,26,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Niclas Füllkrug,FW,Germany,30,1993,1.8,9,5.96,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mijat Gaćinović,DF,Serbia,28,1995,0.5,1,2.00,0,0,0,1,0,0,1,2.00,0,0,0,1,0,0
Cody Gakpo,FW,Netherlands,24,1999,5.8,20,3.44,17,0,2,1,0,0,3,0.52,2,0,1,0,0,0
Conor Gallagher,MF,England,23,2000,1.3,1,0.86,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dániel Gazdag,MF,Hungary,27,1996,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lutsharel Geertruida,DF,Netherlands,23,2000,1.2,3,2.50,1,0,0,0,1,1,1,0.83,0,0,0,0,0,1
Billy Gilmour,MF,Scotland,22,2001,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Olivier Giroud,FW,France,37,1986,0.7,2,3.05,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Klaus Gjasula,MF,Albania,34,1989,0.2,1,5.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Adam Gnezda Čerin,MF,Slovenia,24,1999,4.3,6,1.50,2,4,0,0,0,0,0,0.00,0,0,0,0,0,0
Anthony Gordon,FW,England,22,2001,0.0,1,45.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jon Gorenc Stanković,MF,Slovenia,28,1996,1.0,1,1.38,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Michael Gregoritsch,FW,Austria,29,1994,1.4,1,0.71,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Antoine Griezmann,"MF,FW",France,32,1991,4.4,15,3.43,9,3,0,3,0,0,0,0.00,0,0,0,0,0,0
Florian Grillitsch,MF,Austria,28,1995,2.2,4,1.86,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Álex Grimaldo,DF,Spain,28,1995,1.3,8,6.26,6,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Pascal Groß,MF,Germany,32,1991,0.5,5,10.00,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kamil Grosicki,MF,Poland,35,1988,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Nemanja Gudelj,MF,Serbia,32,1991,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marc Guéhi,DF,England,23,2000,6.3,2,0.33,1,0,0,1,0,0,1,0.17,1,0,0,0,0,0
Péter Gulácsi,GK,Hungary,33,1990,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Arda Güler,"FW,MF",Türkiye,18,2005,3.8,17,4.50,10,3,2,1,1,0,2,0.53,1,1,0,0,0,0
İlkay Gündoğan,MF,Germany,33,1990,4.3,16,3.76,12,1,0,1,2,0,4,0.94,2,0,0,1,1,0
Angus Gunn,GK,Scotland,28,1996,3.0,1,0.33,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Mert Günok,GK,Türkiye,34,1989,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joško Gvardiol,DF,Croatia,22,2002,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Giorgi Gwelesiani,DF,Georgia,32,1991,1.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Norbert Gyömbér,DF,Slovakia,31,1992,0.4,4,180.00,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ianis Hagi,MF,Romania,25,1998,2.1,4,1.91,3,0,0,0,1,0,1,0.48,0,0,0,0,1,0
Dávid Hancko,DF,Slovakia,26,1997,4.1,5,1.34,3,2,0,0,0,0,1,0.27,0,1,0,0,0,0
Grant Hanley,DF,Scotland,32,1991,2.5,2,0.80,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lukáš Haraslín,FW,Slovakia,27,1996,2.9,11,3.75,4,4,2,1,0,0,1,0.34,1,0,0,0,0,0
Kai Havertz,"FW,MF",Germany,24,1999,4.3,9,2.08,7,0,0,2,0,0,1,0.23,1,0,0,0,0,0
Jack Hendry,DF,Scotland,28,1995,2.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Benjamin Henrichs,DF,Germany,26,1997,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Theo Hernández,DF,France,26,1997,6.3,11,1.83,10,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Morten Hjulmand,MF,Denmark,24,1999,2.7,8,2.93,7,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Adam Hložek,MF,Czechia,21,2002,1.2,3,2.50,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Tomáš Holeš,DF,Czechia,30,1993,3.0,5,1.67,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Arbër Hoxha,"FW,MF",Albania,25,1998,0.6,4,7.20,4,0,0,0,0,0,1,1.80,1,0,0,0,0,0
Robin Hranáč,DF,Czechia,24,2000,3.0,3,1.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Elseid Hysaj,DF,Albania,29,1994,2.0,2,1.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Pierre Højbjerg,MF,Denmark,28,1995,3.9,10,2.56,9,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Rasmus Højlund,FW,Denmark,20,2003,3.2,6,1.89,4,0,0,1,0,1,0,0.00,0,0,0,0,0,0
Ivan Ilić,MF,Serbia,22,2001,2.2,5,2.24,4,1,0,0,0,0,1,0.45,0,1,0,0,0,0
Josip Iličić,"FW,MF",Slovenia,36,1988,0.3,1,5.63,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Gonçalo Inácio,DF,Portugal,22,2001,1.3,4,3.05,4,0,0,0,0,0,1,0.76,1,0,0,0,0,0
Luka Ivanušec,MF,Croatia,25,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Erik Janža,DF,Slovenia,30,1993,3.0,6,2.01,4,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Jorginho,MF,Italy,32,1991,2.4,7,2.93,6,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Joselu,FW,Spain,33,1990,1.0,1,1.27,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Diogo Jota,"FW,MF",Portugal,27,1996,1.1,5,6.43,2,0,0,0,1,2,0,0.00,0,0,0,0,0,0
Luka Jović,"MF,FW",Serbia,26,1997,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Josip Juranović,DF,Croatia,28,1995,1.0,2,1.98,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
David Jurásek,DF,Czechia,23,2000,1.8,6,3.38,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Matěj Jurásek,"DF,MF",Czechia,20,2003,0.5,1,1.96,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ferdi Kadioglu,"DF,MF",Türkiye,24,1999,5.0,17,3.40,15,1,1,0,0,0,0,0.00,0,0,0,0,0,0
İrfan Kahveci,FW,Türkiye,28,1995,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Otar Kakabadze,"DF,MF",Georgia,28,1995,4.0,8,2.00,8,0,0,0,0,0,1,0.25,1,0,0,0,0,0
Harry Kane,FW,England,30,1993,6.7,11,1.64,7,0,0,3,1,0,1,0.15,0,0,0,0,1,0
N'Golo Kanté,MF,France,32,1991,5.7,16,2.99,15,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Žan Karničnik,DF,Slovenia,29,1994,4.3,4,1.00,4,0,0,0,0,0,1,0.25,1,0,0,0,0,0
Guram Kashia,DF,Georgia,36,1987,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Milos Kerkez,DF,Hungary,20,2003,2.6,2,0.76,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Semih Kılıçsoy,FW,Türkiye,18,2005,0.0,1,45.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Joshua Kimmich,DF,Germany,28,1995,5.3,27,5.40,25,0,0,1,1,0,2,0.40,2,0,0,0,0,0
Otar Kiteishvili,MF,Georgia,27,1996,1.4,1,0.69,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jakub Kiwior,DF,Poland,23,2000,3.0,5,1.67,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
László Kleinheisler,MF,Hungary,29,1994,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Giorgi Kochorashvili,MF,Georgia,24,1999,4.0,6,1.50,4,0,1,0,1,0,1,0.25,1,0,0,0,0,0
Orkun Kökçü,MF,Türkiye,23,2000,2.5,8,3.26,4,0,0,1,2,1,3,1.22,2,0,0,0,0,1
Randal Kolo Muani,FW,France,25,1998,2.2,4,1.79,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yukhym Konoplia,DF,Ukraine,24,1999,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ezri Konsa,DF,England,26,1997,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Filip Kostić,DF,Serbia,31,1992,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jules Koundé,DF,France,25,1998,6.3,17,2.83,17,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mateo Kovačić,MF,Croatia,29,1994,2.5,8,3.23,7,0,1,0,0,0,1,0.40,1,0,0,0,0,0
