Player,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Hakan Çalhanoğlu,MF,Türkiye,29,1994,3.9,1,10,2,20.0,2.54,0.51,0.10,0.50,22.4,1,0,0,0.4,0.4,0.04,+0.6,+0.6
Eduardo Camavinga,MF,France,21,2002,1.9,0,2,0,0.0,1.07,0.00,0.00,,17.2,0,0,0,0.3,0.3,0.14,-0.3,-0.3
Andrea Cambiaso,"FW,DF",Italy,23,2000,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Emre Can,MF,Germany,30,1994,1.1,1,1,1,100.0,0.88,0.88,1.00,1.00,23.3,0,0,0,0.0,0.0,0.04,+1.0,+1.0
João Cancelo,"DF,MF",Portugal,29,1994,3.8,0,2,0,0.0,0.52,0.00,0.00,,15.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Yannick Carrasco,"DF,FW",Belgium,30,1993,2.4,0,6,1,16.7,2.48,0.41,0.00,0.00,17.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3
Dani Carvajal,DF,Spain,32,1992,5.2,1,2,2,100.0,0.38,0.38,0.50,0.50,7.4,0,0,0,0.5,0.5,0.26,+0.5,+0.5
Timothy Castagne,DF,Belgium,28,1995,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Koen Casteels,GK,Belgium,31,1992,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Žan Celar,"FW,MF",Slovenia,24,1999,0.7,0,1,0,0.0,1.34,0.00,0.00,,28.4,0,0,0,0.0,0.0,0.03,0.0,0.0
Zeki Çelik,"DF,MF",Türkiye,26,1997,1.2,0,1,0,0.0,0.86,0.00,0.00,,11.2,0,0,0,0.2,0.2,0.20,-0.2,-0.2
Václav Černý,MF,Czechia,26,1997,0.6,0,2,1,50.0,3.33,1.67,0.00,0.00,14.0,0,0,0,0.5,0.5,0.24,-0.5,-0.5
Giorgi Chakvetadze,"MF,FW",Georgia,24,1999,2.7,0,2,0,0.0,0.74,0.00,0.00,,20.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Federico Chiesa,"FW,MF",Italy,26,1997,2.9,0,8,0,0.0,2.74,0.00,0.00,,19.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2
Tomáš Chorý,MF,Czechia,29,1995,0.4,0,1,0,0.0,2.50,0.00,0.00,,4.9,0,0,0,0.4,0.4,0.40,-0.4,-0.4
Andreas Christensen,DF,Denmark,27,1996,3.9,0,4,0,0.0,1.03,0.00,0.00,,17.6,0,0,0,0.5,0.5,0.11,-0.5,-0.5
Ryan Christie,"MF,FW",Scotland,28,1995,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Mojmir Chytil,FW,Czechia,24,1999,1.2,0,2,0,0.0,1.68,0.00,0.00,,11.1,0,0,0,0.2,0.2,0.09,-0.2,-0.2
Alexandru Cicâldău,MF,Romania,26,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Florinel Coman,MF,Romania,25,1998,1.3,0,2,1,50.0,1.53,0.76,0.00,0.00,24.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Kingsley Coman,MF,France,27,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Francisco Conceição,"FW,MF",Portugal,21,2002,2.0,1,5,1,20.0,2.47,0.49,0.20,1.00,14.5,0,0,0,0.9,0.9,0.18,+0.1,+0.1
Diogo Costa,GK,Portugal,24,1999,5.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Vladimír Coufal,"DF,FW",Czechia,31,1992,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bryan Cristante,MF,Italy,28,1995,1.5,0,2,1,50.0,1.35,0.68,0.00,0.00,18.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Kevin Csoboth,DF,Hungary,23,2000,0.1,1,2,1,50.0,20.00,10.00,0.50,1.00,11.9,0,0,0,0.6,0.6,0.31,+0.4,+0.4
Marc Cucurella,DF,Spain,25,1998,6.1,0,1,1,100.0,0.17,0.17,0.00,0.00,24.4,0,0,0,0.0,0.0,0.02,0.0,0.0
Mirlind Daku,FW,Albania,26,1998,0.1,0,1,0,0.0,15.00,0.00,0.00,,10.9,0,0,0,0.1,0.1,0.11,-0.1,-0.1
Diogo Dalot,"DF,MF",Portugal,24,1999,1.7,0,3,1,33.3,1.78,0.59,0.00,0.00,21.8,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Mikkel Damsgaard,FW,Denmark,23,2000,0.4,0,1,1,100.0,2.65,2.65,0.00,0.00,25.5,0,0,0,0.0,0.0,0.01,0.0,0.0
Kevin Danso,DF,Austria,25,1998,2.4,0,1,0,0.0,0.42,0.00,0.00,,10.9,0,0,0,0.0,0.0,0.04,0.0,0.0
Márton Dárdai,DF,Hungary,21,2002,1.9,0,1,0,0.0,0.51,0.00,0.00,,9.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Matteo Darmian,DF,Italy,34,1989,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Zuriko Davitashvili,"FW,MF",Georgia,22,2001,1.3,0,2,0,0.0,1.57,0.00,0.00,,12.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Paweł Dawidowicz,DF,Poland,28,1995,2.0,0,1,0,0.0,0.50,0.00,0.00,,9.1,0,0,0,0.1,0.1,0.10,-0.1,-0.1
Kevin De Bruyne,MF,Belgium,32,1991,4.0,1,11,5,45.5,2.75,1.25,0.09,0.20,20.4,1,0,0,0.9,0.9,0.08,+0.1,+0.1
Charles De Ketelaere,FW,Belgium,22,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Zeno Debast,DF,Belgium,20,2003,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Thomas Delaney,MF,Denmark,32,1991,0.9,0,1,0,0.0,1.07,0.00,0.00,,3.8,0,0,0,0.1,0.1,0.11,-0.1,-0.1
Ousmane Dembélé,"FW,MF",France,26,1997,4.0,0,8,1,12.5,1.99,0.25,0.00,0.00,19.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5
Merih Demiral,DF,Türkiye,25,1998,2.3,2,3,2,66.7,1.30,0.87,0.67,1.00,4.0,0,0,0,0.7,0.7,0.24,+1.3,+1.3
Giovanni Di Lorenzo,"DF,FW",Italy,30,1993,4.0,0,2,0,0.0,0.50,0.00,0.00,,5.9,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Rúben Dias,DF,Portugal,26,1997,4.7,0,2,0,0.0,0.43,0.00,0.00,,17.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Federico Dimarco,"DF,FW",Italy,26,1997,2.5,0,2,1,50.0,0.79,0.39,0.00,0.00,23.5,0,0,0,0.0,0.0,0.02,0.0,0.0
Berat Djimsiti,DF,Albania,30,1993,3.0,0,2,0,0.0,0.67,0.00,0.00,,14.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Jeremy Doku,"FW,MF",Belgium,21,2002,3.6,0,5,1,20.0,1.41,0.28,0.00,0.00,16.4,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Kasper Dolberg,FW,Denmark,26,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Gianluigi Donnarumma,GK,Italy,24,1999,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
David Doudera,FW,Czechia,25,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Artem Dovbyk,FW,Ukraine,26,1997,2.7,0,6,0,0.0,2.20,0.00,0.00,,14.9,0,0,0,0.6,0.6,0.11,-0.6,-0.6
Denis Drăguș,FW,Romania,24,1999,3.2,1,5,2,40.0,1.55,0.62,0.20,0.50,15.6,0,0,0,1.1,1.1,0.21,-0.1,-0.1
Radu Drăgușin,DF,Romania,21,2002,4.0,0,3,1,33.3,0.75,0.25,0.00,0.00,17.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Vanja Drkušič,DF,Slovenia,24,1999,4.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kwadwo Duah,FW,Switzerland,26,1997,1.2,1,4,3,75.0,3.36,2.52,0.25,0.33,16.0,0,0,0,0.7,0.7,0.18,+0.3,+0.3
Martin Dúbravka,GK,Slovakia,35,1989,4.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ondrej Duda,MF,Slovakia,29,1994,3.5,1,2,1,50.0,0.57,0.28,0.50,1.00,15.6,0,0,0,0.3,0.3,0.13,+0.7,+0.7
Denzel Dumfries,DF,Netherlands,27,1996,5.0,0,4,0,0.0,0.80,0.00,0.00,,10.8,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Dávid Ďuriš,"FW,MF",Slovakia,24,1999,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Lasha Dvali,DF,Georgia,28,1995,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Timi Elšnik,MF,Slovenia,25,1998,4.0,0,3,0,0.0,0.75,0.00,0.00,,19.2,0,0,0,0.3,0.3,0.10,-0.3,-0.3
Breel Embolo,FW,Switzerland,26,1997,3.3,2,8,4,50.0,2.43,1.22,0.25,0.50,13.6,0,0,0,2.1,2.1,0.27,-0.1,-0.1
Christian Eriksen,"MF,FW",Denmark,31,1992,3.9,1,12,2,16.7,3.10,0.52,0.08,0.50,19.1,1,0,0,1.3,1.3,0.11,-0.3,-0.3
Eberechi Eze,"DF,MF",England,25,1998,1.1,0,2,0,0.0,1.76,0.00,0.00,,21.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Wout Faes,DF,Belgium,25,1998,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nicolò Fagioli,MF,Italy,22,2001,1.1,0,1,0,0.0,0.95,0.00,0.00,,28.7,0,0,0,0.0,0.0,0.02,0.0,0.0
João Félix,"MF,FW",Portugal,24,1999,1.2,0,4,1,25.0,3.43,0.86,0.00,0.00,20.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Bruno Fernandes,MF,Portugal,29,1994,4.2,1,10,2,20.0,2.41,0.48,0.10,0.50,22.7,1,0,0,1.2,1.2,0.12,-0.2,-0.2
Attila Fiola,DF,Hungary,33,1990,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Phil Foden,"FW,MF",England,23,2000,6.9,0,13,4,30.8,1.90,0.58,0.00,0.00,23.0,2,0,0,0.5,0.5,0.04,-0.5,-0.5
Youssouf Fofana,MF,France,25,1999,0.5,0,1,0,0.0,2.20,0.00,0.00,,26.2,0,0,0,0.0,0.0,0.03,0.0,0.0
Michael Folorunsho,FW,Italy,25,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Przemysław Frankowski,DF,Poland,28,1995,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Davide Frattesi,MF,Italy,24,1999,2.1,0,2,1,50.0,0.97,0.49,0.00,0.00,11.3,0,0,0,0.3,0.3,0.13,-0.3,-0.3
Remo Freuler,MF,Switzerland,31,1992,5.1,1,3,1,33.3,0.59,0.20,0.33,1.00,20.8,0,0,0,0.3,0.3,0.09,+0.7,+0.7
Jeremie Frimpong,FW,Netherlands,23,2000,1.0,0,2,1,50.0,2.09,1.05,0.00,0.00,15.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Chris Führich,FW,Germany,26,1998,0.2,0,1,0,0.0,4.74,0.00,0.00,,13.4,0,0,0,0.0,0.0,0.04,0.0,0.0
Niclas Füllkrug,FW,Germany,30,1993,1.8,2,9,3,33.3,4.88,1.63,0.22,0.67,11.2,0,0,0,1.0,1.0,0.12,+1.0,+1.0
Mijat Gaćinović,DF,Serbia,28,1995,0.5,0,1,0,0.0,2.00,0.00,0.00,,16.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Cody Gakpo,FW,Netherlands,24,1999,5.8,3,13,8,61.5,2.24,1.38,0.23,0.38,15.9,0,0,0,1.1,1.1,0.08,+1.9,+1.9
Conor Gallagher,MF,England,23,2000,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Dániel Gazdag,MF,Hungary,27,1996,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Lutsharel Geertruida,DF,Netherlands,23,2000,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Billy Gilmour,MF,Scotland,22,2001,2.0,0,2,0,0.0,0.98,0.00,0.00,,20.0,0,0,0,0.0,0.0,0.02,0.0,0.0
Olivier Giroud,FW,France,37,1986,0.7,0,2,0,0.0,3.05,0.00,0.00,,12.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Klaus Gjasula,MF,Albania,34,1989,0.2,1,2,1,50.0,9.47,4.74,0.50,1.00,18.0,0,0,0,0.3,0.3,0.15,+0.7,+0.7
Adam Gnezda Čerin,MF,Slovenia,24,1999,4.3,0,4,1,25.0,0.92,0.23,0.00,0.00,22.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3
Anthony Gordon,FW,England,22,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jon Gorenc Stanković,MF,Slovenia,28,1996,1.0,0,1,0,0.0,0.96,0.00,0.00,,21.2,0,0,0,0.0,0.0,0.03,0.0,0.0
Michael Gregoritsch,FW,Austria,29,1994,1.4,1,4,2,50.0,2.86,1.43,0.25,0.50,8.7,0,0,0,0.9,0.9,0.24,+0.1,+0.1
Antoine Griezmann,"MF,FW",France,32,1991,4.4,0,12,4,33.3,2.74,0.91,0.00,0.00,18.5,1,0,0,2.0,2.0,0.16,-2.0,-2.0
Florian Grillitsch,MF,Austria,28,1995,2.2,0,5,2,40.0,2.32,0.93,0.00,0.00,21.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Álex Grimaldo,DF,Spain,28,1995,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Pascal Groß,MF,Germany,32,1991,0.5,0,1,0,0.0,2.00,0.00,0.00,,23.5,0,0,0,0.0,0.0,0.03,0.0,0.0
Kamil Grosicki,MF,Poland,35,1988,0.2,0,1,0,0.0,5.63,0.00,0.00,,7.2,0,0,0,0.3,0.3,0.29,-0.3,-0.3
Nemanja Gudelj,MF,Serbia,32,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Marc Guéhi,DF,England,23,2000,6.3,0,2,0,0.0,0.32,0.00,0.00,,7.4,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Péter Gulácsi,GK,Hungary,33,1990,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Arda Güler,"FW,MF",Türkiye,18,2005,3.8,1,9,1,11.1,2.38,0.26,0.11,1.00,32.5,1,0,0,0.3,0.3,0.03,+0.7,+0.7
İlkay Gündoğan,MF,Germany,33,1990,4.3,1,7,2,28.6,1.64,0.47,0.14,0.50,14.4,0,0,0,0.8,0.8,0.11,+0.2,+0.2
Angus Gunn,GK,Scotland,28,1996,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Mert Günok,GK,Türkiye,34,1989,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Joško Gvardiol,DF,Croatia,22,2002,3.0,0,2,0,0.0,0.67,0.00,0.00,,15.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Giorgi Gwelesiani,DF,Georgia,32,1991,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Norbert Gyömbér,DF,Slovakia,31,1992,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ianis Hagi,MF,Romania,25,1998,2.1,0,2,0,0.0,0.96,0.00,0.00,,21.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Dávid Hancko,DF,Slovakia,26,1997,4.1,0,4,2,50.0,0.98,0.49,0.00,0.00,15.4,1,0,0,0.2,0.2,0.06,-0.2,-0.2
Grant Hanley,DF,Scotland,32,1991,2.5,0,1,0,0.0,0.40,0.00,0.00,,5.6,0,0,0,0.2,0.2,0.23,-0.2,-0.2
Lukáš Haraslín,FW,Slovakia,27,1996,2.9,0,8,4,50.0,2.73,1.36,0.00,0.00,17.6,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Kai Havertz,"FW,MF",Germany,24,1999,4.3,2,17,9,52.9,3.93,2.08,0.00,0.00,14.6,1,2,2,4.1,2.5,0.15,-2.1,-2.5
Jack Hendry,DF,Scotland,28,1995,2.9,0,1,0,0.0,0.34,0.00,0.00,,13.1,0,0,0,0.0,0.0,0.03,0.0,0.0
Benjamin Henrichs,DF,Germany,26,1997,0.1,0,1,0,0.0,9.00,0.00,0.00,,25.2,0,0,0,0.0,0.0,0.02,0.0,0.0
