Player,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Žan Vipotnik,FW,Slovenia,21,2002,0.2,0,2,0.0,0,0,0,1,0.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Vitinha,MF,Portugal,23,2000,4.0,294,323,91.0,4987,1098,142,147,96.6,133,139,95.7,17,29,58.6,0,0.1,0.3,-0.1,3,32,3,1,28
Daniel Vivian,DF,Spain,24,1999,1.4,101,109,92.7,1955,728,32,32,100.0,60,63,95.2,9,13,69.2,0,0.0,0.0,0.0,0,11,0,0,10
Dušan Vlahović,"MF,FW",Serbia,24,2000,2.0,15,27,55.6,257,37,8,14,57.1,4,6,66.7,3,4,75.0,0,0.0,0.0,0.0,0,0,0,0,2
Stefan de Vrij,DF,Netherlands,31,1992,6.0,381,416,91.6,6948,2287,129,138,93.5,224,239,93.7,24,33,72.7,0,0.0,0.2,0.0,0,35,2,0,26
Kyle Walker,DF,England,33,1990,7.7,490,554,88.4,8466,2435,221,234,94.4,214,239,89.5,47,60,78.3,0,0.1,0.2,-0.1,1,50,0,0,50
Ollie Watkins,FW,England,28,1995,0.7,4,5,80.0,51,1,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Wout Weghorst,FW,Netherlands,31,1992,1.5,22,31,71.0,226,52,17,18,94.4,2,7,28.6,1,1,100.0,1,0.3,0.2,+0.7,2,0,0,0,0
Andreas Weimann,FW,Austria,32,1991,0.0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Silvan Widmer,DF,Switzerland,30,1993,3.3,96,127,75.6,1441,345,54,61,88.5,37,48,77.1,3,12,25.0,0,0.0,0.1,0.0,1,2,0,0,3
Georginio Wijnaldum,MF,Netherlands,33,1990,0.8,10,16,62.5,148,32,5,6,83.3,5,6,83.3,0,0,,0,0.0,0.0,0.0,0,1,0,0,2
Nico Williams,FW,Spain,21,2002,5.5,179,220,81.4,2610,665,119,126,94.4,37,51,72.5,17,32,53.1,1,1.6,2.1,-0.6,13,4,15,4,21
Patrick Wimmer,"FW,MF",Austria,22,2001,1.5,32,48,66.7,512,180,16,20,80.0,9,12,75.0,4,9,44.4,0,0.1,0.1,-0.1,1,6,1,0,4
Jonas Wind,FW,Denmark,24,1999,2.1,62,77,80.5,706,91,46,56,82.1,11,12,91.7,1,3,33.3,1,0.8,0.3,+0.2,5,2,1,1,2
Florian Wirtz,"FW,MF",Germany,20,2003,3.1,168,190,88.4,2156,466,111,120,92.5,46,54,85.2,3,5,60.0,0,0.8,0.8,-0.8,7,8,3,0,20
Maximilian Wöber,DF,Austria,25,1998,1.9,101,118,85.6,1797,582,38,41,92.7,60,67,89.6,3,6,50.0,0,0.1,0.2,-0.1,2,8,2,2,7
Granit Xhaka,MF,Switzerland,31,1992,5.3,369,407,90.7,6085,1674,181,194,93.3,165,172,95.9,19,31,61.3,0,0.4,0.5,-0.4,8,56,4,0,36
Lamine Yamal,FW,Spain,16,2007,5.6,158,205,77.1,2252,625,100,112,89.3,45,59,76.3,7,16,43.8,4,2.8,2.0,+1.2,19,5,12,3,23
Roman Yaremchuk,FW,Ukraine,28,1995,1.3,23,30,76.7,272,44,16,18,88.9,5,5,100.0,0,2,0.0,0,0.1,0.1,-0.1,2,0,2,0,3
Andriy Yarmolenko,"FW,MF",Ukraine,34,1989,1.2,34,49,69.4,505,131,22,27,81.5,10,16,62.5,1,5,20.0,0,0.0,0.3,0.0,0,1,2,0,6
Yusuf Yazıcı,"MF,FW",Türkiye,27,1997,0.6,16,20,80.0,213,66,9,12,75.0,6,7,85.7,0,0,,0,0.0,0.0,0.0,0,3,0,0,3
Kenan Yıldız,"FW,MF",Türkiye,18,2005,3.8,92,110,83.6,1272,234,52,62,83.9,36,39,92.3,1,3,33.3,0,0.1,0.4,-0.1,1,3,2,0,6
Okay Yokuşlu,"MF,DF",Türkiye,29,1994,0.6,26,28,92.9,487,119,10,11,90.9,12,13,92.3,3,3,100.0,0,0.0,0.0,0.0,0,1,0,0,2
İsmail Yüksek,MF,Türkiye,25,1999,1.7,91,99,91.9,1562,458,47,48,97.9,32,37,86.5,9,10,90.0,1,0.1,0.1,+0.9,3,9,1,0,4
Illia Zabarnyi,DF,Ukraine,21,2002,3.0,172,200,86.0,3633,1194,48,50,96.0,108,115,93.9,16,33,48.5,0,0.1,0.0,-0.1,2,14,1,0,14
Mattia Zaccagni,"MF,FW",Italy,28,1995,0.9,30,38,78.9,434,72,17,19,89.5,10,14,71.4,2,4,50.0,0,0.4,0.1,-0.4,2,0,1,1,3
Denis Zakaria,MF,Switzerland,27,1996,0.3,7,7,100.0,91,2,5,5,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Nicola Zalewski,DF,Poland,22,2002,2.7,73,100,73.0,1017,359,45,51,88.2,23,27,85.2,3,11,27.3,0,0.1,0.1,-0.1,1,4,3,1,14
Piotr Zieliński,MF,Poland,29,1994,2.8,123,150,82.0,1715,680,70,77,90.9,36,41,87.8,10,18,55.6,1,0.4,0.4,+0.6,6,7,2,1,10
Oleksandr Zinchenko,DF,Ukraine,27,1996,2.4,137,161,85.1,2350,737,69,75,92.0,58,70,82.9,9,13,69.2,1,0.2,0.2,+0.8,2,10,2,0,11
Joshua Zirkzee,"FW,DF",Netherlands,22,2001,0.1,2,2,100.0,24,5,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Andrija Živković,DF,Serbia,27,1996,2.7,115,142,81.0,1892,612,59,62,95.2,43,52,82.7,10,15,66.7,0,0.7,0.6,-0.7,5,7,9,6,12
Budu Zivzivadze,"FW,MF",Georgia,29,1994,0.2,3,3,100.0,47,16,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
Steven Zuber,MF,Switzerland,32,1991,0.9,32,35,91.4,512,202,22,23,95.7,7,7,100.0,3,3,100.0,0,0.0,0.0,0.0,1,3,2,1,2
Martín Zubimendi,MF,Spain,24,1999,1.6,108,117,92.3,1833,437,45,46,97.8,51,55,92.7,9,11,81.8,0,0.0,0.1,0.0,1,9,1,0,17
Oleksandr Zubkov,FW,Ukraine,27,1996,0.3,6,10,60.0,99,37,3,4,75.0,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,1,1,0,2
