Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Nicolò Barella,MF,Italy,26,1997,3.7,1,0,0,5,2,1,2,3,5,0,0,0,14,1,1,50.0
Alessandro Bastoni,DF,Italy,24,1999,4.0,0,0,0,3,6,0,1,1,2,0,0,0,24,4,5,44.4
Martin Baturina,FW,Croatia,20,2003,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
Christoph Baumgartner,"MF,FW",Austria,24,1999,3.2,1,0,0,4,8,1,6,1,1,0,0,0,14,5,9,35.7
Altay Bayındır,GK,Türkiye,25,1998,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0
Jan Bednarek,DF,Poland,27,1996,3.0,0,0,0,2,4,0,0,3,1,0,0,0,8,2,5,28.6
Maximilian Beier,FW,Germany,21,2002,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,100.0
Jude Bellingham,"MF,FW",England,20,2003,7.4,2,0,0,6,16,0,8,4,11,0,0,0,27,7,13,35.0
László Bénes,MF,Slovakia,26,1997,0.8,0,0,0,0,0,0,6,0,1,0,0,0,5,0,0,
Bartosz Bereszyński,DF,Poland,31,1992,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Steven Bergwijn,FW,Netherlands,26,1997,1.0,0,0,0,1,1,1,2,0,0,0,0,0,5,0,0,
Medon Berisha,MF,Albania,20,2003,0.2,1,0,0,1,0,0,0,1,0,0,0,0,3,0,2,0.0
Victor Bernth Kristiansen,"DF,MF",Denmark,21,2002,1.7,0,0,0,0,0,1,4,0,3,0,0,0,6,2,5,28.6
Matúš Bero,"MF,DF",Slovakia,28,1995,0.5,0,0,0,0,0,0,2,1,1,0,0,0,3,0,0,
Jaka Bijol,DF,Slovenia,24,1999,4.3,2,0,0,6,0,1,1,6,6,0,0,0,9,9,8,52.9
Veljko Birmančević,DF,Serbia,25,1998,0.3,0,0,0,0,1,0,5,2,0,0,0,0,0,0,1,0.0
Daley Blind,FW,Netherlands,33,1990,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bendegúz Bolla,DF,Hungary,24,1999,2.3,1,0,0,3,1,1,8,1,3,0,0,0,3,0,1,0.0
Endre Botka,DF,Hungary,29,1994,1.0,0,0,0,2,0,0,0,1,1,0,0,0,2,6,6,50.0
Jarrod Bowen,FW,England,27,1996,0.4,0,0,0,1,1,0,3,1,1,0,0,0,1,2,1,66.7
