Player,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Matúš Bero,"MF,DF",Slovakia,28,1995,0.5,31,0,5,10,16,2,31,0,0,,0,,16,66,37,1,1,0,0,1,17,6
Jaka Bijol,DF,Slovenia,24,1999,4.3,202,60,127,72,4,4,202,0,0,,0,,86,378,169,0,1,0,1,1,99,0
Veljko Birmančević,DF,Serbia,25,1998,0.3,21,0,1,5,15,1,21,2,1,50.0,1,50.0,13,97,58,3,2,1,1,0,12,7
Daley Blind,FW,Netherlands,33,1990,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Bendegúz Bolla,DF,Hungary,24,1999,2.3,91,7,27,29,36,2,91,4,0,0.0,4,100.0,54,334,153,2,1,0,2,0,52,13
Endre Botka,DF,Hungary,29,1994,1.0,56,3,21,29,7,0,56,1,0,0.0,1,100.0,24,107,46,0,1,0,0,0,22,0
Jarrod Bowen,FW,England,27,1996,0.4,23,1,5,8,10,0,23,2,0,0.0,2,100.0,11,62,15,1,1,0,2,0,13,3
Róbert Boženík,FW,Slovakia,24,1999,2.3,62,3,5,35,23,6,62,1,0,0.0,1,100.0,37,130,48,1,2,0,8,6,41,10
Volodymyr Brazhko,MF,Ukraine,22,2002,2.0,103,9,45,49,11,0,103,1,1,100.0,0,0.0,61,182,75,0,2,0,0,1,71,1
David Brekalo,MF,Slovenia,25,1998,0.0,3,1,3,0,0,0,3,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Brian Brobbey,FW,Netherlands,21,2002,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0
Armando Broja,FW,Albania,22,2001,1.2,29,1,3,13,14,2,29,7,3,42.9,4,57.1,19,142,59,2,3,0,1,3,25,4
Marcelo Brozović,MF,Croatia,31,1992,2.5,207,8,46,131,30,1,207,1,1,100.0,0,0.0,126,594,258,2,4,0,1,0,169,6
Jacob Bruun Larsen,FW,Denmark,25,1998,0.1,6,0,0,2,4,0,6,0,0,,0,,7,35,22,1,0,0,0,1,7,4
Ante Budimir,FW,Croatia,32,1991,1.4,36,3,3,12,21,12,36,2,1,50.0,1,50.0,12,35,8,1,0,0,4,1,22,5
Adam Buksa,FW,Poland,27,1996,1.7,30,3,6,11,13,4,30,2,0,0.0,2,100.0,13,62,22,1,0,1,3,1,19,6
Andrei Burcă,DF,Romania,30,1993,4.0,180,31,98,73,9,2,180,0,0,,0,,103,451,214,2,1,0,2,3,114,1
Riccardo Calafiori,DF,Italy,21,2002,3.0,257,21,83,143,31,3,257,2,2,100.0,0,0.0,213,1077,589,7,8,0,0,3,204,1
Hakan Çalhanoğlu,MF,Türkiye,29,1994,3.9,288,11,49,160,82,5,288,2,1,50.0,1,50.0,158,858,344,5,3,1,3,3,217,12
Eduardo Camavinga,MF,France,21,2002,1.9,114,7,17,64,33,4,114,0,0,,0,,74,335,140,2,3,0,0,2,78,5
Andrea Cambiaso,"FW,DF",Italy,23,2000,0.8,54,2,15,20,19,3,54,1,1,100.0,0,0.0,40,191,80,1,0,0,1,0,40,7
Emre Can,MF,Germany,30,1994,1.1,88,5,18,43,27,1,88,0,0,,0,,49,206,93,1,2,0,3,1,68,1
João Cancelo,"DF,MF",Portugal,29,1994,3.8,296,10,66,141,94,9,296,16,10,62.5,5,31.3,185,1036,589,14,9,6,5,5,199,26
Yannick Carrasco,"DF,FW",Belgium,30,1993,2.4,119,2,19,63,40,9,119,5,2,40.0,2,40.0,83,359,187,5,3,5,1,3,88,12
Dani Carvajal,DF,Spain,32,1992,5.2,366,17,77,182,110,9,366,5,1,20.0,3,60.0,208,878,383,11,10,1,3,4,249,15
Timothy Castagne,DF,Belgium,28,1995,4.0,254,17,85,99,72,4,254,1,1,100.0,0,0.0,143,512,282,4,6,0,4,0,160,16
Koen Casteels,GK,Belgium,31,1992,4.0,150,125,149,1,0,0,150,0,0,,0,,85,355,183,0,0,0,0,0,76,0
Žan Celar,"FW,MF",Slovenia,24,1999,0.7,23,2,3,13,7,0,23,0,0,,0,,10,48,14,1,1,0,1,2,15,2
Zeki Çelik,"DF,MF",Türkiye,26,1997,1.2,61,0,13,22,26,2,61,0,0,,0,,32,133,60,1,0,0,0,2,37,11
Václav Černý,MF,Czechia,26,1997,0.6,38,0,4,14,20,2,38,1,1,100.0,0,0.0,22,117,47,1,0,0,0,2,23,2
Giorgi Chakvetadze,"MF,FW",Georgia,24,1999,2.7,126,4,38,61,30,4,126,3,2,66.7,1,33.3,71,499,370,8,4,1,5,5,81,7
Federico Chiesa,"FW,MF",Italy,26,1997,2.9,138,2,14,46,78,14,138,15,8,53.3,6,40.0,106,768,361,14,2,6,8,4,100,32
Tomáš Chorý,MF,Czechia,29,1995,0.4,11,0,0,3,8,5,11,1,1,100.0,0,0.0,8,33,3,0,0,0,2,1,10,1
Andreas Christensen,DF,Denmark,27,1996,3.9,261,15,92,160,9,4,261,0,0,,0,,192,728,325,1,1,0,0,0,201,0
Ryan Christie,"MF,FW",Scotland,28,1995,1.1,32,0,6,13,14,1,32,2,1,50.0,1,50.0,17,73,13,0,2,0,4,3,19,4
Mojmir Chytil,FW,Czechia,24,1999,1.2,29,2,5,11,14,4,29,3,1,33.3,1,33.3,19,77,40,0,0,0,5,0,23,2
Alexandru Cicâldău,MF,Romania,26,1997,0.2,10,0,3,5,2,0,10,0,0,,0,,3,10,5,0,0,0,2,0,5,0
Florinel Coman,MF,Romania,25,1998,1.3,43,2,12,12,19,3,43,3,2,66.7,1,33.3,20,98,71,3,0,1,3,0,26,4
Kingsley Coman,MF,France,27,1996,0.2,10,0,1,0,9,0,10,0,0,,0,,11,73,29,0,0,0,0,1,11,3
Francisco Conceição,"FW,MF",Portugal,21,2002,2.0,156,0,7,40,111,14,156,16,7,43.8,7,43.8,124,890,433,15,3,8,5,2,130,34
Diogo Costa,GK,Portugal,24,1999,5.7,161,131,161,0,0,0,161,0,0,,0,,101,444,273,0,0,0,0,0,85,0
Vladimír Coufal,"DF,FW",Czechia,31,1992,3.0,187,17,52,64,74,3,187,8,0,0.0,7,87.5,82,464,234,10,5,0,2,5,88,12
Bryan Cristante,MF,Italy,28,1995,1.5,126,4,28,74,24,3,126,1,1,100.0,0,0.0,106,524,254,4,4,1,1,0,105,2
Kevin Csoboth,DF,Hungary,23,2000,0.1,14,0,3,8,3,2,14,1,0,0.0,0,0.0,10,68,42,1,0,0,0,0,9,1
Marc Cucurella,DF,Spain,25,1998,6.1,425,19,90,182,154,7,425,1,0,0.0,1,100.0,248,1139,591,16,15,1,3,1,281,33
Mirlind Daku,FW,Albania,26,1998,0.1,8,0,0,3,5,3,8,0,0,,0,,6,32,22,1,1,0,1,0,7,2
Diogo Dalot,"DF,MF",Portugal,24,1999,1.7,110,4,12,51,49,2,110,4,3,75.0,1,25.0,68,302,176,2,3,0,2,1,82,13
Mikkel Damsgaard,FW,Denmark,23,2000,0.4,20,0,4,10,7,1,20,1,0,0.0,1,100.0,13,37,13,0,0,0,0,0,15,2
Kevin Danso,DF,Austria,25,1998,2.4,191,22,74,95,22,3,191,0,0,,0,,134,742,525,4,5,0,1,0,128,1
Márton Dárdai,DF,Hungary,21,2002,1.9,107,11,70,31,6,1,107,1,0,0.0,1,100.0,72,314,128,0,0,0,0,0,73,0
Matteo Darmian,DF,Italy,34,1989,1.8,122,9,33,61,28,3,122,2,0,0.0,2,100.0,85,260,102,1,1,0,0,0,84,5
Zuriko Davitashvili,"FW,MF",Georgia,22,2001,1.3,56,0,7,22,27,6,56,5,0,0.0,5,100.0,33,238,98,3,2,1,3,4,41,11
Paweł Dawidowicz,DF,Poland,28,1995,2.0,96,23,70,23,3,1,96,0,0,,0,,48,267,151,0,0,0,0,0,65,0
