Player,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Che Adams,FW,Scotland,27,1996,2.3,2,1,1,1,0,1,1,100.0,0,2,0,2,1,3,0,0
Michel Aebischer,DF,Switzerland,27,1997,5.3,4,3,2,2,0,1,11,9.1,10,3,1,2,2,6,7,0
Arlind Ajeti,DF,Albania,30,1993,3.0,1,0,0,1,0,1,3,33.3,2,5,4,1,6,7,13,0
Manuel Akanji,DF,Switzerland,28,1995,5.3,2,2,2,0,0,1,2,50.0,1,6,6,0,4,6,22,0
Samet Akaydın,DF,Türkiye,29,1994,3.7,8,4,8,0,0,6,8,75.0,2,5,5,0,7,15,16,0
Nathan Aké,DF,Netherlands,28,1995,5.2,7,5,7,0,0,4,7,57.1,3,4,3,1,6,13,14,0
Yunus Akgün,FW,Türkiye,23,2000,0.8,2,1,1,1,0,2,2,100.0,0,1,0,1,0,2,0,0
Kerem Aktürkoğlu,"FW,MF",Türkiye,25,1998,1.2,1,1,1,0,0,1,2,50.0,1,1,0,1,1,2,3,0
Trent Alexander-Arnold,"MF,DF",England,25,1998,1.5,1,0,1,0,0,0,1,0.0,1,4,2,2,2,3,3,1
Denis Alibec,FW,Romania,33,1991,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Barış Alper Yılmaz,FW,Türkiye,23,2000,5.0,5,0,0,3,2,1,3,33.3,2,1,0,1,0,5,1,0
Sandro Altunashvili,MF,Georgia,26,1997,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1
Zeki Amdouni,"MF,FW",Switzerland,23,2000,0.6,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0
Joachim Andersen,DF,Denmark,27,1996,4.0,5,1,2,3,0,3,3,100.0,0,4,1,3,2,7,11,0
Robert Andrich,MF,Germany,29,1994,3.5,12,8,8,4,0,5,7,71.4,2,3,1,2,2,14,12,0
Waldemar Anton,DF,Germany,27,1996,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Stuart Armstrong,MF,Scotland,31,1992,0.2,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
Marko Arnautović,FW,Austria,34,1989,3.1,2,1,0,1,1,1,1,100.0,0,1,0,1,0,2,2,0
Jasir Asani,FW,Albania,28,1995,2.3,3,1,3,0,0,1,7,14.3,6,1,0,1,4,7,4,0
Kristjan Asllani,MF,Albania,21,2002,3.0,1,1,1,0,0,0,2,0.0,2,0,0,0,3,4,6,0
Kaan Ayhan,"MF,DF",Türkiye,29,1994,4.0,6,3,3,2,1,4,10,40.0,6,5,0,5,2,8,17,0
Alex Baena,"MF,FW",Spain,22,2001,0.3,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,0,0
Alexander Bah,"DF,MF",Denmark,26,1997,3.1,4,4,2,1,1,4,8,50.0,4,1,0,1,5,9,5,0
Nedim Bajrami,"FW,MF",Albania,24,1999,2.7,3,1,2,1,0,0,2,0.0,2,1,0,1,0,3,1,0
