Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,GoalsConceded,GoalsConceded90,SoTAgainst,Saves,Saves%,W,D,L,CleanSheet,CleanSheet%,PKatt,PKConcede,PKSaved,PKMissed,PKSaved%
Antonio Adán,ESP,GK,Sporting CP,36,1987,22,22,"1,980",22.0,22,1.00,55,33,67.3,18,2,2,9,40.9,4,4,0,0,0.0
Andrew,BRA,GK,Gil Vicente FC,22,2001,32,32,"2,880",32.0,46,1.44,143,97,71.3,9,8,15,9,28.1,7,5,2,0,28.6
Ricardo Batista,POR,GK,Casa Pia,36,1986,31,31,"2,785",30.9,45,1.45,145,100,69.7,9,8,14,10,32.3,1,1,0,0,0.0
Bruno Brigido,BRA,GK,Estrela,32,1991,26,26,"2,340",26.0,43,1.65,119,77,65.5,4,10,12,4,15.4,3,2,0,1,0.0
Fabijan Buntić,CRO,GK,Vizela,26,1997,28,27,"2,496",27.7,60,2.16,137,78,59.9,3,10,14,6,22.2,6,5,0,1,0.0
Cambila,ANG,GK,Estrela,21,2002,1,0,17,0.2,3,15.88,6,2,50.0,0,0,0,0,,1,0,1,0,100.0
Marcelo Carné,BRA,GK,Estoril,33,1990,22,22,"1,979",22.0,28,1.27,105,78,74.3,7,5,10,8,36.4,2,1,1,0,50.0
António Filipe de Carvalho,POR,GK,Estrela,38,1985,3,3,270,3.0,3,1.00,10,7,70.0,2,0,1,2,66.7,0,0,0,0,
Miguel Carvalho,POR,GK,Farense,27,1996,2,2,180,2.0,5,2.50,11,6,54.5,0,0,2,0,0.0,0,0,0,0,
Charles,BRA,GK,Vitória,29,1994,8,7,675,7.5,7,0.93,27,20,77.8,4,2,1,3,42.9,1,1,0,0,0.0
Diogo Costa,POR,GK,Porto,23,1999,33,33,"2,944",32.7,25,0.76,77,53,72.7,21,6,6,13,39.4,6,4,1,1,20.0
Ignacio De Arruabarrena,URU,GK,Arouca,26,1997,31,31,"2,790",31.0,45,1.45,142,96,73.2,13,5,13,4,12.9,9,7,1,1,12.5
Vinicius Dias,BRA,GK,Gil Vicente FC,26,1997,2,2,180,2.0,6,3.00,11,5,45.5,0,1,1,0,0.0,0,0,0,0,
Dida,BRA,GK,Estrela,25,1998,5,5,427,4.7,4,0.84,13,9,69.2,1,2,2,1,20.0,0,0,0,0,
Daniel Figueira,POR,GK,Estoril,25,1998,12,12,"1,080",12.0,29,2.42,61,33,54.1,2,1,9,2,16.7,1,1,0,0,0.0
João Gonçalves,POR,GK,Boavista,22,2000,34,34,"3,060",34.0,62,1.82,172,111,66.3,7,11,16,3,8.8,6,4,0,2,0.0
Franco Israel,URU,GK,Sporting CP,23,2000,10,10,900,10.0,7,0.70,23,16,69.6,9,1,0,5,50.0,0,0,0,0,
Jhonatan,BRA,GK,Rio Ave,32,1991,26,26,"2,340",26.0,30,1.15,118,88,75.4,5,16,5,9,34.6,3,1,1,1,50.0
Luiz Lúcio Reis Júnior,BRA,GK,Famalicão,22,2001,33,33,"2,970",33.0,39,1.18,145,105,75.2,10,12,11,8,24.2,8,3,3,2,50.0
Kewin,BRA,GK,Moreirense,27,1995,30,30,"2,686",29.8,34,1.14,119,86,72.3,13,7,10,13,43.3,1,1,0,0,0.0
Magrão,BRA,GK,Rio Ave,23,2000,7,7,630,7.0,12,1.71,31,19,64.5,1,2,4,1,14.3,1,1,0,0,0.0
Matheus,BRA,GK,Braga,31,1992,34,34,"3,060",34.0,50,1.47,127,79,65.4,21,5,8,6,17.6,7,6,0,1,0.0
Mika,POR,GK,Moreirense,32,1991,1,0,14,0.2,0,0.00,0,0,,0,0,0,0,,0,0,0,0,
Cezary Miszta,POL,GK,Rio Ave,21,2001,1,1,90,1.0,1,1.00,9,8,88.9,0,1,0,0,0.0,0,0,0,0,
Mosquito,BRA,GK,Arouca,27,1996,2,2,180,2.0,5,2.50,7,3,28.6,0,1,1,0,0.0,0,0,0,0,
Rodrigo Moura,BRA,GK,Chaves,27,1996,7,7,630,7.0,16,2.29,35,19,57.1,1,0,6,0,0.0,1,1,0,0,0.0
Kosuke Nakamura,JPN,GK,Portimonense,28,1995,20,20,"1,800",20.0,38,1.90,95,59,62.1,4,7,9,2,10.0,3,2,0,1,0.0
Lucas Paes,BRA,GK,Casa Pia,25,1997,4,3,273,3.0,5,1.65,14,9,64.3,1,0,2,0,0.0,0,0,0,0,
Diogo Pinto,POR,GK,Sporting CP,19,2004,2,2,171,1.9,0,0.00,1,1,100.0,2,0,0,1,50.0,0,0,0,0,
Gonçalo Pinto,POR,GK,Chaves,23,2000,1,1,90,1.0,3,3.00,8,5,75.0,0,0,1,0,0.0,1,1,0,0,0.0
Cláudio Ramos,POR,GK,Porto,31,1991,2,1,114,1.3,2,1.58,4,2,50.0,1,0,0,0,0.0,0,0,0,0,
Francesco Ruberto,SUI,GK,Vizela,30,1993,7,7,564,6.3,6,0.96,24,19,75.0,2,1,4,2,28.6,0,0,0,0,
Caio Secco,BRA,GK,Moreirense,32,1990,4,4,360,4.0,1,0.25,9,8,88.9,3,0,1,3,75.0,0,0,0,0,
Francisco Silva,POR,GK,Sporting CP,17,2005,1,0,9,0.1,0,0.00,0,0,,0,0,0,1,,0,0,0,0,
Vinicius Silvestre,BRA,GK,Portimonense,29,1994,14,14,"1,260",14.0,34,2.43,79,48,60.8,4,1,9,1,7.1,3,3,0,0,0.0
