Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,GoalsConceded,GoalsConceded90,SoTAgainst,Saves,Saves%,W,D,L,CleanSheet,CleanSheet%,PKatt,PKConcede,PKSaved,PKMissed,PKSaved%
Peter Abrahamsson,SWE,GK,Häcken,35,1988,6,6,540,6.0,17,2.83,34,17,50.0,0,0,6,0,0.0,0,0,0,0,
Antonio Adán,ESP,GK,Sporting CP,36,1987,6,6,540,6.0,7,1.17,19,12,68.4,3,2,1,0,0.0,1,1,0,0,0.0
Alisson,BRA,GK,Liverpool,30,1992,2,2,180,2.0,0,0.00,3,3,100.0,2,0,0,2,100.0,0,0,0,0,
Alphonse Areola,FRA,GK,West Ham,30,1993,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,
Giorgos Athanasiadis,GRE,GK,AEK Athens,30,1993,3,2,212,2.4,7,2.97,18,11,72.2,0,0,2,0,0.0,2,2,0,0,0.0
Noah Atubolu,GER,GK,Freiburg,21,2002,10,10,930,10.3,14,1.35,37,23,62.2,6,1,3,4,40.0,0,0,0,0,
David von Ballmoos,SUI,GK,Young Boys,28,1994,2,2,180,2.0,4,2.00,12,8,75.0,0,1,1,0,0.0,2,1,1,0,50.0
Rubén Blanco,ESP,GK,Marseille,28,1995,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,
Claudio Bravo,CHI,GK,Betis,40,1983,2,2,180,2.0,2,1.00,9,7,77.8,1,0,1,0,0.0,0,0,0,0,
Alberto Brignoli,ITA,GK,Panathinaikos,31,1991,5,5,450,5.0,8,1.60,25,17,72.0,1,1,3,2,40.0,1,1,0,0,0.0
Jack Butland,ENG,GK,Rangers,30,1993,8,8,720,8.0,9,1.13,35,27,77.1,3,3,2,2,25.0,1,1,0,0,0.0
Marco Carnesecchi,ITA,GK,Atalanta,23,2000,1,1,83,0.9,,,2,2,,1,,,,,,,,,
Łukasz Fabiański,POL,GK,West Ham,38,1985,9,9,810,9.0,6,0.67,36,30,83.3,6,1,2,4,44.4,0,0,0,0,
Jérémy Frick,SUI,GK,Servette FC,30,1993,6,6,540,6.0,13,2.17,24,12,45.8,1,2,3,0,0.0,0,0,0,0,
Gauthier Gallon,FRA,GK,Rennes,30,1993,1,1,90,1.0,1,1.00,2,1,100.0,1,0,0,0,0.0,1,1,0,0,0.0
Jay Gorter,NED,GK,Ajax,23,2000,2,2,180,2.0,4,2.00,17,13,76.5,0,2,0,0,0.0,0,0,0,0,
Luka Gugeshashvili,GEO,GK,Qarabağ,24,1999,1,0,6,0.1,1,15.00,1,0,100.0,0,0,0,0,,1,1,0,0,0.0
Veljko Ilic,SRB,GK,TSC Bačka Top,20,2003,5,5,450,5.0,16,3.20,31,16,51.6,0,1,4,0,0.0,1,1,0,0,0.0
Franco Israel,URU,GK,Sporting CP,23,2000,4,4,360,4.0,4,1.00,12,8,66.7,1,2,1,1,25.0,0,0,0,0,
Filip Jørgensen,DEN,GK,Villarreal,21,2002,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,
Jacob Karlstrom,NOR,GK,Molde,26,1997,2,2,130,1.4,3,2.08,10,7,70.0,0,0,2,0,0.0,0,0,0,0,
Caoimhín Kelleher,IRL,GK,Liverpool,24,1998,8,8,720,8.0,12,1.50,33,22,63.6,5,0,3,1,12.5,0,0,0,0,
Shareef Keouf,ISR,GK,Maccabi Haifa,22,2001,5,5,450,5.0,6,1.20,24,17,75.0,1,2,2,2,40.0,1,0,1,0,100.0
