Player,Nation,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Axel Witsel,BEL,DF,Atlético Madrid,35-301,1989,3.0,146,161,90.7,2541,831,61,67,91.0,71,77,92.2,10,11,90.9,0,0.0,0.1,0.0,0,3,0,0,7
Gregory Wüthrich,SUI,DF,Sturm Graz,29-340,1994,0.1,2,2,100.0,42,9,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Granit Xhaka,SUI,MF,Leverkusen,32-042,1992,3.2,212,231,91.8,3548,1001,103,109,94.5,87,95,91.6,17,19,89.5,0,0.2,0.1,-0.2,2,20,2,0,22
Malick Yalcouye,CIV,MF,Sturm Graz,18-356,2005,3.4,118,136,86.8,1724,353,63,67,94.0,41,47,87.2,7,11,63.6,0,0.1,0.2,-0.1,2,9,4,0,8
Lamine Yamal,ESP,FW,Barcelona,17-118,2007,3.6,104,134,77.6,1464,552,64,71,90.1,33,47,70.2,4,7,57.1,1,0.5,0.9,+0.5,4,11,9,0,20
Erencan Yardimci,TUR,FW,Sturm Graz,22-278,2002,0.8,12,19,63.2,126,12,10,14,71.4,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,0,2,0,2
Kenan Yıldız,TUR,FW,Juventus,19-188,2005,3.3,87,118,73.7,1438,352,46,55,83.6,30,43,69.8,9,14,64.3,0,0.1,0.1,-0.1,3,6,4,1,10
Seol Youngwoo,KOR,DF,Red Star,25-339,1998,4.0,150,193,77.7,2533,1131,69,77,89.6,67,85,78.8,11,22,50.0,1,0.1,0.1,+0.9,4,17,3,0,21
Dan-Axel Zagadou,FRA,DF,Stuttgart,25-158,1999,0.0,4,4,100.0,59,19,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,0
Danijel Zagorac,CRO,GK,Dinamo Zagreb,37-275,1987,1.0,25,32,78.1,589,330,2,2,100.0,19,20,95.0,4,10,40.0,0,0.0,0.0,0.0,0,0,0,0,0
Warren Zaïre-Emery,FRA,MF,Paris S-G,18-245,2006,3.7,195,216,90.3,2923,532,108,115,93.9,65,68,95.6,10,11,90.9,0,0.2,0.3,-0.2,5,14,3,1,20
Denis Zakaria,SUI,MF,Monaco,27-354,1996,3.0,158,166,95.2,2545,832,84,90,93.3,67,69,97.1,7,7,100.0,0,0.1,0.1,-0.1,3,18,1,0,26
Nicolò Zaniolo,ITA,"FW,MF",Atalanta,25-129,1999,1.0,16,20,80.0,240,54,9,9,100.0,2,4,50.0,2,2,100.0,0,0.1,0.1,-0.1,1,1,0,0,2
Davide Zappacosta,ITA,DF,Atalanta,32-150,1992,3.8,201,233,86.3,2656,725,134,144,93.1,51,63,81.0,7,10,70.0,1,1.8,1.8,-0.8,8,11,10,6,13
Gjivai Zechiël,NED,MF,Feyenoord,20-160,2004,0.0,7,8,87.5,135,10,0,1,0.0,4,4,100.0,1,1,100.0,0,0.0,0.0,0.0,1,0,0,0,0
Jaroslav Zelený,CZE,DF,Sparta Prague,32-080,1992,2.0,50,68,73.5,946,342,17,18,94.4,24,30,80.0,6,14,42.9,0,0.0,0.0,0.0,1,2,0,0,2
Ramiz Zerrouki,ALG,"MF,FW",Feyenoord,26-166,1998,0.8,27,33,81.8,434,66,12,16,75.0,13,15,86.7,1,1,100.0,0,0.0,0.0,0.0,0,3,0,0,2
Edon Zhegrova,KVX,"FW,MF",Lille,25-222,1999,3.8,90,119,75.6,1365,323,48,55,87.3,36,44,81.8,4,14,28.6,1,0.8,0.5,+0.2,4,4,4,1,9
Piotr Zieliński,POL,MF,Inter,30-172,1994,2.7,103,121,85.1,1468,415,61,68,89.7,40,47,85.1,2,6,33.3,0,0.5,0.4,-0.5,5,8,4,2,8
Oleksandr Zinchenko,UKR,DF,Arsenal,27-329,1996,0.1,17,22,77.3,254,22,10,11,90.9,7,8,87.5,0,2,0.0,0,0.1,0.0,-0.1,1,3,0,0,3
Tanguy Zoukrou,FRA,DF,Young Boys,21-185,2003,2.0,79,93,84.9,1531,633,29,30,96.7,39,44,88.6,10,14,71.4,0,0.0,0.0,0.0,1,3,0,0,0
Oleksandr Zubkov,UKR,"FW,MF",Shakhtar,28-097,1996,3.4,86,122,70.5,1443,503,44,52,84.6,31,42,73.8,8,19,42.1,0,0.5,0.6,-0.5,4,8,6,2,10
Lovro Zvonarek,CRO,"MF,FW",Sturm Graz,19-184,2005,1.3,30,35,85.7,471,114,13,14,92.9,13,15,86.7,3,4,75.0,0,0.1,0.1,-0.1,3,2,1,0,5
Martin Ødegaard,NOR,MF,Arsenal,25-327,1998,0.0,1,1,100.0,17,5,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1
Łukasz Łakomy,POL,MF,Young Boys,23-295,2001,1.6,64,85,75.3,1132,360,34,36,94.4,20,23,87.0,8,20,40.0,0,0.0,0.0,0.0,2,11,1,0,10
