Player,Nation,Pos,Squad,Comp,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Medon Berisha,ALB,"MF,FW",Lecce,Serie A,20-362,2003,0.9,42,53,79.2,760,240,20,22,90.9,13,16,81.3,8,13,61.5,0,0.1,0.2,-0.1,3,4,1,0,5
Mergim Berisha,GER,FW,Hoffenheim,Bundesliga,26-159,1998,2.4,22,31,71.0,329,61,11,12,91.7,8,12,66.7,1,2,50.0,1,0.5,0.3,+0.5,1,2,2,0,5
Adrian Bernabe,ESP,MF,Parma,Serie A,23-144,2001,6.9,351,420,83.6,6865,2448,135,153,88.2,154,176,87.5,51,73,69.9,0,0.6,0.5,-0.6,14,50,7,2,51
Marc Bernal,ESP,MF,Barcelona,La Liga,17-144,2007,2.7,148,160,92.5,2634,623,66,71,93.0,72,77,93.5,10,11,90.9,0,0.0,0.1,0.0,1,12,0,0,8
Juan Bernat,ESP,"DF,MF",Villarreal,La Liga,31-230,1993,0.3,15,19,78.9,186,54,11,11,100.0,4,7,57.1,0,0,,0,0.1,0.0,-0.1,1,0,0,0,1
Alexander Bernhardsson,SWE,"DF,FW",Holstein Kiel,Bundesliga,26-039,1998,1.7,22,34,64.7,337,128,11,14,78.6,11,16,68.8,0,4,0.0,0,0.2,0.1,-0.2,1,2,1,0,3
Victor Bernth Kristiansen,DEN,DF,Leicester City,Premier League,21-306,2002,6.9,273,359,76.0,4638,1830,129,147,87.8,106,135,78.5,28,57,49.1,0,0.2,0.4,-0.2,5,22,5,5,16
Matúš Bero,SVK,MF,Bochum,Bundesliga,29-041,1995,5.7,157,210,74.8,2676,815,73,90,81.1,66,85,77.6,12,24,50.0,0,0.3,0.3,-0.3,7,17,5,2,18
Juan Berrocal,ESP,DF,Getafe,La Liga,25-166,1999,4.9,89,127,70.1,1819,820,28,32,87.5,49,66,74.2,10,24,41.7,0,0.0,0.0,0.0,0,4,0,0,6
Dimitry Bertaud,COD,GK,Montpellier,Ligue 1,26-133,1998,3.0,63,92,68.5,1921,1513,7,7,100.0,32,32,100.0,24,52,46.2,0,0.0,0.0,0.0,0,3,0,0,0
Beto,GNB,FW,Everton,Premier League,26-260,1998,0.5,3,8,37.5,91,0,1,2,50.0,0,3,0.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,1
Sam Beukema,NED,DF,Bologna,Serie A,25-335,1998,6.5,425,480,88.5,8740,2694,111,124,89.5,268,284,94.4,41,57,71.9,1,0.6,0.2,+0.4,4,45,2,0,35
Alessandro Bianco,ITA,MF,Monza,Serie A,22-016,2002,2.8,124,147,84.4,2311,573,41,49,83.7,69,74,93.2,10,15,66.7,0,0.1,0.1,-0.1,3,13,1,1,14
Alessandro Bianco,ITA,MF,Fiorentina,Serie A,22-016,2002,0.2,9,12,75.0,191,17,3,5,60.0,5,5,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0
Jaka Bijol,SVN,DF,Udinese,Serie A,25-255,1999,7.0,243,301,80.7,4922,1769,70,82,85.4,147,165,89.1,26,49,53.1,0,0.0,0.0,0.0,2,13,0,0,14
El Bilal Touré,MLI,FW,Stuttgart,Bundesliga,23-014,2001,1.4,35,43,81.4,473,58,20,25,80.0,9,9,100.0,3,3,100.0,0,0.1,0.2,-0.1,3,3,1,0,1
Philip Billing,DEN,MF,Bournemouth,Premier League,28-128,1996,0.3,6,13,46.2,77,24,3,5,60.0,2,5,40.0,0,1,0.0,0,0.0,0.1,0.0,0,1,1,1,0
Cristiano Biraghi,ITA,DF,Fiorentina,Serie A,32-046,1992,4.7,253,303,83.5,4654,1642,103,111,92.8,122,132,92.4,25,50,50.0,0,0.2,0.4,-0.2,5,14,1,1,14
Samuele Birindelli,ITA,DF,Monza,Serie A,25-090,1999,1.9,69,87,79.3,1130,290,36,41,87.8,27,33,81.8,5,9,55.6,0,0.0,0.1,0.0,1,4,2,2,5
Tom Bischof,GER,MF,Hoffenheim,Bundesliga,19-111,2005,2.8,83,116,71.6,1418,549,36,45,80.0,31,36,86.1,9,19,47.4,0,0.2,0.4,-0.2,4,9,2,0,12
Yves Bissouma,MLI,MF,Tottenham,Premier League,28-048,1996,2.1,151,164,92.1,2397,610,85,90,94.4,51,52,98.1,11,16,68.8,0,0.2,0.1,-0.2,2,15,2,0,17
Leonardo Bittencourt,GER,MF,Werder Bremen,Bundesliga,30-303,1993,0.4,19,24,79.2,324,50,9,10,90.0,6,7,85.7,3,5,60.0,0,0.0,0.0,0.0,0,3,0,0,3
Emmanuel Biumla,FRA,DF,Angers,Ligue 1,19-162,2005,4.1,150,168,89.3,2921,952,43,51,84.3,92,94,97.9,13,19,68.4,0,0.0,0.0,0.0,0,3,1,0,3
Marco Bizot,NED,GK,Brest,Ligue 1,33-221,1991,7.0,162,254,63.8,5473,4372,21,21,100.0,65,66,98.5,76,167,45.5,0,0.0,0.0,0.0,0,2,0,0,0
Antonio Blanco,ESP,MF,Alavés,La Liga,24-086,2000,5.8,167,217,77.0,2858,1199,82,96,85.4,64,75,85.3,16,29,55.2,1,0.5,0.3,+0.5,5,23,6,2,30
Ludovic Blas,FRA,"FW,MF",Rennes,Ligue 1,26-291,1997,6.6,172,239,72.0,2890,862,89,101,88.1,62,90,68.9,17,36,47.2,2,1.0,1.0,+1.0,15,20,9,2,28
Daley Blind,NED,DF,Girona,La Liga,34-222,1990,7.6,627,690,90.9,11494,4178,263,274,96.0,292,312,93.6,68,91,74.7,1,0.6,1.0,+0.4,4,84,7,2,78
Myron Boadu,NED,FW,Bochum,Bundesliga,23-277,2001,3.9,36,49,73.5,566,77,15,19,78.9,20,24,83.3,0,0,,1,0.3,0.1,+0.7,4,1,1,0,4
Augustine Boakye,GHA,"MF,FW",Saint-Étienne,Ligue 1,23-349,2000,0.6,12,14,85.7,184,31,4,4,100.0,5,6,83.3,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1
Sacha Boey,FRA,DF,Bayern Munich,Bundesliga,24-034,2000,1.4,76,87,87.4,1014,291,53,57,93.0,18,23,78.3,2,4,50.0,1,0.9,0.6,+0.1,1,6,0,0,0
Jeremie Boga,CIV,"MF,FW",Nice,Ligue 1,27-288,1997,2.7,64,78,82.1,804,249,43,47,91.5,19,23,82.6,1,2,50.0,1,0.4,0.3,+0.6,5,5,1,1,7
Lamare Bogarde,NED,DF,Aston Villa,Premier League,20-286,2004,1.9,86,99,86.9,1265,446,55,60,91.7,28,31,90.3,2,5,40.0,0,0.1,0.1,-0.1,1,10,1,0,6
Emil Bohinen,NOR,MF,Genoa,Serie A,25-219,1999,1.8,69,86,80.2,1180,161,30,38,78.9,33,35,94.3,4,5,80.0,0,0.1,0.0,-0.1,3,1,0,0,5
Adama Boiro,ESP,DF,Athletic Club,La Liga,22-117,2002,2.4,59,83,71.1,899,281,33,36,91.7,25,40,62.5,0,3,0.0,0,0.0,0.1,0.0,0,3,2,1,6
Willy Boly,CIV,DF,Nott'ham Forest,Premier League,33-257,1991,1.0,43,54,79.6,833,371,13,14,92.9,25,27,92.6,4,12,33.3,0,0.0,0.0,0.0,0,2,0,0,2
Moïse Bombito,CAN,DF,Nice,Ligue 1,24-201,2000,4.7,256,278,92.1,4478,1971,109,114,95.6,124,127,97.6,18,30,60.0,0,0.0,0.0,0.0,0,8,0,0,14
Warren Bondo,FRA,MF,Monza,Serie A,21-032,2003,6.1,203,223,91.0,3258,458,99,108,91.7,93,98,94.9,7,12,58.3,0,0.0,0.1,0.0,1,17,0,0,8
Victor Boniface,NGA,FW,Leverkusen,Bundesliga,23-299,2000,4.6,61,79,77.2,861,181,32,43,74.4,20,21,95.2,4,5,80.0,1,0.8,0.6,+0.2,5,3,4,1,9
Ange-Yoan Bonny,FRA,FW,Parma,Serie A,20-358,2003,5.9,86,115,74.8,1217,272,41,50,82.0,37,43,86.0,3,6,50.0,1,1.1,0.6,-0.1,11,5,7,1,15
Sebastiaan Bornauw,BEL,DF,Wolfsburg,Bundesliga,25-209,1999,6.0,134,178,75.3,2432,690,51,58,87.9,72,89,80.9,9,23,39.1,0,0.0,0.1,0.0,0,8,1,0,8
Ayyoub Bouaddi,FRA,MF,Lille,Ligue 1,17-015,2007,1.5,88,91,96.7,1431,328,49,51,96.1,34,34,100.0,5,5,100.0,1,0.5,0.2,+0.5,1,3,0,0,6
Badredine Bouanani,ALG,"FW,MF",Nice,Ligue 1,19-314,2004,2.9,74,102,72.5,1019,249,51,58,87.9,19,30,63.3,3,9,33.3,0,0.3,0.4,-0.3,3,3,3,0,10
Benjamin Bouchouari,MAR,MF,Saint-Étienne,Ligue 1,22-339,2001,0.5,28,30,93.3,416,80,16,17,94.1,9,10,90.0,2,2,100.0,0,0.0,0.0,0.0,1,1,0,0,2
Hicham Boudaoui,ALG,MF,Nice,Ligue 1,25-024,1999,5.0,168,203,82.8,2581,837,85,97,87.6,73,83,88.0,6,10,60.0,1,0.5,0.5,+0.5,4,17,3,0,27
Carlo Boukhalfa,MAR,MF,St. Pauli,Bundesliga,25-167,1999,2.6,44,72,61.1,533,192,31,42,73.8,8,14,57.1,2,6,33.3,0,0.1,0.0,-0.1,2,2,1,0,6
Benjamin Bourigeaud,FRA,MF,Rennes,Ligue 1,30-277,1994,0.9,36,48,75.0,646,141,15,16,93.8,17,21,81.0,4,10,40.0,0,0.0,0.0,0.0,0,3,0,0,4
Edoardo Bove,ITA,"MF,FW",Fiorentina,Serie A,22-154,2002,4.2,104,127,81.9,1756,389,54,61,88.5,34,39,87.2,11,15,73.3,0,0.1,0.1,-0.1,4,8,2,0,11
Jarrod Bowen,ENG,"MF,FW",West Ham,Premier League,27-302,1996,6.7,108,157,68.8,1906,667,54,64,84.4,38,49,77.6,15,31,48.4,2,2.2,2.0,-0.2,19,12,12,0,26
Enzo Boyomo,CMR,DF,Osasuna,La Liga,23-010,2001,6.0,183,222,82.4,3470,1511,68,74,91.9,95,106,89.6,17,35,48.6,0,0.0,0.0,0.0,0,5,0,0,19
Enzo Boyomo,CMR,DF,Valladolid,La Liga,23-010,2001,3.0,174,190,91.6,3007,1118,75,77,97.4,87,93,93.5,11,19,57.9,0,0.0,0.0,0.0,0,2,0,0,7
Domagoj Bradarić,CRO,DF,Hellas Verona,Serie A,24-312,1999,1.0,56,67,83.6,910,299,33,34,97.1,15,21,71.4,7,9,77.8,0,0.5,0.4,-0.5,3,3,1,1,3
Conor Bradley,NIR,DF,Liverpool,Premier League,21-100,2003,0.9,73,85,85.9,1064,311,42,44,95.5,29,33,87.9,0,5,0.0,0,0.0,0.1,0.0,0,4,0,0,5
Bilal Brahimi,ALG,MF,Nice,Ligue 1,24-217,2000,0.8,35,40,87.5,614,163,15,16,93.8,18,19,94.7,2,4,50.0,0,0.0,0.2,0.0,1,1,1,1,4
Julian Brandt,GER,MF,Dortmund,Bundesliga,28-168,1996,5.2,210,263,79.8,3179,930,121,139,87.1,74,90,82.2,11,22,50.0,3,1.2,1.3,+1.8,13,23,13,1,38
Jarrad Branthwaite,ENG,DF,Everton,Premier League,22-112,2002,1.0,27,32,84.4,532,144,6,8,75.0,17,19,89.5,2,2,100.0,0,0.0,0.0,0.0,0,1,0,0,1
