Player,Nation,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Alexander Bah,DEN,DF,Benfica,26-332,1997,6.4,367,452,81.2,6007,1800,195,213,91.5,139,170,81.8,29,50,58.0,1,0.4,0.5,+0.6,6,23,13,3,40
Elves Baldé,GNB,"MF,FW",Farense,25-034,1999,3.0,45,66,68.2,684,178,26,32,81.3,14,20,70.0,3,9,33.3,0,0.1,0.1,-0.1,3,1,1,0,7
Robson Bambu,BRA,DF,Braga,26-359,1997,2.0,141,161,87.6,2536,754,53,54,98.1,80,86,93.0,7,15,46.7,0,0.0,0.0,0.0,0,10,0,0,16
Simon Banza,COD,FW,Braga,28-084,1996,0.2,3,3,100.0,24,12,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,1,0,1
Rafael Barbosa,POR,"MF,FW",Farense,28-221,1996,3.7,102,146,69.9,2122,770,30,34,88.2,52,64,81.3,18,36,50.0,0,0.7,0.8,-0.7,11,16,5,4,28
Leandro Barreiro Martins,LUX,MF,Benfica,24-307,2000,3.7,199,223,89.2,2989,675,108,115,93.9,83,89,93.3,4,7,57.1,0,0.1,0.5,-0.1,2,7,2,0,16
Gil Bastião Dias,POR,FW,Famalicão,28-038,1996,4.5,95,147,64.6,1345,332,40,55,72.7,35,48,72.9,5,14,35.7,0,0.2,0.2,-0.2,3,4,4,0,15
Gabriel Batista,BRA,GK,Santa Clara,26-155,1998,10.0,183,277,66.1,5466,4043,37,38,97.4,72,72,100.0,73,166,44.0,0,0.0,0.0,0.0,0,6,1,0,0
Ricardo Batista,POR,GK,Casa Pia,37-352,1986,1.0,31,35,88.6,703,457,9,9,100.0,18,19,94.7,4,6,66.7,0,0.0,0.0,0.0,0,1,0,0,0
Yanis Begraoui,MAR,FW,Estoril,23-124,2001,6.3,97,128,75.8,1476,274,51,61,83.6,35,43,81.4,6,9,66.7,1,0.1,0.2,+0.9,2,8,4,0,11
Gui Beleza,POR,MF,Gil Vicente FC,17-332,2006,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Bachir Belloumi,ALG,FW,Farense,22-157,2002,3.0,42,73,57.5,593,185,29,33,87.9,12,23,52.2,1,13,7.7,0,0.1,0.1,-0.1,2,6,2,0,14
Fahem Benaissa Yahia,FRA,DF,Casa Pia,22-190,2002,0.0,1,2,50.0,10,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Beni,ANG,MF,Casa Pia,22-168,2002,4.2,168,199,84.4,2988,812,76,87,87.4,69,81,85.2,17,23,73.9,0,0.1,0.2,-0.1,3,15,3,0,23
Álex Bermejo,ESP,"MF,FW",Farense,25-330,1998,4.1,65,99,65.7,1198,373,34,46,73.9,22,27,81.5,9,20,45.0,0,0.4,0.6,-0.4,6,7,7,2,10
Simão Bertelli,BRA,GK,AVS Futebol,31-156,1993,4.0,103,130,79.2,3052,2166,18,18,100.0,44,44,100.0,41,67,61.2,0,0.0,0.0,0.0,0,2,0,0,0
Jan-Niklas Beste,GER,"FW,DF",Benfica,25-306,1999,2.6,112,142,78.9,1953,433,51,58,87.9,49,63,77.8,10,14,71.4,0,0.7,0.5,-0.7,11,6,4,1,13
José Bica,POR,"MF,FW",Vitória,21-142,2003,0.0,1,1,100.0,5,4,1,1,100.0,0,0,,0,0,,0,0.1,0.0,-0.1,1,0,0,0,0
Raúl Blanco,ESP,FW,Casa Pia,23-097,2001,2.8,60,69,87.0,1219,266,24,29,82.8,28,30,93.3,8,9,88.9,0,0.0,0.1,0.0,0,9,0,0,11
Kévin Boma,TOG,DF,Estoril,21-351,2002,6.0,192,223,86.1,3574,1242,67,73,91.8,112,122,91.8,13,27,48.1,0,0.0,0.1,0.0,0,6,0,0,3
Kiko Bondoso,POR,"FW,MF",Rio Ave,28-354,1995,6.2,124,162,76.5,1856,384,72,84,85.7,39,53,73.6,8,9,88.9,0,0.6,0.2,-0.6,8,9,0,0,17
Toni Borevkovic,CRO,DF,Vitória,27-140,1997,9.0,425,481,88.4,8206,2949,144,155,92.9,230,250,92.0,47,67,70.1,0,0.0,0.1,0.0,1,22,0,0,22
Gonçalo Borges,POR,FW,Porto,23-221,2001,1.5,38,51,74.5,594,98,22,23,95.7,11,18,61.1,4,8,50.0,1,1.1,0.7,-0.1,5,1,2,2,2
Róbert Boženík,SVK,FW,Boavista,24-353,1999,9.9,110,152,72.4,1759,254,53,71,74.6,41,50,82.0,9,15,60.0,0,0.0,0.2,0.0,0,8,3,1,15
Daniel Bragança,POR,MF,Sporting CP,25-162,1999,7.1,405,444,91.2,6457,1678,217,227,95.6,155,170,91.2,25,31,80.6,3,1.4,1.1,+1.6,14,48,7,0,52
Bruno Brigido,BRA,GK,Estrela,33-241,1991,10.0,214,303,70.6,5578,3857,34,34,100.0,123,125,98.4,56,143,39.2,0,0.0,0.0,0.0,0,0,0,0,0
Rafael Brito,POR,MF,Casa Pia,22-291,2002,2.8,57,89,64.0,1049,378,20,30,66.7,30,42,71.4,5,11,45.5,0,0.1,0.1,-0.1,3,7,2,1,7
Bruma,POR,"FW,MF",Braga,30-012,1994,4.8,181,229,79.0,2436,653,122,141,86.5,47,58,81.0,8,15,53.3,3,2.3,2.2,+0.7,10,17,10,0,28
Jonathan Buatu Mananga,ANG,DF,Gil Vicente FC,31-039,1993,10.0,570,618,92.2,11638,3293,116,128,90.6,398,411,96.8,53,71,74.6,0,0.1,0.1,-0.1,2,18,2,1,29
Leonel Bucca,ARG,"MF,FW",Estrela,25-230,1999,5.4,134,177,75.7,2032,637,70,79,88.6,56,71,78.9,5,17,29.4,0,0.5,0.3,-0.5,1,21,2,0,17
Adrián Butzke,ESP,FW,Nacional,25-220,1999,4.5,63,94,67.0,931,185,35,47,74.5,18,27,66.7,4,7,57.1,1,0.3,0.4,+0.7,4,5,0,0,12
Arthur Cabral,BRA,FW,Benfica,26-194,1998,1.0,14,16,87.5,172,14,9,10,90.0,4,5,80.0,0,0,,0,1.3,0.4,-1.3,3,0,0,0,0
Jovane Cabral,CPV,"FW,MF",Estrela,26-144,1998,3.5,50,80,62.5,973,262,19,28,67.9,27,32,84.4,4,15,26.7,1,0.6,0.4,+0.4,3,8,4,0,11
Lucas Calegari,BRA,DF,Famalicão,22-252,2002,9.5,428,503,85.1,6868,2002,204,231,88.3,179,202,88.6,32,47,68.1,1,0.5,0.5,+0.5,6,11,4,3,20
Diogo Calila,POR,"MF,DF",Santa Clara,26-026,1998,5.3,138,191,72.3,2278,639,74,81,91.4,44,64,68.8,15,35,42.9,0,0.3,0.3,-0.3,6,14,4,3,16
Ibrahima Camará,GUI,MF,Boavista,25-285,1999,7.4,165,227,72.7,2917,993,86,98,87.8,57,81,70.4,20,43,46.5,0,0.0,0.3,0.0,2,24,2,0,23
André Candeias,POR,"FW,MF",Farense,21-290,2003,0.4,7,11,63.6,111,46,4,5,80.0,3,3,100.0,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,1
Zé Carlos,POR,MF,Vitória,23-006,2001,0.2,8,11,72.7,119,52,4,7,57.1,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,2
Zé Carlos,POR,DF,Gil Vicente FC,26-097,1998,8.6,424,521,81.4,7234,2604,179,199,89.9,205,231,88.7,32,63,50.8,0,0.4,0.4,-0.4,7,19,4,2,35
Álvaro Carreras,ESP,DF,Benfica,21-227,2003,8.1,503,620,81.1,8541,2746,251,284,88.4,214,246,87.0,34,59,57.6,1,0.9,0.7,+0.1,13,53,11,5,60
João Carvalho,POR,"FW,MF",Estoril,27-241,1997,4.3,149,184,81.0,2708,916,67,74,90.5,63,73,86.3,16,26,61.5,0,0.3,0.3,-0.3,6,19,9,0,33
Pedro Carvalho,POR,DF,Estoril,21-265,2003,2.9,128,170,75.3,2087,863,78,83,94.0,37,58,63.8,12,23,52.2,0,0.3,0.2,-0.3,3,4,4,0,15
Vitor Carvalho,BRA,MF,Braga,27-162,1997,9.4,376,455,82.6,7099,1419,142,165,86.1,180,204,88.2,45,64,70.3,0,0.3,0.8,-0.3,5,35,3,0,47
Cassiano,BRA,FW,Casa Pia,35-142,1989,3.9,28,45,62.2,319,66,16,23,69.6,7,8,87.5,1,6,16.7,0,0.1,0.1,-0.1,2,1,0,0,2
Jesús Castillo,PER,MF,Gil Vicente FC,23-147,2001,5.8,223,267,83.5,4333,1209,83,91,91.2,104,121,86.0,32,48,66.7,0,0.7,0.7,-0.7,6,14,4,0,26
André Castro,POR,MF,Moreirense,36-217,1988,0.2,7,8,87.5,96,4,3,3,100.0,3,4,75.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Cristian Castro,COL,DF,AVS Futebol,23-285,2001,9.9,422,493,85.6,8199,3094,144,153,94.1,234,247,94.7,41,88,46.6,0,0.6,0.5,-0.6,2,25,1,1,23
