Player,Nation,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Joselpho Barnes,GHA,"FW,MF",Sint-Truiden,22-310,2001,1.0,17,29,58.6,217,8,10,15,66.7,7,10,70.0,0,3,0.0,0,0.1,0.0,-0.1,2,1,0,0,0
Jelle Bataille,BEL,DF,Antwerp,25-150,1999,9.3,399,518,77.0,6843,2492,177,210,84.3,179,224,79.9,30,64,46.9,0,1.0,1.0,-1.0,10,33,11,2,45
David Bates,SCO,DF,Standard Liège,28-012,1996,8.0,298,352,84.7,6894,2953,72,87,82.8,161,174,92.5,64,89,71.9,0,0.0,0.0,0.0,0,8,0,0,9
Emin Bayram,TUR,DF,Westerlo,21-198,2003,4.0,167,206,81.1,3662,1487,41,52,78.8,90,102,88.2,32,44,72.7,0,0.1,0.1,-0.1,3,18,1,0,29
Zineddine Belaid,ALG,DF,Sint-Truiden,25-211,1999,0.8,38,43,88.4,706,230,13,13,100.0,22,23,95.7,2,4,50.0,0,0.0,0.0,0.0,0,2,0,0,3
Rafik Belghali,ALG,"DF,MF",Mechelen,22-132,2002,3.1,108,134,80.6,1710,389,56,64,87.5,44,57,77.2,6,10,60.0,1,0.1,0.1,+0.9,1,5,0,0,6
Soufiane Benjdida,MAR,FW,Standard Liège,23-042,2001,5.6,71,118,60.2,988,141,41,54,75.9,19,38,50.0,5,12,41.7,1,0.6,0.1,+0.4,3,0,0,0,4
Antoine Bernier,BEL,FW,Charleroi,27-037,1997,7.5,149,209,71.3,2311,737,79,101,78.2,57,76,75.0,8,19,42.1,2,1.1,0.6,+0.9,10,15,9,3,24
Adriano Bertaccini,BEL,"FW,MF",Sint-Truiden,24-065,2000,6.9,86,115,74.8,1293,241,44,58,75.9,31,38,81.6,5,8,62.5,0,0.2,0.1,-0.2,5,2,5,0,11
Mohamed Berte,BEL,FW,Dender,22-206,2002,4.4,77,99,77.8,1148,301,35,45,77.8,37,45,82.2,3,3,100.0,0,1.6,1.0,-1.6,6,7,4,0,15
Mickaël Biron,MTQ,"FW,MF",OH Leuven,27-052,1997,0.8,13,22,59.1,212,17,6,7,85.7,5,12,41.7,1,2,50.0,0,0.0,0.0,0.0,1,0,1,0,1
Sinan Bolat,TUR,GK,Westerlo,36-044,1988,10.0,244,358,68.2,7456,5282,24,24,100.0,125,127,98.4,95,206,46.1,0,0.0,0.0,0.0,0,3,0,0,0
Boli Bolingoli-Mbombo,BEL,DF,Standard Liège,29-108,1995,0.5,11,13,84.6,146,47,8,8,100.0,2,3,66.7,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0
Christopher Bonsu Baah,GHA,"FW,MF",Genk,19-308,2004,5.7,205,270,75.9,3491,923,106,138,76.8,74,94,78.7,17,25,68.0,1,1.3,1.3,-0.3,15,20,11,1,32
Jordan Bos,AUS,DF,Westerlo,21-354,2002,2.7,83,121,68.6,1190,405,53,65,81.5,25,38,65.8,4,14,28.6,1,0.5,0.5,+0.5,2,2,2,1,7
Sofiane Boufal,MAR,"MF,DF",Union SG,31-030,1993,0.4,14,15,93.3,221,69,7,7,100.0,6,6,100.0,1,2,50.0,0,0.0,0.0,0.0,1,3,0,0,2
Amine Boukamir,BEL,MF,Charleroi,17-360,2006,0.1,2,3,66.7,20,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Rosen Bozhinov,BUL,DF,Antwerp,19-268,2005,0.0,2,3,66.7,51,0,0,1,0.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
Bilal Brahimi,ALG,"MF,FW",Sint-Truiden,24-217,2000,3.9,159,214,74.3,3266,967,58,71,81.7,66,81,81.5,29,51,56.9,1,1.4,1.4,-0.4,17,15,9,3,24
Archie Brown,ENG,DF,Gent,22-142,2002,9.0,326,460,70.9,5771,1900,139,175,79.4,148,197,75.1,30,60,50.0,2,1.5,1.1,+0.5,9,21,12,6,47
Bruninho,BRA,"MF,FW",Cercle Brugge,21-217,2003,3.5,87,118,73.7,1396,252,36,42,85.7,36,44,81.8,8,20,40.0,1,0.3,0.5,+0.7,4,8,3,0,9
Paris Brunner,GER,MF,Cercle Brugge,18-245,2006,0.7,4,4,100.0,67,0,1,1,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Massimo Bruno,BEL,MF,Kortrijk,31-030,1993,4.7,112,151,74.2,2054,553,49,63,77.8,41,54,75.9,17,27,63.0,0,0.3,0.4,-0.3,4,13,8,0,24
Marko Bulat,CRO,"MF,FW",Standard Liège,23-021,2001,8.8,120,206,58.3,2364,714,49,63,77.8,51,65,78.5,18,61,29.5,0,0.8,1.1,-0.8,17,10,5,0,19
Christian Burgess,ENG,DF,Union SG,33-010,1991,3.0,139,165,84.2,3326,1154,27,32,84.4,73,80,91.3,37,47,78.7,0,0.0,0.0,0.0,0,8,0,0,12
Welat Cagro,BEL,MF,Beerschot,25-139,1999,5.2,232,267,86.9,3598,1093,129,141,91.5,79,90,87.8,14,19,73.7,0,0.0,0.1,0.0,0,16,1,0,17
Alexandro Calut,BEL,"DF,MF",Standard Liège,21-178,2003,1.3,51,67,76.1,1043,441,22,26,84.6,19,25,76.0,10,13,76.9,0,0.1,0.1,-0.1,1,8,2,1,13
Etienne Camara,FRA,MF,Charleroi,21-201,2003,8.8,409,469,87.2,8247,2087,137,167,82.0,195,213,91.5,70,75,93.3,0,0.2,0.5,-0.2,3,43,0,0,46
Ilay Camara,BEL,DF,Standard Liège,21-273,2003,6.0,165,224,73.7,3182,1051,60,69,87.0,80,102,78.4,22,36,61.1,0,0.7,0.9,-0.7,7,12,9,5,16
Alessio Castro-Montes,BEL,"DF,FW",Union SG,27-153,1997,8.3,305,429,71.1,5418,2204,149,180,82.8,108,139,77.7,39,82,47.6,3,2.9,2.3,+0.1,24,24,19,8,35
Tjaronn Chery,SUR,MF,Antwerp,36-135,1988,8.6,205,295,69.5,3731,1207,87,101,86.1,80,109,73.4,28,61,45.9,2,1.3,2.2,+0.7,15,21,12,3,38
Antoine Colassin,BEL,"FW,DF",Beerschot,23-234,2001,2.3,50,73,68.5,686,180,28,38,73.7,12,15,80.0,3,9,33.3,0,0.2,0.3,-0.2,2,1,3,0,5
Kobe Cools,BEL,DF,Dender,27-084,1997,10.0,358,438,81.7,7750,3245,91,106,85.8,194,225,86.2,70,99,70.7,0,0.2,0.2,-0.2,2,23,3,0,30
Colin Coosemans,BEL,GK,Anderlecht,32-075,1992,10.0,373,459,81.3,9899,7287,83,84,98.8,185,192,96.4,103,176,58.5,0,0.0,0.0,0.0,0,19,1,0,2
Jo Coppens,BEL,GK,Sint-Truiden,33-301,1990,3.0,68,108,63.0,1914,1494,7,7,100.0,40,41,97.6,21,58,36.2,0,0.0,0.0,0.0,0,1,0,0,0
Kobe Corbanie,BEL,"DF,MF",Antwerp,19-160,2005,2.8,80,98,81.6,1365,368,35,41,85.4,36,41,87.8,9,11,81.8,0,0.0,0.0,0.0,2,8,2,0,9
Ayrton Costa,ARG,DF,Antwerp,25-097,1999,8.1,293,389,75.3,5037,2225,126,147,85.7,145,193,75.1,18,34,52.9,0,0.1,0.2,-0.1,3,28,2,0,43
Carlos Cuesta,COL,DF,Genk,25-222,1999,2.5,159,162,98.1,3139,969,50,50,100.0,96,96,100.0,13,14,92.9,0,0.0,0.0,0.0,0,4,0,0,3
Oday Dabbagh,PLE,"FW,MF",Charleroi,25-319,1998,2.0,41,53,77.4,601,43,21,26,80.8,14,16,87.5,4,7,57.1,0,0.2,0.2,-0.2,3,1,1,1,0
