Player,Nation,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Mohamed Abdelmoneim,EGY,DF,Nice,25-281,1999,1.0,53,58,91.4,1036,398,23,23,100.0,21,25,84.0,9,10,90.0,0,0.0,0.0,0.0,1,4,0,0,4
Ali Abdi,TUN,"MF,DF",Nice,30-324,1993,0.5,25,32,78.1,373,103,19,20,95.0,4,7,57.1,2,4,50.0,0,0.0,0.0,0.0,0,2,1,0,1
Taha Abdi Ali,SWE,FW,Malmö,26-130,1998,1.2,47,61,77.0,526,118,31,38,81.6,11,11,100.0,0,0,,0,0.1,0.1,-0.1,2,0,1,1,2
Jalal Abdulai,GHA,FW,Elfsborg,19-308,2005,0.9,7,12,58.3,88,22,3,5,60.0,1,2,50.0,1,2,50.0,0,0.0,0.0,0.0,0,0,1,0,1
Saud Abdulhamid,KSA,DF,Roma,25-113,1999,0.9,52,65,80.0,721,188,32,35,91.4,16,23,69.6,2,4,50.0,0,0.1,0.1,-0.1,1,2,2,1,3
Abner,BRA,MF,Lyon,24-165,2000,1.0,42,56,75.0,694,297,20,22,90.9,16,21,76.2,4,11,36.4,0,0.0,0.0,0.0,0,3,0,0,4
Mohammad Abu Fani,ISR,MF,Ferencváros,26-195,1998,3.7,180,230,78.3,3360,956,83,89,93.3,65,84,77.4,28,43,65.1,0,0.4,0.7,-0.4,5,20,8,1,25
Emmanuel Addai,GHA,"FW,MF",Qarabağ,23-099,2001,1.2,35,44,79.5,538,95,20,22,90.9,10,12,83.3,4,7,57.1,0,0.2,0.2,-0.2,3,2,1,1,3
Jayden Addai,NED,FW,AZ Alkmaar,19-074,2005,1.1,15,27,55.6,207,92,7,9,77.8,5,8,62.5,1,3,33.3,0,0.0,0.1,0.0,0,3,1,0,2
Henry Addo,SVK,FW,Maccabi Tel Aviv,21-191,2003,0.9,21,24,87.5,307,33,13,13,100.0,8,9,88.9,0,1,0.0,0,0.0,0.0,0.0,1,3,0,0,0
Prince Adu Kwabena,GHA,FW,Viktoria Plzeň,21-046,2003,3.5,42,57,73.7,461,86,28,33,84.8,7,11,63.6,1,1,100.0,1,0.6,0.1,+0.4,2,1,1,0,3
Julen Agirrezabala,ESP,GK,Athletic Club,23-318,2000,4.0,79,114,69.3,2268,1678,8,8,100.0,50,50,100.0,21,56,37.5,0,0.0,0.0,0.0,0,0,0,0,0
Nayef Aguerd,MAR,DF,Real Sociedad,28-223,1996,2.5,186,208,89.4,3675,1165,71,78,91.0,88,94,93.6,24,32,75.0,0,0.0,0.0,0.0,1,13,1,0,11
Yunus Akgün,TUR,"DF,FW",Galatasaray,24-124,2000,3.8,132,166,79.5,1963,551,77,93,82.8,46,54,85.2,6,11,54.5,0,1.1,1.2,-1.1,11,8,9,2,19
Kevin Akpoguma,NGA,DF,Hoffenheim,29-203,1995,2.8,130,145,89.7,2317,863,50,54,92.6,67,73,91.8,9,12,75.0,0,0.0,0.0,0.0,1,13,0,0,7
