Player,Nation,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Hugo Siquet,BEL,DF,Freiburg,20,2002,0.8,14,24,58.3,223,112,7,8,87.5,6,13,46.2,1,3,33.3,0,0.0,0.0,0.0,0,1,0,0,2
Moussa Sissoko,FRA,MF,Nantes,32,1989,4.8,158,197,80.2,2322,675,94,106,88.7,48,58,82.8,6,18,33.3,0,0.0,0.2,0.0,1,14,3,0,26
Pione Sisto,DEN,FW,Midtjylland,27,1995,3.0,92,111,82.9,1885,340,45,50,90.0,29,34,85.3,17,20,85.0,0,0.1,0.1,-0.1,1,5,1,0,7
Tim Skarke,GER,MF,Union Berlin,25,1996,0.3,11,15,73.3,144,49,6,8,75.0,3,4,75.0,1,1,100.0,0,0.0,0.1,0.0,0,0,1,0,1
Chris Smalling,ENG,DF,Roma,32,1989,12.8,409,481,85.0,8216,2596,113,135,83.7,251,269,93.3,42,66,63.6,0,1.2,0.9,-1.2,3,12,0,0,17
Emile Smith Rowe,ENG,MF,Arsenal,22,2000,0.2,11,13,84.6,129,20,9,9,100.0,2,4,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Cédric Soares,POR,DF,Arsenal,30,1991,0.0,2,3,66.7,47,26,1,2,50.0,0,0,,1,1,100.0,0,0.2,0.1,-0.2,1,0,1,1,0
Pyry Soiri,FIN,DF,HJK,27,1994,5.2,132,164,80.5,1880,557,78,86,90.7,46,60,76.7,6,8,75.0,0,0.3,0.2,-0.3,3,4,2,1,3
Alex Sola,ESP,DF,Real Sociedad,23,1999,2.0,111,139,79.9,1772,420,52,61,85.2,48,55,87.3,7,18,38.9,0,0.0,0.0,0.0,0,5,0,0,8
Ola Solbakken,NOR,FW,Bodø/Glimt,23,1998,3.9,111,162,68.5,2007,454,53,67,79.1,43,64,67.2,12,19,63.2,1,0.8,0.7,+0.2,7,6,6,3,14
Oumar Solet,FRA,DF,RB Salzburg,22,2000,2.0,101,108,93.5,2102,621,26,26,100.0,58,61,95.1,15,18,83.3,0,0.1,0.0,-0.1,1,6,0,0,10
Matìas Soulé,ARG,"MF,FW",Juventus,19,2003,0.2,7,9,77.8,74,15,5,6,83.3,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
Djed Spence,ENG,DF,Rennes,21,2000,2.3,108,133,81.2,1825,350,47,59,79.7,55,61,90.2,4,6,66.7,0,0.1,0.1,-0.1,2,10,3,0,13
Leonardo Spinazzola,ITA,DF,Roma,29,1993,10.1,351,482,72.8,5974,1903,168,200,84.0,146,194,75.3,27,51,52.9,1,0.7,1.1,+0.3,8,13,17,8,23
