Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Oriol Romeu,ESP,MT,Girona,33-021,1991,6,5,314,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,3,13,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Vitor Roque,BRA,AT,Betis,19-230,2005,6,3,309,3.4,1,0,1,1,0,0,0,0,2.4,2.4,0.7,3.1,5,1,18,0.29,0.00,0.29,0.29,0.29,0.70,0.19,0.89,0.70,0.89
Valentin Rosier,FRA,DF,Leganés,28-057,1996,9,8,754,8.4,0,1,1,0,0,0,4,0,0.1,0.1,0.3,0.4,11,11,26,0.00,0.12,0.12,0.00,0.12,0.02,0.04,0.05,0.02,0.05
Antonio Rüdiger,GER,DF,Real Madrid,31-226,1993,9,8,727,8.1,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,5,33,1,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.09,0.08,0.09
Aitor Ruibal,ESP,"AT,DF",Betis,28-207,1996,9,4,345,3.8,0,0,0,0,0,0,1,0,0.5,0.5,0.6,1.1,6,11,25,0.00,0.00,0.00,0.00,0.00,0.13,0.16,0.29,0.13,0.29
Abel Ruiz,ESP,AT,Girona,24-261,2000,9,9,656,7.3,2,0,2,1,1,1,2,0,2.1,1.3,0.0,1.3,11,11,36,0.27,0.00,0.27,0.14,0.14,0.28,0.01,0.29,0.17,0.18
Youssouf Sabaly,SEN,DF,Betis,31-224,1993,4,4,331,3.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,12,17,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07
Umar Sadiq,NGA,AT,Real Sociedad,27-256,1997,5,2,186,2.1,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,4,4,13,0.00,0.00,0.00,0.00,0.00,0.10,0.08,0.18,0.10,0.18
Jorge Sáenz,ESP,DF,Leganés,27-333,1996,6,6,476,5.3,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,2,8,0,0.19,0.00,0.19,0.19,0.19,0.07,0.00,0.08,0.07,0.08
Kike Salas,ESP,DF,Sevilla,22-175,2002,6,2,198,2.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,11,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
Albert Sambi Lokonga,BEL,MT,Sevilla,24-359,1999,3,2,171,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,7,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Chuky san jose,ESP,"MT,AT",Valladolid,20-169,2004,4,1,89,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05
Oihan Sancet,ESP,MT,Athletic Club,24-173,2000,8,7,536,6.0,4,0,4,3,1,1,1,0,2.6,1.8,0.4,2.1,15,31,33,0.67,0.00,0.67,0.50,0.50,0.43,0.06,0.49,0.29,0.35
Antonio Sánchez,ESP,"DF,AT",Mallorca,27-288,1997,8,4,423,4.7,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,3,10,12,0.00,0.00,0.00,0.00,0.00,0.10,0.05,0.15,0.10,0.15
Iván Sánchez,ESP,"MT,AT",Valladolid,32-022,1992,9,2,369,4.1,1,0,1,1,0,0,1,0,0.3,0.3,0.8,1.1,12,21,22,0.24,0.00,0.24,0.24,0.24,0.07,0.19,0.26,0.07,0.26
Javi Sánchez,ESP,DF,Valladolid,27-215,1997,3,3,241,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07
Juanlu Sánchez,ESP,"MT,DF",Sevilla,21-061,2003,6,3,308,3.4,1,0,1,1,0,0,3,1,0.6,0.6,0.2,0.8,3,9,13,0.29,0.00,0.29,0.29,0.29,0.18,0.05,0.23,0.18,0.23
Manu Sánchez,ESP,DF,Alavés,24-052,2000,8,6,584,6.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,14,19,14,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02
Jesús Santiago,ESP,MT,Getafe,20-143,2004,7,2,167,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,5,3,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Aleksandar Sedlar,SRB,DF,Alavés,32-307,1991,5,5,409,4.5,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Sergi,ESP,DF,Leganés,32-178,1992,9,9,810,9.0,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,3,22,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.05,0.04,0.05
Fábio Silva,POR,"AT,MT",Las Palmas,22-088,2002,5,4,348,3.9,1,0,1,1,0,0,3,0,1.6,1.6,0.1,1.6,10,5,26,0.26,0.00,0.26,0.26,0.26,0.40,0.01,0.42,0.40,0.42
Rui Silva,POR,GB,Betis,30-251,1994,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Giuliano Simeone,ARG,"MT,DF",Atlético Madrid,21-302,2002,4,1,92,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Daley Sinkgraven,NED,DF,Las Palmas,29-103,1995,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,7,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Jailson Siqueira,BRA,"DF,MT",Celta Vigo,29-038,1995,6,5,451,5.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,30,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
Antonio Sivera,ESP,GB,Alavés,28-065,1996,9,9,810,9.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Alex Sola,ESP,"MT,AT",Getafe,25-128,1999,9,8,617,6.9,0,1,1,0,0,0,3,0,0.5,0.5,0.6,1.1,13,13,25,0.00,0.15,0.15,0.00,0.15,0.07,0.09,0.17,0.07,0.17
Jhon Solis,COL,MT,Girona,20-012,2004,6,2,289,3.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,0,18,8,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
David Soria,ESP,GB,Getafe,31-194,1993,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Juan Soriano,ESP,GB,Leganés,27-053,1997,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hugo Sotelo,ESP,MT,Celta Vigo,20-301,2003,5,3,254,2.8,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.2,3,12,10,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09
Djibril Sow,SUI,MT,Sevilla,27-252,1997,6,4,367,4.1,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,5,24,10,0.00,0.00,0.00,0.00,0.00,0.15,0.03,0.18,0.15,0.18
Carl Starfelt,SWE,DF,Celta Vigo,29-136,1995,8,6,556,6.2,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,1,15,1,0.16,0.00,0.16,0.16,0.16,0.05,0.00,0.05,0.05,0.05
Orri Steinn Óskarsson,ISL,AT,Real Sociedad,20-047,2004,5,1,174,1.9,2,0,2,2,0,0,0,0,1.9,1.9,0.0,1.9,0,1,9,1.03,0.00,1.03,1.03,1.03,0.96,0.00,0.96,0.96,0.96
Stoichkov,ESP,"MT,AT",Alavés,30-345,1993,8,6,503,5.6,0,1,1,0,0,0,1,0,0.9,0.9,0.7,1.6,7,19,27,0.00,0.18,0.18,0.00,0.18,0.17,0.12,0.29,0.17,0.29
Cristhian Stuani,URU,AT,Girona,38-003,1986,6,0,97,1.1,3,0,3,2,1,1,1,0,3.3,2.6,0.0,2.6,0,0,3,2.78,0.00,2.78,1.86,1.86,3.10,0.00,3.10,2.45,2.45
Álex Suárez,ESP,DF,Las Palmas,31-211,1993,7,7,543,6.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,17,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
Denis Suárez,ESP,MT,Villarreal,30-283,1994,3,1,83,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,3,3,0.00,0.00,0.00,0.00,0.00,0.08,0.15,0.24,0.08,0.24
Luka Sučić,CRO,MT,Real Sociedad,22-037,2002,6,5,396,4.4,1,0,1,1,0,0,0,0,0.7,0.7,0.5,1.2,4,18,15,0.23,0.00,0.23,0.23,0.23,0.16,0.11,0.27,0.16,0.27
Suso,ESP,"AT,MT",Sevilla,30-331,1993,3,0,73,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,9,3,0.00,0.00,0.00,0.00,0.00,0.23,0.10,0.33,0.23,0.33
Williot Swedberg,SWE,"AT,MT",Celta Vigo,20-257,2004,9,4,377,4.2,1,2,3,1,0,0,1,0,1.9,1.9,0.7,2.6,7,9,33,0.24,0.48,0.72,0.24,0.72,0.45,0.17,0.62,0.45,0.62
Mamadou Sylla,SEN,AT,Valladolid,30-209,1994,6,2,215,2.4,0,0,0,0,0,0,0,0,0.7,0.7,0.2,0.9,1,2,10,0.00,0.00,0.00,0.00,0.00,0.29,0.07,0.36,0.29,0.36
Alexander Sørloth,NOR,AT,Atlético Madrid,28-315,1995,9,6,428,4.8,1,2,3,1,0,0,0,0,2.0,2.0,1.2,3.2,5,7,21,0.21,0.42,0.63,0.21,0.63,0.42,0.26,0.68,0.42,0.68
Renato Tapia,PER,"MT,AT",Leganés,29-079,1995,8,3,283,3.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,4,12,6,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02
César Tárrega,ESP,DF,Valencia,22-232,2002,7,7,630,7.0,0,0,0,0,0,0,2,0,0.7,0.7,0.0,0.7,5,17,0,0.00,0.00,0.00,0.00,0.00,0.10,0.01,0.10,0.10,0.10
Aurélien Tchouaméni,FRA,"MT,DF",Real Madrid,24-262,2000,8,8,692,7.7,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,9,72,3,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.07,0.07,0.07
Álvaro Tejero,ESP,"MT,DF",Espanyol,28-087,1996,8,5,407,4.5,0,2,2,0,0,0,0,0,0.2,0.2,1.3,1.5,7,7,19,0.00,0.44,0.44,0.00,0.44,0.03,0.29,0.33,0.03,0.33
Martín Tejón,ESP,"MT,DF",Valencia,20-186,2004,4,0,49,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,4,6,0.00,0.00,0.00,0.00,0.00,0.16,0.05,0.21,0.16,0.21
Nahuel Tenaglia,ARG,DF,Alavés,28-237,1996,7,7,585,6.5,1,1,2,1,0,0,1,0,0.1,0.1,0.2,0.3,8,21,25,0.15,0.15,0.31,0.15,0.31,0.02,0.03,0.05,0.02,0.05
Marc-André ter Stegen,GER,GB,Barcelona,32-168,1992,6,6,494,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ramón Terrats,ESP,MT,Villarreal,23-363,2000,7,0,68,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,4,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
Pablo Torre,ESP,MT,Barcelona,21-195,2003,4,3,186,2.1,1,1,2,1,0,0,0,0,0.1,0.1,0.4,0.5,3,11,8,0.48,0.48,0.97,0.48,0.97,0.04,0.19,0.23,0.04,0.23
David Torres,ESP,DF,Valladolid,21-224,2003,5,3,337,3.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
