Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Adrian Beck,GER,"AT,MT",Heidenheim,27-128,1997,5,3,232,2.6,1,1,2,1,0,0,0,0,0.6,0.6,0.2,0.8,2,7,6,0.39,0.39,0.78,0.39,0.78,0.23,0.08,0.31,0.23,0.31
Timo Becker,GER,DF,Holstein Kiel,27-204,1997,6,6,540,6.0,0,0,0,0,0,0,0,0,0.8,0.8,0.2,1.0,4,8,11,0.00,0.00,0.00,0.00,0.00,0.14,0.03,0.17,0.14,0.17
Kevin Behrens,GER,AT,Wolfsburg,33-255,1991,3,0,45,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0,0,6,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.91,0.91,0.91
Maximilian Beier,GER,AT,Dortmund,21-364,2002,5,2,228,2.5,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,2,3,14,0.00,0.00,0.00,0.00,0.00,0.20,0.09,0.28,0.20,0.28
Stefan Bell,GER,DF,Mainz 05,33-052,1991,3,1,164,1.8,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,3,4,1,0.00,0.00,0.00,0.00,0.00,0.20,0.01,0.21,0.20,0.21
Jeanuël Belocian,FRA,DF,Leverkusen,19-241,2005,2,1,46,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
László Bénes,SVK,"MT,AT",Union Berlin,27-036,1997,5,1,138,1.5,1,0,1,1,0,0,1,0,0.3,0.3,0.2,0.5,1,4,7,0.65,0.00,0.65,0.65,0.65,0.19,0.11,0.30,0.19,0.30
Ramy Bensebaini,ALG,"DF,AT",Dortmund,29-182,1995,6,1,178,2.0,0,1,1,0,0,0,3,0,0.1,0.1,0.5,0.6,4,6,9,0.00,0.51,0.51,0.00,0.51,0.06,0.26,0.32,0.06,0.32
Mergim Berisha,GER,AT,Hoffenheim,26-157,1998,5,3,220,2.4,1,1,2,1,0,0,0,0,0.8,0.8,0.5,1.3,2,5,7,0.41,0.41,0.82,0.41,0.82,0.32,0.20,0.52,0.32,0.52
Alexander Bernhardsson,SWE,"DF,AT",Holstein Kiel,26-037,1998,2,2,152,1.7,1,0,1,1,0,0,1,0,0.2,0.2,0.2,0.4,2,3,5,0.59,0.00,0.59,0.59,0.59,0.12,0.10,0.22,0.12,0.22
Matúš Bero,SVK,MT,Bochum,29-039,1995,6,6,517,5.7,2,0,2,2,0,0,2,0,0.3,0.3,0.3,0.6,5,18,14,0.35,0.00,0.35,0.35,0.35,0.05,0.05,0.10,0.05,0.10
El Bilal Touré,MLI,AT,Stuttgart,23-012,2001,5,1,127,1.4,1,0,1,1,0,0,0,0,1.4,1.4,0.1,1.5,3,1,10,0.71,0.00,0.71,0.71,0.71,0.96,0.09,1.05,0.96,1.05
Tom Bischof,GER,MT,Hoffenheim,19-109,2005,4,3,250,2.8,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,7,12,8,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11
Leonardo Bittencourt,GER,MT,Werder Bremen,30-301,1993,2,0,37,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,3,1,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.30,0.30
Myron Boadu,NED,AT,Bochum,23-275,2001,6,4,347,3.9,2,1,3,2,0,0,0,0,2.0,2.0,0.3,2.4,3,4,20,0.52,0.26,0.78,0.52,0.78,0.53,0.08,0.61,0.53,0.61
Sacha Boey,FRA,DF,Bayern Munich,24-032,2000,2,2,127,1.4,0,1,1,0,0,0,1,0,0.0,0.0,0.9,1.0,4,0,10,0.00,0.71,0.71,0.00,0.71,0.03,0.66,0.69,0.03,0.69
Victor Boniface,NGA,AT,Leverkusen,23-297,2000,6,5,411,4.6,4,1,5,4,0,0,1,0,3.0,3.0,0.8,3.8,11,9,26,0.88,0.22,1.09,0.88,1.09,0.65,0.18,0.83,0.65,0.83
