Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts/90,PD/90,B+PD/90,B-PénM/90,B+PD-PénM/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Mathis Amougou,FRA,MT,Saint-Étienne,18-271,2006,7,7,537,6.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,4,26,4,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
Benjamin André,FRA,MT,Lille,34-073,1990,6,6,532,5.9,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.5,5,49,9,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09
Dennis Appiah,FRA,DF,Saint-Étienne,32-128,1992,6,4,437,4.9,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.4,10,24,14,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07
Carlens Arcus,HAI,DF,Angers,28-109,1996,7,6,478,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,8,12,14,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05
Hákon Arnar Haraldsson,ISL,MT,Lille,21-188,2003,3,2,168,1.9,0,1,1,0,0,0,0,0,0.5,0.5,0.2,0.6,8,18,12,0.00,0.54,0.54,0.00,0.54,0.25,0.08,0.33,0.25,0.33
Marco Asensio,ESP,"AT,MT",Paris S-G,28-268,1996,5,4,278,3.1,1,2,3,1,0,0,0,0,2.5,2.5,1.3,3.9,10,15,23,0.32,0.65,0.97,0.32,0.97,0.82,0.42,1.25,0.82,1.25
Lorenz Assignon,TOG,"DF,MT",Rennes,24-115,2000,7,5,406,4.5,0,1,1,0,0,0,3,0,0.0,0.0,0.1,0.1,12,19,26,0.00,0.22,0.22,0.00,0.22,0.01,0.02,0.03,0.01,0.03
Dehmaine Assoumani,FRA,"MT,AT",Nantes,19-181,2005,4,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,2,0,10,0.00,0.00,0.00,0.00,0.00,0.11,0.77,0.89,0.11,0.89
Valentin Atangana Edoa,FRA,MT,Reims,19-051,2005,7,7,597,6.6,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,5,27,5,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
Florian Ayé,FRA,AT,Auxerre,27-270,1997,6,1,152,1.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,2,10,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16
Neil El Aynaoui,FRA,MT,Lens,23-105,2001,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Shavy Babicka,GAB,MT,Toulouse,24-136,2000,6,2,268,3.0,3,0,3,3,0,0,1,0,1.4,1.4,0.0,1.5,3,4,28,1.01,0.00,1.01,1.01,1.01,0.48,0.01,0.49,0.48,0.49
Theo Bair,CAN,AT,Auxerre,25-049,1999,6,3,220,2.4,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.9,1,2,9,0.41,0.00,0.41,0.41,0.41,0.26,0.09,0.35,0.26,0.35
