Player,Nation,Pos,Squad,Comp,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Amine Adli,MAR,"MF,FW",Leverkusen,Bundesliga,24-159,2000,6,1,142,1.6,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,8,4,20,0.00,0.00,0.00,0.00,0.00,0.25,0.01,0.26,0.25,0.26
Yacine Adli,FRA,MF,Fiorentina,Serie A,24-079,2000,5,1,143,1.6,1,1,2,1,0,0,0,0,0.0,0.0,0.2,0.2,5,7,2,0.63,0.63,1.26,0.63,1.26,0.02,0.11,0.13,0.02,0.13
Adryelson,BRA,DF,Lyon,Ligue 1,26-207,1998,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Michel Aebischer,SUI,MF,Bologna,Serie A,27-284,1997,7,5,378,4.2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,4,19,9,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10
Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,26-247,1998,6,3,340,3.8,1,0,1,1,0,0,0,0,1.1,1.1,0.4,1.5,9,8,23,0.26,0.00,0.26,0.26,0.26,0.29,0.11,0.40,0.29,0.40
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,27-121,1997,7,7,630,7.0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,4,34,0,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.07,0.06,0.07
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,23-295,2000,6,6,486,5.4,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lucien Agoume,FRA,MF,Sevilla,La Liga,22-250,2002,9,6,536,6.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,8,29,10,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Felix Agu,GER,DF,Werder Bremen,Bundesliga,25-019,1999,6,6,500,5.6,1,0,1,1,0,0,0,0,0.4,0.4,0.4,0.9,12,10,44,0.18,0.00,0.18,0.18,0.18,0.08,0.08,0.16,0.08,0.16
Álvaro Aguado,ESP,MF,Espanyol,La Liga,28-168,1996,7,2,228,2.5,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,7,19,2,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10
Nayef Aguerd,MAR,DF,Real Sociedad,La Liga,28-200,1996,5,5,424,4.7,0,0,0,0,0,0,1,0,0.9,0.9,0.0,0.9,7,20,0,0.00,0.00,0.00,0.00,0.00,0.19,0.01,0.19,0.19,0.19
Ruben Aguilar,FRA,DF,Lens,Ligue 1,31-173,1993,5,3,270,3.0,0,1,1,0,0,0,1,0,0.2,0.2,0.7,0.8,2,14,28,0.00,0.33,0.33,0.00,0.33,0.05,0.23,0.28,0.05,0.28
Honest Ahanor,ITA,DF,Genoa,Serie A,16-236,2008,1,1,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jean-Eudes Aholou,CIV,MF,Angers,Ligue 1,30-210,1994,6,6,463,5.1,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,7,22,6,0.00,0.00,0.00,0.00,0.00,0.13,0.04,0.17,0.13,0.17
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,29-017,1995,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ayman Aiki,FRA,"FW,MF",Saint-Étienne,Ligue 1,19-113,2005,3,1,87,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,4,6,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
Ola Aina,NGA,DF,Nott'ham Forest,Premier League,28-008,1996,7,7,593,6.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,16,26,9,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06
Rayan Aït-Nouri,ALG,"DF,MF",Wolves,Premier League,23-132,2001,7,7,563,6.3,2,2,4,2,0,0,3,0,1.0,1.0,1.0,2.0,13,25,25,0.32,0.32,0.64,0.32,0.64,0.16,0.16,0.31,0.16,0.31
Kristoffer Ajer,NOR,DF,Brentford,Premier League,26-182,1998,7,7,546,6.1,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,12,19,11,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.08,0.05,0.08
