Player,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Gerald Taylor,DF,Costa Rica,22,2001,1.0,6,10,60.0,82,10,5,5,100.0,1,1,100.0,0,3,0.0,0,0.0,0.0,0.0,0,1,0,0,0
Miguel Terceros,"MF,FW",Bolivia,19,2004,2.1,53,58,91.4,911,212,25,25,100.0,23,26,88.5,3,4,75.0,0,0.0,0.0,0.0,0,2,1,0,5
Adalid Terrazas,"MF,FW",Bolivia,23,2000,0.4,35,37,94.6,611,165,19,19,100.0,13,15,86.7,3,3,100.0,0,0.0,0.0,0.0,0,4,0,0,1
Malik Tillman,MF,United States,21,2002,0.0,3,4,75.0,75,13,1,1,100.0,0,0,,2,2,100.0,0,0.0,0.0,0.0,0,1,0,0,1
Félix Torres Caicedo,DF,Ecuador,27,1997,4.0,114,141,80.9,2482,931,26,30,86.7,70,78,89.7,18,31,58.1,0,0.0,0.2,0.0,0,6,3,1,8
Matt Turner,GK,United States,29,1994,2.5,50,88,56.8,1320,960,4,4,100.0,34,34,100.0,12,49,24.5,0,0.0,0.0,0.0,0,0,0,0,0
Manfred Ugalde,FW,Costa Rica,21,2002,1.2,3,6,50.0,63,6,1,3,33.3,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Manuel Ugarte Ribeiro,MF,Uruguay,22,2001,5.5,207,235,88.1,3946,838,82,89,92.1,97,104,93.3,25,33,75.8,0,0.1,0.1,-0.1,3,15,1,0,21
Mateus Uribe,MF,Colombia,32,1991,2.4,91,104,87.5,1298,343,55,60,91.7,29,30,96.7,3,8,37.5,0,0.0,0.1,0.0,1,3,1,0,3
Ramiro Vaca,"FW,MF",Bolivia,24,1999,1.9,60,79,75.9,1020,276,35,40,87.5,20,23,87.0,5,13,38.5,1,0.4,0.5,+0.6,2,5,1,0,3
Diego Valdés,FW,Chile,30,1994,0.5,16,18,88.9,203,16,10,10,100.0,3,4,75.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
