Player,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Jorge Carrascal,"MF,FW",Colombia,25,1998,0.6,0,1,1,100.0,1.76,1.76,0.00,0.00,14.3,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Adalberto Carrasquilla,MF,Panama,25,1998,1.9,0,2,1,50.0,1.03,0.51,0.00,0.00,28.4,0,0,0,0.0,0.0,0.02,0.0,0.0
André Carrillo,MF,Peru,32,1991,0.1,0,1,0,0.0,7.50,0.00,0.00,,31.8,0,0,0,0.0,0.0,0.02,0.0,0.0
Wilder Cartagena,MF,Peru,29,1994,2.5,0,1,0,0.0,0.40,0.00,0.00,,29.6,0,0,0,0.0,0.0,0.01,0.0,0.0
Cameron Carter-Vickers,DF,United States,26,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Julio Cascante,DF,Costa Rica,30,1993,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Cristian Cásseres Jr.,MF,Venezuela,24,2000,1.7,0,2,0,0.0,1.21,0.00,0.00,,22.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Kevin Castaño,MF,Colombia,23,2000,0.9,0,2,1,50.0,2.22,1.11,0.00,0.00,19.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Jesús Castillo,MF,Peru,22,2001,0.5,0,1,0,0.0,2.00,0.00,0.00,,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0
Renaldo Cephas,"MF,DF",Jamaica,24,1999,0.7,0,3,0,0.0,4.58,0.00,0.00,,18.4,0,0,0,0.3,0.3,0.12,-0.3,-0.3
Boris Cespedes,MF,Bolivia,28,1995,1.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Lucas Chávez,"FW,MF",Bolivia,20,2003,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Luis Chávez,MF,Mexico,28,1996,2.9,0,7,3,42.9,2.45,1.05,0.00,0.00,24.1,1,0,0,0.4,0.4,0.06,-0.4,-0.4
Mathieu Choiniere,MF,Canada,24,1999,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Anthony Contreras,FW,Costa Rica,24,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jhon Córdoba,FW,Colombia,30,1993,4.6,2,11,3,27.3,2.39,0.65,0.18,0.67,10.5,0,0,0,1.4,1.4,0.13,+0.6,+0.6
José Cordoba,DF,Panama,22,2001,4.0,0,1,0,0.0,0.25,0.00,0.00,,14.6,0,0,0,0.0,0.0,0.03,0.0,0.0
Derek Cornelius,DF,Canada,26,1997,4.8,0,1,0,0.0,0.21,0.00,0.00,,13.6,0,0,0,0.0,0.0,0.03,0.0,0.0
Janner Corozo,FW,Ecuador,28,1995,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jordi Cortizo,FW,Mexico,27,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Aldo Corzo,DF,Peru,34,1989,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Maxime Crépeau,GK,Canada,29,1994,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Andrés Cubas,MF,Paraguay,27,1996,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Héctor Cuellar,DF,Bolivia,23,2000,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jaume Cuéllar,FW,Bolivia,22,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Carlos Cuesta,DF,Colombia,24,1999,5.3,0,3,1,33.3,0.56,0.19,0.00,0.00,9.2,0,0,0,0.3,0.3,0.09,-0.3,-0.3
Christian Cueva,"MF,FW",Peru,32,1991,0.3,0,1,1,100.0,3.46,3.46,0.00,0.00,15.3,0,0,0,0.2,0.2,0.24,-0.2,-0.2
Danilo,DF,Brazil,32,1991,4.0,0,1,0,0.0,0.25,0.00,0.00,,9.5,0,0,0,0.0,0.0,0.05,0.0,0.0
Jonathan David,"MF,FW",Canada,24,2000,5.0,2,8,3,37.5,1.61,0.61,0.25,0.67,17.6,0,0,0,1.6,1.6,0.20,+0.4,+0.4
Alphonso Davies,DF,Canada,23,2000,5.1,0,6,0,0.0,1.18,0.00,0.00,,21.7,2,0,0,0.4,0.4,0.06,-0.4,-0.4
Víctor Dávila,FW,Chile,26,1997,2.6,0,5,0,0.0,1.96,0.00,0.00,,16.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Erick Davis,DF,Panama,32,1991,3.9,0,1,0,0.0,0.26,0.00,0.00,,30.8,1,0,0,0.0,0.0,0.04,0.0,0.0
Giorgian De Arrascaeta,"MF,FW",Uruguay,29,1994,1.8,0,2,1,50.0,1.10,0.55,0.00,0.00,16.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Luc De Fougerolles,DF,Canada,18,2005,0.7,0,1,0,0.0,1.36,0.00,0.00,,9.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Nicolás De La Cruz,MF,Uruguay,26,1997,3.9,0,5,2,40.0,1.28,0.51,0.00,0.00,25.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Rodrigo De Paul,MF,Argentina,29,1994,5.3,0,4,0,0.0,0.75,0.00,0.00,,27.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Ángel Di María,"MF,FW",Argentina,35,1988,3.9,0,6,4,66.7,1.53,1.02,0.00,0.00,19.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Ismael Díaz,MF,Panama,26,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Luis Díaz,FW,Colombia,27,1997,5.6,2,8,4,50.0,1.42,0.71,0.13,0.25,18.5,0,1,1,1.6,0.8,0.10,+0.4,+0.2
Paulo Díaz,DF,Chile,29,1994,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kaheim Dixon,"MF,FW",Jamaica,19,2004,0.7,0,2,1,50.0,2.81,1.41,0.00,0.00,18.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Alexander Domínguez,GK,Ecuador,36,1987,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jhon Durán,FW,Colombia,20,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Rodrigo Echeverría,MF,Chile,28,1995,2.0,0,4,3,75.0,2.03,1.53,0.00,0.00,14.6,0,0,0,0.3,0.3,0.09,-0.3,-0.3
Éderson,MF,Brazil,24,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jorge Eduardo Sánchez,DF,Mexico,26,1997,3.0,0,3,0,0.0,1.00,0.00,0.00,,17.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Julio Enciso,"FW,MF",Paraguay,20,2004,2.8,1,14,5,35.7,5.02,1.79,0.07,0.20,23.6,2,0,0,0.7,0.7,0.05,+0.3,+0.3
Endrick,FW,Brazil,17,2006,1.4,0,2,1,50.0,1.42,0.71,0.00,0.00,23.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Matías Espinoza,DF,Paraguay,26,1997,1.8,0,1,1,100.0,0.56,0.56,0.00,0.00,24.8,0,0,0,0.0,0.0,0.04,0.0,0.0
Stephen Eustáquio,MF,Canada,27,1996,4.8,0,3,2,66.7,0.63,0.42,0.00,0.00,14.3,0,0,0,0.6,0.6,0.20,-0.6,-0.6
Evanilson,MF,Brazil,24,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
José Fajardo,"FW,MF",Panama,30,1993,3.3,2,8,2,25.0,2.44,0.61,0.25,1.00,16.8,0,0,0,0.9,0.9,0.11,+1.1,+1.1
Edgardo Fariña,DF,Panama,22,2001,4.0,0,3,1,33.3,0.75,0.25,0.00,0.00,25.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Enzo Fernández,MF,Argentina,23,2001,3.9,0,6,1,16.7,1.54,0.26,0.00,0.00,17.3,0,0,0,0.5,0.5,0.09,-0.5,-0.5
Nicolás Fernández,DF,Chile,24,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nahuel Ferraresi,DF,Venezuela,25,1998,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Edison Flores,"FW,MF",Peru,29,1994,2.1,0,2,0,0.0,0.97,0.00,0.00,,25.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Alan Franco,MF,Ecuador,25,1998,3.8,0,3,1,33.3,0.78,0.26,0.00,0.00,21.2,0,0,0,0.0,0.0,0.01,0.0,0.0
Thomas Galdames,DF,Chile,25,1998,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Pedro Gallese,GK,Peru,33,1990,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Orlando Galo,MF,Costa Rica,23,2000,3.0,0,2,0,0.0,0.67,0.00,0.00,,27.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Alejandro Garnacho,FW,Argentina,19,2004,0.7,0,2,0,0.0,2.77,0.00,0.00,,17.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Néstor Giménez,DF,Paraguay,26,1997,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Santiago Giménez,FW,Mexico,22,2001,2.4,0,8,3,37.5,3.32,1.24,0.00,0.00,11.1,0,0,0,1.3,1.3,0.17,-1.3,-1.3
João Gomes,MF,Brazil,22,2001,3.6,0,1,0,0.0,0.28,0.00,0.00,,28.4,0,0,0,0.0,0.0,0.04,0.0,0.0
Freddy Góndola,MF,Panama,28,1995,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Alexander González,DF,Venezuela,31,1992,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Derlis González,MF,Paraguay,29,1994,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nicolás González,"MF,FW",Argentina,25,1998,2.8,0,5,3,60.0,1.76,1.06,0.00,0.00,12.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Demarai Gray,"MF,FW",Jamaica,27,1996,2.2,0,2,0,0.0,0.91,0.00,0.00,,17.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Joao Grimaldo,MF,Peru,20,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Carlos Gruezo,"MF,FW",Ecuador,28,1995,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Eduardo Guerrero,FW,Panama,23,2000,1.3,1,3,1,33.3,2.37,0.79,0.33,1.00,15.6,0,0,0,0.2,0.2,0.07,+0.8,+0.8
Paolo Guerrero,FW,Peru,40,1984,1.1,0,2,2,100.0,1.87,1.87,0.00,0.00,14.8,1,0,0,0.5,0.5,0.24,-0.5,-0.5
Bruno Guimarães,MF,Brazil,26,1997,3.7,0,6,1,16.7,1.63,0.27,0.00,0.00,22.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Luis Haquín,DF,Bolivia,26,1997,3.0,0,1,0,0.0,0.33,0.00,0.00,,14.4,0,0,0,0.0,0.0,0.02,0.0,0.0
Wes Harding,DF,Jamaica,27,1996,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Carlos Harvey,DF,Panama,23,2000,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Michael Hector,DF,Jamaica,31,1992,1.8,0,1,0,0.0,0.57,0.00,0.00,,24.4,0,0,0,0.0,0.0,0.01,0.0,0.0
Yangel Herrera,MF,Venezuela,26,1998,3.6,0,7,0,0.0,1.93,0.00,0.00,,20.5,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Piero Hincapié,DF,Ecuador,22,2002,4.0,1,2,1,50.0,0.50,0.25,0.50,1.00,47.1,0,0,0,0.0,0.0,0.01,+1.0,+1.0
Ethan Horvath,GK,United States,28,1995,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
César Huerta,"FW,MF",Mexico,23,2000,0.9,0,4,1,25.0,4.29,1.07,0.00,0.00,14.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
José Hurtado,DF,Ecuador,22,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Mauricio Isla,DF,Chile,35,1988,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Alistair Johnston,DF,Canada,25,1998,5.7,0,1,1,100.0,0.18,0.18,0.00,0.00,15.8,0,0,0,0.0,0.0,0.03,0.0,0.0
Julio José González,GK,Mexico,32,1991,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Vinicius Júnior,FW,Brazil,23,2000,2.8,2,4,2,50.0,1.44,0.72,0.50,1.00,14.7,0,0,0,0.7,0.7,0.18,+1.3,+1.3
Leonel Justiniano,MF,Bolivia,31,1992,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kaku,"FW,MF",Paraguay,29,1995,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Richard King,DF,Jamaica,22,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ismaël Koné,MF,Canada,21,2002,3.5,1,5,2,40.0,1.41,0.56,0.20,0.50,21.8,0,0,0,0.5,0.5,0.10,+0.5,+0.5
Luca de la Torre,MF,United States,25,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Matías Lacava,MF,Venezuela,21,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Gianluca Lapadula,FW,Peru,33,1990,2.2,0,8,3,37.5,3.71,1.39,0.00,0.00,27.0,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Cyle Larin,FW,Canada,28,1995,4.4,0,7,1,14.3,1.59,0.23,0.00,0.00,12.5,0,0,0,1.1,1.1,0.15,-1.1,-1.1
Richie Laryea,"DF,FW",Canada,29,1995,4.1,0,4,0,0.0,0.98,0.00,0.00,,19.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Ariel Lassiter,DF,Costa Rica,29,1994,1.5,0,1,0,0.0,0.67,0.00,0.00,,27.2,0,0,0,0.0,0.0,0.02,0.0,0.0
Joël Latibeaudière,"DF,MF",Jamaica,24,2000,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Greg Leigh,DF,Jamaica,29,1994,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Dexter Lembikisa,DF,Jamaica,20,2003,2.0,0,3,3,100.0,1.53,1.53,0.00,0.00,27.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Kahiser Lenis,MF,Panama,23,2000,0.5,0,3,1,33.3,5.74,1.91,0.00,0.00,13.9,0,0,0,0.4,0.4,0.13,-0.4,-0.4
Jefferson Lerma,MF,Colombia,29,1994,4.7,2,8,3,37.5,1.71,0.64,0.25,0.67,23.5,0,0,0,0.4,0.4,0.05,+1.6,+1.6
Igor Lichnovsky,DF,Chile,29,1994,3.0,0,2,1,50.0,0.67,0.33,0.00,0.00,10.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Giovani Lo Celso,MF,Argentina,27,1996,1.7,0,3,2,66.7,1.78,1.18,0.00,0.00,10.4,0,0,0,0.6,0.6,0.21,-0.6,-0.6
Marcos López,DF,Peru,24,1999,2.5,0,1,1,100.0,0.41,0.41,0.00,0.00,32.3,0,0,0,0.0,0.0,0.02,0.0,0.0
Damion Lowe,"MF,DF",Jamaica,30,1993,1.8,0,1,0,0.0,0.57,0.00,0.00,,13.1,0,0,0,0.0,0.0,0.03,0.0,0.0
Jhon Lucumí,DF,Colombia,25,1998,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
José Luis Rodríguez,MF,Panama,25,1998,0.9,0,2,1,50.0,2.17,1.08,0.00,0.00,25.7,0,0,0,0.0,0.0,0.02,0.0,0.0
Douglas Luiz,MF,Brazil,25,1998,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Alexis Mac Allister,MF,Argentina,25,1998,4.9,0,6,2,33.3,1.22,0.41,0.00,0.00,12.3,0,0,0,0.8,0.8,0.14,-0.8,-0.8
