Player,Pos,Squad,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Matías Espinoza,DF,Paraguay,26,1997,1.8,96,5,28,46,22,2,96,0,0,,0,,32,102,53,1,0,0,4,1,47,8
Stephen Eustáquio,MF,Canada,27,1996,4.8,327,14,77,206,46,7,327,4,1,25.0,3,75.0,165,458,212,2,3,0,4,3,205,5
Evanilson,MF,Brazil,24,1999,0.0,3,1,1,1,1,0,3,0,0,,0,,2,2,0,0,0,0,1,0,1,1
José Fajardo,"FW,MF",Panama,30,1993,3.3,94,5,9,38,48,14,94,2,1,50.0,1,50.0,43,202,79,5,1,2,10,2,60,17
Edgardo Fariña,DF,Panama,22,2001,4.0,223,15,79,130,15,4,223,3,2,66.7,1,33.3,100,577,400,4,3,0,4,3,145,0
Enzo Fernández,MF,Argentina,23,2001,3.9,249,9,74,142,33,7,249,1,1,100.0,0,0.0,144,364,181,3,1,1,7,4,186,8
Nicolás Fernández,DF,Chile,24,1999,0.0,6,0,0,3,3,0,6,0,0,,0,,2,0,0,0,0,0,0,0,3,2
Nahuel Ferraresi,DF,Venezuela,25,1998,3.0,207,22,108,96,3,2,207,1,1,100.0,0,0.0,111,481,295,2,2,1,2,0,129,1
Edison Flores,"FW,MF",Peru,29,1994,2.1,49,1,6,21,23,3,49,5,1,20.0,3,60.0,26,125,30,2,1,1,3,2,33,10
Alan Franco,MF,Ecuador,25,1998,3.8,146,19,55,80,11,3,146,0,0,,0,,76,228,47,1,1,1,1,1,73,2
Thomas Galdames,DF,Chile,25,1998,0.7,31,2,11,11,9,0,31,1,0,0.0,1,100.0,7,58,22,0,0,0,0,1,8,2
Pedro Gallese,GK,Peru,33,1990,3.0,86,70,86,0,0,0,86,0,0,,0,,39,244,187,0,0,0,0,0,16,0
Orlando Galo,MF,Costa Rica,23,2000,3.0,114,12,39,65,12,1,114,7,2,28.6,4,57.1,51,177,62,0,0,0,4,2,55,2
Alejandro Garnacho,FW,Argentina,19,2004,0.7,31,1,2,19,12,4,31,4,1,25.0,3,75.0,22,144,58,4,0,3,0,1,24,5
Néstor Giménez,DF,Paraguay,26,1997,1.2,95,0,16,52,28,1,95,0,0,,0,,54,283,168,7,6,1,1,1,64,11
Santiago Giménez,FW,Mexico,22,2001,2.4,59,0,2,26,32,17,59,6,1,16.7,5,83.3,33,185,45,2,3,3,8,2,46,15
João Gomes,MF,Brazil,22,2001,3.6,217,1,36,145,37,3,217,7,3,42.9,4,57.1,124,518,184,2,2,2,7,4,146,10
Freddy Góndola,MF,Panama,28,1995,0.5,24,0,1,10,13,3,24,1,0,0.0,1,100.0,14,84,55,1,2,1,0,1,20,4
Alexander González,DF,Venezuela,31,1992,2.0,134,1,25,68,42,5,134,5,3,60.0,1,20.0,63,329,194,6,3,2,4,3,74,24
Derlis González,MF,Paraguay,29,1994,0.1,4,0,2,0,2,0,4,0,0,,0,,2,5,1,0,0,0,0,0,3,1
Nicolás González,"MF,FW",Argentina,25,1998,2.8,128,2,17,56,56,18,128,8,1,12.5,6,75.0,63,269,91,3,2,6,9,4,89,20
Demarai Gray,"MF,FW",Jamaica,27,1996,2.2,68,0,12,27,31,5,68,6,3,50.0,3,50.0,31,205,113,5,1,2,5,5,42,10
Joao Grimaldo,MF,Peru,20,2003,0.2,10,1,4,5,2,1,10,3,2,66.7,1,33.3,5,53,28,1,1,1,1,0,4,2
Carlos Gruezo,"MF,FW",Ecuador,28,1995,1.4,49,3,13,34,2,0,49,1,1,100.0,0,0.0,26,106,42,0,0,0,0,1,30,0
Eduardo Guerrero,FW,Panama,23,2000,1.3,39,0,0,16,23,4,39,2,1,50.0,1,50.0,17,79,18,0,0,0,2,4,23,8
Paolo Guerrero,FW,Peru,40,1984,1.1,40,1,3,18,19,5,40,1,0,0.0,1,100.0,9,25,8,0,0,0,4,1,27,1
Bruno Guimarães,MF,Brazil,26,1997,3.7,276,4,52,175,51,6,276,7,4,57.1,3,42.9,163,829,420,8,6,0,6,4,193,5
Luis Haquín,DF,Bolivia,26,1997,3.0,179,41,112,66,1,1,179,0,0,,0,,90,370,210,0,0,0,1,1,109,0
Wes Harding,DF,Jamaica,27,1996,0.7,26,1,11,15,1,0,26,1,1,100.0,0,0.0,13,36,5,0,0,0,2,1,18,0
Carlos Harvey,DF,Panama,23,2000,1.3,84,5,38,47,0,0,84,1,0,0.0,1,100.0,46,244,115,0,0,0,1,0,63,0
Michael Hector,DF,Jamaica,31,1992,1.8,109,28,68,33,8,2,109,1,1,100.0,0,0.0,48,170,94,1,0,0,0,0,70,0
Yangel Herrera,MF,Venezuela,26,1998,3.6,224,4,26,153,49,10,224,14,7,50.0,4,28.6,128,766,395,11,6,4,8,9,165,10
Piero Hincapié,DF,Ecuador,22,2002,4.0,215,15,76,100,42,3,215,5,1,20.0,4,80.0,97,482,284,6,5,1,2,1,102,11
Ethan Horvath,GK,United States,28,1995,0.5,22,16,21,1,0,0,22,0,0,,0,,8,61,49,0,0,0,0,0,3,0
César Huerta,"FW,MF",Mexico,23,2000,0.9,41,1,3,11,27,10,41,8,4,50.0,4,50.0,24,113,59,1,0,0,3,2,22,9
José Hurtado,DF,Ecuador,22,2001,0.0,3,1,1,2,0,0,3,0,0,,0,,0,0,0,0,0,0,0,0,1,0
Mauricio Isla,DF,Chile,35,1988,3.0,185,13,53,99,34,3,185,4,2,50.0,2,50.0,84,309,148,4,3,1,6,0,102,14
Alistair Johnston,DF,Canada,25,1998,5.7,338,12,98,170,73,2,338,3,3,100.0,0,0.0,149,612,385,9,9,0,2,2,170,14
Julio José González,GK,Mexico,32,1991,3.0,113,76,111,3,0,0,113,0,0,,0,,65,202,129,0,0,0,0,0,64,0
Vinicius Júnior,FW,Brazil,23,2000,2.8,111,0,3,39,69,20,111,23,7,30.4,15,65.2,66,683,308,13,4,12,11,4,84,25
Leonel Justiniano,MF,Bolivia,31,1992,0.8,48,2,17,30,1,0,48,0,0,,0,,34,154,66,0,0,0,0,0,36,1
Kaku,"FW,MF",Paraguay,29,1995,0.4,37,0,5,21,11,0,37,1,0,0.0,1,100.0,22,99,57,1,1,0,0,0,28,2
Richard King,DF,Jamaica,22,2001,0.0,8,0,1,3,4,0,8,0,0,,0,,4,13,1,0,0,0,0,0,5,0
Ismaël Koné,MF,Canada,21,2002,3.5,223,7,45,145,39,2,223,6,4,66.7,2,33.3,149,1151,699,16,14,1,5,6,156,5
Luca de la Torre,MF,United States,25,1998,0.1,10,0,1,5,4,0,10,0,0,,0,,5,14,6,0,0,0,1,0,7,1
Matías Lacava,MF,Venezuela,21,2002,0.1,1,0,0,0,1,1,1,0,0,,0,,1,17,15,1,0,1,0,0,1,1
Gianluca Lapadula,FW,Peru,33,1990,2.2,47,0,2,26,19,6,47,0,0,,0,,30,153,62,1,2,0,3,3,37,12
Cyle Larin,FW,Canada,28,1995,4.4,111,7,12,50,50,12,111,8,4,50.0,4,50.0,60,231,80,3,2,0,11,11,82,22
Richie Laryea,"DF,FW",Canada,29,1995,4.1,146,6,33,72,43,12,146,9,0,0.0,7,77.8,72,428,180,8,1,6,5,7,76,15
Ariel Lassiter,DF,Costa Rica,29,1994,1.5,47,5,20,19,8,1,47,2,0,0.0,1,50.0,20,80,54,0,0,0,1,2,22,2
Joël Latibeaudière,"DF,MF",Jamaica,24,2000,2.9,141,20,72,62,7,0,141,1,0,0.0,1,100.0,66,241,132,0,0,0,1,0,91,1
Greg Leigh,DF,Jamaica,29,1994,2.0,92,4,37,41,15,0,92,1,0,0.0,0,0.0,27,108,21,0,0,0,0,1,34,5
Dexter Lembikisa,DF,Jamaica,20,2003,2.0,90,8,27,39,26,4,90,9,4,44.4,5,55.6,48,180,102,2,1,0,4,1,51,5
Kahiser Lenis,MF,Panama,23,2000,0.5,16,0,0,4,12,3,16,3,2,66.7,1,33.3,13,56,30,1,0,1,1,1,15,4
Jefferson Lerma,MF,Colombia,29,1994,4.7,270,11,57,191,25,6,270,1,1,100.0,0,0.0,105,515,286,5,3,0,2,2,177,2
Igor Lichnovsky,DF,Chile,29,1994,3.0,187,15,92,87,8,4,187,0,0,,0,,115,559,301,1,0,0,2,1,131,1
Giovani Lo Celso,MF,Argentina,27,1996,1.7,110,1,16,63,32,3,110,3,1,33.3,2,66.7,58,301,89,2,2,0,2,3,80,7
Marcos López,DF,Peru,24,1999,2.5,115,7,24,58,35,4,115,9,3,33.3,5,55.6,60,321,192,5,4,1,2,1,57,4
Damion Lowe,"MF,DF",Jamaica,30,1993,1.8,72,9,22,38,13,4,72,2,0,0.0,2,100.0,19,122,65,1,0,0,2,1,32,1
Jhon Lucumí,DF,Colombia,25,1998,0.3,23,1,11,12,0,0,23,0,0,,0,,15,120,79,0,0,0,1,0,19,0
José Luis Rodríguez,MF,Panama,25,1998,0.9,35,1,6,17,13,0,35,6,4,66.7,2,33.3,17,96,20,1,2,0,4,2,24,8
Douglas Luiz,MF,Brazil,25,1998,0.4,39,1,11,26,2,0,39,0,0,,0,,20,131,52,0,0,0,0,1,33,0
Alexis Mac Allister,MF,Argentina,25,1998,4.9,269,9,58,161,52,12,269,11,3,27.3,7,63.6,141,437,222,2,5,1,5,4,185,8
Deiver Machado,DF,Colombia,30,1993,0.5,34,2,7,21,7,1,34,3,0,0.0,1,33.3,14,78,15,1,1,1,1,1,25,4
Darwin Machís,FW,Venezuela,30,1993,1.4,56,2,3,18,36,3,56,2,1,50.0,1,50.0,34,301,130,5,3,0,2,1,33,10
Warren Madrigal,"FW,MF",Costa Rica,19,2004,2.1,49,0,4,33,13,3,49,6,0,0.0,5,83.3,25,86,24,0,1,0,3,4,35,4
Gabriel Magalhães,DF,Brazil,26,1997,0.0,5,0,3,2,0,0,5,0,0,,0,,4,18,10,0,0,0,0,0,5,0
Christian Makoun,DF,Venezuela,23,2000,0.1,13,2,5,4,4,0,13,0,0,,0,,2,15,6,1,0,0,0,0,4,0
Jesús Manuel Sagredo,DF,Bolivia,29,1994,1.0,33,3,14,19,0,0,33,0,0,,0,,18,57,28,0,0,0,2,0,19,0
