Player,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Marcos Bolados,"FW,MF",Chile,27,1996,1.1,2,2,0,1,1,2,3,66.7,1,3,0,3,1,3,0,0
Moïse Bombito,DF,Canada,23,2000,6.0,12,7,8,4,0,6,7,85.7,1,5,1,4,8,20,38,0
Miguel Borja,FW,Colombia,31,1993,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Rafael Borré,FW,Colombia,28,1995,1.4,2,1,0,1,1,0,1,0.0,1,4,0,4,0,2,1,0
Alejandro Bran,MF,Costa Rica,22,2001,0.4,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,2,0
Claudio Bravo,GK,Chile,40,1983,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Jefferson Brenes,MF,Costa Rica,26,1997,1.8,4,2,3,1,0,2,4,50.0,2,3,1,2,4,8,1,0
Ben Brereton,FW,Chile,24,1999,0.5,1,1,0,0,1,1,3,33.3,2,0,0,0,0,1,0,0
Tajon Buchanan,"MF,FW",Canada,24,1999,1.1,1,1,1,0,0,1,2,50.0,1,1,1,0,0,1,3,0
Hernesto Caballero,MF,Paraguay,32,1991,1.2,1,0,0,0,1,0,3,0.0,3,3,0,3,3,4,1,0
Sebastián Cáceres,DF,Uruguay,24,1999,2.9,10,4,5,4,1,4,7,57.1,3,4,0,4,3,13,9,0
Jhonder Cádiz,FW,Venezuela,28,1995,0.9,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,5,0
Jordy Caicedo,"FW,MF",Ecuador,26,1997,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Moisés Caicedo,MF,Ecuador,22,2001,4.0,17,4,5,12,0,9,11,81.8,2,9,4,5,10,27,7,0
Alexander Callens,DF,Peru,31,1992,2.9,6,4,3,3,0,3,4,75.0,1,5,4,1,3,9,5,0
Francisco Calvo,DF,Costa Rica,31,1992,3.0,5,3,4,1,0,2,5,40.0,3,2,1,1,4,9,7,0
Joel Campbell,"MF,FW",Costa Rica,31,1992,1.5,8,3,2,4,2,1,2,50.0,1,1,0,1,0,8,0,1
Agustín Canobbio,MF,Uruguay,25,1998,0.0,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
Valentin Carboni,FW,Argentina,18,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
Johnny Cardoso,MF,United States,22,2001,0.8,4,4,2,1,1,2,4,50.0,2,0,0,0,1,5,0,0
Roberto Carlos Fernández,"FW,MF",Bolivia,24,1999,1.3,3,2,2,0,1,1,2,50.0,1,3,0,3,1,4,5,0
Jorge Carrascal,"MF,FW",Colombia,25,1998,0.6,4,2,1,2,1,2,2,100.0,0,0,0,0,0,4,0,0
Adalberto Carrasquilla,MF,Panama,25,1998,1.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
André Carrillo,MF,Peru,32,1991,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0
Wilder Cartagena,MF,Peru,29,1994,2.5,9,6,5,4,0,2,5,40.0,3,2,1,1,1,10,2,0
Cameron Carter-Vickers,DF,United States,26,1997,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
Julio Cascante,DF,Costa Rica,30,1993,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Cristian Cásseres Jr.,MF,Venezuela,24,2000,1.7,2,2,1,1,0,1,3,33.3,2,0,0,0,3,5,0,0
Kevin Castaño,MF,Colombia,23,2000,0.9,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,2,0
Jesús Castillo,MF,Peru,22,2001,0.5,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0
Renaldo Cephas,"MF,DF",Jamaica,24,1999,0.7,1,1,0,0,1,1,1,100.0,0,0,0,0,1,2,0,0
Boris Cespedes,MF,Bolivia,28,1995,1.7,2,1,1,1,0,1,1,100.0,0,1,0,1,1,3,3,0
Lucas Chávez,"FW,MF",Bolivia,20,2003,0.4,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
Luis Chávez,MF,Mexico,28,1996,2.9,4,2,2,1,1,1,2,50.0,1,1,1,0,4,8,4,0
Mathieu Choiniere,MF,Canada,24,1999,1.2,5,3,0,3,2,3,4,75.0,1,2,2,0,2,7,2,0
Anthony Contreras,FW,Costa Rica,24,2000,0.1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
Jhon Córdoba,FW,Colombia,30,1993,4.6,3,2,0,3,0,1,1,100.0,0,5,0,5,0,3,8,0
José Cordoba,DF,Panama,22,2001,4.0,4,4,1,1,2,3,4,75.0,1,2,2,0,3,7,13,0
Derek Cornelius,DF,Canada,26,1997,4.8,12,6,8,4,0,6,7,85.7,1,7,5,2,5,17,27,0
Janner Corozo,FW,Ecuador,28,1995,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Jordi Cortizo,FW,Mexico,27,1996,0.1,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Aldo Corzo,DF,Peru,34,1989,1.0,4,3,3,1,0,3,5,60.0,2,0,0,0,0,4,1,0
Maxime Crépeau,GK,Canada,29,1994,5.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,0
Andrés Cubas,MF,Paraguay,27,1996,1.9,10,7,5,5,0,3,5,60.0,2,1,1,0,2,12,1,0
Héctor Cuellar,DF,Bolivia,23,2000,2.5,7,5,6,1,0,6,12,50.0,6,3,2,1,5,12,11,0
Jaume Cuéllar,FW,Bolivia,22,2001,0.2,2,1,1,0,1,1,1,100.0,0,0,0,0,0,2,0,0
Carlos Cuesta,DF,Colombia,24,1999,5.3,9,7,7,2,0,3,3,100.0,0,1,1,0,3,12,8,0
Christian Cueva,"MF,FW",Peru,32,1991,0.3,2,1,0,1,1,1,1,100.0,0,0,0,0,0,2,0,0
Danilo,DF,Brazil,32,1991,4.0,8,2,3,5,0,4,6,66.7,2,4,0,4,7,15,12,0
Jonathan David,"MF,FW",Canada,24,2000,5.0,9,3,1,7,1,6,8,75.0,2,4,0,4,0,9,2,0
Alphonso Davies,DF,Canada,23,2000,5.1,17,12,12,5,0,7,9,77.8,2,7,0,7,6,23,10,1
Víctor Dávila,FW,Chile,26,1997,2.6,2,2,1,0,1,1,1,100.0,0,3,0,3,0,2,6,0
Erick Davis,DF,Panama,32,1991,3.9,5,5,3,2,0,2,8,25.0,6,2,0,2,3,8,10,0
Giorgian De Arrascaeta,"MF,FW",Uruguay,29,1994,1.8,3,2,1,2,0,0,3,0.0,3,2,0,2,0,3,0,0
Luc De Fougerolles,DF,Canada,18,2005,0.7,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0
Nicolás De La Cruz,MF,Uruguay,26,1997,3.9,5,3,0,4,1,4,5,80.0,1,1,0,1,2,7,1,0
Rodrigo De Paul,MF,Argentina,29,1994,5.3,11,8,6,5,0,7,13,53.8,6,10,3,7,3,14,3,0
Ángel Di María,"MF,FW",Argentina,35,1988,3.9,5,4,3,1,1,2,5,40.0,3,5,0,5,0,5,0,0
Ismael Díaz,MF,Panama,26,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Luis Díaz,FW,Colombia,27,1997,5.6,8,5,1,6,1,1,4,25.0,3,2,0,2,0,8,0,0
Paulo Díaz,DF,Chile,29,1994,2.0,1,1,0,1,0,1,1,100.0,0,2,1,1,3,4,7,0
Kaheim Dixon,"MF,FW",Jamaica,19,2004,0.7,1,0,0,1,0,0,2,0.0,2,2,1,1,0,1,1,0
Alexander Domínguez,GK,Ecuador,36,1987,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Jhon Durán,FW,Colombia,20,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Rodrigo Echeverría,MF,Chile,28,1995,2.0,8,5,3,4,1,5,8,62.5,3,2,0,2,2,10,2,0
Éderson,MF,Brazil,24,1999,0.2,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,1
Jorge Eduardo Sánchez,DF,Mexico,26,1997,3.0,10,5,4,6,0,5,9,55.6,4,2,0,2,4,14,7,0
Julio Enciso,"FW,MF",Paraguay,20,2004,2.8,5,4,1,2,2,3,6,50.0,3,0,0,0,2,7,1,0
Endrick,FW,Brazil,17,2006,1.4,1,1,0,1,0,0,4,0.0,4,0,0,0,0,1,0,0
Matías Espinoza,DF,Paraguay,26,1997,1.8,5,2,3,2,0,4,9,44.4,5,5,0,5,5,10,6,1
Stephen Eustáquio,MF,Canada,27,1996,4.8,13,5,7,6,0,9,16,56.3,7,5,0,5,8,21,15,1
Evanilson,MF,Brazil,24,1999,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
José Fajardo,"FW,MF",Panama,30,1993,3.3,2,1,0,2,0,1,4,25.0,3,3,2,1,0,2,5,0
Edgardo Fariña,DF,Panama,22,2001,4.0,5,4,2,2,1,3,4,75.0,1,2,2,0,5,10,13,0
Enzo Fernández,MF,Argentina,23,2001,3.9,5,2,3,2,0,3,7,42.9,4,2,1,1,3,8,5,0
Nicolás Fernández,DF,Chile,24,1999,0.0,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0
Nahuel Ferraresi,DF,Venezuela,25,1998,3.0,7,6,4,3,0,5,8,62.5,3,3,1,2,3,10,17,1
Edison Flores,"FW,MF",Peru,29,1994,2.1,3,3,1,1,1,0,0,,0,1,0,1,0,3,1,0
Alan Franco,MF,Ecuador,25,1998,3.8,0,0,0,0,0,0,0,,0,9,2,7,6,6,13,0
Thomas Galdames,DF,Chile,25,1998,0.7,3,2,1,0,2,1,2,50.0,1,0,0,0,1,4,4,0
Pedro Gallese,GK,Peru,33,1990,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Orlando Galo,MF,Costa Rica,23,2000,3.0,7,3,2,4,1,2,5,40.0,3,7,4,3,3,10,10,0
Alejandro Garnacho,FW,Argentina,19,2004,0.7,2,1,1,1,0,1,1,100.0,0,0,0,0,2,4,2,0
Néstor Giménez,DF,Paraguay,26,1997,1.2,1,1,1,0,0,1,1,100.0,0,1,0,1,2,3,0,0
Santiago Giménez,FW,Mexico,22,2001,2.4,3,1,0,2,1,1,1,100.0,0,0,0,0,0,3,0,0
João Gomes,MF,Brazil,22,2001,3.6,14,6,5,8,1,2,8,25.0,6,2,0,2,2,16,0,0
Freddy Góndola,MF,Panama,28,1995,0.5,1,0,0,1,0,1,1,100.0,0,0,0,0,1,2,1,0
Alexander González,DF,Venezuela,31,1992,2.0,4,3,2,1,1,2,2,100.0,0,0,0,0,3,7,2,0
Derlis González,MF,Paraguay,29,1994,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Nicolás González,"MF,FW",Argentina,25,1998,2.8,4,2,0,2,2,2,5,40.0,3,7,0,7,1,5,3,0
Demarai Gray,"MF,FW",Jamaica,27,1996,2.2,0,0,0,0,0,0,1,0.0,1,2,0,2,4,4,2,0
Joao Grimaldo,MF,Peru,20,2003,0.2,1,0,1,0,0,1,2,50.0,1,1,0,1,1,2,0,0
Carlos Gruezo,"MF,FW",Ecuador,28,1995,1.4,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0
Eduardo Guerrero,FW,Panama,23,2000,1.3,1,1,0,1,0,0,0,,0,2,0,2,0,1,0,0
Paolo Guerrero,FW,Peru,40,1984,1.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
Bruno Guimarães,MF,Brazil,26,1997,3.7,12,8,3,7,2,8,9,88.9,1,5,1,4,2,14,1,0
Luis Haquín,DF,Bolivia,26,1997,3.0,4,2,4,0,0,4,10,40.0,6,7,4,3,10,14,16,0
Wes Harding,DF,Jamaica,27,1996,0.7,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0
Carlos Harvey,DF,Panama,23,2000,1.3,6,3,5,1,0,4,4,100.0,0,1,0,1,1,7,3,0
Michael Hector,DF,Jamaica,31,1992,1.8,1,1,0,0,1,0,0,,0,5,4,1,3,4,10,0
Yangel Herrera,MF,Venezuela,26,1998,3.6,5,4,1,4,0,3,9,33.3,6,3,2,1,3,8,3,1
Piero Hincapié,DF,Ecuador,22,2002,4.0,13,6,9,1,3,6,7,85.7,1,2,1,1,3,16,12,0
Ethan Horvath,GK,United States,28,1995,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
César Huerta,"FW,MF",Mexico,23,2000,0.9,3,1,1,1,1,3,5,60.0,2,0,0,0,0,3,1,0
José Hurtado,DF,Ecuador,22,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Mauricio Isla,DF,Chile,35,1988,3.0,10,6,7,3,0,5,8,62.5,3,2,1,1,2,12,6,0
Alistair Johnston,DF,Canada,25,1998,5.7,26,17,15,10,1,15,20,75.0,5,7,2,5,6,32,14,0
Julio José González,GK,Mexico,32,1991,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
Vinicius Júnior,FW,Brazil,23,2000,2.8,6,2,1,4,1,1,1,100.0,0,3,0,3,0,6,0,0
Leonel Justiniano,MF,Bolivia,31,1992,0.8,2,0,0,1,1,2,3,66.7,1,0,0,0,0,2,0,0
Kaku,"FW,MF",Paraguay,29,1995,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Richard King,DF,Jamaica,22,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Ismaël Koné,MF,Canada,21,2002,3.5,10,5,3,7,0,6,8,75.0,2,3,1,2,6,16,3,0
Luca de la Torre,MF,United States,25,1998,0.1,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Matías Lacava,MF,Venezuela,21,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Gianluca Lapadula,FW,Peru,33,1990,2.2,2,1,0,1,1,1,2,50.0,1,0,0,0,0,2,0,0
Cyle Larin,FW,Canada,28,1995,4.4,3,0,0,0,3,0,2,0.0,2,3,2,1,0,3,5,0
Richie Laryea,"DF,FW",Canada,29,1995,4.1,11,8,4,4,3,6,10,60.0,4,6,1,5,3,14,6,0
Ariel Lassiter,DF,Costa Rica,29,1994,1.5,1,0,1,0,0,0,2,0.0,2,1,0,1,2,3,3,0
Joël Latibeaudière,"DF,MF",Jamaica,24,2000,2.9,0,0,0,0,0,0,2,0.0,2,6,5,1,1,1,10,0
Greg Leigh,DF,Jamaica,29,1994,2.0,6,2,3,3,0,3,4,75.0,1,4,2,2,5,11,6,0
Dexter Lembikisa,DF,Jamaica,20,2003,2.0,3,3,2,1,0,3,5,60.0,2,1,1,0,1,4,4,1
Kahiser Lenis,MF,Panama,23,2000,0.5,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
Jefferson Lerma,MF,Colombia,29,1994,4.7,9,6,3,6,0,5,9,55.6,4,4,3,1,6,15,2,0
Igor Lichnovsky,DF,Chile,29,1994,3.0,2,0,2,0,0,1,2,50.0,1,8,4,4,3,5,9,0
Giovani Lo Celso,MF,Argentina,27,1996,1.7,5,5,1,3,1,0,1,0.0,1,2,0,2,0,5,1,0
Marcos López,DF,Peru,24,1999,2.5,4,3,2,2,0,2,2,100.0,0,0,0,0,3,7,6,0
Damion Lowe,"MF,DF",Jamaica,30,1993,1.8,8,4,3,4,1,5,6,83.3,1,2,1,1,2,10,3,0
Jhon Lucumí,DF,Colombia,25,1998,0.3,1,1,1,0,0,0,0,,0,1,1,0,0,1,0,0
José Luis Rodríguez,MF,Panama,25,1998,0.9,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,1,0
Douglas Luiz,MF,Brazil,25,1998,0.4,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,1,0
Alexis Mac Allister,MF,Argentina,25,1998,4.9,13,7,4,6,3,9,15,60.0,6,8,2,6,4,17,3,0
Deiver Machado,DF,Colombia,30,1993,0.5,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0
Darwin Machís,FW,Venezuela,30,1993,1.4,0,0,0,0,0,0,3,0.0,3,2,0,2,4,4,0,1
Warren Madrigal,"FW,MF",Costa Rica,19,2004,2.1,3,2,1,1,1,1,5,20.0,4,0,0,0,1,4,0,0
Gabriel Magalhães,DF,Brazil,26,1997,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Christian Makoun,DF,Venezuela,23,2000,0.1,0,0,0,0,0,0,0,,0,2,1,1,0,0,2,0
Jesús Manuel Sagredo,DF,Bolivia,29,1994,1.0,2,0,2,0,0,2,3,66.7,1,2,2,0,0,2,2,0
José María Giménez,DF,Uruguay,29,1995,3.4,4,1,3,1,0,0,5,0.0,5,5,5,0,9,13,14,0
Guillermo Maripán,DF,Chile,29,1994,1.0,0,0,0,0,0,0,0,,0,2,1,1,0,0,3,0
Marquinhos,DF,Brazil,29,1994,4.0,8,7,7,1,0,6,6,100.0,0,3,2,1,5,13,13,0
Alex Marshall,MF,Jamaica,25,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Gabriel Martinelli,FW,Brazil,22,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Guillermo Martínez Ayala,"FW,MF",Mexico,28,1995,0.9,1,0,0,1,0,1,1,100.0,0,1,1,0,0,1,2,0
Cristian Martínez,MF,Panama,26,1997,3.0,7,2,1,6,0,2,5,40.0,3,4,0,4,4,11,1,0
Emiliano Martínez,GK,Argentina,31,1992,6.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Lautaro Martínez,FW,Argentina,26,1997,2.5,3,2,0,1,2,1,1,100.0,0,2,0,2,2,5,4,0
Lisandro Martínez,DF,Argentina,26,1998,5.2,6,4,2,4,0,1,3,33.3,2,3,2,1,5,11,15,0
Lucas Martínez Quarta,DF,Argentina,27,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Weston McKennie,MF,United States,25,1998,2.9,0,0,0,0,0,0,4,0.0,4,3,1,2,3,3,3,0
Diego Medina,"FW,MF",Bolivia,22,2002,0.7,2,1,1,0,1,1,1,100.0,0,0,0,0,2,4,4,0
Ángel Mena,"FW,MF",Ecuador,36,1988,0.3,2,1,0,0,2,0,0,,0,0,0,0,0,2,0,0
Cesar Menacho,FW,Bolivia,24,1999,0.5,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0
Lionel Messi,FW,Argentina,36,1987,4.7,0,0,0,0,0,0,5,0.0,5,1,0,1,0,0,1,0
Éder Militão,DF,Brazil,26,1998,4.0,7,2,6,1,0,5,6,83.3,1,7,5,2,8,15,15,0
Liam Millar,"FW,MF",Canada,24,1999,2.6,4,2,1,2,1,3,6,50.0,3,8,1,7,0,4,3,0
Kamal Miller,DF,Canada,26,1997,0.5,2,1,1,1,0,1,2,50.0,1,0,0,0,0,2,7,0
Roderick Miller,DF,Panama,31,1992,2.5,4,2,3,1,0,0,1,0.0,1,2,1,1,2,6,7,0
Yerry Mina,DF,Colombia,29,1994,0.9,3,1,3,0,0,1,2,50.0,1,1,1,0,0,3,4,0
Alan Minda,"FW,MF",Ecuador,20,2003,0.9,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0
Bruno Miranda,"FW,DF",Bolivia,25,1998,1.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Jeyland Mitchell,DF,Costa Rica,19,2004,3.0,10,6,5,5,0,4,6,66.7,2,1,1,0,1,11,19,0
Johan Mojica,DF,Colombia,31,1992,5.8,13,10,9,4,0,7,11,63.6,4,2,0,2,2,15,12,0
Nahuel Molina,DF,Argentina,25,1998,3.6,9,8,5,4,0,5,12,41.7,7,6,1,5,5,14,6,1
César Montes,DF,Mexico,26,1997,2.5,2,1,1,1,0,0,1,0.0,1,3,2,1,4,6,14,0
Gonzalo Montiel,DF,Argentina,27,1997,2.7,4,2,1,3,0,1,3,33.3,2,2,1,1,2,6,6,0
Joseph Mora,DF,Costa Rica,31,1993,1.5,1,1,0,1,0,0,0,,0,2,0,2,0,1,1,0
Rodrigo Morínigo,GK,Paraguay,25,1998,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Orlando Mosquera,GK,Panama,29,1994,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2
Daniel Muñoz,DF,Colombia,27,1996,4.3,22,12,8,8,6,7,10,70.0,3,3,0,3,6,28,11,0
Yunus Musah,MF,United States,21,2002,1.3,3,1,2,1,0,1,2,50.0,1,2,0,2,0,3,1,0
Nahitan Nández,DF,Uruguay,28,1995,4.8,15,10,5,8,2,7,18,38.9,11,8,2,6,6,21,12,0
Miguel Navarro,DF,Venezuela,24,1999,3.0,4,4,1,2,1,1,1,100.0,0,1,1,0,6,10,15,0
Shamar Nicholson,"FW,MF",Jamaica,26,1997,2.2,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,2,0
Darwin Núñez,FW,Uruguay,24,1999,5.2,5,3,1,1,3,2,3,66.7,1,4,1,3,0,5,4,0
Marcelino Núñez,MF,Chile,23,2000,1.6,8,5,6,2,0,5,6,83.3,1,0,0,0,1,9,1,1
Lucas Olaza,DF,Uruguay,29,1994,0.4,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0
Cristian Olivera,"FW,DF",Uruguay,21,2002,1.6,4,4,1,2,1,0,0,,0,1,0,1,0,4,2,0
Mathías Olivera,DF,Uruguay,26,1997,4.2,12,9,11,1,0,7,9,77.8,2,4,2,2,7,19,8,1
Tani Oluwaseyi,FW,Canada,23,2000,1.5,1,0,0,1,0,1,1,100.0,0,2,0,2,0,1,2,0
Darío Osorio,FW,Chile,20,2004,1.8,4,3,0,2,2,2,7,28.6,5,2,0,2,1,5,3,0
