Player,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Endrick,FW,Brazil,17,2006,4,127,32,35.3,1.4,1,90,1,3,12,0,1.50,0,0,0,0.00,-1.16,1.1,0.9,+0.2,+0.11,-1.05
Matías Espinoza,DF,Paraguay,26,1997,2,162,81,60.0,1.8,2,81,1,0,,0,0.00,2,6,-4,-2.22,-1.39,1.6,4.4,-2.8,-1.54,-2.12
Stephen Eustáquio,MF,Canada,27,1996,5,431,86,79.8,4.8,5,86,4,0,,1,1.00,2,5,-3,-0.63,-0.63,6.2,7.2,-1.0,-0.21,-0.72
Evanilson,MF,Brazil,24,1999,1,4,4,1.1,0.0,0,,0,1,4,3,1.00,0,0,0,0.00,-0.76,0.0,0.0,0.0,-0.88,-1.69
Fernán Faerrón,DF,Costa Rica,23,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
José Fajardo,"FW,MF",Panama,30,1993,4,295,74,81.9,3.3,3,83,0,1,45,0,1.50,3,6,-3,-0.92,+0.47,2.4,4.4,-1.9,-0.58,+0.25
Edgardo Fariña,DF,Panama,22,2001,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,6,10,-4,-1.00,,3.1,5.6,-2.5,-0.63,
Enzo Fernández,MF,Argentina,23,2001,5,351,70,61.6,3.9,4,82,1,1,25,1,2.60,4,0,+4,+1.03,-0.62,6.5,3.0,+3.5,+0.91,-0.48
Nicolás Fernández,DF,Chile,24,1999,1,4,4,1.5,0.0,0,,0,1,4,2,0.00,0,1,-1,-22.50,-22.50,0.0,0.9,-0.9,-20.64,-19.97
Nahuel Ferraresi,DF,Venezuela,25,1998,3,270,90,75.0,3.0,3,90,3,0,,1,2.33,4,2,+2,+0.67,-2.33,3.7,5.3,-1.6,-0.54,-1.98
Edison Flores,"FW,MF",Peru,29,1994,3,186,62,68.9,2.1,3,62,0,0,,0,0.33,0,1,-1,-0.48,+1.66,0.8,2.0,-1.2,-0.60,+1.72
Marcelo Flores,MF,Mexico,20,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
Alan Franco,MF,Ecuador,25,1998,4,344,86,95.6,3.8,4,86,2,0,,0,1.25,4,4,0,0.00,-5.63,4.8,4.2,+0.7,+0.18,-2.63
Thomas Galdames,DF,Chile,25,1998,1,61,61,22.6,0.7,0,,0,1,61,2,1.00,0,0,0,0.00,+0.43,0.4,0.9,-0.5,-0.71,+0.33
Hernán Galíndez,GK,Ecuador,36,1987,0,,,,,0,,0,0,,4,,,,,,,,,,,
Pedro Gallese,GK,Peru,33,1990,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,0,3,-3,-1.00,,1.7,5.1,-3.4,-1.13,
Orlando Galo,MF,Costa Rica,23,2000,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,2,4,-2,-0.67,,0.6,5.7,-5.1,-1.72,
Brian García,DF,Mexico,26,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,
Alejandro Garnacho,FW,Argentina,19,2004,1,65,65,11.4,0.7,1,65,0,0,,5,3.00,1,0,+1,+1.38,+0.14,0.9,0.0,+0.9,+1.24,+0.17
Néstor Giménez,DF,Paraguay,26,1997,2,108,54,40.0,1.2,1,90,1,1,18,1,0.00,1,2,-1,-0.83,+1.39,1.2,0.5,+0.7,+0.58,+2.12
Santiago Giménez,FW,Mexico,22,2001,3,217,72,80.4,2.4,3,72,1,0,,0,1.33,0,1,-1,-0.41,-2.11,3.1,1.9,+1.2,+0.49,-2.02
João Gomes,MF,Brazil,22,2001,4,324,81,90.0,3.6,4,81,1,0,,0,1.50,5,2,+3,+0.83,+0.83,6.1,2.7,+3.4,+0.95,+1.62
Gustavo Gómez,DF,Paraguay,30,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,
