Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Ángel Di María,"MF,FW",Argentina,35,1988,3.9,0,0,0,0,6,2,17,0,4,0,0,0,18,0,1,0.0
Ismael Díaz,MF,Panama,26,1997,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Luis Díaz,FW,Colombia,27,1997,5.6,0,0,0,14,11,3,4,0,5,0,0,0,18,5,8,38.5
Paulo Díaz,DF,Chile,29,1994,2.0,0,0,0,4,3,0,0,3,1,0,0,0,7,3,1,75.0
Kaheim Dixon,"MF,FW",Jamaica,19,2004,0.7,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0.0
Alexander Domínguez,GK,Ecuador,36,1987,4.0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,100.0
Jhon Durán,FW,Colombia,20,2003,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Rodrigo Echeverría,MF,Chile,28,1995,2.0,0,0,0,1,1,0,0,2,5,0,0,0,13,2,2,50.0
Éderson,MF,Brazil,24,1999,0.2,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,100.0
Jorge Eduardo Sánchez,DF,Mexico,26,1997,3.0,1,0,0,5,0,0,7,4,5,0,0,0,18,2,1,66.7
Julio Enciso,"FW,MF",Paraguay,20,2004,2.8,0,0,0,3,8,0,12,2,4,0,0,0,8,2,1,66.7
Endrick,FW,Brazil,17,2006,1.4,0,0,0,3,4,0,0,0,1,0,0,0,2,0,1,0.0
Matías Espinoza,DF,Paraguay,26,1997,1.8,0,0,0,5,0,0,4,5,2,0,0,0,4,6,2,75.0
Stephen Eustáquio,MF,Canada,27,1996,4.8,1,0,0,12,2,0,13,8,5,0,0,0,26,3,4,42.9
Evanilson,MF,Brazil,24,1999,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
José Fajardo,"FW,MF",Panama,30,1993,3.3,0,0,0,5,5,2,2,0,1,0,0,0,4,2,7,22.2
Edgardo Fariña,DF,Panama,22,2001,4.0,2,0,0,8,3,0,0,5,4,0,0,0,18,6,2,75.0
Enzo Fernández,MF,Argentina,23,2001,3.9,0,0,0,3,5,0,0,3,2,0,0,0,22,3,1,75.0
Nicolás Fernández,DF,Chile,24,1999,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
Nahuel Ferraresi,DF,Venezuela,25,1998,3.0,1,0,0,1,4,0,0,3,6,0,0,0,9,10,4,71.4
Edison Flores,"FW,MF",Peru,29,1994,2.1,1,0,0,7,5,1,2,0,3,0,0,0,6,5,5,50.0
Alan Franco,MF,Ecuador,25,1998,3.8,0,0,0,3,1,0,2,6,0,0,0,0,9,3,8,27.3
Thomas Galdames,DF,Chile,25,1998,0.7,0,0,0,0,0,0,2,1,2,0,0,0,1,1,2,33.3
Pedro Gallese,GK,Peru,33,1990,3.0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100.0
Orlando Galo,MF,Costa Rica,23,2000,3.0,1,0,0,3,5,0,1,3,3,0,0,0,14,1,5,16.7
Alejandro Garnacho,FW,Argentina,19,2004,0.7,0,0,0,0,2,0,0,2,1,0,0,0,5,0,1,0.0
Néstor Giménez,DF,Paraguay,26,1997,1.2,0,0,0,3,0,1,5,2,1,0,0,0,5,0,1,0.0
Santiago Giménez,FW,Mexico,22,2001,2.4,1,0,0,8,0,1,0,0,1,0,0,0,6,9,3,75.0
João Gomes,MF,Brazil,22,2001,3.6,2,0,0,10,6,0,1,2,6,0,0,0,22,2,1,66.7
Freddy Góndola,MF,Panama,28,1995,0.5,1,0,0,2,0,0,0,1,0,0,0,0,1,3,0,100.0
Alexander González,DF,Venezuela,31,1992,2.0,0,0,0,1,0,0,11,3,3,0,0,0,6,1,0,100.0
Derlis González,MF,Paraguay,29,1994,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Nicolás González,"MF,FW",Argentina,25,1998,2.8,1,0,0,5,2,1,1,1,2,0,0,0,14,11,6,64.7
Demarai Gray,"MF,FW",Jamaica,27,1996,2.2,0,0,0,0,1,0,8,4,0,0,0,0,10,0,2,0.0
Joao Grimaldo,MF,Peru,20,2003,0.2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,
Carlos Gruezo,"MF,FW",Ecuador,28,1995,1.4,0,0,0,5,2,0,0,2,0,0,0,0,2,0,2,0.0
Eduardo Guerrero,FW,Panama,23,2000,1.3,1,0,0,3,1,0,0,0,1,0,0,0,3,0,6,0.0
Paolo Guerrero,FW,Peru,40,1984,1.1,1,0,0,4,2,1,0,0,0,0,0,0,2,13,8,61.9
Bruno Guimarães,MF,Brazil,26,1997,3.7,1,0,0,13,10,0,0,2,8,0,0,0,20,3,0,100.0
Luis Haquín,DF,Bolivia,26,1997,3.0,1,0,0,2,2,0,0,10,2,0,0,0,11,12,1,92.3
Wes Harding,DF,Jamaica,27,1996,0.7,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,100.0
Carlos Harvey,DF,Panama,23,2000,1.3,0,0,0,1,1,0,0,1,3,0,0,0,10,1,2,33.3
Michael Hector,DF,Jamaica,31,1992,1.8,2,0,0,3,0,0,1,3,1,0,0,0,9,1,0,100.0
Yangel Herrera,MF,Venezuela,26,1998,3.6,0,0,0,4,8,2,3,3,4,0,0,0,20,10,10,50.0
Piero Hincapié,DF,Ecuador,22,2002,4.0,0,0,0,8,8,1,6,3,6,0,0,0,16,10,5,66.7
Ethan Horvath,GK,United States,28,1995,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
César Huerta,"FW,MF",Mexico,23,2000,0.9,0,0,0,1,2,0,4,0,1,0,0,0,5,1,5,16.7
José Hurtado,DF,Ecuador,22,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mauricio Isla,DF,Chile,35,1988,3.0,1,0,0,2,3,1,6,2,6,0,0,0,14,3,0,100.0
Alistair Johnston,DF,Canada,25,1998,5.7,1,0,0,8,5,0,5,6,17,0,0,0,23,8,6,57.1
Julio José González,GK,Mexico,32,1991,3.0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,100.0
Vinicius Júnior,FW,Brazil,23,2000,2.8,2,0,0,3,6,1,8,0,2,0,0,0,2,0,0,
Leonel Justiniano,MF,Bolivia,31,1992,0.8,1,0,0,2,0,0,0,0,0,0,0,0,6,0,0,
Kaku,"FW,MF",Paraguay,29,1995,0.4,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,
Richard King,DF,Jamaica,22,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Ismaël Koné,MF,Canada,21,2002,3.5,3,0,0,4,8,1,2,6,5,0,0,0,26,1,2,33.3
Luca de la Torre,MF,United States,25,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Matías Lacava,MF,Venezuela,21,2002,0.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
Gianluca Lapadula,FW,Peru,33,1990,2.2,0,0,0,6,7,2,0,0,1,0,0,0,3,4,10,28.6
Cyle Larin,FW,Canada,28,1995,4.4,0,0,0,9,3,1,1,0,0,0,0,0,13,6,19,24.0
Richie Laryea,"DF,FW",Canada,29,1995,4.1,1,0,0,4,12,0,5,3,8,0,0,0,14,2,3,40.0
Ariel Lassiter,DF,Costa Rica,29,1994,1.5,0,0,0,0,1,0,4,2,0,0,0,0,7,0,0,
Joël Latibeaudière,"DF,MF",Jamaica,24,2000,2.9,1,0,0,3,6,0,0,1,0,0,0,0,10,4,4,50.0
Greg Leigh,DF,Jamaica,29,1994,2.0,0,0,0,2,1,0,7,5,2,0,1,0,7,4,1,80.0
Dexter Lembikisa,DF,Jamaica,20,2003,2.0,0,0,0,1,3,0,9,1,3,0,0,0,10,1,0,100.0
Kahiser Lenis,MF,Panama,23,2000,0.5,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,
Jefferson Lerma,MF,Colombia,29,1994,4.7,2,0,0,5,4,0,0,6,6,0,0,0,26,5,8,38.5
Igor Lichnovsky,DF,Chile,29,1994,3.0,0,0,0,3,1,0,0,3,0,0,0,0,5,13,3,81.3
Giovani Lo Celso,MF,Argentina,27,1996,1.7,2,0,0,2,4,0,3,0,5,0,0,0,6,1,0,100.0
Marcos López,DF,Peru,24,1999,2.5,0,0,0,4,8,0,12,3,3,0,0,0,16,1,2,33.3
Damion Lowe,"MF,DF",Jamaica,30,1993,1.8,1,0,0,5,0,0,0,2,4,0,0,0,11,4,5,44.4
Jhon Lucumí,DF,Colombia,25,1998,0.3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,
José Luis Rodríguez,MF,Panama,25,1998,0.9,0,0,0,0,1,0,1,0,1,0,0,0,2,1,6,14.3
Douglas Luiz,MF,Brazil,25,1998,0.4,0,0,0,2,1,0,0,0,0,0,0,0,1,1,1,50.0
Alexis Mac Allister,MF,Argentina,25,1998,4.9,1,0,0,7,8,0,0,4,7,0,0,0,35,5,2,71.4
Deiver Machado,DF,Colombia,30,1993,0.5,1,0,0,1,3,0,1,0,1,0,0,0,1,0,0,
Darwin Machís,FW,Venezuela,30,1993,1.4,2,0,0,3,0,0,12,4,0,0,0,0,8,0,0,
Warren Madrigal,"FW,MF",Costa Rica,19,2004,2.1,0,0,0,2,7,2,0,1,2,0,0,0,5,7,12,36.8
Gabriel Magalhães,DF,Brazil,26,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Christian Makoun,DF,Venezuela,23,2000,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Jesús Manuel Sagredo,DF,Bolivia,29,1994,1.0,1,0,0,3,0,0,0,0,0,0,0,0,3,0,1,0.0
José María Giménez,DF,Uruguay,29,1995,3.4,1,0,0,5,1,0,0,9,1,0,0,0,10,11,9,55.0
Guillermo Maripán,DF,Chile,29,1994,1.0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,50.0
Marquinhos,DF,Brazil,29,1994,4.0,0,0,0,1,3,1,0,5,7,0,0,0,12,5,10,33.3
Alex Marshall,MF,Jamaica,25,1998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Gabriel Martinelli,FW,Brazil,22,2001,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
Guillermo Martínez Ayala,"FW,MF",Mexico,28,1995,0.9,0,0,0,1,2,0,0,0,0,0,0,0,5,3,3,50.0
Cristian Martínez,MF,Panama,26,1997,3.0,0,0,0,2,8,0,8,4,2,0,0,0,11,3,6,33.3
Emiliano Martínez,GK,Argentina,31,1992,6.3,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,
Lautaro Martínez,FW,Argentina,26,1997,2.5,0,0,0,8,5,4,0,2,2,0,0,0,8,2,4,33.3
Lisandro Martínez,DF,Argentina,26,1998,5.2,0,0,0,4,2,0,0,5,4,0,0,0,11,4,4,50.0
Lucas Martínez Quarta,DF,Argentina,27,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Weston McKennie,MF,United States,25,1998,2.9,1,0,0,2,3,0,3,3,0,0,0,0,10,2,10,16.7
Diego Medina,"FW,MF",Bolivia,22,2002,0.7,0,0,0,2,1,0,0,2,1,0,0,0,1,1,1,50.0
Ángel Mena,"FW,MF",Ecuador,36,1988,0.3,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,
Cesar Menacho,FW,Bolivia,24,1999,0.5,0,0,0,1,1,1,1,1,0,0,0,0,0,0,2,0.0
Lionel Messi,FW,Argentina,36,1987,4.7,0,0,0,1,8,2,17,0,0,0,0,0,6,1,1,50.0
Éder Militão,DF,Brazil,26,1998,4.0,1,0,0,5,5,0,1,8,2,0,0,0,15,10,7,58.8
Liam Millar,"FW,MF",Canada,24,1999,2.6,1,0,0,4,2,0,6,0,2,0,0,0,4,2,2,50.0
Kamal Miller,DF,Canada,26,1997,0.5,0,0,0,0,0,0,0,0,1,0,0,0,2,4,4,50.0
Roderick Miller,DF,Panama,31,1992,2.5,0,0,0,4,2,0,0,2,2,0,0,0,7,10,5,66.7
Yerry Mina,DF,Colombia,29,1994,0.9,0,0,0,0,4,0,0,0,1,0,0,0,1,3,3,50.0
Alan Minda,"FW,MF",Ecuador,20,2003,0.9,0,0,0,1,1,0,3,0,0,0,0,0,5,1,1,50.0
Bruno Miranda,"FW,DF",Bolivia,25,1998,1.0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0.0
Jeyland Mitchell,DF,Costa Rica,19,2004,3.0,0,0,0,3,2,0,0,1,6,0,0,0,9,1,4,20.0
Johan Mojica,DF,Colombia,31,1992,5.8,0,0,0,2,8,0,16,2,10,0,0,0,30,5,4,55.6
Nahuel Molina,DF,Argentina,25,1998,3.6,1,0,0,1,1,0,4,5,8,0,0,0,14,3,2,60.0
César Montes,DF,Mexico,26,1997,2.5,1,0,0,3,2,0,0,4,1,0,0,0,8,17,4,81.0
Gonzalo Montiel,DF,Argentina,27,1997,2.7,0,0,0,1,2,0,6,2,2,0,0,0,6,4,1,80.0
Joseph Mora,DF,Costa Rica,31,1993,1.5,0,0,0,0,1,0,3,0,1,0,0,0,4,0,2,0.0
Rodrigo Morínigo,GK,Paraguay,25,1998,3.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,
Orlando Mosquera,GK,Panama,29,1994,4.0,0,0,0,1,0,0,0,0,0,0,1,0,4,1,0,100.0
Daniel Muñoz,DF,Colombia,27,1996,4.3,2,1,1,13,8,0,3,6,12,0,0,0,17,4,4,50.0
Yunus Musah,MF,United States,21,2002,1.3,0,0,0,3,1,0,1,0,1,0,0,0,7,1,1,50.0
Nahitan Nández,DF,Uruguay,28,1995,4.8,0,1,0,13,6,0,19,6,10,0,0,0,17,2,1,66.7
Miguel Navarro,DF,Venezuela,24,1999,3.0,1,0,0,4,2,0,3,6,4,0,1,0,9,2,4,33.3
Shamar Nicholson,"FW,MF",Jamaica,26,1997,2.2,0,0,0,2,1,1,0,0,0,0,0,0,4,9,10,47.4
Darwin Núñez,FW,Uruguay,24,1999,5.2,1,0,0,6,6,5,1,0,3,0,0,0,17,7,13,35.0
Marcelino Núñez,MF,Chile,23,2000,1.6,0,0,0,3,2,0,1,1,5,0,0,0,8,5,3,62.5
Lucas Olaza,DF,Uruguay,29,1994,0.4,0,0,0,1,1,0,3,0,1,0,0,0,2,0,0,
