Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Guilherme Arana,BRA,DF,Atlético Mineiro,25,1997,26.5,2,28,7,25.0,1.06,0.26,0.07,0.29,23.9,0,0,0,1.0,1.0,0.04,+1.0,+1.0
Charles Aránguiz,CHI,MF,Internacional,33,1989,14.1,0,15,1,6.7,1.07,0.07,0.00,0.00,21.3,1,0,0,1.0,1.0,0.07,-1.0,-1.0
João Araújo,BRA,MF,Grêmio,17,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Luiz Araújo,BRA,FW,Flamengo,26,1996,8.7,3,24,8,33.3,2.75,0.92,0.13,0.38,16.8,0,0,0,1.6,1.6,0.07,+1.4,+1.4
Matheus Araújo,BRA,"MF,FW",Corinthians,20,2002,6.5,1,6,2,33.3,0.92,0.31,0.17,0.50,15.1,0,0,0,1.2,1.2,0.20,-0.2,-0.2
Michel Araujo,URU,"FW,MF",São Paulo,26,1996,19.6,2,36,11,30.6,1.83,0.56,0.06,0.18,18.8,1,0,0,4.8,4.8,0.13,-2.8,-2.8
Robert Arboleda,ECU,DF,São Paulo,31,1991,19.1,0,15,4,26.7,0.78,0.21,0.00,0.00,15.0,0,0,0,0.9,0.9,0.06,-0.9,-0.9
Jhon Arias,COL,"FW,MF",Fluminense,25,1997,26.5,7,50,23,46.0,1.89,0.87,0.10,0.22,19.6,6,2,2,5.8,4.2,0.08,+1.2,+0.8
Luciano Arriagada,CHI,"FW,MF",Ath Paranaense,20,2002,2.1,0,4,1,25.0,1.89,0.47,0.00,0.00,15.9,0,0,0,0.9,0.9,0.22,-0.9,-0.9
Arthur,BRA,"FW,MF",Cruzeiro,24,1998,15.0,3,33,12,36.4,2.20,0.80,0.09,0.25,19.5,0,0,0,3.6,3.6,0.11,-0.6,-0.6
