Player,Nation,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Abner,BRA,DF,Juventude,20-181,2004,1.2,28,26,2,1,0,2,0,1,0,0,0,0,19,0,0
Luiz Adriano,BRA,FW,Vitória,37-188,1987,2.2,45,40,5,0,0,0,0,0,0,0,0,0,32,0,0
Adryelson,BRA,DF,Botafogo (RJ),26-208,1998,0.8,70,69,0,0,0,2,0,0,0,0,0,0,64,1,2
Adson,BRA,FW,Vasco da Gama,24-011,2000,13.6,622,604,15,2,3,1,22,8,5,3,0,0,528,3,19
Lucas Alario,ARG,"FW,MF",Internacional,32-009,1992,7.1,113,108,4,0,0,0,2,0,0,0,0,0,82,1,2
Carlos Alberto,BRA,FW,Botafogo (RJ),22-186,2002,2.3,20,18,1,0,0,0,2,1,0,0,0,0,14,1,2
Yuri Alberto,BRA,FW,Corinthians,23-213,2001,18.4,319,274,42,0,0,2,5,1,0,0,0,0,233,3,11
Carlos Alcaraz,ARG,MF,Flamengo,21-322,2002,2.4,133,124,8,2,1,2,5,1,4,2,2,0,110,1,0
Alerrandro,BRA,FW,Vitória,24-279,2000,18.9,357,303,53,1,1,1,5,4,0,0,0,0,254,1,12
Caio Alexandre,BRA,MF,Bahia,25-236,1999,25.0,1934,1839,90,79,3,18,19,10,0,0,0,0,1761,5,12
Matheus Alexandre,BRA,DF,Cuiabá,25-193,1999,19.3,918,736,180,8,0,3,37,172,0,0,0,0,709,2,30
Alexsander,BRA,MF,Fluminense,21-009,2003,8.8,457,437,19,10,0,5,7,8,1,1,0,0,392,1,12
Alisson,BRA,GK,Criciúma,29-131,1995,3.3,105,56,48,8,0,0,0,0,0,0,0,0,64,1,0
Alisson,BRA,"DF,FW",Atlético Mineiro,19-026,2005,6.2,240,221,19,2,0,13,27,9,8,6,0,0,175,0,5
Alisson,BRA,MF,São Paulo,31-114,1993,15.0,1083,1032,47,38,2,14,13,2,0,0,0,0,970,4,10
Allan,BRA,MF,Flamengo,27-228,1997,13.5,741,723,18,14,1,4,4,3,0,0,0,0,650,0,7
Allan,BRA,MF,Botafogo (RJ),33-283,1991,3.1,169,158,10,6,0,0,1,2,0,0,0,0,143,1,3
Allano,BRA,"FW,MF",Criciúma,29-176,1995,11.8,412,405,5,1,2,4,19,4,0,0,0,0,333,2,7
Thiago Almada,ARG,"FW,MF",Botafogo (RJ),23-174,2001,6.5,382,353,28,9,1,6,24,2,16,9,4,0,325,1,7
Júnior Alonso,PAR,DF,Atlético Mineiro,31-251,1993,8.6,620,593,26,16,1,4,6,8,0,0,0,0,533,1,5
Anderson,BRA,GK,Cruzeiro,26-226,1998,15.0,390,261,129,19,0,3,0,0,0,0,0,0,331,0,0
Felipe Anderson,BRA,"FW,MF",Palmeiras,31-185,1993,8.5,394,362,31,2,2,3,25,13,14,9,2,0,294,1,20
Kervin Andrade,VEN,MF,Fortaleza,19-187,2005,4.6,130,118,12,0,0,0,16,2,8,3,2,0,88,0,5
Rodrigo Andrade,BRA,"MF,FW",Vitória,27-135,1997,4.3,181,165,13,10,0,0,4,0,3,1,2,0,148,3,3
André,BRA,MF,Fluminense,23-093,2001,11.9,732,712,20,19,0,5,0,1,0,0,0,0,690,0,6
José Andrés Martínez,VEN,MF,Corinthians,30-071,1994,4.2,205,203,1,1,0,2,1,0,0,0,0,0,175,1,0
Wilker Ángel,VEN,DF,Criciúma,31-213,1993,9.8,310,298,12,11,0,1,0,1,0,0,0,0,245,0,0
Anthoni,BRA,GK,Internacional,22-268,2002,2.0,72,39,33,7,0,0,0,0,0,0,0,0,37,0,0
Marcos Antônio,BRA,MF,São Paulo,24-126,2000,5.0,278,272,5,4,4,2,1,0,0,0,0,0,263,1,2
Guilherme Arana,BRA,DF,Atlético Mineiro,27-186,1997,12.5,978,878,92,13,0,13,63,75,4,0,4,0,822,8,16
Charles Aránguiz,CHI,MF,Internacional,35-183,1989,3.2,166,159,7,3,0,1,2,0,0,0,0,0,131,0,0
Luiz Araújo,BRA,"FW,MF",Flamengo,28-137,1996,16.7,630,559,69,21,0,17,86,7,41,17,12,1,456,2,31
Matheus Araújo,BRA,MF,Corinthians,22-148,2002,0.5,11,10,1,0,0,0,0,1,0,0,0,0,9,0,0
Michel Araujo,URU,"DF,FW",São Paulo,28-019,1996,9.1,501,443,58,12,0,3,23,41,5,0,5,0,427,0,10
Alexander Aravena,CHI,"FW,MF",Grêmio,22-041,2002,3.5,76,75,1,0,0,0,6,1,0,0,0,0,64,0,1
Robert Arboleda,ECU,DF,São Paulo,32-361,1991,22.7,1430,1385,45,43,0,3,0,0,0,0,0,0,1302,0,7
Lucas Arcanjo,BRA,GK,Vitória,26-070,1998,28.0,843,595,246,46,0,5,0,0,0,0,0,0,591,2,1
Matias Arezo,URU,"FW,MF",Grêmio,21-331,2002,0.8,40,38,1,0,0,0,0,0,0,0,0,0,28,1,1
Jhon Arias,COL,FW,Fluminense,27-026,1997,17.9,776,713,60,18,1,0,74,15,27,8,17,0,654,3,24
Santiago Arias,COL,DF,Bahia,32-278,1992,17.2,1027,877,149,9,0,2,55,140,0,0,0,0,848,1,28
Arthur,BRA,FW,Cruzeiro,26-106,1998,14.1,449,428,17,3,1,3,35,11,3,0,0,0,352,4,25
Arthur,BRA,FW,Criciúma,32-124,1992,15.1,248,224,21,0,2,1,3,1,0,0,0,0,175,3,7
Arthur,BRA,FW,Corinthians,21-219,2003,0.2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Arthur,BRA,"FW,MF",Red Bull Bragantino,21-219,2003,1.1,24,23,1,0,0,0,0,0,0,0,0,0,19,0,0
Filipe Augusto,BRA,MF,Cuiabá,31-066,1993,4.3,227,222,5,5,1,2,0,0,0,0,0,0,200,0,0
Renato Augusto,BRA,"MF,FW",Fluminense,36-252,1988,3.5,189,187,2,1,1,2,3,1,0,0,0,0,159,0,3
Yarlen Augusto,BRA,MF,Botafogo (RJ),18-240,2006,0.9,12,12,0,0,0,0,0,0,0,0,0,0,5,0,0
Pablo Baianinho,BRA,"MF,DF",Vitória,21-075,2003,0.3,11,9,2,0,0,0,3,0,2,2,0,0,6,0,1
Gabriel Baralhas,BRA,MF,Atl Goianiense,26-007,1998,19.6,735,705,24,17,1,20,10,6,0,0,0,0,605,6,15
Danilo Barbosa,BRA,MF,Botafogo (RJ),28-232,1996,12.7,587,564,22,19,0,2,0,0,0,0,0,0,491,1,10
Diogo Barbosa,BRA,DF,Fluminense,32-061,1992,12.6,684,574,108,7,0,1,24,101,0,0,0,0,572,2,11
Gabriel Barbosa,BRA,"FW,MF",Flamengo,28-048,1996,5.3,133,124,9,1,1,0,6,0,1,0,0,0,116,0,1
