Player,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Che Adams,FW,Scotland,27,1996,3,3,209,2.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,2,10,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.09,0.05,0.09
Michel Aebischer,DF,Switzerland,27,1997,5,5,476,5.3,1,2,3,1,0,0,0,0,0.1,0.1,1.2,1.3,4,28,18,0.19,0.38,0.57,0.19,0.57,0.02,0.22,0.24,0.02,0.24
Arlind Ajeti,DF,Albania,30,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Manuel Akanji,DF,Switzerland,28,1995,5,5,480,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,25,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Samet Akaydın,DF,Türkiye,29,1994,4,4,335,3.7,1,0,1,1,0,0,2,0,0.4,0.4,0.0,0.4,1,15,0,0.27,0.00,0.27,0.27,0.27,0.09,0.00,0.09,0.09,0.09
Nathan Aké,DF,Netherlands,28,1995,6,6,470,5.2,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.6,7,21,11,0.00,0.19,0.19,0.00,0.19,0.02,0.08,0.11,0.02,0.11
Yunus Akgün,FW,Türkiye,23,2000,1,1,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11
Kerem Aktürkoğlu,"FW,MF",Türkiye,25,1998,5,1,105,1.2,1,0,1,1,0,0,0,0,1.4,1.4,0.1,1.5,7,3,11,0.86,0.00,0.86,0.86,0.86,1.22,0.11,1.33,1.22,1.33
Trent Alexander-Arnold,"MF,DF",England,25,1998,4,2,134,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,12,5,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.16,0.07,0.16
Denis Alibec,FW,Romania,33,1991,2,0,29,0.3,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,0,2,0.00,0.00,0.00,0.00,0.00,1.05,0.00,1.05,1.05,1.05
Barış Alper Yılmaz,FW,Türkiye,23,2000,5,5,450,5.0,0,0,0,0,0,0,0,0,0.4,0.4,0.8,1.2,14,15,36,0.00,0.00,0.00,0.00,0.00,0.08,0.16,0.24,0.08,0.24
Sandro Altunashvili,MF,Georgia,26,1997,2,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Zeki Amdouni,"MF,FW",Switzerland,23,2000,4,0,57,0.6,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,1,6,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.33,0.33
Joachim Andersen,DF,Denmark,27,1996,4,4,360,4.0,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,7,24,1,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10
Robert Andrich,MF,Germany,29,1994,5,4,318,3.5,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,1,21,3,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.12,0.09,0.12
Waldemar Anton,DF,Germany,27,1996,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,2.10,2.10,0.00,2.10
Stuart Armstrong,MF,Scotland,31,1992,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Marko Arnautović,FW,Austria,34,1989,4,3,279,3.1,1,0,1,0,1,1,1,0,1.7,0.9,0.0,0.9,1,3,16,0.32,0.00,0.32,0.00,0.00,0.53,0.00,0.53,0.28,0.28
Jasir Asani,FW,Albania,28,1995,3,3,210,2.3,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,4,4,9,0.00,0.43,0.43,0.00,0.43,0.02,0.18,0.20,0.02,0.20
Kristjan Asllani,MF,Albania,21,2002,3,3,270,3.0,0,0,0,0,0,0,0,0,0.6,0.6,0.6,1.1,3,10,3,0.00,0.00,0.00,0.00,0.00,0.18,0.19,0.38,0.18,0.38
Kaan Ayhan,"MF,DF",Türkiye,29,1994,5,4,358,4.0,0,1,1,0,0,0,1,0,0.3,0.3,0.3,0.6,1,16,4,0.00,0.25,0.25,0.00,0.25,0.08,0.07,0.15,0.08,0.15
Alex Baena,"MF,FW",Spain,22,2001,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.26,0.00,0.26
Alexander Bah,"DF,MF",Denmark,26,1997,4,3,281,3.1,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.4,5,20,9,0.00,0.00,0.00,0.00,0.00,0.12,0.02,0.14,0.12,0.14
Nedim Bajrami,"FW,MF",Albania,24,1999,3,3,245,2.7,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.1,7,5,14,0.37,0.00,0.37,0.37,0.37,0.05,0.00,0.05,0.05,0.05
