Player,Nation,Pos,Squad,Age,Born,90s,PassCompleted,PassAtt,PassCompleted%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KeyPasses,FinalThird,PassesPenArea,CrossPenArea,ProgPasses
Abner,BRA,DF,Juventude,20-181,2004,1.2,19,28,67.9,415,166,7,8,87.5,10,11,90.9,2,8,25.0,0,0.0,0.0,0.0,0,3,1,0,2
Luiz Adriano,BRA,FW,Vitória,37-188,1987,2.2,32,45,71.1,426,67,13,18,72.2,13,16,81.3,0,1,0.0,1,0.1,0.1,+0.9,2,3,1,0,4
Adryelson,BRA,DF,Botafogo (RJ),26-208,1998,0.8,64,70,91.4,1153,523,31,33,93.9,27,27,100.0,6,7,85.7,0,0.0,0.0,0.0,0,2,0,0,9
Adson,BRA,FW,Vasco da Gama,24-011,2000,13.6,528,622,84.9,7363,1834,321,350,91.7,159,184,86.4,22,33,66.7,1,2.6,3.2,-1.6,21,49,19,3,72
Lucas Alario,ARG,"FW,MF",Internacional,32-009,1992,7.1,82,113,72.6,957,188,51,63,81.0,22,31,71.0,1,1,100.0,0,0.1,0.2,-0.1,3,4,1,0,7
Carlos Alberto,BRA,FW,Botafogo (RJ),22-186,2002,2.3,14,20,70.0,180,41,8,10,80.0,5,6,83.3,0,0,,0,0.1,0.1,-0.1,1,1,2,0,3
Yuri Alberto,BRA,FW,Corinthians,23-213,2001,18.4,233,319,73.0,2980,538,137,178,77.0,62,71,87.3,9,12,75.0,3,1.7,1.1,+1.3,17,13,10,0,22
Carlos Alcaraz,ARG,MF,Flamengo,21-322,2002,2.4,110,133,82.7,1786,515,58,65,89.2,37,45,82.2,10,16,62.5,1,0.1,0.2,+0.9,6,16,1,0,11
Alerrandro,BRA,FW,Vitória,24-279,2000,18.9,254,357,71.1,3530,749,133,170,78.2,91,120,75.8,10,20,50.0,4,2.2,1.0,+1.8,21,20,9,0,34
Caio Alexandre,BRA,MF,Bahia,25-236,1999,25.0,1761,1934,91.1,29624,7838,828,871,95.1,761,815,93.4,128,177,72.3,0,1.9,1.9,-1.9,24,208,19,6,181
