Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Brenden Aaronson,USA,"MF,FW",Leeds United,Premier League,21,2000,26.4,2,0,0,16,55,6,72,5,18,0,0,0,128,8,39,17.0
Paxten Aaronson,USA,"MF,DF",Eint Frankfurt,Bundesliga,18,2003,1.9,1,0,0,5,3,1,7,0,5,0,0,0,8,1,1,50.0
James Abankwah,IRL,DF,Udinese,Serie A,18,2004,0.7,0,0,0,2,1,0,0,0,1,0,0,0,2,2,0,100.0
George Abbott,ENG,MF,Tottenham,Premier League,16,2005,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,1987,37.0,6,0,0,49,28,2,5,64,50,0,0,0,263,93,51,64.6
Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,22,1999,23.7,3,0,0,43,31,1,35,28,38,0,0,0,180,18,23,43.9
Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,32.2,6,1,0,71,38,0,10,36,26,0,0,1,213,14,17,45.2
Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,26.0,7,1,1,28,29,0,6,34,52,0,0,0,193,8,15,34.8
Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,1996,6.6,2,0,0,13,7,0,5,5,6,0,0,0,37,50,21,70.4
Matthis Abline,FRA,"FW,MF",Auxerre,Ligue 1,19,2003,9.0,1,0,0,14,10,5,6,1,2,1,0,0,13,12,30,28.6
Matthis Abline,FRA,"FW,MF",Rennes,Ligue 1,19,2003,1.2,0,0,0,3,5,1,2,2,1,1,0,0,2,1,4,20.0
Abner,BRA,DF,Betis,La Liga,22,2000,6.7,2,0,0,8,2,0,13,8,9,0,1,0,43,9,16,36.0
Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,22,2000,27.5,4,0,0,41,46,20,29,22,23,0,0,0,130,12,31,27.9
Tammy Abraham,ENG,FW,Roma,Serie A,24,1997,24.3,2,0,0,33,48,11,11,3,10,1,0,0,46,80,74,51.9
Christian Acella,ITA,MF,Cremonese,Serie A,20,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Francesco Acerbi,ITA,DF,Inter,Serie A,34,1988,26.9,4,0,0,17,13,2,22,41,19,0,0,0,151,78,42,65.0
Álvaro Aceves,ESP,GK,Valladolid,La Liga,19,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0
Mohamed Achi,FRA,FW,Nantes,Ligue 1,20,2002,0.4,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,
Marcos Acuña,ARG,DF,Sevilla,La Liga,30,1991,21.2,10,3,0,32,34,1,147,23,36,0,1,0,141,30,18,62.5
Che Adams,SCO,FW,Southampton,Premier League,26,1996,22.1,1,0,0,38,27,14,12,4,13,0,0,0,53,61,103,37.2
Tyler Adams,USA,MF,Leeds United,Premier League,23,1999,24.0,6,1,1,37,21,1,2,35,46,0,0,0,199,25,15,62.5
Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,29,1993,7.2,3,0,0,17,6,4,13,4,7,0,0,0,40,12,25,32.4
Tosin Adarabioyo,ENG,DF,Fulham,Premier League,24,1997,23.2,4,0,0,17,5,3,2,26,13,0,0,0,110,59,26,69.4
Martin Adeline,FRA,"MF,FW",Reims,Ligue 1,18,2003,1.2,2,0,0,5,0,0,0,3,3,0,0,0,11,6,5,54.5
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,20,2002,15.4,9,0,0,21,30,1,25,7,11,0,0,0,66,10,4,71.4
Amine Adli,MAR,"FW,MF",Leverkusen,Bundesliga,22,2000,15.9,2,2,0,39,47,4,18,6,10,2,1,0,61,29,41,41.4
Yacine Adli,FRA,"MF,FW",Milan,Serie A,22,2000,1.6,1,0,0,4,1,1,6,1,3,0,0,0,8,1,3,25.0
Michel Aebischer,SUI,"FW,MF",Bologna,Serie A,25,1997,17.1,4,0,0,22,22,7,21,7,6,1,1,0,68,10,25,28.6
Felix Afena-Gyan,GHA,"FW,MF",Cremonese,Serie A,19,2003,9.1,4,0,0,18,11,6,4,1,3,0,0,0,39,17,42,28.8
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,25,1997,26.5,5,3,0,29,6,0,2,32,49,0,1,1,248,60,36,62.5
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,21,2000,7.5,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,100.0
Lucien Agoume,FRA,MF,Troyes,Ligue 1,20,2002,12.2,5,0,0,30,8,1,9,27,25,0,0,0,84,31,18,63.3
Felix Agu,GER,"DF,FW",Werder Bremen,Bundesliga,22,1999,0.5,0,0,0,3,3,0,1,0,0,0,1,0,3,1,1,50.0
Álvaro Aguado,ESP,MF,Valladolid,La Liga,26,1996,21.0,4,0,0,13,33,0,57,13,15,0,1,0,130,15,17,46.9
Kevin Agudelo,COL,"MF,FW",Spezia,Serie A,23,1998,23.7,5,0,0,34,35,2,34,10,38,0,0,0,140,17,27,38.6
Nayef Aguerd,MAR,DF,West Ham,Premier League,26,1996,17.7,4,0,0,8,8,2,0,18,18,0,1,0,105,32,31,50.8
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29,1993,13.0,3,0,0,15,14,1,39,18,9,0,0,0,80,12,14,46.2
Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,Premier League,20,2002,1.0,1,0,0,2,0,2,2,0,2,0,0,0,8,0,1,0.0
Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,20,2002,15.5,4,1,1,16,17,1,6,8,11,0,1,0,88,7,16,30.4
Amar Ahmed,SWE,FW,Troyes,Ligue 1,18,2004,0.2,0,0,0,1,1,0,0,1,1,0,0,0,2,0,3,0.0
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,28,1994,14.4,4,1,0,39,23,1,5,24,20,0,0,0,91,26,18,59.1
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,26,1995,34.7,6,1,1,18,18,0,2,31,36,0,1,0,214,63,63,50.0
Ola Aina,NGA,DF,Torino,Serie A,25,1996,9.7,5,0,0,16,16,1,35,11,13,0,1,0,62,12,10,54.5
Rayan Aït-Nouri,ALG,DF,Wolves,Premier League,21,2001,12.0,4,0,0,15,11,3,21,9,20,0,1,1,61,14,17,45.2
Emanuel Aiwum,AUT,DF,Cremonese,Serie A,21,2000,18.4,3,0,0,21,15,0,4,25,34,0,0,0,121,28,17,62.2
Kristoffer Ajer,NOR,DF,Brentford,Premier League,24,1998,8.5,0,0,0,5,8,0,6,7,8,0,1,0,36,15,11,57.7
Ludovic Ajorque,FRA,FW,Strasbourg,Ligue 1,28,1994,8.6,1,0,0,14,8,1,0,2,4,0,0,0,21,50,33,60.2
Ludovic Ajorque,FRA,"FW,MF",Mainz 05,Bundesliga,28,1994,13.5,5,0,0,23,19,5,4,1,5,0,0,0,50,91,85,51.7
Manuel Akanji,SUI,DF,Manchester City,Premier League,27,1995,25.4,2,0,0,24,12,0,6,16,25,0,0,0,136,23,34,40.4
Nathan Aké,NED,DF,Manchester City,Premier League,27,1995,20.8,2,0,0,12,14,1,15,20,12,0,0,0,96,36,23,61.0
Sergio Akieme,ESP,DF,Almería,La Liga,24,1997,25.5,5,0,0,20,18,0,70,14,16,0,0,0,127,14,15,48.3
Babatunde Akinsola,NGA,FW,Valladolid,La Liga,19,2003,0.1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,20,2002,4.5,3,0,0,7,4,1,10,3,4,0,0,0,23,2,6,25.0
Paul Akouokou,CIV,"MF,DF",Betis,La Liga,24,1997,5.0,3,0,0,7,4,0,0,12,9,0,0,0,27,6,7,46.2
Jean-Daniel Akpa-Akpro,CIV,"MF,FW",Empoli,Serie A,29,1992,15.1,9,2,1,31,18,0,11,13,37,0,0,0,76,16,18,47.1
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,27,1995,21.7,11,0,0,33,19,0,8,24,44,0,0,0,131,57,45,55.9
David Alaba,AUT,DF,Real Madrid,La Liga,30,1992,20.4,3,0,0,9,3,0,26,14,11,0,1,0,94,11,8,57.9
Ángel Alarcón,ESP,"FW,MF",Barcelona,La Liga,18,2004,0.3,0,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0.0
Tomás Alarcón,CHI,MF,Cádiz,La Liga,23,1999,2.5,2,1,1,4,3,0,6,2,2,0,0,0,14,3,1,75.0
Lucas Alario,ARG,"FW,MF",Eint Frankfurt,Bundesliga,29,1992,3.7,0,0,0,9,2,5,0,2,2,0,0,0,10,21,23,47.7
Jordi Alba,ESP,DF,Barcelona,La Liga,33,1989,15.8,6,1,1,11,4,10,91,11,18,0,0,0,118,8,15,34.8
Luis Alberto,ESP,MF,Lazio,Serie A,29,1992,27.1,4,0,0,15,13,2,147,9,29,0,0,0,162,8,13,38.1
Raúl Albiol,ESP,DF,Villarreal,La Liga,36,1985,23.5,6,0,0,17,13,1,1,14,17,0,0,0,108,38,25,60.3
Marc Albrighton,ENG,"FW,MF",Leicester City,Premier League,32,1989,2.6,0,0,0,2,2,1,28,1,1,0,0,0,13,1,1,50.0
Thiago Alcántara,ESP,MF,Liverpool,Premier League,31,1991,13.9,2,0,0,18,25,0,3,21,24,0,1,0,111,14,24,36.8
Carlos Alcaraz,ARG,"MF,FW",Southampton,Premier League,19,2002,11.4,3,0,0,16,17,2,4,1,5,0,0,0,53,7,27,20.6
