Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Patrick van Aanholt,NED,DF,PSV Eindhoven,31,1990,1.5,0,0,0,0,0,0,4,2,1,0,0,0,9,0,0,
Myenty Abena,SUR,DF,Ferencváros,27,1994,2.0,0,0,0,0,1,0,0,1,2,0,0,0,6,1,0,100.0
Matthis Abline,FRA,FW,Rennes,19,2003,1.6,0,0,0,2,3,0,2,1,1,0,0,0,3,1,4,20.0
Abner,BRA,DF,Betis,22,2000,1.3,0,0,0,3,0,0,3,0,1,0,0,0,8,1,2,33.3
Pape Abou Cissé,SEN,DF,Olympiacos,26,1995,3.3,0,0,0,0,1,0,0,4,5,0,0,0,22,12,6,66.7
Tammy Abraham,ENG,FW,Roma,24,1997,9.6,3,0,0,16,21,4,2,0,6,0,0,0,21,41,31,56.9
Malik Abubakari,GHA,FW,HJK,22,2000,4.9,1,0,0,6,10,3,0,2,0,0,0,0,5,9,20,31.0
Marcos Acuña,ARG,DF,Sevilla,30,1991,7.9,4,1,1,15,12,2,43,5,16,0,0,0,52,8,11,42.1
Junior Adamu,AUT,FW,RB Salzburg,21,2001,1.2,0,0,0,0,2,0,0,2,1,0,0,0,3,5,2,71.4
Antonio Adán,ESP,GK,Sporting CP,35,1987,6.3,0,0,0,0,4,0,0,0,1,0,0,0,5,0,0,
Simon Adingra,CIV,"FW,DF",Union SG,20,2002,4.6,1,0,0,5,11,2,12,4,3,0,0,0,29,2,2,50.0
Amine Adli,MAR,"FW,MF",Leverkusen,22,2000,3.1,1,0,0,6,2,1,7,2,1,0,0,0,12,8,3,72.7
David Affengruber,AUT,DF,Sturm Graz,21,2001,5.4,2,0,0,5,1,0,0,2,5,0,1,0,32,8,7,53.3
Ruben Aguilar,FRA,"DF,MF",Monaco,29,1993,1.4,0,0,0,2,1,1,5,1,1,0,0,0,4,0,0,
Tosin Aiyegun,BEN,FW,Zürich,24,1998,5.3,2,0,0,9,6,6,5,1,2,0,0,0,10,3,10,23.1
Albian Ajeti,SUI,FW,Sturm Graz,25,1997,3.4,1,0,0,6,3,1,1,1,0,0,0,0,7,3,4,42.9
Samet Akaydın,TUR,DF,Fenerbahçe,28,1994,2.0,0,0,0,0,1,0,0,3,3,0,0,0,14,11,5,68.8
Maghnes Akliouche,FRA,"FW,MF",Monaco,20,2002,0.5,0,0,0,1,2,0,2,0,0,0,0,0,5,0,0,
Paul Akouokou,CIV,MF,Betis,24,1997,4.0,2,0,0,12,6,0,0,7,2,0,0,0,25,2,3,40.0
Jordi Alba,ESP,DF,Barcelona,33,1989,0.7,1,0,0,0,0,0,3,2,1,0,0,0,10,0,0,
Luis Alberto,ESP,MF,Lazio,29,1992,3.4,0,0,0,2,3,0,16,1,3,0,0,0,17,2,1,66.7
Doğan Alemdar,TUR,GK,Rennes,19,2002,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Mohamed Ali Cho,FRA,"MF,FW",Real Sociedad,18,2004,1.3,0,0,0,1,1,0,5,0,0,0,0,0,2,0,0,
Ezgjan Alioski,MKD,DF,Fenerbahçe,30,1992,3.5,1,0,0,4,2,3,13,4,3,0,0,0,10,2,1,66.7
Fidan Aliti,KVX,DF,Zürich,28,1993,3.5,1,0,0,3,8,1,1,1,6,1,0,0,10,2,1,66.7
Richard Almeida,AZE,MF,Qarabağ,33,1989,3.4,1,0,0,11,2,0,3,2,0,0,0,0,25,3,6,33.3
Marcos Alonso,ESP,DF,Barcelona,31,1990,0.8,0,0,0,1,0,0,0,1,0,0,0,0,7,1,0,100.0
Omri Altman,ISR,"FW,MF",AÉK Lárnaka,28,1994,4.2,1,0,0,8,16,1,3,2,4,1,0,0,12,6,4,60.0
Edson Álvarez,MEX,MF,Ajax,24,1997,2.0,2,1,1,5,2,0,0,1,4,0,0,0,10,9,8,52.9
Nadiem Amiri,GER,"MF,FW",Leverkusen,25,1996,3.0,0,0,0,4,4,0,7,3,3,0,0,0,10,0,4,0.0
Isak Amundsen,NOR,DF,Bodø/Glimt,22,1999,0.4,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0
Felipe Anderson,BRA,FW,Lazio,29,1993,4.9,1,0,0,3,4,4,10,2,5,0,0,0,20,1,5,16.7
Joel Andersson,SWE,DF,Midtjylland,25,1996,4.2,1,0,0,1,1,0,11,3,4,0,0,0,25,4,1,80.0
Leandro Andrade,CPV,"FW,MF",Qarabağ,22,1999,0.8,0,0,0,1,1,1,1,0,2,0,0,0,7,0,1,0.0
Valdemar Andreasen,DEN,FW,Midtjylland,17,2005,1.3,0,0,0,0,1,0,4,1,1,0,0,0,7,0,1,0.0
Henry Andreou,CYP,MF,AÉK Lárnaka,21,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Robert Andrich,GER,MF,Leverkusen,27,1994,6.3,2,0,0,15,3,0,2,7,8,0,0,0,38,9,12,42.9
Oleksandr Andriyevskyi,UKR,MF,Dynamo Kyiv,28,1994,1.0,1,0,0,2,0,0,3,3,1,0,0,0,9,0,0,
Thanasis Androutsos,GRE,DF,Olympiacos,25,1997,1.0,0,0,0,0,2,0,3,1,2,0,0,0,8,0,1,0.0
Ángel,ESP,DF,AÉK Lárnaka,29,1993,4.9,3,1,1,8,8,0,7,5,3,0,1,0,33,8,4,66.7
Karim Ansarifard,IRN,FW,AC Omonia,32,1990,2.2,0,0,0,0,3,1,0,0,1,0,0,0,5,4,10,28.6
Marcos Antônio,BRA,MF,Lazio,22,2000,1.6,0,0,0,3,2,0,0,0,2,0,0,0,14,0,0,
Antony,BRA,FW,Manchester Utd,22,2000,7.0,2,0,0,3,16,0,19,3,6,0,0,0,35,4,5,44.4
Dennis Appiah,FRA,"DF,FW",Nantes,30,1992,3.2,0,0,0,5,2,0,8,4,7,0,0,0,17,5,1,83.3
Youssef El-Arabi,MAR,"FW,MF",Olympiacos,35,1987,1.8,1,0,0,0,2,2,0,0,2,0,0,0,8,3,2,60.0
Paulus Arajuuri,FIN,DF,HJK,34,1988,0.5,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,
Aritz Arambarri,ESP,DF,Real Sociedad,24,1998,0.7,0,0,0,1,0,0,0,0,1,0,0,0,3,0,2,0.0
Willian Arão,BRA,MF,Fenerbahçe,29,1992,3.5,1,0,0,3,1,0,0,4,4,0,0,0,28,2,2,50.0
Ronald Araújo,URU,DF,Barcelona,23,1999,1.9,0,0,0,1,3,0,1,0,1,0,0,0,5,1,2,33.3
Arthur,BRA,"DF,MF",Sporting CP,24,1998,2.0,0,0,0,1,3,0,8,0,1,0,0,0,6,0,4,0.0
Emam Ashour,EGY,"FW,MF",Midtjylland,24,1998,0.8,1,0,0,1,0,0,0,0,3,0,0,0,7,1,0,100.0
Lorenz Assignon,TOG,DF,Rennes,22,2000,3.3,0,0,0,11,5,2,7,5,2,0,0,0,20,5,3,62.5
Iyayi Atiemwen,NGA,FW,Sheriff Tiraspol,26,1996,3.6,3,0,0,6,3,0,3,3,0,0,0,0,13,6,14,30.0
Noah Atubolu,GER,GK,Freiburg,20,2002,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Donis Avdijaj,KVX,"MF,FW",Zürich,25,1996,0.9,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0.0
Irakli Azarov,GEO,DF,Red Star,20,2002,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Serdar Aziz,TUR,DF,Fenerbahçe,31,1990,5.0,2,0,0,13,3,0,3,3,5,0,0,0,22,17,4,81.0
Sardar Azmoun,IRN,FW,Leverkusen,27,1995,3.0,0,0,0,5,3,1,0,0,4,0,0,0,6,7,12,36.8
Oussama El Azzouzi,MAR,MF,Union SG,21,2001,1.6,0,0,0,3,1,0,0,3,4,0,0,0,12,3,4,42.9
Ousseynou Ba,SEN,DF,Olympiacos,26,1995,2.0,2,1,1,0,1,0,0,4,0,0,0,0,16,7,3,70.0
Fouad Bachirou,COM,MF,AC Omonia,32,1990,1.0,1,0,0,2,3,0,0,3,1,0,0,0,7,0,5,0.0
Loïc Bade,FRA,DF,Sevilla,22,2000,5.8,2,0,0,4,1,1,0,6,6,0,0,0,28,14,10,58.3
Nikolai Baden Frederiksen,DEN,FW,Ferencváros,22,2000,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Benoît Badiashile,FRA,DF,Monaco,21,2001,5.0,2,0,0,7,0,1,1,8,6,0,1,0,27,5,4,55.6
Cédric Badolo,BFA,"MF,FW",Sheriff Tiraspol,23,1998,6.0,0,0,0,8,9,0,12,7,10,0,0,0,45,4,6,40.0
Anastasios Bakasetas,GRE,MF,Trabzonspor,29,1993,5.1,0,0,0,1,9,0,34,2,5,0,0,0,41,2,6,25.0
Johan Bakayoko,BEL,FW,PSV Eindhoven,19,2003,2.7,0,0,0,4,1,0,7,2,3,0,0,0,12,2,3,40.0
Mitchel Bakker,NED,"DF,MF",Leverkusen,22,2000,5.7,1,0,0,4,3,6,21,1,2,0,0,0,29,1,5,16.7
Alejandro Balde,ESP,DF,Barcelona,18,2003,1.3,0,0,0,1,2,0,4,1,0,1,0,0,7,0,1,0.0
