Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Starts,Min,90s,GoalsConceded,GoalsConceded90,SoTAgainst,Saves,Saves%,W,D,L,CleanSheet,CleanSheet%,PKatt,PKConcede,PKSaved,PKMissed,PKSaved%
Adriel,BRA,GK,,22,2001,2,2,180,2.0,1,0.50,8,7,87.5,2,0,0,1,50.0,0,0,0,0,
Washington Aguerre,URU,GK,(MG),29,1993,2,2,180,2.0,4,2.00,7,3,42.9,0,1,1,0,0.0,0,0,0,0,
Anderson,BRA,GK,,24,1998,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,
Bento,BRA,GK,Paranaense,23,1999,33,33,"2,970",33.0,37,1.12,140,101,76.4,12,11,10,9,27.3,6,4,2,0,33.3
Brenno,BRA,GK,,23,1999,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,
Rafael Cabral,BRA,GK,,32,1990,37,37,"3,330",37.0,32,0.86,139,107,78.4,11,13,13,15,40.5,3,2,0,1,0.0
Caíque,BRA,GK,,25,1997,4,4,360,4.0,3,0.75,17,14,88.2,4,0,0,2,50.0,1,1,0,0,0.0
João Carlos,BRA,GK,,34,1988,3,3,270,3.0,4,1.33,12,8,66.7,1,0,2,1,33.3,0,0,0,0,
Cássio,BRA,GK,,35,1987,37,37,"3,310",36.8,48,1.31,181,134,76.8,11,14,12,8,21.6,7,6,0,1,0.0
Matheus Cavichioli,BRA,GK,(MG),36,1986,15,15,"1,348",15.0,31,2.07,76,45,61.8,2,1,12,1,6.7,4,2,2,0,50.0
Gabriel Chapecó,BRA,GK,,22,2000,31,31,"2,790",31.0,51,1.65,159,109,70.4,14,5,12,5,16.1,4,4,0,0,0.0
Mateus Claus,BRA,GK,,28,1994,1,0,53,0.6,2,3.40,3,1,33.3,0,0,0,0,,0,0,0,0,
Matheus Cunha,BRA,GK,,21,2001,19,18,"1,580",17.6,22,1.25,98,75,80.6,9,6,3,5,27.8,4,3,1,0,25.0
Vitor Eudes,BRA,GK,,24,1998,1,1,90,1.0,1,1.00,5,4,80.0,0,0,1,0,0.0,0,0,0,0,
Éverson,BRA,GK,Mineiro,32,1990,36,36,"3,240",36.0,31,0.86,132,102,78.0,17,9,10,14,38.9,2,2,0,0,0.0
Fábio,BRA,GK,,42,1980,35,35,"3,150",35.0,41,1.17,145,105,75.2,16,7,12,12,34.3,6,5,0,1,0.0
