Player,Nation,Pos,Squad,Comp,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Alisson,BRA,GK,Liverpool,Premier League,29,1992,37.0,1453,1199,250,57,0,2,0,0,0,0,0,0,1241,4,1
Jim Allevinah,GAB,"DF,FW",Clermont Foot,Ligue 1,27,1995,24.9,848,789,58,7,0,3,65,50,0,0,0,0,658,1,32
Dele Alli,ENG,MF,Everton,Premier League,26,1996,0.4,15,13,2,1,0,0,0,0,0,0,0,0,12,0,0
Domingos André Ribeiro Almeida,POR,MF,Valencia,La Liga,22,2000,28.2,1402,1226,164,72,7,12,127,13,63,22,17,0,1110,12,18
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,28,1994,27.7,982,946,30,0,3,4,26,18,11,0,0,0,811,6,29
Marcos Alonso,ESP,DF,Barcelona,La Liga,31,1990,13.0,1005,956,47,16,1,11,23,16,12,6,4,0,896,2,8
Mickaël Alphonse,GLP,DF,Ajaccio,Ligue 1,33,1989,15.1,686,527,157,8,0,0,27,149,0,0,0,0,448,2,21
Éder Álvarez Balanta,COL,"MF,FW",Schalke 04,Bundesliga,29,1993,2.6,91,84,5,3,1,1,2,0,2,1,1,0,64,2,1
Carlos Álvarez,ESP,MF,Sevilla,La Liga,18,2003,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
Gastón Álvarez,URU,DF,Getafe,La Liga,22,2000,16.7,579,431,147,6,0,2,23,141,0,0,0,0,350,1,16
Julián Álvarez,ARG,"FW,MF",Manchester City,Premier League,22,2000,16.3,503,478,21,2,7,3,26,4,4,3,0,0,395,4,17
Agustín Álvarez Martínez,URU,"FW,MF",Sassuolo,Serie A,21,2001,4.1,84,76,8,0,0,1,4,0,3,0,3,0,68,0,1
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,27,1995,25.9,1392,1308,80,72,5,35,9,2,0,0,0,0,1123,4,12
Ibrahim Amadou,FRA,"DF,MF",Angers,Ligue 1,29,1993,4.7,190,186,4,4,0,0,1,0,0,0,0,0,161,0,5
Selim Amallah,MAR,"MF,FW",Valladolid,La Liga,25,1996,3.0,83,80,3,0,0,1,2,2,0,0,0,0,63,0,1
Daniel Amartey,GHA,DF,Leicester City,Premier League,27,1994,17.9,1114,1092,20,15,2,2,0,5,0,0,0,0,1015,2,2
Amath,SEN,"MF,FW",Mallorca,La Liga,26,1996,13.6,299,278,20,1,1,1,16,8,0,0,0,0,215,1,16
Jordan Amavi,FRA,DF,Getafe,La Liga,28,1994,2.2,96,69,27,1,0,0,6,26,0,0,0,0,51,0,5
Lukáš Ambros,CZE,MF,Wolfsburg,Bundesliga,18,2004,0.2,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Kelvin Amian,FRA,DF,Spezia,Serie A,24,1998,26.4,1110,869,238,14,1,2,39,222,2,0,1,0,830,3,31
Bruno Amione,ARG,DF,Hellas Verona,Serie A,20,2002,0.6,16,9,7,0,0,0,0,3,0,0,0,0,11,0,1
Bruno Amione,ARG,DF,Sampdoria,Serie A,20,2002,23.2,1032,948,81,33,0,0,5,48,0,0,0,0,821,3,23
Nadiem Amiri,GER,"MF,FW",Leverkusen,Bundesliga,25,1996,10.9,507,472,32,14,4,4,16,4,9,2,7,0,423,3,15
Samuel Amo-Ameyaw,ENG,MF,Southampton,Premier League,16,2006,0.0,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
Ethan Ampadu,WAL,"DF,MF",Spezia,Serie A,21,2000,29.3,1548,1426,116,46,3,17,11,47,0,0,0,0,1254,6,20
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,25,1996,22.2,1490,1396,91,80,1,22,26,9,1,0,0,0,1323,3,25
Ayoub Amraoui,MAR,"DF,FW",Nice,Ligue 1,18,2004,3.3,185,174,11,0,0,1,14,11,0,0,0,0,155,0,5
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,26,1996,30.9,1972,1840,123,107,4,44,10,13,1,0,0,0,1561,9,13
Elliot Anderson,ENG,"MF,FW",Newcastle Utd,Premier League,19,2002,4.6,198,193,3,0,1,0,9,2,1,0,0,0,150,2,10
Felipe Anderson,BRA,FW,Lazio,Serie A,29,1993,32.9,1410,1370,34,2,4,8,50,21,3,1,2,0,1093,6,41
Benjamin André,FRA,MF,Lille,Ligue 1,31,1990,32.4,2324,2262,54,49,8,23,14,5,0,0,0,0,1942,8,31
Marcos André,BRA,"FW,MF",Valencia,La Liga,25,1996,5.0,64,58,6,0,1,1,1,0,0,0,0,0,43,0,1
Komnen Andrić,SRB,FW,Clermont Foot,Ligue 1,27,1995,16.1,428,391,35,0,0,4,1,0,0,0,0,0,320,2,16
Robert Andrich,GER,MF,Leverkusen,Bundesliga,27,1994,26.7,1455,1404,49,42,0,4,4,5,0,0,0,0,1218,2,12
Angeliño,ESP,DF,Hoffenheim,Bundesliga,25,1997,29.1,1544,1160,366,42,1,16,179,276,48,18,23,0,1012,18,40
Fabrizio Angileri,ARG,DF,Getafe,La Liga,28,1994,6.5,260,190,70,3,0,2,12,67,0,0,0,0,153,0,13
Jaidon Anthony,ENG,"MF,FW",Bournemouth,Premier League,22,1999,14.0,526,480,45,9,2,5,43,21,14,9,1,1,387,1,18
Janis Antiste,FRA,FW,Sassuolo,Serie A,19,2002,0.6,18,18,0,0,0,0,0,0,0,0,0,0,13,0,0
Waldemar Anton,GER,DF,Stuttgart,Bundesliga,26,1996,32.6,2059,1854,201,64,4,21,31,136,0,0,0,0,1629,4,31
Josep Antoni Gayá,ESP,"DF,MF",Mallorca,La Liga,22,2000,1.1,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
José Antonio,ESP,"MF,DF",Cádiz,La Liga,18,2004,0.5,10,9,1,1,0,0,1,0,0,0,0,0,8,0,1
Marcos Antônio,BRA,MF,Lazio,Serie A,22,2000,6.6,420,418,2,2,1,0,0,0,0,0,0,0,380,0,5
Michail Antonio,JAM,FW,West Ham,Premier League,32,1990,20.3,348,335,12,1,1,1,35,8,0,0,0,0,186,1,18
Antony,BRA,FW,Manchester Utd,Premier League,22,2000,20.0,819,804,15,1,3,2,32,13,1,0,0,0,651,0,29
Valentin Antov,BUL,DF,Monza,Serie A,21,2000,3.4,229,213,16,4,0,1,2,12,0,0,0,0,201,0,1
Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,Bundesliga,28,1994,22.0,712,513,195,3,2,2,63,180,4,0,0,0,432,4,32
Anuar,MAR,"MF,FW",Valladolid,La Liga,27,1995,2.3,40,39,1,0,0,0,1,1,0,0,0,0,30,0,4
Houssem Aouar,ALG,MF,Lyon,Ligue 1,24,1998,5.8,370,361,9,4,1,3,6,1,3,0,0,0,299,0,9
Adil Aouchiche,FRA,MF,Lorient,Ligue 1,20,2002,2.8,154,133,21,8,0,4,17,3,8,2,4,0,115,0,4
Dennis Appiah,FRA,"DF,MF",Nantes,Ligue 1,30,1992,8.8,468,393,74,5,0,0,21,69,0,0,0,0,339,1,8
Stredair Appuah,FRA,"DF,MF",Nantes,Ligue 1,18,2004,0.7,27,26,1,1,0,1,2,0,0,0,0,0,19,0,2
Mauro Arambarri,URU,MF,Getafe,La Liga,26,1995,11.0,421,355,66,44,0,6,42,0,22,14,7,1,326,0,7
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,33,1989,5.5,311,290,20,12,0,0,12,1,7,4,3,0,248,1,3
Ronald Araújo,URU,DF,Barcelona,La Liga,23,1999,20.0,1287,1207,75,41,2,19,5,25,0,0,0,0,1139,5,6
Cameron Archer,ENG,"FW,MF",Aston Villa,Premier League,21,2001,0.5,12,11,1,1,0,0,1,0,0,0,0,0,8,0,1
Taïryk Arconte,FRA,FW,Brest,Ligue 1,18,2003,1.4,17,15,2,0,0,0,1,1,0,0,0,0,10,0,1
Alphonse Areola,FRA,GK,West Ham,Premier League,29,1993,3.4,92,59,32,2,0,0,0,0,0,0,0,0,67,1,0
Adu Ares,ESP,"FW,MF",Athletic Club,La Liga,20,2001,0.9,51,49,2,0,0,1,8,1,1,0,0,0,42,0,1
Joe Aribo,NGA,"MF,FW",Southampton,Premier League,26,1996,13.6,385,376,9,0,0,0,8,2,0,0,0,0,280,0,16
Adam Armstrong,ENG,"FW,MF",Southampton,Premier League,25,1997,14.8,302,267,35,0,0,4,14,3,0,0,0,0,220,0,21
Stuart Armstrong,SCO,"MF,FW",Southampton,Premier League,30,1992,15.6,676,634,40,4,3,3,37,14,2,0,2,0,531,2,24
Marko Arnautović,AUT,FW,Bologna,Serie A,33,1989,17.0,467,420,40,0,3,0,9,4,0,0,0,0,328,7,15
Maximilian Arnold,GER,MF,Wolfsburg,Bundesliga,28,1994,30.7,1642,1335,296,177,6,32,154,9,87,57,28,0,1269,11,9
Mohamed El Arouch,FRA,MF,Lyon,Ligue 1,18,2004,0.0,2,1,1,0,0,0,1,0,1,1,0,0,1,0,0
Sergio Arribas,ESP,"MF,FW",Real Madrid,La Liga,20,2001,0.2,11,9,2,0,0,0,1,0,2,1,0,0,9,0,0
Kepa Arrizabalaga,ESP,GK,Chelsea,Premier League,27,1994,28.5,1046,805,241,59,0,3,0,0,0,0,0,0,871,0,1
Roberto Arroyo,ESP,MF,Valladolid,La Liga,18,2003,0.2,5,5,0,0,0,1,1,0,0,0,0,0,0,0,2
Tolgay Arslan,GER,MF,Udinese,Serie A,31,1990,13.5,605,556,48,27,0,15,28,6,14,7,1,0,485,1,14
Ricard Artero,ESP,"MF,FW",Girona,La Liga,19,2003,1.5,47,47,0,0,0,0,0,0,0,0,0,0,37,0,3
Santiago Arzamendia,PAR,"DF,MF",Cádiz,La Liga,24,1998,5.4,226,188,35,7,0,3,14,26,2,1,1,0,150,3,16
Takuma Asano,JPN,"FW,MF",Bochum,Bundesliga,27,1994,19.0,342,336,4,1,2,0,28,2,1,0,0,0,237,2,16
Santiago Ascacíbar,ARG,MF,Cremonese,Serie A,25,1997,8.1,435,412,21,11,0,4,5,5,5,0,3,0,358,2,9
Sergio Asenjo,ESP,GK,Valladolid,La Liga,33,1989,10.0,353,234,118,26,0,2,0,0,0,0,0,0,233,1,1
Marco Asensio,ESP,"FW,MF",Real Madrid,La Liga,26,1996,16.0,802,722,76,18,5,7,82,8,48,25,7,0,650,4,28
Kristoffer Askildsen,NOR,MF,Lecce,Serie A,21,2001,8.1,269,234,34,11,0,8,19,5,15,7,6,0,165,1,8
Fisnik Asllani,KVX,FW,Hoffenheim,Bundesliga,19,2002,1.9,63,62,1,0,0,0,3,0,0,0,0,0,37,0,4
Kristjan Asllani,ALB,MF,Inter,Serie A,20,2002,6.6,457,426,30,13,1,5,21,1,16,5,9,0,402,1,4
Iago Aspas,ESP,FW,Celta Vigo,La Liga,34,1987,31.9,1227,1146,75,23,15,15,45,11,23,8,6,0,936,6,33
Lorenz Assignon,TOG,DF,Rennes,Ligue 1,22,2000,2.9,155,127,27,5,0,0,4,22,0,0,0,0,127,1,2
Youcef Atal,ALG,"DF,MF",Nice,Ligue 1,26,1996,8.7,509,432,77,11,1,1,40,66,0,0,0,0,408,0,19
Valentin Atangana Edoa,FRA,MF,Reims,Ligue 1,16,2005,1.9,48,48,0,0,0,1,1,0,0,0,0,0,41,0,1
Pierre-Emerick Aubameyang,GAB,FW,Chelsea,Premier League,33,1989,6.2,111,101,10,0,0,0,3,0,0,0,0,0,82,0,5
Pierre-Emerick Aubameyang,GAB,FW,Barcelona,La Liga,33,1989,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Emil Audero,ITA,GK,Sampdoria,Serie A,25,1997,25.0,919,628,286,86,0,0,0,0,0,0,0,0,617,5,2
Tommaso Augello,ITA,DF,Sampdoria,Serie A,27,1994,34.0,1774,1408,365,49,0,5,170,295,21,6,15,0,1283,1,71
Ludwig Augustinsson,SWE,DF,Aston Villa,Premier League,28,1994,0.9,43,34,9,1,0,0,5,8,0,0,0,0,26,0,0
Ludwig Augustinsson,SWE,DF,Mallorca,La Liga,28,1994,1.5,70,60,10,0,0,0,6,10,0,0,0,0,49,0,0
Carlos Augusto,BRA,DF,Monza,Serie A,23,1999,34.3,1719,1409,305,20,2,7,54,280,0,0,0,0,1430,5,49
Serge Aurier,CIV,DF,Nott'ham Forest,Premier League,29,1992,21.6,943,758,183,16,1,0,40,167,0,0,0,0,667,2,28
Mathias Autret,FRA,"MF,FW",Auxerre,Ligue 1,31,1991,14.3,597,530,64,20,4,18,65,10,24,13,7,0,451,3,15
Ezequiel Ávila,ARG,"FW,MF",Osasuna,La Liga,28,1994,19.0,526,478,43,10,2,24,81,8,15,6,7,0,287,5,21
Cédric Avinel,GLP,DF,Ajaccio,Ligue 1,35,1986,19.9,714,693,21,21,0,1,0,0,0,0,0,0,607,0,2
Taiwo Awoniyi,NGA,FW,Nott'ham Forest,Premier League,24,1997,15.6,223,220,3,0,2,1,3,1,0,0,0,0,143,0,9
Yasin Ayari,SWE,MF,Brighton,Premier League,18,2003,0.7,23,22,0,0,1,0,0,0,0,0,0,0,20,1,0
Mehmet Aydin,GER,"DF,FW",Schalke 04,Bundesliga,20,2002,6.3,280,220,56,4,1,1,23,51,1,0,0,0,178,4,13
André Ayew,GHA,"FW,MF",Nott'ham Forest,Premier League,32,1989,3.5,73,68,5,0,0,0,1,0,1,0,0,0,53,0,0
Jordan Ayew,GHA,"FW,MF",Crystal Palace,Premier League,30,1991,30.2,875,860,13,3,5,1,43,9,0,0,0,0,676,2,34
Kaan Ayhan,TUR,DF,Sassuolo,Serie A,27,1994,6.1,332,311,20,15,0,7,0,2,0,0,0,0,288,1,2
Luke Ayling,ENG,DF,Leeds United,Premier League,30,1991,22.8,1132,912,212,22,0,11,62,190,0,0,0,0,786,8,46
Ayman Azhil,MAR,MF,Leverkusen,Bundesliga,21,2001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sardar Azmoun,IRN,"FW,MF",Leverkusen,Bundesliga,27,1995,10.3,247,232,13,0,2,0,0,1,0,0,0,0,162,2,10
César Azpilicueta,ESP,DF,Chelsea,Premier League,32,1989,17.0,1065,893,169,30,0,0,26,139,0,0,0,0,872,3,14
Sanoussy Ba,GER,DF,RB Leipzig,Bundesliga,18,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iddrisu Baba,GHA,"MF,DF",Mallorca,La Liga,26,1996,18.9,584,571,10,9,1,7,0,1,0,0,0,0,476,3,9
Srđan Babić,SRB,DF,Almería,La Liga,26,1996,33.3,1373,1295,71,65,1,12,2,5,0,0,0,0,1172,7,9
Loïc Bade,FRA,DF,Sevilla,La Liga,22,2000,16.1,847,829,15,12,0,0,4,2,0,0,0,0,735,3,9
Loïc Bade,FRA,DF,Rennes,Ligue 1,22,2000,1.0,59,59,0,0,0,0,0,0,0,0,0,0,52,0,0
Édgar Badía,ESP,GK,Elche,La Liga,30,1992,36.0,1072,666,402,106,0,1,0,0,0,0,0,0,791,4,0
Benoît Badiashile,FRA,DF,Chelsea,Premier League,21,2001,10.1,860,840,19,17,1,6,2,2,0,0,0,0,769,1,4
Benoît Badiashile,FRA,DF,Monaco,Ligue 1,21,2001,9.3,468,455,13,13,0,5,0,0,0,0,0,0,403,0,2
Alex Baena,ESP,"MF,FW",Villarreal,La Liga,21,2001,21.6,859,831,23,8,21,3,26,2,8,6,0,0,681,5,30
Jaime Báez,URU,DF,Cremonese,Serie A,27,1995,1.1,48,44,4,2,0,0,9,0,2,0,1,0,32,0,2
Leon Bailey,JAM,"FW,MF",Aston Villa,Premier League,24,1997,21.9,547,507,40,4,4,5,96,10,18,13,0,0,337,0,31
Eric Bailly,CIV,DF,Marseille,Ligue 1,28,1994,6.0,274,256,17,13,1,0,0,3,0,0,0,0,231,1,3
Dénys Bain,FRA,DF,Auxerre,Ligue 1,29,1993,1.4,56,55,1,1,0,1,0,0,0,0,0,0,52,0,0
Brandon Baiye,BEL,MF,Clermont Foot,Ligue 1,21,2000,0.6,32,29,3,3,0,0,0,0,0,0,0,0,27,0,0
Stefan Bajcetic,ESP,MF,Liverpool,Premier League,17,2004,5.8,258,255,3,3,0,3,5,0,0,0,0,0,200,0,6
Nedim Bajrami,ALB,"MF,FW",Empoli,Serie A,23,1999,10.4,348,305,43,9,0,4,35,8,18,10,5,0,260,0,8
Nedim Bajrami,ALB,"FW,MF",Sassuolo,Serie A,23,1999,9.1,355,307,48,9,0,0,57,5,34,17,13,0,245,0,15
Cédric Bakambu,COD,MF,Marseille,Ligue 1,31,1991,0.7,23,23,0,0,0,0,1,0,0,0,0,0,19,0,1
Tiemoué Bakayoko,FRA,MF,Milan,Serie A,27,1994,0.5,20,20,0,0,0,0,0,0,0,0,0,0,17,0,0
Mitchel Bakker,NED,"DF,MF",Leverkusen,Bundesliga,22,2000,18.4,968,790,177,14,1,8,26,162,1,0,0,0,764,1,20
Ridle Baku,GER,"DF,FW",Wolfsburg,Bundesliga,24,1998,28.7,1551,1286,258,24,2,7,70,232,2,2,0,0,1216,7,34
