Player,Nation,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Patrick van Aanholt,NED,DF,PSV Eindhoven,31,1990,1.5,74,66,8,1,0,0,4,6,1,0,1,0,62,0,1
Myenty Abena,SUR,DF,Ferencváros,27,1994,2.0,94,91,3,3,0,0,0,0,0,0,0,0,89,0,0
Matthis Abline,FRA,FW,Rennes,19,2003,1.6,23,20,3,0,0,0,2,0,0,0,0,0,18,0,1
Abner,BRA,DF,Betis,22,2000,1.3,41,29,12,0,0,0,3,12,0,0,0,0,29,0,3
Pape Abou Cissé,SEN,DF,Olympiacos,26,1995,3.3,213,203,10,8,0,1,0,1,0,0,0,0,168,0,1
Tammy Abraham,ENG,FW,Roma,24,1997,9.6,199,188,11,0,0,3,2,1,0,0,0,0,117,0,12
Malik Abubakari,GHA,FW,HJK,22,2000,4.9,74,59,15,0,0,0,0,0,0,0,0,0,58,0,2
Marcos Acuña,ARG,DF,Sevilla,30,1991,7.9,409,317,89,11,0,2,43,71,7,0,7,0,289,3,4
Junior Adamu,AUT,FW,RB Salzburg,21,2001,1.2,11,10,1,0,0,0,0,0,0,0,0,0,7,0,0
Antonio Adán,ESP,GK,Sporting CP,35,1987,6.3,246,178,67,22,0,0,0,0,0,0,0,0,175,1,0
Simon Adingra,CIV,"FW,DF",Union SG,20,2002,4.6,145,134,11,1,1,0,12,8,2,1,0,0,104,0,3
Amine Adli,MAR,"FW,MF",Leverkusen,22,2000,3.1,145,133,12,1,1,1,7,3,8,2,1,1,110,0,3
David Affengruber,AUT,DF,Sturm Graz,21,2001,5.4,232,225,6,5,0,0,0,1,0,0,0,0,173,1,1
Ruben Aguilar,FRA,"DF,MF",Monaco,29,1993,1.4,88,73,13,2,0,1,5,11,0,0,0,0,76,2,2
Tosin Aiyegun,BEN,FW,Zürich,24,1998,5.3,77,70,7,1,0,1,5,3,0,0,0,0,55,0,2
Albian Ajeti,SUI,FW,Sturm Graz,25,1997,3.4,41,38,3,0,0,0,1,0,0,0,0,0,30,0,1
Samet Akaydın,TUR,DF,Fenerbahçe,28,1994,2.0,125,121,4,4,0,0,0,0,0,0,0,0,109,0,0
Maghnes Akliouche,FRA,"FW,MF",Monaco,20,2002,0.5,21,20,0,0,0,0,2,0,0,0,0,0,14,1,0
Paul Akouokou,CIV,MF,Betis,24,1997,4.0,216,216,0,0,0,1,0,0,0,0,0,0,200,0,2
Jordi Alba,ESP,DF,Barcelona,33,1989,0.7,50,47,3,0,0,0,3,3,0,0,0,0,37,0,4
Luis Alberto,ESP,MF,Lazio,29,1992,3.4,302,276,25,4,3,0,16,1,13,5,6,0,250,1,6
Doğan Alemdar,TUR,GK,Rennes,19,2002,1.4,44,30,14,4,0,2,0,0,0,0,0,0,24,0,0
Mohamed Ali Cho,FRA,"MF,FW",Real Sociedad,18,2004,1.3,34,32,2,0,0,0,5,1,0,0,0,0,23,0,3
Ezgjan Alioski,MKD,DF,Fenerbahçe,30,1992,3.5,241,202,39,4,0,1,13,35,0,0,0,0,201,0,4
Fidan Aliti,KVX,DF,Zürich,28,1993,3.5,147,122,24,8,0,0,1,16,0,0,0,0,104,1,2
Richard Almeida,AZE,MF,Qarabağ,33,1989,3.4,263,252,7,3,1,4,3,4,0,0,0,0,226,4,3
Marcos Alonso,ESP,DF,Barcelona,31,1990,0.8,56,55,1,1,0,0,0,0,0,0,0,0,51,0,0
Omri Altman,ISR,"FW,MF",AÉK Lárnaka,28,1994,4.2,94,86,7,3,0,1,3,4,0,0,0,0,67,1,3
Edson Álvarez,MEX,MF,Ajax,24,1997,2.0,163,159,4,4,0,1,0,0,0,0,0,0,146,0,1
Nadiem Amiri,GER,"MF,FW",Leverkusen,25,1996,3.0,189,180,9,3,0,2,7,3,2,1,0,0,160,0,7
Isak Amundsen,NOR,DF,Bodø/Glimt,22,1999,0.4,39,38,1,1,0,0,0,0,0,0,0,0,35,0,0
Felipe Anderson,BRA,FW,Lazio,29,1993,4.9,201,197,3,0,0,2,10,1,1,0,1,0,152,1,10
Joel Andersson,SWE,DF,Midtjylland,25,1996,4.2,205,146,58,7,0,3,11,45,6,2,3,0,134,1,6
Leandro Andrade,CPV,"FW,MF",Qarabağ,22,1999,0.8,21,21,0,0,0,0,1,0,0,0,0,0,16,0,0
Valdemar Andreasen,DEN,FW,Midtjylland,17,2005,1.3,32,29,3,0,0,0,4,2,1,0,0,0,18,0,0
Henry Andreou,CYP,MF,AÉK Lárnaka,21,2001,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Robert Andrich,GER,MF,Leverkusen,27,1994,6.3,346,339,5,4,0,0,2,1,0,0,0,0,293,2,9
Oleksandr Andriyevskyi,UKR,MF,Dynamo Kyiv,28,1994,1.0,60,58,1,0,0,0,3,0,1,1,0,0,47,1,0
Thanasis Androutsos,GRE,DF,Olympiacos,25,1997,1.0,59,47,12,1,0,0,3,11,0,0,0,0,52,0,0
Ángel,ESP,DF,AÉK Lárnaka,29,1993,4.9,232,183,47,8,0,0,7,39,0,0,0,0,192,2,4
Karim Ansarifard,IRN,FW,AC Omonia,32,1990,2.2,46,41,4,0,0,0,0,0,0,0,0,0,33,1,0
Marcos Antônio,BRA,MF,Lazio,22,2000,1.6,121,121,0,0,0,0,0,0,0,0,0,0,114,0,0
Antony,BRA,FW,Manchester Utd,22,2000,7.0,272,259,10,5,1,2,19,4,1,0,1,0,213,3,7
Dennis Appiah,FRA,"DF,FW",Nantes,30,1992,3.2,159,119,40,3,0,0,8,37,0,0,0,0,116,0,5
Youssef El-Arabi,MAR,"FW,MF",Olympiacos,35,1987,1.8,67,65,2,0,0,0,0,0,0,0,0,0,46,0,2
Paulus Arajuuri,FIN,DF,HJK,34,1988,0.5,11,11,0,0,0,0,0,0,0,0,0,0,10,0,0
Aritz Arambarri,ESP,DF,Real Sociedad,24,1998,0.7,38,32,6,0,0,0,0,6,0,0,0,0,32,0,1
Willian Arão,BRA,MF,Fenerbahçe,29,1992,3.5,147,143,4,3,1,2,0,0,0,0,0,0,126,0,0
