Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Max Aarons,ENG,DF,Bournemouth,Premier League,23,2000,13.7,23,1.68,16,4,0,0,3,0,2,0.15,2,0,0,0,0,0
Brenden Aaronson,USA,"MF,FW",Union Berlin,Bundesliga,22,2000,14.1,53,3.76,41,1,8,3,0,0,8,0.57,6,0,2,0,0,0
Paxten Aaronson,USA,MF,Eint Frankfurt,Bundesliga,19,2003,1.1,1,0.89,1,0,0,0,0,0,1,0.89,1,0,0,0,0,0
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,17,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,30.9,24,0.78,19,1,0,3,1,0,1,0.03,0,0,0,1,0,0
Salis Abdul Samed,GHA,MF,Lens,Ligue 1,23,2000,16.9,27,1.60,27,0,0,0,0,0,3,0.18,3,0,0,0,0,0
Nabil Aberdin,FRA,DF,Getafe,La Liga,20,2002,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Laurent Abergel,FRA,MF,Lorient,Ligue 1,30,1993,31.8,81,2.55,67,3,2,1,2,6,5,0.16,3,0,1,0,0,1
Matthis Abline,FRA,FW,Nantes,Ligue 1,20,2003,11.6,38,3.28,30,0,5,2,1,0,2,0.17,0,0,1,0,1,0
Abner,BRA,DF,Betis,La Liga,23,2000,15.6,14,0.90,13,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,23,2000,8.4,20,2.39,10,0,2,3,3,2,2,0.24,0,0,0,1,1,0
Abdel Abqar,MAR,DF,Alavés,La Liga,24,1999,25.7,12,0.47,9,0,0,2,1,0,0,0.00,0,0,0,0,0,0
Tammy Abraham,ENG,FW,Roma,Serie A,25,1997,2.7,3,1.12,1,0,0,0,1,1,1,0.37,0,0,0,0,1,0
Francesco Acerbi,ITA,DF,Inter,Serie A,35,1988,26.5,22,0.83,19,0,0,3,0,0,1,0.04,1,0,0,0,0,0
Joshua Acheampong,ENG,DF,Chelsea,Premier League,17,2006,0.1,1,15.00,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Marcos Acuña,ARG,DF,Sevilla,La Liga,31,1991,14.4,49,3.42,28,15,3,0,2,1,4,0.28,1,3,0,0,0,0
Akor Adams,NGA,FW,Montpellier,Ligue 1,23,2000,25.0,43,1.72,29,0,5,8,1,0,3,0.12,0,0,2,1,0,0
Tyler Adams,USA,MF,Bournemouth,Premier League,24,1999,1.3,3,2.25,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Junior Adamu,AUT,"FW,MF",Freiburg,Bundesliga,22,2001,1.2,2,1.73,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,30,1993,8.9,31,3.48,22,0,1,1,6,1,3,0.34,1,0,0,1,1,0
Tosin Adarabioyo,ENG,DF,Fulham,Premier League,25,1997,18.0,10,0.56,6,0,0,4,0,0,0,0.00,0,0,0,0,0,0
Elijah Adebayo,ENG,FW,Luton Town,Premier League,25,1998,15.8,31,1.97,19,0,5,5,2,0,5,0.32,2,0,0,3,0,0
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,21,2002,10.1,25,2.46,13,1,3,2,6,0,2,0.20,2,0,0,0,0,0
Simon Adingra,CIV,FW,Brighton,Premier League,21,2002,24.7,77,3.12,51,1,13,7,3,2,4,0.16,3,0,0,0,0,1
