Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Rodrigo Abascal,URU,DF,Boavista,29,1994,27.5,30,1.09,25,1,0,1,1,2,3,0.11,2,0,0,0,1,0
Antonio Adán,ESP,GK,Sporting CP,36,1987,22.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dennis Adeniran,ENG,MF,Portimonense,24,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Martin Agirregabiria,ESP,DF,Famalicão,27,1996,13.4,25,1.87,21,3,1,0,0,0,2,0.15,2,0,0,0,0,0
Salvador Agra,POR,"FW,DF",Boavista,31,1991,27.3,84,3.08,48,27,1,5,3,0,7,0.26,4,1,1,0,1,0
Matheus Aiás,BRA,"FW,MF",Moreirense,26,1996,5.3,20,3.77,12,0,2,1,4,1,3,0.57,1,0,1,0,1,0
Alan,BRA,MF,Moreirense,23,2000,27.3,111,4.07,72,19,4,7,5,4,7,0.26,7,0,0,0,0,0
Rafael Alcobia,POR,DF,Portimonense,20,2003,2.3,4,1.77,4,0,0,0,0,0,1,0.44,1,0,0,0,0,0
Alemão,BRA,DF,Portimonense,20,2002,26.3,20,0.76,16,0,0,1,2,1,2,0.08,1,0,0,0,1,0
Ali Alipour,IRN,FW,Gil Vicente FC,27,1995,8.9,10,1.12,9,0,0,1,0,0,2,0.22,2,0,0,0,0,0
Almeida,BRA,DF,Estrela,23,2000,5.4,4,0.74,3,0,0,1,0,0,1,0.19,1,0,0,0,0,0
Pedro Álvaro,POR,DF,Estoril,23,2000,19.9,19,0.96,15,1,0,2,1,0,5,0.25,4,0,0,1,0,0
Pedro Amador,POR,DF,Moreirense,24,1998,12.6,21,1.67,16,5,0,0,0,0,4,0.32,3,1,0,0,0,0
Artur Jorge Marques Amorim,POR,DF,Farense,28,1994,5.5,1,0.18,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
André André,POR,MF,Vitória,33,1989,7.3,18,2.48,14,0,2,0,2,0,4,0.55,3,0,1,0,0,0
Andrew,BRA,GK,Gil Vicente FC,22,2001,32.0,3,0.09,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jeremy Antonisse,CUW,FW,Moreirense,21,2002,6.1,29,4.75,21,1,5,0,2,0,3,0.49,3,0,0,0,0,0
Pedro Aparício,POR,"MF,FW",Moreirense,27,1995,3.7,12,3.28,9,1,2,0,0,0,0,0.00,0,0,0,0,0,0
Óscar Aranda,ESP,"FW,MF",Famalicão,21,2002,8.0,33,4.12,14,5,8,0,6,0,2,0.25,0,0,2,0,0,0
Henrique Araújo,POR,FW,Famalicão,21,2002,7.6,14,1.85,9,0,1,3,1,0,1,0.13,0,0,0,1,0,0
Tiago Araújo,POR,"DF,MF",Estoril,22,2001,25.0,42,1.63,31,4,3,2,0,2,2,0.08,2,0,0,0,0,0
Tomás Araújo,POR,DF,Benfica,21,2002,5.4,10,1.87,7,1,0,1,0,1,2,0.37,0,0,0,1,0,1
Gustavo Assuncao,POR,MF,Famalicão,23,2000,7.0,10,1.44,5,3,0,1,0,1,1,0.14,1,0,0,0,0,0
Otavio Ataide,BRA,DF,Famalicão,21,2002,15.4,11,0.72,9,0,0,0,0,2,0,0.00,0,0,0,0,0,0
