Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Salis Abdul Samed,GHA,MF,Lens,23,2000,1.4,1,0.69,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abner,BRA,DF,Betis,23,2000,4.4,10,2.26,9,1,0,0,0,0,1,0.23,1,0,0,0,0,0
Zakaria Aboukhlal,MAR,FW,Toulouse,23,2000,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tammy Abraham,ENG,FW,Roma,25,1997,0.9,1,1.08,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Peter Abrahamsson,SWE,GK,Häcken,35,1988,6.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Junior Adamu,AUT,FW,Freiburg,22,2001,1.4,6,4.19,4,0,1,0,0,1,2,1.40,1,0,1,0,0,0
Antonio Adán,ESP,GK,Sporting CP,36,1987,6.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Peter Ademo,NGA,MF,Sheriff Tiraspol,20,2003,1.5,3,2.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Simon Adingra,CIV,"FW,MF",Brighton,21,2002,5.9,21,3.55,17,0,2,2,0,0,2,0.34,2,0,0,0,0,0
Amine Adli,MAR,"MF,FW",Leverkusen,23,2000,10.9,44,4.04,35,2,0,6,1,0,3,0.28,3,0,0,0,0,0
Yacine Adli,FRA,MF,Milan,23,2000,2.5,9,3.65,6,1,0,2,0,0,0,0.00,0,0,0,0,0,0
David Affengruber,AUT,DF,Sturm Graz,22,2001,5.9,6,1.02,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Nayef Aguerd,MAR,DF,West Ham,27,1996,4.5,1,0.22,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ruben Aguilar,FRA,DF,Lens,30,1993,1.2,2,2.25,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Ilias Akhomach,MAR,"MF,FW",Villarreal,19,2004,4.5,15,3.33,10,1,2,1,1,0,3,0.67,2,0,1,0,0,0
David Akpan Ankeye,NGA,FW,Sheriff Tiraspol,21,2002,4.5,6,1.35,3,0,0,1,2,0,2,0.45,1,0,0,1,0,0
Chuba Akpom,ENG,"FW,MF",Ajax,27,1995,2.1,8,3.83,5,0,0,1,1,1,0,0.00,0,0,0,0,0,0
Kerem Aktürkoğlu,TUR,FW,Galatasaray,24,1998,1.6,4,2.50,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Raúl Albiol,ESP,DF,Villarreal,37,1985,1.6,1,0.64,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Trent Alexander-Arnold,ENG,DF,Liverpool,24,1998,3.1,16,5.16,12,3,0,1,0,0,3,0.97,2,0,0,1,0,0
Sotiris Alexandropoulos,GRE,"MF,FW",Olympiacos,21,2001,2.7,8,3.00,5,0,1,2,0,0,0,0.00,0,0,0,0,0,0
Alisson,BRA,GK,Liverpool,30,1992,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Barış Alper Yılmaz,TUR,"FW,DF",Galatasaray,23,2000,2.0,5,2.50,3,0,0,0,1,1,1,0.50,1,0,0,0,0,0
Adrià Altimira,ESP,DF,Villarreal,22,2001,3.1,8,2.54,7,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Edson Álvarez,MEX,MF,West Ham,25,1997,5.5,8,1.44,6,0,1,1,0,0,2,0.36,2,0,0,0,0,0
Mohamed Aly Camara,GUI,DF,Young Boys,25,1997,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Romeo Amane,CIV,MF,Häcken,20,2003,4.1,17,4.10,15,0,1,0,0,1,0,0.00,0,0,0,0,0,0
Jaydon Amauri Banel,NED,MF,Ajax,18,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Aurele Amenda,SUI,DF,Young Boys,20,2003,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Michael Amir Murillo,PAN,"DF,MF",Marseille,27,1996,3.1,4,1.42,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Mohamed Amoura,ALG,FW,Union SG,23,2000,4.9,13,2.67,10,0,1,1,1,0,4,0.82,2,0,1,0,1,0
Nordin Amrabat,MAR,"MF,FW",AEK Athens,36,1987,5.1,16,3.13,12,1,2,1,0,0,1,0.20,1,0,0,0,0,0
Andrés Andrade Cedeño,PAN,DF,LASK,24,1998,5.2,2,0.39,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Leandro Andrade,CPV,"FW,MF",Qarabağ,23,1999,8.7,25,2.88,21,0,1,2,0,1,2,0.23,2,0,0,0,0,0
Patrick Andrade,CPV,MF,Qarabağ,30,1993,2.8,3,1.13,2,0,1,0,0,0,1,0.38,1,0,0,0,0,0
Markus Andreas Kaasa,NOR,MF,Molde,26,1997,4.0,6,1.50,5,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Robert Andrich,GER,"MF,DF",Leverkusen,28,1994,8.4,10,1.18,9,0,0,1,0,0,3,0.36,3,0,0,0,0,0
Angeliño,ESP,"DF,FW",Roma,26,1997,1.5,3,2.29,2,1,0,0,0,0,1,0.76,1,0,0,0,0,0
Goran Antonić,SRB,DF,TSC Bačka Top,32,1990,4.7,3,0.64,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Michail Antonio,JAM,FW,West Ham,33,1990,3.6,8,2.24,5,1,1,1,0,0,1,0.28,1,0,0,0,0,0
Alexis Antunes,SUI,"MF,FW",Servette FC,23,2000,3.2,6,1.86,3,0,1,0,1,1,0,0.00,0,0,0,0,0,0
Houssem Aouar,ALG,MF,Roma,25,1998,4.4,9,2.20,5,1,1,1,1,0,1,0.24,1,0,0,0,0,0
Ayman Aourir,GER,MF,Leverkusen,18,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kostas Apostolakis,GRE,DF,Sheriff Tiraspol,24,1999,2.2,1,0.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Youssef El-Arabi,MAR,FW,Olympiacos,36,1987,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Willian Arão,BRA,"MF,DF",Panathinaikos,30,1992,4.3,6,1.40,4,1,0,1,0,0,2,0.47,0,1,0,1,0,0
Sergio Araujo,ARG,"MF,FW",AEK Athens,31,1992,2.3,10,4.41,9,0,0,1,0,0,1,0.44,1,0,0,0,0,0
Alphonse Areola,FRA,GK,West Ham,30,1993,1.0,1,1.00,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Zoran Arsenić,CRO,DF,RKS Raków,29,1994,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alejandro Artunduaga,COL,DF,Sheriff Tiraspol,25,1997,5.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lorenz Assignon,TOG,DF,Rennes,23,2000,4.0,13,3.24,11,0,1,0,1,0,2,0.50,0,0,1,0,1,0
Giorgos Athanasiadis,GRE,GK,AEK Athens,30,1993,2.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Noah Atubolu,GER,GK,Freiburg,21,2002,10.3,3,0.30,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Pierre-Emerick Aubameyang,GAB,FW,Marseille,34,1989,11.4,24,2.17,16,0,4,1,3,0,6,0.54,2,0,3,0,1,0
