Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Ahmed Abdullahi,NGA,FW,Gent,19,2004,0.3,1,3.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Shuto Abe,JPN,MF,RWD Molenbeek,25,1997,16.4,22,1.34,16,0,0,3,2,1,2,0.12,1,0,0,1,0,0
Abner,BRA,"DF,MF",RWD Molenbeek,27,1996,20.6,21,1.02,16,1,0,2,2,0,0,0.00,0,0,0,0,0,0
Francis Abu,GHA,MF,Cercle Brugge,22,2001,4.5,10,2.21,8,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Tayo Adaramola,IRL,DF,RWD Molenbeek,19,2003,6.4,7,1.10,6,1,0,0,0,0,1,0.16,1,0,0,0,0,0
Noah Adedeji,BEL,"MF,FW",Genk,18,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jonathan Afolabi,IRL,FW,Kortrijk,23,2000,4.4,4,0.90,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Brian Agbor,CMR,DF,Gent,22,2001,2.3,1,0.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Takahiro Akimoto,JPN,DF,OH Leuven,25,1998,2.9,8,2.76,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Carlos Alberto,BRA,"FW,MF",RWD Molenbeek,21,2002,7.3,11,1.50,9,0,0,2,0,0,2,0.27,2,0,0,0,0,0
Josimar Alcocer,CRC,"FW,MF",Westerlo,19,2004,0.3,1,3.75,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Toby Alderweireld,BEL,DF,Antwerp,34,1989,28.9,35,1.21,27,2,0,5,1,0,6,0.21,4,0,0,2,0,0
Ryan Alebiosu,ENG,"DF,MF",Kortrijk,21,2001,3.9,11,2.84,5,3,1,1,1,0,3,0.78,1,1,1,0,0,0
Teddy Alloh,FRA,DF,Eupen,21,2002,2.2,6,2.74,6,0,0,0,0,0,1,0.46,1,0,0,0,0,0
