Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Abner,BRA,DF,Juventude,20-181,2004,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Luiz Adriano,BRA,FW,Vitória,37-188,1987,2.2,0,2,1,50.0,0.89,0.45,0.00,0.00,10.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Adryelson,BRA,DF,Botafogo (RJ),26-208,1998,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Adson,BRA,FW,Vasco da Gama,24-011,2000,13.6,2,25,10,40.0,1.84,0.74,0.08,0.20,20.0,0,0,0,1.5,1.5,0.06,+0.5,+0.5
Lucas Alario,ARG,"FW,MF",Internacional,32-009,1992,7.1,0,13,2,15.4,1.83,0.28,0.00,0.00,11.2,1,0,0,1.9,1.9,0.15,-1.9,-1.9
Carlos Alberto,BRA,FW,Botafogo (RJ),22-186,2002,2.3,1,8,3,37.5,3.51,1.32,0.13,0.33,9.0,0,0,0,1.6,1.6,0.20,-0.6,-0.6
Yuri Alberto,BRA,FW,Corinthians,23-213,2001,18.4,7,54,18,33.3,2.93,0.98,0.09,0.28,16.7,0,2,2,5.6,4.0,0.07,+1.4,+1.0
Carlos Alcaraz,ARG,MF,Flamengo,21-322,2002,2.4,1,5,2,40.0,2.10,0.84,0.00,0.00,29.8,1,1,1,1.1,0.3,0.06,-0.1,-0.3
Alerrandro,BRA,FW,Vitória,24-279,2000,18.9,7,43,16,37.2,2.28,0.85,0.09,0.25,19.4,0,3,3,6.1,3.7,0.09,+0.9,+0.3
Caio Alexandre,BRA,MF,Bahia,25-236,1999,25.0,2,17,4,23.5,0.68,0.16,0.12,0.50,25.0,0,0,0,0.9,0.9,0.05,+1.1,+1.1
Matheus Alexandre,BRA,DF,Cuiabá,25-193,1999,19.3,0,5,1,20.0,0.26,0.05,0.00,0.00,21.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Alexsander,BRA,MF,Fluminense,21-009,2003,8.8,0,13,3,23.1,1.48,0.34,0.00,0.00,23.1,0,0,0,0.4,0.4,0.03,-0.4,-0.4
Alisson,BRA,GK,Criciúma,29-131,1995,3.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
