Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Mitchel Bakker,NED,"DF,MF",Leverkusen,Bundesliga,22,2000,28,"1,659",59,54.2,18.4,19,80,11,9,15,4,1.50,33,28,+5,+0.27,+0.08,25.1,22.9,+2.2,+0.12,-0.29
Ridle Baku,GER,"DF,FW",Wolfsburg,Bundesliga,24,1998,33,"2,580",78,84.3,28.7,29,86,23,4,25,0,1.48,52,41,+11,+0.38,+0.76,44.3,42.9,+1.4,+0.05,+0.32
Tommaso Baldanzi,ITA,MF,Empoli,Serie A,19,2003,26,"1,772",68,51.8,19.7,24,72,6,2,28,5,1.15,17,23,-6,-0.30,+0.02,18.9,26.2,-7.3,-0.37,+0.30
Alejandro Balde,ESP,DF,Barcelona,La Liga,18,2003,33,"2,471",75,72.3,27.5,30,81,21,3,9,4,2.45,48,15,+33,+1.20,-0.41,53.8,25.9,+27.9,+1.02,-0.35
Ibrahima Baldé,FRA,FW,Lens,Ligue 1,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Thierno Balde,FRA,"DF,MF",Troyes,Ligue 1,20,2002,31,"2,153",69,63.0,23.9,25,83,13,6,15,1,0.65,28,52,-24,-1.00,-0.15,22.7,45.6,-22.9,-0.95,+0.19
Gabriele Baldi,ITA,GK,Roma,Serie A,17,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
Carlos Baleba,CMR,MF,Lille,Ligue 1,18,2004,19,478,25,14.0,5.3,5,72,0,14,9,13,2.05,9,4,+5,+0.94,+0.45,9.0,4.8,+4.2,+0.80,+0.07
Mikel Balenziaga,ESP,DF,Athletic Club,La Liga,34,1988,3,115,38,3.4,1.3,1,69,0,2,23,27,1.00,1,3,-2,-1.57,-1.73,0.8,1.5,-0.6,-0.50,-0.99
Leonardo Balerdi,ARG,DF,Marseille,Ligue 1,23,1999,35,"2,639",75,77.2,29.3,30,82,24,5,36,1,1.89,51,31,+20,+0.68,-0.12,48.4,33.6,+14.8,+0.51,-0.42
Dominic Ballard,ENG,"FW,MF",Southampton,Premier League,17,2005,2,26,13,0.8,0.3,0,,0,2,13,0,0.50,0,0,0,0.00,+0.98,0.1,1.2,-1.0,-3.63,-3.04
Iván Balliu,ALB,DF,Rayo Vallecano,La Liga,30,1992,37,"3,232",87,94.5,35.9,37,87,31,0,,0,1.30,43,47,-4,-0.11,+1.80,38.7,46.1,-7.4,-0.21,-0.67
Fodé Ballo-Touré,SEN,DF,Milan,Serie A,25,1997,10,523,52,15.3,5.8,5,90,5,5,15,24,1.80,6,8,-2,-0.34,-1.06,8.4,7.6,+0.9,+0.15,-0.37
Kofi Balmer,NIR,DF,Crystal Palace,Premier League,21,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Folarin Balogun,USA,FW,Reims,Ligue 1,21,2001,37,"2,999",81,87.7,33.3,34,86,19,3,29,0,1.35,42,37,+5,+0.15,+1.22,56.9,45.2,+11.7,+0.35,+0.96
Abdoulaye Bamba,CIV,DF,Angers,Ligue 1,32,1990,21,"1,364",65,39.9,15.2,12,90,12,9,32,14,0.52,17,36,-19,-1.25,+0.02,16.9,23.5,-6.6,-0.44,+0.19
