Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Michele Cerofolini,ITA,GK,Fiorentina,Serie A,23,1999,5,450,90,13.2,5.0,5,90,5,0,,33,2.60,13,3,+10,+2.00,+2.00,8.5,4.1,+4.4,+0.88,+0.66
Franco Cervi,ARG,"MF,DF",Celta Vigo,La Liga,28,1994,36,"1,894",53,55.4,21.0,21,76,6,15,21,1,1.11,19,37,-18,-0.86,-1.33,23.9,26.1,-2.3,-0.11,-0.07
Julian Chabot,GER,DF,Köln,Bundesliga,24,1998,21,"1,803",86,58.9,20.0,21,86,18,0,,5,1.38,30,24,+6,+0.30,+1.09,28.7,22.4,+6.3,+0.31,+0.39
Florian Chabrolle,FRA,MF,Ajaccio,Ligue 1,24,1998,7,329,47,9.6,3.7,3,90,3,4,15,15,0.43,3,12,-9,-2.46,-1.24,1.9,5.7,-3.8,-1.05,-0.64
El Chadaille Bitshiabu,FRA,DF,Paris S-G,Ligue 1,17,2005,13,583,45,17.0,6.5,6,74,2,7,20,19,1.92,9,12,-3,-0.46,-2.11,10.3,12.0,-1.7,-0.27,-1.27
Sofyan Chader,FRA,MF,Clermont Foot,Ligue 1,22,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
Fares Chaïbi,ALG,"FW,MF",Toulouse,Ligue 1,19,2002,36,"2,340",65,68.4,26.0,24,81,8,12,33,0,1.22,39,30,+9,+0.35,+1.60,36.8,37.5,-0.7,-0.03,+0.28
Nathaniel Chalobah,ENG,MF,Fulham,Premier League,27,1994,4,12,3,0.4,0.1,1,7,0,3,2,10,1.50,0,0,0,0.00,-0.05,0.1,0.4,-0.3,-1.94,-1.49
Trevoh Chalobah,ENG,DF,Chelsea,Premier League,23,1999,25,"1,608",64,47.0,17.9,18,86,15,7,8,10,1.20,20,24,-4,-0.22,+0.02,23.1,31.6,-8.5,-0.48,-0.75
Muhammed Cham,AUT,MF,Clermont Foot,Ligue 1,21,2000,38,"1,968",52,57.5,21.9,23,74,3,15,18,0,1.55,27,32,-5,-0.23,-0.29,27.9,33.9,-6.0,-0.28,+0.02
Calum Chambers,ENG,"DF,MF",Aston Villa,Premier League,27,1995,14,353,25,10.3,3.9,2,90,2,12,14,22,2.07,4,4,0,0.00,-0.15,3.5,5.6,-2.1,-0.53,-0.53
Luke Chambers,ENG,DF,Liverpool,Premier League,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
Timothy Chandler,USA,DF,Eint Frankfurt,Bundesliga,32,1990,6,86,14,2.8,1.0,0,,0,6,14,25,2.17,1,5,-4,-4.19,-4.49,1.2,2.1,-0.9,-0.94,-1.23
Gaëtan Charbonnier,FRA,"FW,MF",Auxerre,Ligue 1,33,1988,6,254,42,7.4,2.8,3,72,1,3,13,0,0.83,3,9,-6,-2.13,-1.50,2.8,5.8,-3.0,-1.06,-0.70
Brendan Chardonnet,FRA,DF,Brest,Ligue 1,27,1994,30,"2,491",83,72.8,27.7,27,90,27,3,20,2,1.30,31,37,-6,-0.22,+0.17,33.7,36.1,-2.4,-0.09,+0.90
Shea Charles,NIR,DF,Manchester City,Premier League,18,2003,1,28,28,0.8,0.3,0,,0,1,28,1,0.00,0,1,-1,-3.21,-4.86,0.8,0.7,+0.1,+0.38,-0.85
Xavier Chavalerin,FRA,MF,Troyes,Ligue 1,31,1991,34,"2,426",71,70.9,27.0,25,89,23,9,23,3,0.65,28,57,-29,-1.08,-0.44,25.4,59.8,-34.4,-1.28,-0.86
Pep Chavarría,ESP,"FW,MF",Rayo Vallecano,La Liga,24,1998,16,366,23,10.7,4.1,2,68,0,14,17,18,1.75,7,7,0,0.00,+0.24,5.6,4.6,+1.0,+0.24,+0.46
Justin Che,USA,DF,Hoffenheim,Bundesliga,18,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
Ivane Chegra,FRA,"MF,FW",Ajaccio,Ligue 1,18,2004,6,193,32,5.6,2.1,1,45,0,5,30,1,0.67,1,5,-4,-1.87,-0.55,1.1,2.5,-1.3,-0.61,-0.15
Pape Cheikh Diop,SEN,MF,Elche,La Liga,24,1997,2,37,19,1.1,0.4,0,,0,2,19,10,0.33,2,1,+1,+2.43,+3.44,0.2,0.9,-0.8,-1.82,-0.98
Rayan Cherki,FRA,"MF,FW",Lyon,Ligue 1,18,2003,34,"1,872",55,54.7,20.8,21,79,9,13,16,4,1.56,38,22,+16,+0.77,+0.65,36.4,28.0,+8.3,+0.40,+0.33
Luigi Cherubini,ITA,FW,Roma,Serie A,18,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
Ilyes Cheti,ALG,DF,Angers,Ligue 1,27,1995,6,207,35,6.1,2.3,2,55,0,4,24,13,0.50,1,7,-6,-2.61,-1.43,3.2,5.3,-2.2,-0.94,-0.42
Lucas Chevalier,FRA,GK,Lille,Ligue 1,20,2001,32,"2,880",90,84.2,32.0,32,90,32,0,,6,1.78,52,31,+21,+0.66,+0.66,58.4,31.8,+26.5,+0.83,+0.55
Fabio Chiarodia,ITA,DF,Werder Bremen,Bundesliga,17,2005,3,66,22,2.2,0.7,1,62,0,2,2,23,1.33,0,1,-1,-1.36,-1.00,0.3,2.9,-2.6,-3.52,-3.24
Federico Chiesa,ITA,"DF,MF",Juventus,Serie A,24,1997,21,852,41,24.9,9.5,6,76,1,15,26,0,1.81,14,10,+4,+0.42,-0.24,14.9,10.0,+4.9,+0.52,+0.21
Mattia Chiesa,ITA,GK,Hellas Verona,Serie A,22,2000,0,,,,,0,,0,0,,12,,,,,,,,,,,
Jeremiah Chilokoa-Mullen,SCO,DF,Leeds United,Premier League,18,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
Ben Chilwell,ENG,"DF,MF",Chelsea,Premier League,25,1996,23,"1,408",61,41.2,15.6,15,85,10,8,17,2,1.26,16,19,-3,-0.19,+0.08,20.2,18.4,+1.7,+0.11,+0.32
Vlad Chiricheș,ROU,DF,Cremonese,Serie A,32,1989,16,983,61,28.7,10.9,14,68,7,2,17,3,0.81,5,20,-15,-1.37,-0.71,7.2,18.0,-10.9,-1.00,-0.39
Pedro Chirivella,ESP,MF,Nantes,Ligue 1,25,1997,26,"2,028",78,59.3,22.5,25,80,10,1,28,2,0.96,20,29,-9,-0.40,+0.18,25.7,30.5,-4.7,-0.21,+0.11
Mannah Chiwisa,ZAM,MF,Atalanta,Serie A,18,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
Joris Chotard,FRA,MF,Montpellier,Ligue 1,20,2001,35,"2,461",70,72.0,27.3,26,87,17,9,24,2,1.40,51,44,+7,+0.26,+0.63,39.6,45.4,-5.8,-0.21,+0.18
Andreas Christensen,DEN,DF,Barcelona,La Liga,26,1996,23,"1,760",77,51.5,19.6,22,80,15,1,6,4,2.30,33,13,+20,+1.02,-0.60,34.9,19.5,+15.4,+0.79,-0.67
Oliver Christensen,DEN,GK,Hertha BSC,Bundesliga,23,1999,33,"2,970",90,97.1,33.0,33,90,33,0,,1,0.79,40,68,-28,-0.85,-1.85,37.4,56.6,-19.2,-0.58,+0.75
Ryan Christie,SCO,"MF,FW",Bournemouth,Premier League,27,1995,32,"1,834",57,53.6,20.4,22,74,5,10,20,6,1.09,19,35,-16,-0.79,+0.24,21.1,30.7,-9.6,-0.47,+0.42
Carney Chukwuemeka,ENG,"MF,FW",Chelsea,Premier League,18,2003,14,354,25,10.4,3.9,2,72,0,12,18,7,1.29,2,7,-5,-1.27,-1.15,6.0,8.2,-2.2,-0.55,-0.53
Samuel Chukwueze,NGA,"FW,MF",Villarreal,La Liga,23,1999,37,"2,339",63,68.4,26.0,27,77,9,10,25,1,1.73,41,33,+8,+0.31,-0.61,42.0,34.9,+7.2,+0.28,-0.11
Chumi,ESP,DF,Almería,La Liga,23,1999,21,"1,489",71,43.5,16.5,15,89,13,6,27,9,1.10,20,30,-10,-0.60,-0.32,20.3,31.7,-11.4,-0.69,-0.43
Darko Churlinov,MKD,FW,Stuttgart,Bundesliga,22,2000,1,27,27,0.9,0.3,0,,0,1,27,0,1.00,0,0,0,0.00,+0.36,0.1,1.1,-1.1,-3.52,-3.62
Víctor Chust,ESP,DF,Cádiz,La Liga,22,2000,14,965,69,28.2,10.7,10,78,8,4,48,4,0.86,7,20,-13,-1.21,-0.85,8.7,20.3,-11.6,-1.08,-0.77
Aaron Ciammaglichella,ITA,MF,Torino,Serie A,17,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
Dorian Ciężkowski,POL,GK,Cremonese,Serie A,21,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
Tolga Ciğerci,TUR,MF,Hertha BSC,Bundesliga,30,1992,11,672,61,22.0,7.5,10,63,1,1,45,1,0.73,7,17,-10,-1.34,-0.70,8.3,10.9,-2.6,-0.35,+0.32
Yanis Cimignani,FRA,"MF,DF",Ajaccio,Ligue 1,20,2002,8,279,35,8.2,3.1,3,68,1,5,15,4,0.63,3,2,+1,+0.32,+1.81,4.4,2.6,+1.8,+0.58,+1.14
Daniel Ciofani,ITA,FW,Cremonese,Serie A,37,1985,32,"1,060",33,31.0,11.8,10,63,0,22,20,4,0.72,18,20,-2,-0.17,+1.01,14.5,18.3,-3.8,-0.32,+0.58
Tio Cipot,SVN,"FW,MF",Spezia,Serie A,19,2003,8,139,17,4.1,1.5,0,,0,8,17,12,0.22,0,3,-3,-1.94,-1.17,1.6,3.0,-1.4,-0.93,-0.47
Pathé Ciss,SEN,"MF,DF",Rayo Vallecano,La Liga,28,1994,32,"1,282",40,37.5,14.2,12,77,6,20,18,6,1.47,9,27,-18,-1.26,-1.68,15.3,21.8,-6.5,-0.46,-0.46
Alphadjo Cissè,ITA,MF,Hellas Verona,Serie A,15,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,
Souleymane Cissé,FRA,DF,Clermont Foot,Ligue 1,19,2002,2,36,18,1.1,0.4,0,,0,2,18,18,0.00,0,1,-1,-2.50,-2.42,0.2,1.2,-1.0,-2.40,-2.14
Mattia Ciucci,ITA,DF,Lecce,Serie A,19,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
Patrick Ciurria,ITA,"DF,MF",Monza,Serie A,27,1995,36,"2,753",76,80.5,30.6,31,85,21,5,25,2,1.44,42,35,+7,+0.23,+1.71,38.5,40.0,-1.5,-0.05,+0.47
Bobby Clark,ENG,MF,Liverpool,Premier League,17,2005,1,8,8,0.2,0.1,0,,0,1,8,5,3.00,1,0,+1,+11.25,+10.54,0.3,0.0,+0.3,+3.13,+2.59
Caden Clark,USA,MF,RB Leipzig,Bundesliga,19,2003,0,,,,,0,,0,0,,5,,,,,,,,,,,
Alexis Claude-Maurice,FRA,FW,Nice,Ligue 1,24,1998,2,64,32,1.9,0.7,1,45,0,1,19,2,0.00,0,3,-3,-4.22,-4.59,0.9,1.2,-0.3,-0.36,-0.70
Alexis Claude-Maurice,FRA,"MF,FW",Lens,Ligue 1,24,1998,20,604,30,17.7,6.7,5,66,0,15,18,6,2.45,13,6,+7,+1.04,+0.02,11.9,7.2,+4.8,+0.71,+0.12
Jonathan Clauss,FRA,DF,Marseille,Ligue 1,29,1992,34,"2,590",76,75.7,28.8,32,79,16,2,30,0,1.94,52,27,+25,+0.87,+0.65,48.3,32.1,+16.2,+0.56,-0.15
Carlos Clerc,ESP,"DF,MF",Elche,La Liga,30,1992,32,"2,639",82,77.2,29.3,31,84,21,1,22,5,0.72,24,50,-26,-0.89,+0.38,29.1,50.7,-21.7,-0.74,+0.51
Nathaniel Clyne,ENG,DF,Crystal Palace,Premier League,31,1991,22,"1,640",75,48.0,18.2,19,84,14,3,17,8,0.77,13,23,-10,-0.55,-0.60,15.7,25.7,-10.1,-0.55,-0.62
Conor Coady,ENG,"DF,MF",Wolves,Premier League,29,1993,0,,,,,0,,0,0,,1,,,,,,,,,,,
Conor Coady,ENG,DF,Everton,Premier League,29,1993,24,"2,096",87,61.3,23.3,23,90,22,1,36,11,1.00,16,28,-12,-0.52,+0.23,24.2,36.0,-11.8,-0.51,+0.08
Manu Cocca,ARG,DF,Elche,La Liga,19,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,
Nicolò Cocetta,ITA,DF,Udinese,Serie A,18,2003,1,32,32,0.9,0.4,0,,0,1,32,1,0.00,0,1,-1,-2.81,-2.81,0.4,0.6,-0.2,-0.64,-0.52
Marcus Coco,FRA,"FW,MF",Nantes,Ligue 1,26,1996,26,641,25,18.7,7.1,6,62,0,20,14,10,1.08,8,7,+1,+0.14,+0.76,9.9,10.8,-0.9,-0.13,+0.16
Alexandre Coeff,FRA,DF,Auxerre,Ligue 1,30,1992,7,586,84,17.1,6.5,6,90,6,1,46,6,0.86,6,14,-8,-1.23,-0.59,6.9,11.2,-4.4,-0.67,-0.31
Jack Colback,ENG,MF,Nott'ham Forest,Premier League,32,1989,11,497,45,14.5,5.5,4,77,2,7,27,7,1.36,3,11,-8,-1.45,-0.77,4.7,9.7,-5.0,-0.91,-0.30
Séamus Coleman,IRL,DF,Everton,Premier League,33,1988,23,"1,656",72,48.4,18.4,20,77,9,3,37,7,0.91,15,25,-10,-0.54,+0.12,22.6,32.6,-10.0,-0.54,-0.01
David Čolina,CRO,"DF,FW",Augsburg,Bundesliga,22,2000,7,166,24,5.4,1.8,0,,0,7,24,5,0.14,1,6,-5,-2.71,-2.21,2.7,4.4,-1.7,-0.91,-0.21
Álex Collado,ESP,MF,Elche,La Liga,23,1999,15,722,48,21.1,8.0,8,64,2,7,30,12,,6,17,-11,-1.37,-0.50,6.9,13.4,-6.5,-0.80,+0.07
Diego Collado,ESP,FW,Villarreal,La Liga,21,2001,2,6,3,0.2,0.1,0,,0,2,3,1,1.50,1,0,+1,+15.00,+14.53,1.6,0.1,+1.5,+22.48,+22.21
Omar Colley,GAM,DF,Sampdoria,Serie A,29,1992,16,"1,384",87,40.5,15.4,15,89,14,1,45,0,0.44,6,25,-19,-1.24,0.00,13.4,22.8,-9.4,-0.61,+0.39
Nathan Collins,IRL,DF,Wolves,Premier League,21,2001,26,"1,814",70,53.0,20.2,19,87,18,7,23,9,1.04,16,36,-20,-0.99,-0.60,21.5,32.4,-10.9,-0.54,+0.14
Leonardo Colombo,ITA,MF,Monza,Serie A,17,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,
Lorenzo Colombo,ITA,FW,Lecce,Serie A,20,2002,33,"1,515",46,44.3,16.8,18,69,0,15,18,4,0.97,20,18,+2,+0.12,+0.83,18.8,19.3,-0.5,-0.03,+0.23
Matteo Colombo,ITA,MF,Atalanta,Serie A,18,2004,0,,,,,0,,0,0,,4,,,,,,,,,,,
Andrea Colpani,ITA,MF,Monza,Serie A,23,1999,27,948,35,27.7,10.5,10,61,0,17,20,8,1.22,16,12,+4,+0.38,+0.67,13.5,14.2,-0.7,-0.07,+0.10
Levi Colwill,ENG,DF,Brighton,Premier League,19,2003,17,"1,220",72,35.7,13.6,13,88,11,4,19,11,1.71,29,21,+8,+0.59,+0.14,26.3,22.3,+4.1,+0.30,-0.48
Kingsley Coman,FRA,"FW,MF",Bayern Munich,Bundesliga,26,1996,24,"1,409",59,46.0,15.7,16,71,2,8,35,3,2.17,43,11,+32,+2.04,+0.84,34.3,12.9,+21.4,+1.37,+0.47
Eray Cömert,SUI,DF,Valencia,La Liga,24,1998,23,"1,672",73,48.9,18.6,19,84,15,4,20,12,1.22,22,22,0,0.00,+0.15,24.6,24.7,0.0,0.00,-0.30
Santi Comesaña,ESP,MF,Rayo Vallecano,La Liga,25,1996,35,"2,451",70,71.7,27.2,29,77,7,6,36,0,1.20,36,33,+3,+0.11,+1.13,33.2,34.9,-1.7,-0.06,+0.38
Mattia Compagnon,ITA,MF,Juventus,Serie A,20,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
Diego Conde,ESP,GK,Getafe,La Liga,23,1998,0,,,,,0,,0,0,,36,,,,,,,,,,,
Martín Conde,ESP,DF,Celta Vigo,La Liga,19,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
Andrea Consigli,ITA,GK,Sassuolo,Serie A,35,1987,35,"3,150",90,92.1,35.0,35,90,35,0,,1,1.26,45,55,-10,-0.29,+1.05,48.4,44.0,+4.4,+0.13,+0.96
Abdu Conté,POR,DF,Troyes,Ligue 1,24,1998,19,"1,315",69,38.5,14.6,15,81,9,4,26,1,0.68,21,26,-5,-0.34,+0.98,13.3,30.1,-16.8,-1.15,-0.20
Andrea Conti,ITA,DF,Sampdoria,Serie A,28,1994,1,23,23,0.7,0.3,0,,0,1,23,7,0.00,0,1,-1,-3.91,-2.69,0.0,0.2,-0.2,-0.71,+0.14
Nikita Contini Baranovsky,ITA,GK,Sampdoria,Serie A,26,1996,0,,,,,0,,0,0,,14,,,,,,,,,,,
Lewis Cook,ENG,MF,Bournemouth,Premier League,25,1997,28,"1,720",61,50.3,19.1,18,84,14,10,21,5,0.89,18,39,-21,-1.10,-0.41,15.8,31.7,-15.9,-0.83,-0.34
Steve Cook,ENG,DF,Nott'ham Forest,Premier League,31,1991,12,957,80,28.0,10.6,11,86,8,1,12,7,0.83,7,21,-14,-1.32,-0.73,10.5,14.9,-4.5,-0.42,+0.33
Liam Cooper,SCO,DF,Leeds United,Premier League,30,1991,18,"1,426",79,41.7,15.8,16,85,14,2,31,7,0.56,20,32,-12,-0.76,+0.06,20.9,26.3,-5.4,-0.34,+0.31
Copete,ESP,DF,Mallorca,La Liga,22,1999,28,"2,206",79,64.5,24.5,27,81,16,1,14,6,1.39,22,26,-4,-0.16,-0.01,22.0,31.4,-9.4,-0.38,-0.25
Diego Coppola,ITA,DF,Hellas Verona,Serie A,18,2003,19,"1,177",62,34.4,13.1,11,85,9,8,30,10,1.00,8,16,-8,-0.61,+0.19,13.2,16.1,-2.9,-0.22,+0.22
Francis Coquelin,FRA,MF,Villarreal,La Liga,31,1991,16,748,47,21.9,8.3,9,68,1,7,19,1,1.38,10,6,+4,+0.48,-0.02,11.0,11.2,-0.2,-0.02,-0.42
Sébastien Corchia,FRA,DF,Nantes,Ligue 1,31,1990,22,786,36,23.0,8.7,6,77,2,16,20,12,1.14,10,16,-6,-0.69,-0.28,7.3,14.0,-6.7,-0.77,-0.67
Alex Cordaz,ITA,GK,Inter,Serie A,39,1983,1,26,26,0.8,0.3,0,,0,1,26,34,3.00,0,0,0,0.00,-0.77,0.3,0.8,-0.5,-1.78,-2.63
Maxwel Cornet,CIV,FW,West Ham,Premier League,25,1996,14,245,18,7.2,2.7,2,46,0,12,13,6,0.79,2,5,-3,-1.10,-0.82,3.1,4.4,-1.3,-0.48,-0.41
Jesús Corona,MEX,FW,Sevilla,La Liga,29,1993,4,111,28,3.2,1.2,1,62,0,3,16,9,0.75,3,2,+1,+0.81,+1.03,1.5,1.3,+0.2,+0.14,+0.36
Adrián Corral,ESP,DF,Atlético Madrid,La Liga,19,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
Ángel Correa,ARG,"FW,MF",Atlético Madrid,La Liga,27,1995,35,"1,455",42,42.5,16.2,13,69,1,22,25,1,1.94,29,15,+14,+0.87,-0.19,30.9,19.4,+11.5,+0.71,+0.29
Joaquín Correa,ARG,FW,Inter,Serie A,27,1994,26,950,37,27.8,10.6,12,61,0,14,16,3,1.77,13,12,+1,+0.09,-0.93,16.5,11.8,+4.7,+0.45,-0.53
Thierry Correia,POR,DF,Valencia,La Liga,23,1999,27,"2,009",74,58.7,22.3,24,81,14,3,19,0,1.19,27,26,+1,+0.04,+0.30,33.4,23.2,+10.3,+0.46,+0.74
Alessandro Cortinovis,ITA,MF,Hellas Verona,Serie A,21,2001,1,6,6,0.2,0.1,0,,0,1,6,8,0.00,0,0,0,0.00,+0.74,0.1,0.2,-0.1,-1.09,-0.72
Danny da Costa,GER,DF,Mainz 05,Bundesliga,29,1993,23,"1,236",54,40.4,13.7,14,75,5,9,21,4,1.35,21,22,-1,-0.07,-0.07,15.9,20.6,-4.7,-0.34,-0.26
David Costa,POR,"MF,FW",Lens,Ligue 1,21,2001,31,"1,407",45,41.1,15.6,16,70,1,15,19,4,2.10,24,8,+16,+1.02,0.00,30.8,15.9,+14.9,+0.95,+0.58
Diego Costa,ESP,FW,Wolves,Premier League,33,1988,23,"1,241",54,36.3,13.8,16,68,1,7,22,2,1.26,15,17,-2,-0.15,+0.89,11.8,21.1,-9.3,-0.67,-0.11
Jaume Costa,ESP,DF,Mallorca,La Liga,34,1988,32,"2,599",81,76.0,28.9,30,84,19,2,45,1,1.44,31,32,-1,-0.03,+0.51,25.0,36.8,-11.8,-0.41,-0.47
Logan Costa,CPV,DF,Toulouse,Ligue 1,21,2001,6,415,69,12.1,4.6,4,90,4,2,28,30,1.17,3,6,-3,-0.65,-0.56,5.8,10.0,-4.3,-0.93,-0.92
Nuno da Costa,CPV,"FW,MF",Auxerre,Ligue 1,31,1991,33,"2,003",61,58.6,22.3,23,73,1,10,33,0,0.85,23,32,-9,-0.40,+0.80,24.2,29.0,-4.7,-0.21,+0.49
Samu Costa,POR,MF,Almería,La Liga,21,2000,32,"1,989",62,58.2,22.1,22,83,15,10,16,6,1.16,23,47,-24,-1.09,-1.59,23.8,41.5,-17.7,-0.80,-0.84
Benoît Costil,FRA,GK,Auxerre,Ligue 1,35,1987,19,"1,710",90,50.0,19.0,19,90,19,0,,0,0.68,16,41,-25,-1.32,-1.16,18.4,30.9,-12.5,-0.66,-0.48
Benoît Costil,FRA,GK,Lille,Ligue 1,35,1987,0,,,,,0,,0,0,,19,,,,,,,,,,,
Grégoire Coudert,FRA,GK,Brest,Ligue 1,23,1999,0,,,,,0,,0,0,,6,,,,,,,,,,,
Vladimír Coufal,CZE,DF,West Ham,Premier League,29,1992,27,"2,136",79,62.5,23.7,24,85,18,3,33,7,1.00,27,35,-8,-0.34,+0.01,31.1,30.6,+0.5,+0.02,+0.33
Lassana Coulibaly,MLI,MF,Salernitana,Serie A,26,1996,35,"2,892",83,84.6,32.1,34,84,24,1,34,0,1.11,42,57,-15,-0.47,-0.64,30.6,57.2,-26.5,-0.83,-0.16
Soumaïla Coulibaly,FRA,DF,Dortmund,Bundesliga,18,2003,1,45,45,1.5,0.5,0,,0,1,45,10,1.00,1,3,-2,-4.00,-5.22,0.9,0.7,+0.3,+0.52,-0.31
Tanguy Coulibaly,FRA,"FW,DF",Stuttgart,Bundesliga,21,2001,14,326,23,10.7,3.6,0,,0,14,23,8,1.00,11,6,+5,+1.38,+1.94,7.3,4.9,+2.5,+0.68,+0.68
Gaëtan Courtet,FRA,FW,Ajaccio,Ligue 1,33,1989,0,,,,,0,,0,0,,1,,,,,,,,,,,
Thibaut Courtois,BEL,GK,Real Madrid,La Liga,30,1992,31,"2,790",90,81.6,31.0,31,90,31,0,,1,2.10,61,29,+32,+1.03,+0.03,61.5,32.3,+29.2,+0.94,-0.11
Mathieu Coutadeur,FRA,MF,Ajaccio,Ligue 1,36,1986,27,"1,947",72,56.9,21.6,22,85,14,5,14,3,0.78,14,36,-22,-1.02,+0.75,22.4,30.1,-7.7,-0.36,+0.26
Philippe Coutinho,BRA,"MF,FW",Aston Villa,Premier League,30,1992,20,788,39,23.0,8.8,7,72,1,13,22,2,1.10,9,9,0,0.00,-0.17,9.3,8.3,+0.9,+0.11,+0.21
Yan Couto,BRA,"DF,MF",Girona,La Liga,20,2002,25,"1,158",46,33.9,12.9,12,77,5,13,18,4,1.12,20,15,+5,+0.39,+0.47,15.5,16.7,-1.2,-0.09,+0.03
Conor Coventry,IRL,"MF,FW",West Ham,Premier League,22,2000,1,1,1,0.0,0.0,0,,0,1,1,10,0.00,0,0,0,0.00,+0.34,0.0,0.0,0.0,0.00,+0.10
Matthew Cox,ENG,GK,Brentford,Premier League,19,2003,0,,,,,0,,0,0,,21,,,,,,,,,,,
Nicolas Cozza,FRA,DF,Montpellier,Ligue 1,23,1999,17,"1,277",75,37.3,14.2,14,87,13,3,18,1,0.82,21,29,-8,-0.56,-1.03,17.4,25.7,-8.4,-0.59,-0.52
Nicolas Cozza,FRA,DF,Wolfsburg,Bundesliga,23,1999,5,100,20,3.3,1.1,0,,0,5,20,10,2.00,2,2,0,0.00,-0.27,2.8,1.9,+0.9,+0.80,+0.82
Vincenzo Cozzella,ITA,GK,Auxerre,Ligue 1,20,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
Alessio Cragno,ITA,GK,Monza,Serie A,28,1994,1,90,90,2.6,1.0,1,90,1,0,,37,0.00,0,3,-3,-3.00,-2.97,1.4,2.4,-1.1,-1.05,-0.93
Matthew Craig,SCO,MF,Tottenham,Premier League,19,2003,1,14,14,0.4,0.2,0,,0,1,14,2,3.00,1,0,+1,+6.43,+6.27,0.7,0.1,+0.6,+3.55,+3.37
Tristan Crama,FRA,DF,Brentford,Premier League,20,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,
Aaron Cresswell,ENG,DF,West Ham,Premier League,32,1989,28,"2,235",80,65.4,24.8,24,88,20,4,29,8,1.11,26,32,-6,-0.24,+0.29,32.3,32.9,-0.6,-0.03,+0.22
Bryan Cristante,ITA,"MF,DF",Roma,Serie A,27,1995,36,"2,938",82,85.9,32.6,34,85,26,2,24,0,1.67,36,27,+9,+0.28,-0.28,45.6,24.6,+20.9,+0.64,-0.18
Cristian,ESP,GK,Valencia,La Liga,24,1998,0,,,,,0,,0,0,,26,,,,,,,,,,,
Domen Črnigoj,SVN,MF,Salernitana,Serie A,26,1995,7,296,42,8.7,3.3,4,60,0,3,19,3,1.14,1,3,-2,-0.61,-0.26,2.0,5.3,-3.3,-1.00,-0.21
Giovanni Crociata,ITA,"FW,MF",Empoli,Serie A,24,1997,0,,,,,0,,0,0,,4,,,,,,,,,,,
Juan Cruz Armada,ESP,DF,Osasuna,La Liga,30,1992,27,"2,062",76,60.3,22.9,21,89,20,6,31,9,1.33,21,27,-6,-0.26,-0.33,25.7,28.1,-2.4,-0.10,+0.13
Juan Cruz,ESP,FW,Betis,La Liga,22,2000,6,178,30,5.2,2.0,1,63,0,5,23,12,1.33,5,2,+3,+1.52,+1.46,3.6,1.6,+2.0,+1.02,+1.04
Juan Cuadrado,COL,"DF,FW",Juventus,Serie A,34,1988,31,"2,078",67,60.8,23.1,24,77,10,7,32,0,2.03,35,15,+20,+0.87,+0.67,33.1,23.5,+9.7,+0.42,+0.15
Marc Cucurella,ESP,DF,Chelsea,Premier League,24,1998,24,"1,671",70,48.9,18.6,21,77,10,3,15,3,1.21,17,20,-3,-0.16,+0.15,23.6,26.0,-2.4,-0.13,-0.10
Jorge Cuenca,ESP,DF,Villarreal,La Liga,22,1999,10,506,51,14.8,5.6,5,84,4,5,17,28,1.40,5,7,-2,-0.36,-1.00,6.8,8.8,-2.0,-0.36,-0.79
Braian Cufré,ARG,DF,Mallorca,La Liga,25,1996,5,220,44,6.4,2.4,2,90,2,3,13,13,0.80,2,2,0,0.00,+0.17,4.1,1.1,+3.0,+1.21,+1.61
Mickaël Cuisance,FRA,MF,Sampdoria,Serie A,22,1999,12,618,52,18.1,6.9,9,61,0,3,22,2,0.58,5,6,-1,-0.15,+1.33,4.8,8.9,-4.1,-0.59,+0.31
Luke Cundle,ENG,MF,Wolves,Premier League,20,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
Matheus Cunha,BRA,FW,Wolves,Premier League,23,1999,17,965,57,28.2,10.7,12,70,1,5,26,3,1.65,13,12,+1,+0.09,+1.12,10.8,17.0,-6.2,-0.58,+0.04
