Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Patrick van Aanholt,NED,DF,PSV Eindhoven,31,1990,2,134,67,18.6,1.5,2,67,0,0,,0,1.50,0,3,-3,-2.01,-4.01,1.1,1.2,-0.1,-0.07,-0.21
Myenty Abena,SUR,DF,Ferencváros,27,1994,2,180,90,25.0,2.0,2,90,2,0,,0,0.00,0,4,-4,-2.00,-1.83,1.5,3.4,-1.9,-0.93,-0.47
Matthis Abline,FRA,FW,Rennes,19,2003,4,141,35,18.8,1.6,2,56,0,2,15,2,2.00,3,2,+1,+0.64,+0.34,2.1,2.2,-0.1,-0.08,-0.72
Abner,BRA,DF,Betis,22,2000,2,115,58,16.0,1.3,2,58,1,0,,0,0.00,1,4,-3,-2.35,-3.39,0.7,3.2,-2.6,-2.01,-2.29
Pape Abou Cissé,SEN,DF,Olympiacos,26,1995,4,293,73,54.3,3.3,3,87,2,1,31,1,0.50,1,9,-8,-2.46,-2.09,1.8,5.8,-4.0,-1.24,-1.33
Tammy Abraham,ENG,FW,Roma,24,1997,14,868,62,61.6,9.6,10,79,5,4,21,0,1.79,13,7,+6,+0.62,-0.04,17.5,6.8,+10.7,+1.15,+0.38
Malik Abubakari,GHA,FW,HJK,22,2000,6,440,73,81.5,4.9,5,79,2,1,45,0,1.10,2,11,-9,-1.84,-0.04,3.3,9.5,-6.2,-1.27,+1.18
Mohamed Achi,FRA,MF,Nantes,20,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
Marcos Acuña,ARG,DF,Sevilla,30,1991,8,712,89,81.8,7.9,8,89,4,0,,0,1.75,13,7,+6,+0.76,+0.76,7.8,11.1,-3.3,-0.42,+0.59
Junior Adamu,AUT,FW,RB Salzburg,21,2001,2,104,52,57.8,1.2,1,73,0,1,31,0,1.50,1,2,-1,-0.87,-0.87,1.5,2.8,-1.3,-1.10,-0.79
Antonio Adán,ESP,GK,Sporting CP,35,1987,6,570,95,100.0,6.3,6,95,6,0,,0,1.17,9,6,+3,+0.47,,11.6,6.4,+5.2,+0.86,+0.86
Simon Adingra,CIV,"FW,DF",Union SG,20,2002,9,415,46,46.1,4.6,3,82,2,6,28,1,1.89,10,9,+1,+0.22,-0.34,5.2,5.9,-0.7,-0.15,-0.23
Raymond Adjei,SWE,DF,Malmö,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
Amine Adli,MAR,"FW,MF",Leverkusen,22,2000,8,283,35,37.7,3.1,2,70,0,6,24,0,1.75,7,4,+3,+0.95,+0.38,6.5,2.9,+3.6,+1.15,+0.69
Olivier Aertssen,NED,DF,Ajax,17,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
David Affengruber,AUT,DF,Sturm Graz,21,2001,6,484,81,89.6,5.4,5,88,4,1,45,0,1.33,4,6,-2,-0.37,+6.06,5.9,5.6,+0.2,+0.04,+1.24
Ruben Aguilar,FRA,"DF,MF",Monaco,29,1993,2,124,62,16.5,1.4,1,79,0,1,45,2,1.50,2,3,-1,-0.73,-1.01,1.5,1.5,0.0,-0.03,-0.58
Tosin Aiyegun,BEN,FW,Zürich,24,1998,6,478,80,88.5,5.3,6,80,1,0,,0,1.33,4,15,-11,-2.07,-2.07,6.0,9.0,-3.0,-0.56,-0.57
Albian Ajeti,SUI,FW,Sturm Graz,25,1997,5,303,61,56.1,3.4,4,70,0,1,22,0,1.60,1,4,-3,-0.89,+0.25,2.5,4.3,-1.8,-0.54,-1.03
