Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Nicolás Acevedo,URU,MF,Bahia,23,1999,21.9,73,46,24,43,6,41,86,47.7,45,31,1,30,27,100,22,1
Luiz Adriano,BRA,FW,Internacional,35,1987,14.8,12,7,0,6,6,2,7,28.6,5,10,2,8,9,21,18,0
Adriel,BRA,GK,Grêmio,22,2001,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Adryelson,BRA,DF,Botafogo (RJ),24,1998,33.3,34,20,23,10,1,17,26,65.4,9,43,30,13,61,95,202,2
Adson,BRA,"FW,MF",Corinthians,22,2000,9.5,34,26,22,9,3,12,21,57.1,9,15,2,13,8,42,1,0
Adyson,BRA,"FW,MF",América (MG),17,2005,2.7,8,5,3,3,2,3,6,50.0,3,1,0,1,5,13,0,0
Washington Aguerre,URU,GK,América (MG),29,1993,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
Carlos Alberto,BRA,"FW,MF",Botafogo (RJ),20,2002,3.3,3,0,1,1,1,2,5,40.0,3,5,2,3,1,4,4,0
Yuri Alberto,BRA,FW,Corinthians,21,2001,30.2,23,14,6,8,9,9,21,42.9,12,22,2,20,4,27,17,0
Ale,BRA,MF,América (MG),32,1990,15.8,39,17,17,20,2,12,37,32.4,25,21,5,16,28,67,24,0
Alexandre Alemão,BRA,FW,Internacional,24,1998,3.8,5,5,1,3,1,1,5,20.0,4,5,1,4,1,6,2,0
Alerrandro,BRA,"FW,MF",Red Bull Bragantino,23,2000,4.5,2,2,1,1,0,0,1,0.0,1,3,0,3,0,2,6,0
Alesson,BRA,"FW,MF",Goiás,23,1999,7.3,17,10,12,3,2,12,27,44.4,15,5,1,4,1,18,7,0
Alex,BRA,DF,Santos,23,1999,5.1,9,7,8,0,1,2,4,50.0,2,3,2,1,8,17,10,0
Caio Alexandre,BRA,MF,Fortaleza,23,1999,29.2,76,42,31,39,6,44,104,42.3,60,51,7,44,24,100,22,0
Matheus Alexandre,BRA,DF,Cuiabá,23,1999,33.1,86,58,56,25,5,55,102,53.9,47,37,5,32,42,128,74,1
Alexsander,BRA,"MF,DF",Fluminense,19,2003,13.3,34,19,15,15,4,16,34,47.1,18,20,3,17,10,44,12,0
Alison,BRA,MF,Santos,29,1993,1.5,3,1,1,2,0,1,4,25.0,3,5,2,3,3,6,5,0
Alisson,BRA,"MF,DF",Atlético Mineiro,17,2005,0.5,2,2,0,1,1,0,0,,0,1,0,1,0,2,1,0
Alisson,BRA,"MF,FW",São Paulo,29,1993,23.9,47,32,15,26,6,25,67,37.3,42,32,11,21,28,75,35,1
Allan,BRA,MF,Flamengo,25,1997,5.4,12,7,5,6,1,3,16,18.8,13,5,1,4,8,20,4,0
Allano,BRA,FW,Goiás,27,1995,13.7,38,20,25,10,3,25,48,52.1,23,17,1,16,11,49,14,0
Henrique Almeida,BRA,FW,América (MG),31,1991,1.7,2,1,0,0,2,0,2,0.0,2,0,0,0,0,2,1,0
Rodrigo Alves,BRA,MF,Vasco da Gama,20,2002,3.9,11,5,7,4,0,6,14,42.9,8,1,0,1,3,14,5,1
Anderson,BRA,GK,Cruzeiro,24,1998,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Anderson,BRA,"FW,MF",Goiás,24,1998,14.3,24,16,11,10,3,15,26,57.7,11,8,0,8,3,27,5,0
André,BRA,DF,Bahia,19,2003,1.4,2,1,1,1,0,2,2,100.0,0,4,1,3,1,3,3,1
André,BRA,"MF,DF",Fluminense,21,2001,29.4,57,37,28,26,3,27,50,54.0,23,27,14,13,31,88,36,2
Ângelo,BRA,"FW,MF",Santos,18,2004,6.0,10,8,2,5,3,5,10,50.0,5,11,0,11,5,15,1,0
Maurício Antônio,BRA,DF,Coritiba,30,1992,2.0,0,0,0,0,0,0,0,,0,5,4,1,5,5,18,0
Apodi,BRA,"FW,MF",Goiás,36,1986,4.2,5,4,3,1,1,3,4,75.0,1,2,1,1,2,7,8,0
Guilherme Arana,BRA,DF,Atlético Mineiro,25,1997,26.5,42,29,25,16,1,15,26,57.7,11,32,11,21,32,74,57,0
Charles Aránguiz,CHI,MF,Internacional,33,1989,14.1,33,16,13,14,6,18,39,46.2,21,11,2,9,10,43,10,0
João Araújo,BRA,MF,Grêmio,17,2005,0.1,2,1,1,0,1,2,2,100.0,0,0,0,0,0,2,0,0
Luiz Araújo,BRA,FW,Flamengo,26,1996,8.7,19,16,8,6,5,8,21,38.1,13,13,1,12,8,27,10,0
