Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Erick Marcus,BRA,"MF,FW",Ludogorets,20-246,2004,2,33,17,12.2,0.4,0,,0,2,17,1,0.00,0,1,-1,-2.73,-1.59,0.1,0.4,-0.3,-0.82,-0.43
Petr Mareš,CZE,DF,FK Rīgas FS,33-290,1991,0,,,,,0,,0,0,,3,3.00,,,,,,,,,,
Adrián Marín,ESP,DF,Braga,27-298,1997,2,127,64,47.0,1.4,2,64,0,0,,1,1.75,0,4,-4,-2.83,-3.46,2.4,1.8,+0.6,+0.43,-1.21
Pablo Marín,ESP,MF,Real Sociedad,21-122,2003,2,156,78,57.8,1.7,2,78,1,0,,0,0.50,2,3,-1,-0.58,-1.37,1.7,1.8,-0.1,-0.07,-0.61
Renato Marin,ITA,GK,Roma,18-115,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,
João Mário,POR,MF,Beşiktaş,31-288,1993,2,99,50,36.7,1.1,1,85,0,1,14,1,1.50,2,1,+1,+0.91,+4.07,1.9,2.5,-0.6,-0.50,+0.66
João Mário Lopes,POR,DF,Porto,24-304,2000,2,167,84,61.9,1.9,2,84,1,0,,1,0.50,5,5,0,0.00,-0.87,4.2,3.5,+0.7,+0.37,+0.78
Adam Markhiev,FIN,MF,FK Rīgas FS,22-230,2002,3,249,83,92.2,2.8,3,83,2,0,,0,1.43,3,7,-4,-1.45,-1.45,2.2,5.1,-2.8,-1.02,-0.43
Svetozar Marković,SRB,DF,Viktoria Plzeň,24-224,2000,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,5,5,0,0.00,,4.7,3.9,+0.8,+0.28,
Omar Marmoush,EGY,"FW,MF",Eint Frankfurt,25-269,1999,3,242,81,89.6,2.7,3,81,2,0,,0,2.33,6,3,+3,+1.12,+1.12,4.5,3.2,+1.4,+0.51,+2.92
João Marques,POR,FW,Braga,22-263,2002,0,,,,,0,,0,0,,3,2.00,,,,,,,,,,
Unai Marrero,ESP,GK,Real Sociedad,23-024,2001,1,90,90,33.3,1.0,1,90,1,0,,2,3.00,2,1,+1,+1.00,+1.50,1.3,0.5,+0.8,+0.75,+0.85
Jon Martin,ESP,DF,Real Sociedad,18-306,2006,2,180,90,66.7,2.0,2,90,2,0,,1,0.50,2,3,-1,-0.50,-1.50,1.9,2.1,-0.2,-0.09,-0.85
Emiliano Martínez,URU,MF,Midtjylland,25-077,1999,3,253,84,93.7,2.8,3,84,1,0,,0,2.33,3,1,+2,+0.71,-4.58,4.5,4.2,+0.3,+0.11,-4.01
