Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Martin Vitík,CZE,DF,Sparta Prague,21-270,2003,2,180,90,100.0,2.0,2,90,2,0,,0,2.43,4,1,+3,+1.50,,3.5,2.2,+1.3,+0.64,
Vitinha,POR,MF,Paris S-G,24-247,2000,2,125,63,69.4,1.4,2,63,0,0,,0,1.50,0,2,-2,-1.44,-3.08,0.7,0.8,-0.2,-0.12,-2.87
Dušan Vlahović,SRB,FW,Juventus,24-263,2000,2,180,90,100.0,2.0,2,90,2,0,,0,3.00,6,3,+3,+1.50,,4.1,4.3,-0.2,-0.12,
Vanja Vlahović,SRB,MF,Atalanta,20-208,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
Siemen Voet,BEL,DF,Slovan Bratislava,24-257,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,
Matúš Vojtko,SVK,DF,Slovan Bratislava,24-012,2000,0,,,,,0,,0,0,,1,3.00,,,,,,,,,,
Vojtěch Vorel,CZE,GK,Sparta Prague,28-121,1996,0,,,,,0,,0,0,,2,,,,,,,,,,,
Stefan de Vrij,NED,DF,Inter,32-255,1992,1,63,63,35.0,0.7,1,63,0,0,,1,3.00,2,0,+2,+2.86,+1.32,1.6,0.4,+1.2,+1.64,+2.01
Kyle Walker,ENG,DF,Manchester City,34-142,1990,1,13,13,7.2,0.1,0,,0,1,13,1,3.00,0,0,0,0.00,-2.16,0.4,0.0,+0.4,+2.49,-0.11
Ollie Watkins,ENG,FW,Aston Villa,28-292,1995,2,128,64,71.1,1.4,2,64,0,0,,0,3.00,2,0,+2,+1.41,-2.06,1.9,0.9,+1.1,+0.77,+2.09
Timothy Weah,USA,FW,Juventus,24-238,2000,1,22,22,12.2,0.2,0,,0,1,22,0,3.00,0,1,-1,-4.09,-6.37,0.9,0.5,+0.3,+1.34,+1.67
Vladimír Weiss,SVK,"FW,MF",Slovan Bratislava,34-322,1989,2,138,69,76.7,1.5,2,69,0,0,,0,1.80,1,7,-6,-3.91,+0.37,0.5,6.3,-5.7,-3.77,-1.41
Timon Wellenreuther,GER,GK,Feyenoord,28-319,1995,2,180,90,100.0,2.0,2,90,2,0,,0,1.50,3,6,-3,-1.50,,2.6,4.0,-1.3,-0.66,
Stephen Welsh,SCO,DF,Celtic,24-272,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,
Ben White,ENG,DF,Arsenal,27-009,1997,1,90,90,50.0,1.0,1,90,1,0,,0,1.00,0,0,0,0.00,-2.00,0.8,1.2,-0.4,-0.41,-0.72
Tomáš Wiesner,CZE,MF,Sparta Prague,27-092,1997,1,70,70,38.9,0.8,1,70,0,0,,1,2.71,3,0,+3,+3.86,+3.86,1.8,0.4,+1.4,+1.83,+1.94
Kevin Wimmer,AUT,DF,Slovan Bratislava,31-337,1992,2,180,90,100.0,2.0,2,90,2,0,,0,1.80,1,9,-8,-4.00,,0.6,7.5,-6.9,-3.43,
Florian Wirtz,GER,MF,Leverkusen,21-167,2003,2,159,80,88.3,1.8,2,80,0,0,,0,3.00,5,0,+5,+2.83,+2.83,3.3,1.7,+1.6,+0.91,+0.18
Axel Witsel,BEL,DF,Atlético Madrid,35-279,1989,2,91,46,50.6,1.0,1,90,1,1,1,0,1.50,0,4,-4,-3.96,-4.97,0.2,4.4,-4.2,-4.11,-5.15
Gregory Wüthrich,SUI,DF,Sturm Graz,29-318,1994,1,9,9,5.0,0.1,1,9,0,0,,0,0.00,0,0,0,0.00,+1.05,0.0,0.1,-0.1,-0.84,+0.10
Granit Xhaka,SUI,MF,Leverkusen,32-020,1992,2,170,85,94.4,1.9,2,85,1,0,,0,3.00,5,0,+5,+2.65,+2.65,3.4,1.8,+1.6,+0.86,-0.45
Áron Yaakobishvili,HUN,GK,Barcelona,18-225,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
Malick Yalcouye,CIV,MF,Sturm Graz,18-334,2005,2,126,63,70.0,1.4,1,81,0,1,45,0,0.00,0,2,-2,-1.43,-1.43,0.5,2.5,-2.0,-1.45,-1.71
Lamine Yamal,ESP,FW,Barcelona,17-096,2007,2,153,77,85.0,1.7,2,77,0,0,,0,1.50,5,2,+3,+1.76,-1.57,3.6,1.6,+2.0,+1.20,+2.34
Erencan Yardimci,TUR,FW,Sturm Graz,22-256,2002,2,38,19,21.1,0.4,0,,0,2,19,0,0.00,0,0,0,0.00,+1.27,0.1,1.8,-1.6,-3.89,-3.75
Kenan Yıldız,TUR,FW,Juventus,19-166,2005,2,127,64,70.6,1.4,2,64,0,0,,0,3.00,4,1,+3,+2.13,+2.13,3.0,1.4,+1.6,+1.13,+4.25
Kadan Young,ENG,MF,Aston Villa,18-272,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,
Seol Youngwoo,KOR,DF,Red Star,25-317,1998,2,180,90,100.0,2.0,2,90,2,0,,0,0.75,1,6,-5,-2.50,,1.5,4.1,-2.5,-1.26,
