Player,Nation,Pos,Squad,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Ahmed Abdullahi,NGA,MF,Gent,20-141,2004,1,1,1,0.1,0.0,0,,0,1,1,0,0.00,0,0,0,0.00,-0.46,0.1,0.0,+0.1,+5.95,+6.37
Francis Abu,GHA,MF,Cercle Brugge,23-194,2001,13,713,55,60.9,7.9,7,86,5,6,19,0,1.15,8,12,-4,-0.50,-0.31,10.9,12.4,-1.5,-0.19,+0.27
Desmond Acquah,BEL,"MF,DF",Dender,22-107,2002,7,168,24,14.4,1.9,0,,0,7,24,3,1.00,4,4,0,0.00,+0.54,2.7,3.9,-1.2,-0.63,-0.13
Noah Adedeji,BEL,"FW,MF",Genk,19-141,2005,7,29,4,2.5,0.3,0,,0,7,4,3,2.71,2,0,+2,+6.21,+5.34,1.3,0.6,+0.7,+2.19,+0.83
Farouck Adekami,CIV,MF,Antwerp,18-092,2006,0,,,,,0,,0,0,,7,,,,,,,,,,,
Lawrence Agyekum,GHA,MF,Cercle Brugge,20-350,2003,11,734,67,62.7,8.2,8,81,4,3,30,0,1.36,10,12,-2,-0.25,+0.37,11.2,12.0,-0.8,-0.10,+0.52
Takahiro Akimoto,JPN,DF,OH Leuven,26-281,1998,13,"1,031",79,88.1,11.5,11,87,10,2,37,0,1.15,9,16,-7,-0.61,-2.55,11.6,12.3,-0.6,-0.06,-0.68
Ali Akman,TUR,"MF,DF",Dender,22-203,2002,3,33,11,2.8,0.4,0,,0,3,11,9,0.33,3,3,0,0.00,+0.47,0.5,1.6,-1.1,-3.02,-2.58
Josimar Alcocer,CRC,"MF,DF",Westerlo,20-123,2004,12,616,51,52.6,6.8,6,80,3,6,23,0,1.25,8,13,-5,-0.73,-1.71,8.9,12.5,-3.5,-0.51,-1.28
Toby Alderweireld,BEL,DF,Antwerp,35-250,1989,13,"1,170",90,100.0,13.0,13,90,13,0,,0,1.77,24,10,+14,+1.08,,19.0,16.0,+3.0,+0.25,+0.25
Ryan Alebiosu,ENG,DF,Kortrijk,22-326,2001,7,387,55,33.1,4.3,5,72,1,2,13,2,1.00,3,9,-6,-1.40,-0.48,3.8,5.0,-1.3,-0.29,+0.46
Sotiris Alexandropoulos,GRE,"MF,FW",Standard Liège,22-347,2001,11,191,17,16.3,2.1,1,68,0,10,12,1,1.55,2,3,-1,-0.47,-0.20,3.4,3.5,-0.1,-0.05,+0.20
Arthur Alexis,BEL,MF,Sint-Truiden,18-302,2006,1,12,12,1.0,0.1,0,,0,1,12,3,0.00,0,0,0,0.00,+0.39,0.1,0.0,0.0,+0.11,+0.24
Thierry Ambrose,GLP,FW,Kortrijk,27-224,1997,13,855,66,73.1,9.5,9,81,5,4,31,0,1.08,6,18,-12,-1.26,-0.69,8.0,14.1,-6.1,-0.64,-0.15
Francis Amuzu,BEL,FW,Anderlecht,25-076,1999,9,339,38,29.0,3.8,3,64,1,6,25,0,1.11,5,5,0,0.00,-0.76,5.8,7.8,-2.0,-0.53,-0.50
Frederic Ananou,TOG,"DF,MF",Sint-Truiden,27-048,1997,4,195,49,16.7,2.2,2,90,2,2,8,1,0.75,1,6,-5,-2.31,-2.31,0.8,4.0,-3.2,-1.49,-1.64
Stelios Andreou,CYP,DF,Charleroi,22-106,2002,12,"1,080",90,92.3,12.0,12,90,12,0,,0,1.17,13,14,-1,-0.08,+1.92,18.8,13.2,+5.6,+0.47,+2.02
Nilson Angulo,ECU,FW,Anderlecht,21-141,2003,8,230,29,19.7,2.6,2,67,0,6,16,4,1.63,2,1,+1,+0.39,-0.18,4.6,3.7,+1.0,+0.37,+0.68
Oskar Annell,BEL,GK,Mechelen,19-266,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,
Tiago Araújo,POR,"DF,FW",Gent,23-225,2001,5,118,24,10.1,1.3,1,59,0,4,15,2,1.40,3,2,+1,+0.76,+0.33,2.5,3.0,-0.6,-0.44,-0.03
Kristian Arnstad,NOR,DF,Anderlecht,21-061,2003,1,25,25,2.1,0.3,0,,0,1,25,3,3.00,1,0,+1,+3.60,+3.13,0.5,0.0,+0.5,+1.88,+2.10
Tolu Arokodare,NGA,FW,Genk,23-350,2000,13,"1,048",81,89.6,11.6,13,81,4,0,,0,2.38,23,14,+9,+0.77,-2.18,26.3,11.8,+14.5,+1.24,-1.30
Isaac Asante,GHA,MF,Mechelen,22-078,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
Raymond Asante,GHA,FW,Charleroi,20-164,2004,1,21,21,1.8,0.2,0,,0,1,21,1,3.00,0,0,0,0.00,+0.23,0.0,0.1,0.0,-0.14,-0.46
Majeed Ashimeru,GHA,MF,Anderlecht,27-028,1997,10,331,33,28.3,3.7,3,57,0,7,23,3,1.60,6,4,+2,+0.54,+0.01,6.7,5.0,+1.7,+0.47,+0.90
Lynnt Audoor,BEL,MF,Club Brugge,21-025,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Ludwig Augustinsson,SWE,DF,Anderlecht,30-200,1994,7,347,50,29.7,3.9,4,84,3,3,4,0,1.29,5,5,0,0.00,-0.77,5.6,9.0,-3.4,-0.88,-1.01
Felipe Augusto,BRA,"FW,MF",Cercle Brugge,20-263,2004,10,467,47,39.9,5.2,5,66,0,5,27,3,1.00,5,8,-3,-0.58,-0.32,6.6,10.0,-3.5,-0.67,-0.62
Muhammed Badamosi,GAM,"FW,DF",Standard Liège,25-316,1998,5,60,12,5.1,0.7,0,,0,5,12,3,0.80,0,1,-1,-1.50,-1.26,0.4,0.7,-0.3,-0.45,-0.25
Youssouph Badji,SEN,FW,Charleroi,22-323,2001,5,205,41,17.5,2.3,2,61,0,3,28,0,1.80,2,0,+2,+0.88,+1.34,3.5,1.1,+2.5,+1.07,+0.92
Lukas Baert,BEL,DF,Mechelen,19-280,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,
Bilal Bafdili,BEL,"MF,FW",Mechelen,20-096,2004,13,478,37,40.9,5.3,2,66,0,11,31,0,1.62,14,7,+7,+1.32,+0.93,11.5,9.0,+2.5,+0.46,+0.57
Michel-Ange Balikwisha,BEL,FW,Antwerp,23-181,2001,1,90,90,7.7,1.0,1,90,1,0,,0,3.00,1,0,+1,+1.00,-0.17,1.7,0.8,+0.9,+0.92,+0.75
