Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Min/MP,Min%,90s,Starts,Min/Start,MatchesCompleted,Subs,Min/Sub,unusedSub,PointsPerMatch,onGoalScored,onGoalAgainst,+/-,+/-/90,On-Off,onPitchxG,onPitchxGA,xG+/-,xG+/-/90,xGOn-Off
Max Aarons,ENG,DF,Bournemouth,Premier League,24-306,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,
Álvaro Abajas,ESP,GK,Leganés,La Liga,21-177,2003,0,,,,,0,,0,0,,10,,,,,,,,,,,
Rodrigo Abajas,ESP,DF,Valencia,La Liga,21-177,2003,1,65,65,6.6,0.7,1,65,0,0,,8,0.00,1,2,-1,-1.38,-0.61,1.4,0.7,+0.7,+0.93,+1.96
James Abankwah,IRL,DF,Udinese,Serie A,20-294,2004,1,1,1,0.1,0.0,0,,0,1,1,10,3.00,0,0,0,0.00,+0.18,0.1,0.0,+0.1,+4.95,+5.53
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18-214,2006,1,3,3,0.3,0.0,0,,0,1,3,3,3.00,0,0,0,0.00,-1.10,0.0,0.0,0.0,-0.49,-0.27
Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,37-038,1987,7,576,82,64.0,6.4,7,82,5,0,,3,0.43,2,19,-17,-2.66,-3.49,5.2,16.2,-11.0,-1.72,-2.43
Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,24-354,1999,10,882,88,98.0,9.8,10,88,8,0,,0,1.00,9,16,-7,-0.71,-10.71,9.9,15.6,-5.8,-0.59,-4.38
Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,25-278,1999,6,428,71,47.6,4.8,5,81,4,1,23,2,1.83,6,4,+2,+0.42,-1.10,7.3,4.2,+3.1,+0.65,+0.15
Ali Abdi,TUN,DF,Nice,Ligue 1,30-321,1993,7,491,70,54.6,5.5,5,90,4,2,21,0,1.71,7,3,+4,+0.73,-0.59,8.4,5.4,+3.0,+0.55,-0.05
Saud Abdulhamid,KSA,DF,Roma,Serie A,25-110,1999,0,,,,,0,,0,0,,9,,,,,,,,,,,
Abel,ESP,DF,Osasuna,La Liga,24-076,2000,11,730,66,67.6,8.1,8,86,6,3,14,1,1.91,10,11,-1,-0.12,-0.64,7.3,9.4,-2.1,-0.25,-0.61
Nabil Aberdin,FRA,MF,Getafe,La Liga,22-074,2002,7,263,38,24.4,2.9,4,63,1,3,4,1,1.14,1,2,-1,-0.34,-0.23,1.7,1.6,+0.2,+0.06,-0.13
Oliver Abildgaard,DEN,MF,Como,Serie A,28-148,1996,1,7,7,0.7,0.1,0,,0,1,7,0,0.00,0,0,0,0.00,+0.92,0.0,0.0,0.0,-0.61,-0.45
Matthis Abline,FRA,FW,Nantes,Ligue 1,21-222,2003,10,722,72,80.2,8.0,9,78,0,1,23,0,1.00,8,10,-2,-0.25,-0.25,7.6,9.4,-1.8,-0.22,+0.01
Abner,BRA,DF,Lyon,Ligue 1,24-162,2000,8,555,69,61.7,6.2,7,78,2,1,8,2,1.63,8,8,0,0.00,-0.52,9.8,9.3,+0.5,+0.08,-0.80
Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,24-261,2000,10,738,74,82.0,8.2,9,79,3,1,27,0,1.20,8,8,0,0.00,0.00,12.2,6.8,+5.4,+0.66,+0.05
Abdel Abqar,MAR,DF,Alavés,La Liga,25-240,1999,11,858,78,79.4,9.5,11,78,7,0,,0,1.18,11,16,-5,-0.52,-0.52,10.1,13.0,-2.9,-0.30,+0.09
Tammy Abraham,ENG,FW,Roma,Serie A,27-034,1997,1,1,1,0.1,0.0,0,,0,1,1,1,1.00,0,0,0,0.00,+0.18,0.0,0.1,0.0,-3.09,-3.05
Tammy Abraham,ENG,FW,Milan,Serie A,27-034,1997,6,352,59,39.1,3.9,4,82,1,2,13,1,2.17,11,3,+8,+2.05,+2.37,8.2,2.9,+5.3,+1.35,+1.02
Mathieu Acapandié,FRA,DF,Nantes,Ligue 1,19-327,2004,0,,,,,0,,0,0,,8,,,,,,,,,,,
Federico Accornero,ITA,MF,Genoa,Serie A,20-274,2004,1,5,5,0.5,0.1,0,,0,1,5,8,0.00,0,0,0,0.00,+1.19,0.0,0.0,0.0,+0.71,+1.46
Francesco Acerbi,ITA,DF,Inter,Serie A,36-269,1988,7,566,81,57.2,6.3,7,81,6,0,,2,2.29,15,8,+7,+1.11,+0.05,11.1,7.9,+3.2,+0.51,-0.42
Álvaro Aceves,ESP,GK,Valladolid,La Liga,21-102,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Akor Adams,NGA,FW,Montpellier,Ligue 1,24-281,2000,10,790,79,87.8,8.8,9,85,6,1,23,0,0.40,8,23,-15,-1.71,+4.02,8.5,17.5,-9.0,-1.03,+2.32
Che Adams,SCO,FW,Torino,Serie A,28-115,1996,11,672,61,67.9,7.5,8,72,4,3,33,0,1.27,9,11,-2,-0.27,-0.55,7.9,12.0,-4.1,-0.55,-0.60
Tyler Adams,USA,MF,Bournemouth,Premier League,25-265,1999,2,35,18,3.9,0.4,0,,0,2,18,1,2.00,1,1,0,0.00,-0.10,0.9,1.0,-0.1,-0.28,-0.64
