Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Robson Bambu,BRA,DF,Braga,26-361,1997,2.0,0,1,0,0.0,0.50,0.00,0.00,,9.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Simon Banza,COD,FW,Braga,28-086,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Rafael Barbosa,POR,"MF,FW",Farense,28-223,1996,3.7,0,7,2,28.6,1.90,0.54,0.00,0.00,27.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Leandro Barreiro Martins,LUX,MF,Benfica,24-309,2000,3.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Gil Bastião Dias,POR,FW,Famalicão,28-040,1996,4.5,3,17,7,41.2,3.75,1.54,0.18,0.43,17.9,0,0,0,1.3,1.3,0.07,+1.7,+1.7
Gabriel Batista,BRA,GK,Santa Clara,26-157,1998,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ricardo Batista,POR,GK,Casa Pia,37-354,1986,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Yanis Begraoui,MAR,FW,Estoril,23-126,2001,6.3,0,9,3,33.3,1.42,0.47,0.00,0.00,16.0,0,0,1,2.1,1.3,0.14,-2.1,-1.3
Gui Beleza,POR,MF,Gil Vicente FC,17-334,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bachir Belloumi,ALG,FW,Farense,22-159,2002,3.0,0,7,5,71.4,2.33,1.67,0.00,0.00,23.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Fahem Benaissa Yahia,FRA,DF,Casa Pia,22-192,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Beni,ANG,MF,Casa Pia,22-170,2002,4.2,0,1,0,0.0,0.24,0.00,0.00,,25.6,0,0,0,0.0,0.0,0.05,0.0,0.0
Álex Bermejo,ESP,"MF,FW",Farense,25-332,1998,4.1,1,7,3,42.9,1.69,0.72,0.14,0.33,14.7,0,0,0,1.3,1.3,0.19,-0.3,-0.3
Simão Bertelli,BRA,GK,AVS Futebol,31-158,1993,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jan-Niklas Beste,GER,"FW,DF",Benfica,25-308,1999,2.6,0,3,2,66.7,1.17,0.78,0.00,0.00,17.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
José Bica,POR,"MF,FW",Vitória,21-144,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Raúl Blanco,ESP,FW,Casa Pia,23-099,2001,2.8,1,6,1,16.7,2.16,0.36,0.17,1.00,22.6,0,0,0,0.3,0.3,0.05,+0.7,+0.7
