Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Mamadou Traoré,MLI,DF,Union SG,22-213,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Derrick Tshimanga,BEL,DF,Beerschot,35-362,1988,8.5,1,2,1,50.0,0.24,0.12,0.50,1.00,19.7,0,0,0,0.2,0.2,0.09,+0.8,+0.8
Antef Tsoungui,BEL,DF,OH Leuven,21-308,2002,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Christos Tzolis,GRE,"FW,MF",Club Brugge,22-277,2002,9.6,2,36,14,38.9,3.75,1.46,0.06,0.14,16.5,0,0,0,3.3,3.3,0.09,-1.3,-1.3
Victor Udoh,NGA,"FW,DF",Antwerp,20-015,2004,0.9,0,4,1,25.0,4.39,1.10,0.00,0.00,20.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Edgaras Utkus,LTU,"DF,MF",Cercle Brugge,24-133,2000,1.7,0,2,1,50.0,1.17,0.58,0.00,0.00,13.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Anthony Valencia,ECU,FW,Antwerp,21-104,2003,3.3,1,9,3,33.3,2.72,0.91,0.11,0.33,16.0,0,0,0,0.6,0.6,0.11,+0.4,+0.4
Jules Van Cleemput,BEL,DF,Mechelen,27-205,1997,2.6,0,3,0,0.0,1.15,0.00,0.00,,18.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Hendrik Van Crombrugge,BEL,GK,Genk,31-186,1993,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Zeno Van den Bosch,BEL,DF,Antwerp,21-119,2003,12.0,0,2,1,50.0,0.17,0.08,0.00,0.00,8.6,0,0,0,0.1,0.1,0.10,-0.1,-0.1
Thomas Van den Keybus,BEL,"FW,MF",Westerlo,23-191,2001,1.5,0,6,2,33.3,4.09,1.36,0.00,0.00,20.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2
Hannes Van der Bruggen,BEL,MF,Cercle Brugge,31-215,1993,8.5,0,7,5,71.4,0.83,0.59,0.00,0.00,14.0,0,0,0,0.7,0.7,0.10,-0.7,-0.7
Rein Van Helden,BEL,DF,Sint-Truiden,22-101,2002,11.9,0,9,2,22.2,0.76,0.17,0.00,0.00,10.7,0,0,0,0.8,0.8,0.09,-0.8,-0.8
Koen Van Langendonck,BEL,GK,Westerlo,35-146,1989,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jasper Van Oudenhove,BEL,"MF,DF",Dender,25-365,1998,0.6,0,1,1,100.0,1.58,1.58,0.00,0.00,16.5,0,0,0,0.2,0.2,0.22,-0.2,-0.2
Hans Vanaken,BEL,MF,Club Brugge,32-070,1992,11.7,4,23,10,43.5,1.97,0.85,0.17,0.40,12.7,2,0,0,3.0,3.0,0.13,+1.0,+1.0
Zalán Vancsa,HUN,MF,Gent,20-006,2004,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Tom Vandenberghe,BEL,GK,Kortrijk,32-077,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Gerard Vandeplas,BEL,FW,Antwerp,18-251,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Zinho Vanheusden,BEL,DF,Mechelen,25-096,1999,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,8.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Charles Vanhoutte,BEL,MF,Union SG,26-047,1998,11.2,0,8,1,12.5,0.71,0.09,0.00,0.00,17.3,0,0,0,0.4,0.4,0.05,-0.4,-0.4
Robert-Jan Vanwesemael,BEL,"DF,MF",Sint-Truiden,22-221,2002,6.9,0,3,0,0.0,0.43,0.00,0.00,,24.0,0,0,0,0.5,0.5,0.15,-0.5,-0.5
Hélio Varela,CPV,"MF,DF",Gent,22-183,2002,0.7,0,1,1,100.0,1.50,1.50,0.00,0.00,11.8,0,0,0,0.3,0.3,0.28,-0.3,-0.3
Óscar Vargas,BEL,DF,Beerschot,18-276,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Luis Vázquez,ARG,"FW,MF",Anderlecht,23-283,2001,2.7,1,8,4,50.0,3.00,1.50,0.13,0.25,12.8,0,0,0,1.2,1.2,0.15,-0.2,-0.2
Thibaud Verlinden,BEL,"MF,FW",Beerschot,25-116,1999,8.8,0,21,7,33.3,2.38,0.79,0.00,0.00,22.8,0,0,0,0.8,0.8,0.04,-0.8,-0.8
Romeo Vermant,BEL,"FW,MF",Club Brugge,20-283,2004,2.6,1,5,2,40.0,1.91,0.77,0.20,0.50,12.1,0,0,0,1.5,1.5,0.29,-0.5,-0.5
Michael Verrips,NED,GK,Dender,27-335,1996,10.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
