Player,Nation,Pos,Squad,Age,Born,90s,Goals,Shots,SoT,SoT%,Shots/90,SoT/90,Goals/Shots,Goals/SoT,AvgDist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Mohamed Abdelmoneim,EGY,DF,Nice,25-281,1999,1.0,0,1,0,0.0,1.00,0.00,0.00,,8.0,0,0,0,0.0,0.0,0.04,0.0,0.0
Ali Abdi,TUN,"MF,DF",Nice,30-324,1993,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Taha Abdi Ali,SWE,FW,Malmö,26-130,1998,1.2,0,3,0,0.0,2.43,0.00,0.00,,12.4,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Jalal Abdulai,GHA,FW,Elfsborg,19-308,2005,0.9,0,2,1,50.0,2.28,1.14,0.00,0.00,15.2,0,0,0,0.3,0.3,0.17,-0.3,-0.3
Saud Abdulhamid,KSA,DF,Roma,25-113,1999,0.9,0,1,0,0.0,1.07,0.00,0.00,,22.4,0,0,0,0.0,0.0,0.05,0.0,0.0
Abner,BRA,MF,Lyon,24-165,2000,1.0,1,1,1,100.0,1.00,1.00,1.00,1.00,13.7,0,0,0,0.1,0.1,0.09,+0.9,+0.9
Mohammad Abu Fani,ISR,MF,Ferencváros,26-195,1998,3.7,0,6,2,33.3,1.63,0.54,0.00,0.00,25.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3
Emmanuel Addai,GHA,"FW,MF",Qarabağ,23-099,2001,1.2,0,3,0,0.0,2.50,0.00,0.00,,21.2,0,0,0,0.3,0.3,0.09,-0.3,-0.3
Jayden Addai,NED,FW,AZ Alkmaar,19-074,2005,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Henry Addo,SVK,FW,Maccabi Tel Aviv,21-191,2003,0.9,0,2,1,50.0,2.12,1.06,0.00,0.00,23.0,0,0,0,0.0,0.0,0.02,0.0,0.0
Prince Adu Kwabena,GHA,FW,Viktoria Plzeň,21-046,2003,3.5,2,14,5,35.7,3.95,1.41,0.14,0.40,16.2,0,0,0,1.3,1.3,0.10,+0.7,+0.7
Julen Agirrezabala,ESP,GK,Athletic Club,23-318,2000,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nayef Aguerd,MAR,DF,Real Sociedad,28-223,1996,2.5,0,3,0,0.0,1.20,0.00,0.00,,20.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Yunus Akgün,TUR,"DF,FW",Galatasaray,24-124,2000,3.8,4,13,8,61.5,3.43,2.11,0.31,0.50,20.1,0,0,0,1.6,1.6,0.13,+2.4,+2.4
Kevin Akpoguma,NGA,DF,Hoffenheim,29-203,1995,2.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Chuba Akpom,ENG,FW,Ajax,29-030,1995,1.1,1,2,2,100.0,1.76,1.76,0.50,0.50,10.7,0,0,0,0.3,0.3,0.14,+0.7,+0.7
Baba Alhassan,GHA,"MF,FW",FCSB,24-310,2000,1.8,0,1,1,100.0,0.55,0.55,0.00,0.00,25.4,0,0,0,0.0,0.0,0.04,0.0,0.0
Mohamed Ali Cho,FRA,"FW,MF",Nice,20-294,2004,1.0,1,1,1,100.0,0.96,0.96,1.00,1.00,2.9,0,0,0,0.4,0.4,0.42,+0.6,+0.6
Dinis Almeida,POR,DF,Ludogorets,29-133,1995,3.9,0,2,0,0.0,0.52,0.00,0.00,,8.7,0,0,0,0.7,0.7,0.35,-0.7,-0.7
Barış Alper Yılmaz,TUR,"DF,FW",Galatasaray,24-169,2000,3.8,1,14,6,42.9,3.71,1.59,0.07,0.17,14.3,0,0,0,1.2,1.2,0.08,-0.2,-0.2
Aurele Amenda,SUI,DF,Eint Frankfurt,21-100,2003,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Sofyan Amrabat,MAR,MF,Fenerbahçe,28-079,1996,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Francis Amuzu,BEL,FW,Anderlecht,25-077,1999,1.1,0,1,0,0.0,0.89,0.00,0.00,,31.2,0,0,0,0.0,0.0,0.01,0.0,0.0
Joel Andersson,SWE,DF,Midtjylland,27-363,1996,3.8,0,2,1,50.0,0.52,0.26,0.00,0.00,9.8,0,0,0,0.3,0.3,0.15,-0.3,-0.3
Leandro Andrade,CPV,"FW,MF",Qarabağ,25-045,1999,2.2,0,2,1,50.0,0.93,0.46,0.00,0.00,18.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Patrick Andrade,CPV,MF,Qarabağ,31-273,1993,3.1,0,3,1,33.3,0.96,0.32,0.00,0.00,22.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Fredrik André Bjørkan,NOR,DF,Bodø/Glimt,26-079,1998,3.9,0,1,1,100.0,0.26,0.26,0.00,0.00,10.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Valdemar Andreasen,DEN,"MF,FW",Midtjylland,19-288,2005,0.6,0,2,1,50.0,3.21,1.61,0.00,0.00,24.9,1,0,0,0.1,0.1,0.05,-0.1,-0.1
Oleksandr Andriyevskyi,UKR,MF,Dynamo Kyiv,30-136,1994,0.9,0,1,1,100.0,1.17,1.17,0.00,0.00,20.6,1,0,0,0.1,0.1,0.09,-0.1,-0.1
Angeliño,ESP,DF,Roma,27-309,1997,4.0,0,2,1,50.0,0.50,0.25,0.00,0.00,18.1,0,0,0,0.0,0.0,0.01,0.0,0.0
Nilson Angulo,ECU,FW,Anderlecht,21-142,2003,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Antony,BRA,FW,Manchester Utd,24-258,2000,0.4,0,2,0,0.0,4.62,0.00,0.00,,24.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Apostolos Apostolopoulos,GRE,DF,Olympiacos,21-333,2002,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jon Aramburu,VEN,DF,Real Sociedad,22-108,2002,2.2,0,1,0,0.0,0.46,0.00,0.00,,15.2,0,0,0,0.1,0.1,0.12,-0.1,-0.1
Bright Arrey-Mbi,GER,DF,Braga,21-227,2003,2.1,0,1,1,100.0,0.47,0.47,0.00,0.00,4.5,0,0,0,0.4,0.4,0.44,-0.4,-0.4
Tyrese Asante,NED,DF,Maccabi Tel Aviv,22-213,2002,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Majeed Ashimeru,GHA,MF,Anderlecht,27-029,1997,0.9,0,2,0,0.0,2.17,0.00,0.00,,25.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Kristoffer Askildsen,NOR,"MF,FW",Midtjylland,23-304,2001,0.6,0,1,0,0.0,1.67,0.00,0.00,,24.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Ludwig Augustinsson,SWE,DF,Anderlecht,30-201,1994,1.0,0,1,0,0.0,0.99,0.00,0.00,,11.7,0,0,0,0.0,0.0,0.05,0.0,0.0
Sondre Auklend,NOR,MF,Bodø/Glimt,21-151,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Nəriman Axundzadə,AZE,FW,Qarabağ,20-199,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kaan Ayhan,TUR,DF,Galatasaray,29-364,1994,3.6,0,1,1,100.0,0.28,0.28,0.00,0.00,10.7,0,0,0,0.0,0.0,0.01,0.0,0.0
Youri Baas,NED,DF,Ajax,21-236,2003,2.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
William Baeten,BEL,FW,FCSB,27-275,1997,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Michael Baidoo,GHA,FW,Elfsborg,25-178,1999,3.5,2,4,1,25.0,1.13,0.28,0.00,0.00,25.8,0,2,2,1.8,0.2,0.06,+0.2,-0.2
Nedim Bajrami,ALB,FW,Rangers,25-254,1999,3.6,1,10,5,50.0,2.81,1.41,0.10,0.20,22.6,1,0,0,0.9,0.9,0.09,+0.1,+0.1
Tiemoué Bakayoko,FRA,MF,PAOK,30-083,1994,1.3,0,4,2,50.0,3.13,1.57,0.00,0.00,16.8,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Tommaso Baldanzi,ITA,MF,Roma,21-230,2003,3.1,0,9,1,11.1,2.91,0.32,0.00,0.00,18.8,0,0,0,0.7,0.7,0.07,-0.7,-0.7
Daniels Balodis,LVA,DF,FK Rīgas FS,26-151,1998,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Leon Balogun,NGA,DF,Rangers,36-133,1988,0.7,0,1,0,0.0,1.34,0.00,0.00,,16.4,0,0,0,0.0,0.0,0.01,0.0,0.0
Alexandru Băluță,ROU,"MF,FW",FCSB,31-056,1993,1.8,0,1,0,0.0,0.57,0.00,0.00,,20.0,0,0,0,0.0,0.0,0.02,0.0,0.0
Melvin Bard,FRA,"MF,DF",Nice,24-002,2000,2.0,0,1,0,0.0,0.50,0.00,0.00,,8.8,0,0,0,0.0,0.0,0.03,0.0,0.0
Abdülkerim Bardakcı,TUR,DF,Galatasaray,30-062,1994,3.9,0,4,0,0.0,1.01,0.00,0.00,,9.6,0,0,0,0.6,0.6,0.15,-0.6,-0.6
Ander Barrenetxea,ESP,"FW,MF",Real Sociedad,22-317,2001,1.3,1,3,1,33.3,2.25,0.75,0.33,1.00,19.6,0,0,0,0.2,0.2,0.06,+0.8,+0.8
Connor Barron,SCO,MF,Rangers,22-071,2002,3.8,0,1,0,0.0,0.27,0.00,0.00,,22.9,0,0,0,0.1,0.1,0.09,-0.1,-0.1
Michy Batshuayi,BEL,"FW,DF",Galatasaray,31-037,1993,0.5,0,1,0,0.0,2.20,0.00,0.00,,17.6,0,0,0,0.0,0.0,0.04,0.0,0.0
Oliver Baumann,GER,GK,Hoffenheim,34-159,1990,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Toral Bayramov,AZE,"DF,FW",Qarabağ,23-259,2001,2.2,1,4,2,50.0,1.86,0.93,0.25,0.50,26.1,0,0,1,1.0,0.2,0.05,0.0,+0.8
Rodrigo Becão,BRA,DF,Fenerbahçe,28-294,1996,3.2,0,1,0,0.0,0.31,0.00,0.00,,10.5,0,0,0,0.0,0.0,0.03,0.0,0.0
Mads Bech Sørensen,DEN,DF,Midtjylland,25-306,1999,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Sheraldo Becker,SUR,"MF,FW",Real Sociedad,29-273,1995,1.0,0,2,1,50.0,1.91,0.96,0.00,0.00,22.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Kristijan Belic,SRB,MF,AZ Alkmaar,23-228,2001,0.9,0,2,0,0.0,2.28,0.00,0.00,,11.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Saïd Benrahma,ALG,"FW,MF",Lyon,29-090,1995,1.8,1,13,2,15.4,7.09,1.09,0.08,0.50,19.4,2,0,0,1.0,1.0,0.08,0.0,0.0
Rodrigo Bentancur,URU,MF,Tottenham,27-136,1997,1.7,0,1,0,0.0,0.58,0.00,0.00,,25.0,0,0,0,0.0,0.0,0.02,0.0,0.0
Yassine Benzia,ALG,"MF,FW",Qarabağ,30-061,1994,3.2,0,7,2,28.6,2.18,0.62,0.00,0.00,19.1,1,0,0,0.4,0.4,0.05,-0.4,-0.4
Yuri Berchiche,ESP,DF,Athletic Club,34-272,1990,4.0,0,6,2,33.3,1.50,0.50,0.00,0.00,21.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Álex Berenguer,ESP,"MF,FW",Athletic Club,29-127,1995,2.1,0,5,3,60.0,2.36,1.41,0.00,0.00,27.0,2,0,0,0.1,0.1,0.03,-0.1,-0.1
Lasse Berg Johnsen,NOR,MF,Malmö,25-082,1999,3.7,0,2,0,0.0,0.54,0.00,0.00,,27.9,0,0,0,0.0,0.0,0.02,0.0,0.0
Oliver Berg,NOR,"MF,FW",Malmö,31-072,1993,2.4,0,1,0,0.0,0.42,0.00,0.00,,26.7,0,0,0,0.0,0.0,0.02,0.0,0.0
Patrick Berg,NOR,MF,Bodø/Glimt,26-350,1997,4.0,1,8,3,37.5,2.00,0.75,0.13,0.33,17.9,0,0,0,0.7,0.7,0.09,+0.3,+0.3
Mitchell van Bergen,NED,FW,Twente,25-073,1999,2.2,0,3,2,66.7,1.37,0.91,0.00,0.00,15.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Steven Berghuis,NED,MF,Ajax,32-325,1991,0.3,0,1,0,0.0,3.60,0.00,0.00,,11.9,0,0,0,0.0,0.0,0.02,0.0,0.0
Lucas Bergvall,SWE,MF,Tottenham,18-280,2006,2.4,0,2,0,0.0,0.85,0.00,0.00,,28.9,0,0,0,0.0,0.0,0.02,0.0,0.0
Mergim Berisha,GER,FW,Hoffenheim,26-181,1998,0.6,0,2,1,50.0,3.46,1.73,0.00,0.00,15.7,0,0,0,0.2,0.2,0.09,-0.2,-0.2
Gijs Besselink,NED,MF,Twente,20-145,2004,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Raul Bicalho,BRA,DF,Ferencváros,25-198,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Kristian Bilovar,UKR,DF,Dynamo Kyiv,23-277,2001,2.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Daniel Birligea,ROU,FW,FCSB,24-203,2000,3.6,3,7,3,42.9,1.95,0.84,0.43,1.00,15.3,0,0,0,2.2,2.2,0.31,+0.8,+0.8
Tom Bischof,GER,MF,Hoffenheim,19-133,2005,3.8,0,6,1,16.7,1.57,0.26,0.00,0.00,23.4,1,0,0,0.2,0.2,0.04,-0.2,-0.2
Yves Bissouma,MLI,MF,Tottenham,28-070,1996,2.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jeremie Boga,CIV,"MF,FW",Nice,27-310,1997,1.5,2,5,3,60.0,3.24,1.94,0.40,0.67,18.7,0,0,0,0.6,0.6,0.13,+1.4,+1.4
Hugo Bolin,SWE,"FW,DF",Malmö,21-107,2003,2.9,0,11,2,18.2,3.84,0.70,0.00,0.00,19.2,1,0,0,0.6,0.6,0.06,-0.6,-0.6
Moïse Bombito,CAN,DF,Nice,24-223,2000,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ruben van Bommel,NED,FW,AZ Alkmaar,20-097,2004,2.1,2,9,4,44.4,4.26,1.89,0.22,0.50,22.0,1,0,0,1.2,1.2,0.13,+0.8,+0.8
Hendrik Bonmann,GER,GK,Ludogorets,30-291,1994,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Gonçalo Borges,POR,FW,Porto,23-224,2001,0.7,0,2,0,0.0,3.00,0.00,0.00,,21.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Kady Borges,BRA,"FW,MF",Ferencváros,28-190,1996,2.7,0,14,7,50.0,5.10,2.55,0.00,0.00,20.1,1,0,0,0.9,0.9,0.07,-0.9,-0.9
Jan Bořil,CZE,DF,Slavia Prague,33-302,1991,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Erik Botheim,NOR,"FW,MF",Malmö,24-303,2000,3.2,2,5,3,60.0,1.58,0.95,0.40,0.67,15.5,0,0,0,0.5,0.5,0.10,+1.5,+1.5
Endre Botka,HUN,DF,Ferencváros,30-075,1994,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Badredine Bouanani,ALG,"MF,FW",Nice,19-336,2004,2.0,0,4,2,50.0,2.02,1.01,0.00,0.00,21.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Hicham Boudaoui,ALG,MF,Nice,25-046,1999,1.8,0,6,0,0.0,3.42,0.00,0.00,,19.5,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Sofiane Boufal,MAR,"MF,FW",Union SG,31-052,1993,0.4,0,2,1,50.0,5.45,2.73,0.00,0.00,19.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Maksym Braharu,UKR,"MF,FW",Dynamo Kyiv,22-110,2002,0.4,0,2,0,0.0,5.00,0.00,0.00,,17.8,0,0,0,0.0,0.0,0.01,0.0,0.0
Brandon,ESP,FW,PAOK,29-278,1995,0.7,0,2,0,0.0,2.77,0.00,0.00,,16.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1
