Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Willy Boly,CIV,DF,Nott'ham Forest,Premier League,33-279,1991,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Moïse Bombito,CAN,DF,Nice,Ligue 1,24-223,2000,7.7,1,0.13,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Warren Bondo,FRA,MF,Monza,Serie A,21-054,2003,8.9,10,1.12,7,0,0,0,3,0,0,0.00,0,0,0,0,0,0
Victor Boniface,NGA,FW,Leverkusen,Bundesliga,23-321,2000,7.2,26,3.64,16,0,4,6,0,0,3,0.42,1,0,2,0,0,0
Ange-Yoan Bonny,FRA,FW,Parma,Serie A,21-014,2003,9.0,26,2.87,19,0,3,1,3,0,3,0.33,1,0,1,0,1,0
Sebastiaan Bornauw,BEL,DF,Wolfsburg,Bundesliga,25-231,1999,7.0,3,0.43,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Saïmon Bouabré,FRA,MF,Monaco,Ligue 1,18-160,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ayyoub Bouaddi,FRA,MF,Lille,Ligue 1,17-037,2007,2.7,4,1.48,3,0,1,0,0,0,2,0.74,1,0,1,0,0,0
Badredine Bouanani,ALG,"FW,MF",Nice,Ligue 1,19-336,2004,2.9,8,2.72,5,1,1,1,0,0,1,0.34,0,0,0,1,0,0
Benjamin Bouchouari,MAR,MF,Saint-Étienne,Ligue 1,22-361,2001,2.4,9,3.72,8,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Hicham Boudaoui,ALG,MF,Nice,Ligue 1,25-046,1999,7.0,17,2.43,15,0,0,0,1,1,1,0.14,1,0,0,0,0,0
Carlo Boukhalfa,MAR,MF,St. Pauli,Bundesliga,25-189,1999,4.6,8,1.74,6,0,0,2,0,0,0,0.00,0,0,0,0,0,0
Benjamin Bourigeaud,FRA,MF,Rennes,Ligue 1,30-299,1994,0.9,2,2.25,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Edoardo Bove,ITA,"MF,FW",Fiorentina,Serie A,22-176,2002,7.3,26,3.54,20,1,1,1,3,0,7,0.95,5,0,1,0,1,0
Jarrod Bowen,ENG,"FW,MF",West Ham,Premier League,27-324,1996,9.7,37,3.80,23,8,2,3,1,0,2,0.21,2,0,0,0,0,0
Enzo Boyomo,CMR,DF,Osasuna,La Liga,23-032,2001,9.0,3,0.33,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Enzo Boyomo,CMR,DF,Valladolid,La Liga,23-032,2001,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Domagoj Bradarić,CRO,DF,Hellas Verona,Serie A,24-334,1999,3.7,10,2.72,6,3,0,0,1,0,0,0.00,0,0,0,0,0,0
Conor Bradley,NIR,DF,Liverpool,Premier League,21-122,2003,0.9,2,2.28,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bilal Brahimi,ALG,MF,Nice,Ligue 1,24-239,2000,0.8,1,1.18,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Julian Brandt,GER,MF,Dortmund,Bundesliga,28-190,1996,8.2,37,4.49,29,3,1,4,0,0,3,0.36,3,0,0,0,0,0
Jarrad Branthwaite,ENG,DF,Everton,Premier League,22-134,2002,1.1,1,0.92,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Darko Brašanac,SRB,MF,Leganés,La Liga,32-270,1992,7.0,13,1.87,12,0,0,1,0,0,2,0.29,2,0,0,0,0,0
Lilian Brassier,FRA,DF,Marseille,Ligue 1,25-006,1999,6.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Matthias Braunöder,AUT,MF,Como,Serie A,22-226,2002,2.9,4,1.37,2,0,0,1,1,0,0,0.00,0,0,0,0,0,0
Iker Bravo,ESP,"FW,MF",Udinese,Serie A,19-300,2005,2.1,9,4.33,7,2,0,0,0,0,0,0.00,0,0,0,0,0,0
James Bree,ENG,DF,Southampton,Premier League,27-028,1997,0.2,2,12.86,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Tim Breithaupt,GER,MF,Augsburg,Bundesliga,22-275,2002,1.3,3,2.25,3,0,0,0,0,0,2,1.50,2,0,0,0,0,0
Gleison Bremer,BRA,DF,Juventus,Serie A,27-235,1997,6.0,3,0.50,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Brenner,BRA,"MF,FW",Udinese,Serie A,24-297,2000,4.3,10,2.35,8,2,0,0,0,0,1,0.23,1,0,0,0,0,0
Ben Brereton,CHI,FW,Southampton,Premier League,25-204,1999,4.3,9,2.08,7,0,0,0,2,0,0,0.00,0,0,0,0,0,0
Marco Brescianini,ITA,MF,Atalanta,Serie A,24-293,2000,4.2,6,1.45,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Maximilian Breunig,GER,"FW,MF",Heidenheim,Bundesliga,24-086,2000,2.9,6,2.05,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0
David Brooks,WAL,"FW,MF",Bournemouth,Premier League,27-123,1997,0.4,3,8.18,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Moritz Broschinski,GER,"FW,MF",Bochum,Bundesliga,24-046,2000,5.3,7,1.33,4,0,0,3,0,0,1,0.19,1,0,0,0,0,0
Nathaniel Brown,GER,DF,Eint Frankfurt,Bundesliga,21-145,2003,1.1,1,0.90,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Jacob Bruun Larsen,DEN,"DF,FW",Hoffenheim,Bundesliga,26-050,1998,1.3,6,4.62,1,1,1,3,0,0,2,1.54,1,0,0,1,0,0
Ante Budimir,CRO,FW,Osasuna,La Liga,33-109,1991,9.5,19,2.00,11,0,1,4,3,0,4,0.42,1,0,0,0,3,0
Emi Buendía,ARG,"MF,FW",Aston Villa,Premier League,27-319,1996,0.3,1,3.91,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Santiago Bueno,URU,DF,Wolves,Premier League,25-365,1998,3.9,3,0.76,3,0,0,0,0,0,1,0.25,1,0,0,0,0,0
Marius Bülter,GER,FW,Hoffenheim,Bundesliga,31-224,1993,7.2,19,2.63,11,0,3,2,2,1,5,0.69,2,0,2,0,1,0
Facundo Buonanotte,ARG,"MF,FW",Leicester City,Premier League,19-321,2004,7.1,29,4.07,15,5,8,1,0,0,3,0.42,0,2,1,0,0,0
Alessandro Buongiorno,ITA,DF,Napoli,Serie A,25-155,1999,10.0,10,1.00,9,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Cameron Burgess,AUS,DF,Ipswich Town,Premier League,29-018,1995,3.0,2,0.67,2,0,0,0,0,0,1,0.33,1,0,0,0,0,0
Jonathan Burkardt,GER,FW,Mainz 05,Bundesliga,24-120,2000,7.7,16,2.09,12,0,0,1,3,0,2,0.26,1,0,0,0,1,0
Oliver Burke,SCO,"MF,DF",Werder Bremen,Bundesliga,27-215,1997,0.3,1,3.60,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Dan Burn,ENG,DF,Newcastle Utd,Premier League,32-183,1992,10.0,5,0.50,2,1,0,1,1,0,1,0.10,0,1,0,0,0,0
Wes Burns,WAL,FW,Ipswich Town,Premier League,29-351,1994,4.5,6,1.32,4,0,0,0,2,0,0,0.00,0,0,0,0,0,0
Marnon Busch,GER,DF,Heidenheim,Bundesliga,29-336,1994,3.6,12,3.38,9,2,0,1,0,0,0,0.00,0,0,0,0,0,0
Gianluca Busio,USA,MF,Venezia,Serie A,22-164,2002,6.6,19,2.87,16,0,0,2,1,0,1,0.15,0,0,0,1,0,0
Aurélio Buta,POR,DF,Reims,Ligue 1,27-272,1997,6.4,11,1.73,6,3,0,2,0,0,3,0.47,2,1,0,0,0,0
Marcin Bułka,POL,GK,Nice,Ligue 1,25-035,1999,10.0,1,0.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Pau Cabanes,ESP,MF,Villarreal,La Liga,19-265,2005,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Rémy Cabella,FRA,"MF,FW",Lille,Ligue 1,34-245,1990,3.2,16,5.00,10,3,0,2,0,1,1,0.31,1,0,0,0,0,0
Leandro Cabrera,URU,DF,Espanyol,La Liga,33-144,1991,7.0,7,1.00,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Liberato Cacace,NZL,"DF,MF",Empoli,Serie A,24-042,2000,2.2,6,2.69,4,1,1,0,0,0,0,0.00,0,0,0,0,0,0
Anthony Caci,FRA,DF,Mainz 05,Bundesliga,27-130,1997,8.1,29,3.57,23,6,0,0,0,0,1,0.12,1,0,0,0,0,0
Mathieu Cafaro,FRA,"MF,FW",Saint-Étienne,Ligue 1,27-228,1997,6.1,19,3.13,13,4,0,1,1,0,1,0.16,1,0,0,0,0,0
Moisés Caicedo,ECU,MF,Chelsea,Premier League,23-006,2001,9.8,21,2.14,20,0,0,0,0,1,4,0.41,4,0,0,0,0,0
Tom Cairney,SCO,MF,Fulham,Premier League,33-293,1991,1.3,10,7.69,9,1,0,0,0,0,2,1.54,2,0,0,0,0,0
Jens Cajuste,SWE,MF,Ipswich Town,Premier League,25-090,1999,2.0,5,2.50,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Davide Calabria,ITA,DF,Milan,Serie A,27-338,1996,1.7,4,2.40,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Riccardo Calafiori,ITA,DF,Arsenal,Premier League,22-173,2002,4.3,5,1.17,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Luca Caldirola,ITA,DF,Monza,Serie A,33-281,1991,3.1,1,0.32,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Fernando Calero,ESP,DF,Espanyol,La Liga,29-055,1995,2.1,1,0.48,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
