Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Jefté,BRA,DF,Rangers,20-320,2003,2.0,8,4.00,7,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Elias Jelert,DEN,DF,Galatasaray,21-146,2003,0.1,1,7.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Václav Jemelka,CZE,DF,Viktoria Plzeň,29-135,1995,3.0,2,0.67,1,1,0,0,0,0,1,0.33,1,0,0,0,0,0
Oliver Jensen,DEN,MF,Midtjylland,22-240,2002,0.7,1,1.45,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Victor Jensen,DEN,DF,Midtjylland,21-033,2003,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Erik Jirka,SVK,"DF,FW",Viktoria Plzeň,27-047,1997,1.1,1,0.88,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mikel Johnsen,DEN,MF,Midtjylland,18-039,2006,0.2,2,9.00,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Brennan Johnson,WAL,"FW,MF",Tottenham,23-166,2001,1.3,2,1.55,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Juninho,BRA,FW,Qarabağ,27-350,1996,2.9,6,2.07,3,1,2,0,0,0,1,0.34,0,0,1,0,0,0
David Jurásek,CZE,DF,Hoffenheim,24-090,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Matěj Jurásek,CZE,"FW,MF",Slavia Prague,21-067,2003,1.3,4,3.08,3,0,0,0,1,0,1,0.77,1,0,0,0,0,0
Mathias Jørgensen,DEN,DF,Anderlecht,34-196,1990,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Sebastian Jørgensen,DEN,MF,Malmö,24-140,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ayoub El Kaabi,MAR,FW,Olympiacos,31-132,1993,2.9,4,1.36,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Elton Kabangu,BEL,FW,Union SG,26-271,1998,0.1,1,15.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Vladyslav Kabayev,UKR,FW,Dynamo Kyiv,29-065,1995,2.1,5,2.33,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Pavel Kadeřábek,CZE,DF,Hoffenheim,32-194,1992,0.7,4,6.10,3,1,0,0,0,0,1,1.53,1,0,0,0,0,0
İrfan Kahveci,TUR,FW,Fenerbahçe,29-113,1995,1.5,2,1.31,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Rami Kaib,TUN,"MF,FW",Elfsborg,27-181,1997,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lukáš Kalvach,CZE,MF,Viktoria Plzeň,29-109,1995,2.9,3,1.03,2,0,0,1,0,0,2,0.69,1,0,0,1,0,0
Gavriel Kanichowsky,ISR,MF,Maccabi Tel Aviv,27-073,1997,2.0,7,3.52,4,2,0,1,0,0,0,0.00,0,0,0,0,0,0
Ahmetcan Kaplan,TUR,DF,Ajax,21-294,2003,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Oleksandr Karavayev,UKR,DF,Dynamo Kyiv,32-156,1992,1.0,3,3.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Neraysho Kasanwirjo,NED,"DF,FW",Rangers,22-261,2002,1.5,2,1.31,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
