Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Sinan Bolat,TUR,GK,Westerlo,36-060,1988,11.0,1,0.09,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Boli Bolingoli-Mbombo,BEL,DF,Standard Liège,29-124,1995,0.5,1,2.20,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Christopher Bonsu Baah,GHA,"FW,MF",Genk,19-324,2004,7.6,32,4.24,26,0,1,3,1,1,4,0.53,3,0,0,1,0,0
Jordan Bos,AUS,DF,Westerlo,22-004,2002,3.3,9,2.71,4,0,2,0,2,1,1,0.30,1,0,0,0,0,0
Sofiane Boufal,MAR,MF,Union SG,31-046,1993,1.2,8,6.99,4,2,0,1,1,0,0,0.00,0,0,0,0,0,0
Amine Boukamir,BEL,MF,Charleroi,18-010,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Rosen Bozhinov,BUL,DF,Antwerp,19-284,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bilal Brahimi,ALG,"MF,FW",Sint-Truiden,24-233,2000,4.9,32,6.50,16,11,1,2,2,0,1,0.20,1,0,0,0,0,0
Archie Brown,ENG,DF,Gent,22-158,2002,11.0,24,2.19,19,0,2,1,2,0,3,0.27,3,0,0,0,0,0
Bruninho,BRA,"MF,FW",Cercle Brugge,21-233,2003,3.5,9,2.59,7,1,0,0,1,0,2,0.58,1,1,0,0,0,0
Paris Brunner,GER,"MF,FW",Cercle Brugge,18-261,2006,0.8,1,1.30,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Massimo Bruno,BEL,MF,Kortrijk,31-046,1993,4.7,10,2.14,7,2,0,1,0,0,0,0.00,0,0,0,0,0,0
Marko Bulat,CRO,"MF,FW",Standard Liège,23-037,2001,10.6,39,3.69,16,16,0,3,3,1,2,0.19,1,1,0,0,0,0
Christian Burgess,ENG,DF,Union SG,33-026,1991,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Welat Cagro,BEL,MF,Beerschot,25-155,1999,5.9,7,1.18,4,1,0,0,1,1,1,0.17,1,0,0,0,0,0
Alexandro Calut,BEL,"DF,MF",Standard Liège,21-194,2003,1.3,6,4.58,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Etienne Camara,FRA,MF,Charleroi,21-217,2003,9.8,20,2.04,19,0,0,1,0,0,1,0.10,1,0,0,0,0,0
Ilay Camara,BEL,DF,Standard Liège,21-289,2003,7.7,18,2.34,11,2,2,0,3,0,3,0.39,1,0,0,0,2,0
Alessio Castro-Montes,BEL,"DF,FW",Union SG,27-169,1997,9.2,42,4.54,27,11,3,0,1,0,3,0.32,2,1,0,0,0,0
Tjaronn Chery,SUR,"MF,FW",Antwerp,36-151,1988,10.4,38,3.95,25,7,4,2,0,0,8,0.83,5,1,2,0,0,0
Antoine Colassin,BEL,"FW,MF",Beerschot,23-250,2001,2.9,11,3.75,5,0,1,2,2,1,2,0.68,1,0,0,0,1,0
Kobe Cools,BEL,DF,Dender,27-100,1997,12.0,10,0.83,8,1,0,0,0,1,0,0.00,0,0,0,0,0,0
Colin Coosemans,BEL,GK,Anderlecht,32-091,1992,12.0,2,0.17,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Jo Coppens,BEL,GK,Sint-Truiden,33-317,1990,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kobe Corbanie,BEL,"MF,DF",Antwerp,19-176,2005,4.8,9,2.35,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ayrton Costa,ARG,DF,Antwerp,25-113,1999,10.1,12,1.31,9,0,0,2,0,1,1,0.11,1,0,0,0,0,0
Carlos Cuesta,COL,DF,Genk,25-238,1999,2.5,1,0.41,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Oday Dabbagh,PLE,FW,Charleroi,25-335,1998,3.3,12,3.65,10,0,0,2,0,0,0,0.00,0,0,0,0,0,0
