Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Tammy Abraham,ENG,FW,Milan,27-037,1997,1.2,1,0.87,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Francesco Acerbi,ITA,DF,Inter,36-272,1988,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Arijan Ademi,MKD,MF,Dinamo Zagreb,33-163,1991,1.8,3,1.69,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Karim Adeyemi,GER,FW,Dortmund,22-295,2002,1.5,8,5.41,5,0,0,0,1,2,2,1.35,0,0,0,0,1,1
Amine Adli,MAR,MF,Leverkusen,24-182,2000,1.3,3,2.29,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Vasilije Adžić,MNE,FW,Juventus,18-180,2006,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Michel Aebischer,SUI,MF,Bologna,27-307,1997,0.3,1,3.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Emanuel Aiwum,AUT,DF,Sturm Graz,23-319,2000,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ludovic Ajorque,FRA,FW,Brest,30-257,1994,3.7,16,4.30,14,0,2,0,0,0,2,0.54,2,0,0,0,0,0
Manuel Akanji,SUI,DF,Manchester City,29-112,1995,3.7,6,1.64,6,0,0,0,0,0,1,0.27,1,0,0,0,0,0
Nathan Aké,NED,DF,Manchester City,29-264,1995,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Maghnes Akliouche,FRA,"FW,MF",Monaco,22-257,2002,4.0,18,4.50,9,2,3,1,3,0,3,0.75,0,1,2,0,0,0
Kerem Aktürkoğlu,TUR,FW,Benfica,26-018,1998,3.4,5,1.48,5,0,0,0,0,0,2,0.59,2,0,0,0,0,0
Trent Alexander-Arnold,ENG,DF,Liverpool,26-032,1998,3.5,13,3.70,9,2,1,1,0,0,2,0.57,1,1,0,0,0,0
Alisson,BRA,GK,Liverpool,32-037,1992,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Julián Álvarez,ARG,"FW,MF",Atlético Madrid,24-282,2000,3.1,7,2.27,7,0,0,0,0,0,1,0.32,1,0,0,0,0,0
Mohamed Aly Camara,GUI,DF,Young Boys,27-072,1997,2.0,1,0.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jordan Amavi,FRA,DF,Brest,30-244,1994,0.9,1,1.08,0,1,0,0,0,0,1,1.08,0,1,0,0,0,0
Zeki Amdouni,SUI,FW,Benfica,23-340,2000,1.2,3,2.57,0,0,1,1,1,0,2,1.71,0,0,1,0,1,0
Benjamin André,FRA,MF,Lille,34-097,1990,4.0,4,1.00,3,0,0,0,1,0,2,0.50,1,0,0,0,1,0
Robert Andrich,GER,MF,Leverkusen,30-047,1994,1.4,4,2.90,3,0,0,1,0,0,1,0.73,1,0,0,0,0,0
Waldemar Anton,GER,DF,Dortmund,28-111,1996,1.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Maximiliano Araújo,URU,"DF,MF",Sporting CP,24-267,2000,1.9,2,1.05,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Tomás Araújo,POR,DF,Benfica,22-176,2002,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marko Arnautović,AUT,FW,Inter,35-203,1989,1.4,4,2.93,2,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Marco Asensio,ESP,FW,Paris S-G,28-292,1996,1.4,2,1.41,0,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Kristjan Asllani,ALB,MF,Inter,22-244,2002,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Yaser Asprilla,COL,"FW,MF",Girona,20-355,2003,0.5,1,2.20,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Zachary Athekame,SUI,DF,Young Boys,19-331,2004,2.4,8,3.30,5,0,1,0,1,1,0,0.00,0,0,0,0,0,0
Carlos Augusto,BRA,DF,Inter,25-306,1999,2.6,4,1.55,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Yann Aurel Bisseck,GER,DF,Inter,23-345,2000,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Fredrik Aursnes,NOR,MF,Benfica,28-334,1995,3.4,9,2.66,9,0,0,0,0,0,1,0.30,1,0,0,0,0,0
Ayman Azhil,MAR,MF,Dortmund,23-212,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Isaac Babadi,NED,"FW,MF",PSV Eindhoven,19-216,2005,0.2,1,6.92,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alexander Bah,DEN,DF,Benfica,26-335,1997,2.3,8,3.46,4,1,0,0,1,2,1,0.43,0,0,0,0,0,1
Samson Baidoo,AUT,DF,RB Salzburg,20-222,2004,2.8,6,2.11,6,0,0,0,0,0,1,0.35,1,0,0,0,0,0
Leon Bailey,JAM,FW,Aston Villa,27-091,1997,2.1,5,2.41,5,0,0,0,0,0,1,0.48,1,0,0,0,0,0
Stefan Bajcetic,ESP,MF,RB Salzburg,20-017,2004,1.4,5,3.49,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Kenan Bajrić,SVN,DF,Slovan Bratislava,29-324,1994,4.0,4,1.00,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Johan Bakayoko,BEL,FW,PSV Eindhoven,21-202,2003,3.9,14,3.58,12,0,2,0,0,0,2,0.51,1,0,1,0,0,0
Mitchel Bakker,NED,"DF,FW",Lille,24-141,2000,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alejandro Balde,ESP,DF,Barcelona,21-021,2003,3.0,3,1.01,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
David von Ballmoos,SUI,GK,Young Boys,29-314,1994,2.0,2,1.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Folarin Balogun,USA,FW,Monaco,23-128,2001,0.7,3,4.03,2,0,0,0,1,0,1,1.34,0,0,0,0,1,0
Bradley Barcola,FRA,FW,Paris S-G,22-067,2002,3.6,13,3.63,10,0,2,1,0,0,0,0.00,0,0,0,0,0,0
Nicolò Barella,ITA,MF,Inter,27-275,1997,2.3,12,5.17,11,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Ross Barkley,ENG,MF,Aston Villa,30-339,1993,0.9,1,1.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Leandro Barreiro Martins,LUX,MF,Benfica,24-310,2000,0.1,1,11.25,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Pablo Barrios,ESP,MF,Atlético Madrid,21-146,2003,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tigran Barseghyan,ARM,"FW,MF",Slovan Bratislava,31-047,1993,3.7,13,3.49,10,2,1,0,0,0,0,0.00,0,0,0,0,0,0
Alessandro Bastoni,ITA,DF,Inter,25-209,1999,2.0,4,2.03,2,0,1,0,1,0,0,0.00,0,0,0,0,0,0
Martin Baturina,CRO,"MF,FW",Dinamo Zagreb,21-266,2003,3.3,15,4.49,11,2,2,0,0,0,2,0.60,2,0,0,0,0,0
