Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
José Fonte,POR,DF,Casa Pia,40-300,1983,6.0,5,0.83,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Lucas França,BRA,GK,Nacional,28-272,1996,7.0,2,0.29,1,1,0,0,0,0,1,0.14,0,1,0,0,0,0
André Franco,POR,"MF,FW",Porto,26-188,1998,0.8,8,10.29,6,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Afonso freitas,POR,DF,Nacional,24-193,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Iván Fresneda,ESP,DF,Sporting CP,20-019,2004,0.5,1,2.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Godfried Frimpong,NED,DF,Moreirense,25-088,1999,8.0,11,1.37,11,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kanya Fujimoto,JPN,"MF,FW",Gil Vicente FC,25-108,1999,7.2,14,1.94,12,0,0,1,1,0,2,0.28,2,0,0,0,0,0
Taichi Fukui,JPN,MF,Arouca,20-094,2004,8.0,15,1.88,13,0,0,2,0,0,1,0.13,1,0,0,0,0,0
Tiago Gabriel,POR,DF,Estrela,19-296,2004,4.9,1,0.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Galeno,BRA,"DF,FW",Porto,26-361,1997,7.6,31,4.06,20,2,3,2,3,1,4,0.52,2,0,0,0,2,0
Nino Galović,CRO,DF,Arouca,32-103,1992,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
García,BRA,DF,Nacional,22-287,2002,7.0,15,2.14,14,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Fabrício Garcia,CPV,FW,Estoril,23-166,2001,4.4,12,2.73,8,0,0,0,2,2,2,0.45,1,0,0,0,0,1
Santiago García,ESP,MF,Gil Vicente FC,23-049,2001,2.0,4,1.96,4,0,0,0,0,0,1,0.49,1,0,0,0,0,0
Bruno Gaspar,ANG,DF,Vitória,31-179,1993,6.7,16,2.40,13,1,0,1,1,0,0,0.00,0,0,0,0,0,0
Mory Gbane,CIV,MF,Gil Vicente FC,23-297,2000,5.7,12,2.09,9,0,2,1,0,0,2,0.35,2,0,0,0,0,0
Geovanny,POR,MF,Farense,20-095,2004,1.2,2,1.68,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
André Geraldes,POR,"MF,DF",Casa Pia,33-168,1991,5.8,7,1.20,5,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Ismaël Gharbi,ESP,"MF,FW",Braga,20-190,2004,1.1,10,9.37,4,3,0,2,1,0,2,1.87,1,0,0,1,0,0
José Gomes,POR,DF,Nacional,28-089,1996,6.7,9,1.33,7,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Pedro gomes,POR,DF,Boavista,21-135,2003,7.2,3,0.41,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Vítor Gomes,POR,MF,Rio Ave,36-297,1987,0.4,6,14.21,6,0,0,0,0,0,1,2.37,1,0,0,0,0,0
Victor Gomez,ESP,DF,Braga,24-199,2000,5.0,9,1.80,8,0,0,0,0,1,2,0.40,2,0,0,0,0,0
Nuno Gonçalo Moreira,POR,FW,Casa Pia,25-123,1999,5.2,17,3.24,10,2,2,3,0,0,1,0.19,0,0,0,1,0,0
João Gonçalves,POR,GK,Boavista,23-347,2000,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Pedro Gonçalves,POR,"FW,MF",Sporting CP,26-111,1998,4.7,47,10.10,28,13,2,2,2,0,4,0.86,3,0,0,1,0,0
Cristo González,ESP,MF,Arouca,26-359,1997,2.0,7,3.50,5,1,0,0,1,0,1,0.50,1,0,0,0,0,0
Mario González,ESP,FW,Famalicão,28-235,1996,3.6,7,1.97,5,0,0,1,1,0,2,0.56,2,0,0,0,0,0
Nicolás González,ESP,MF,Porto,22-288,2002,7.5,26,3.49,20,0,2,2,1,1,8,1.07,4,0,1,1,1,1
Jean Gorby,FRA,MF,Braga,22-084,2002,2.9,8,2.72,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0
João Goulart Silva,POR,DF,Casa Pia,24-264,2000,8.0,2,0.25,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Tiago Gouveia,POR,"FW,DF",Benfica,23-121,2001,0.9,7,7.50,5,0,2,0,0,0,1,1.07,1,0,0,0,0,0
Pablo Gozalbez,ESP,MF,Arouca,23-170,2001,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
João Graça,POR,"MF,FW",Rio Ave,29-121,1995,1.5,2,1.34,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Samuel Granada,BRA,FW,AVS Futebol,24-250,2000,2.7,4,1.49,2,0,0,1,1,0,1,0.37,1,0,0,0,0,0
Jaume Grau,ESP,MF,AVS Futebol,27-165,1997,4.7,5,1.06,2,3,0,0,0,0,0,0.00,0,0,0,0,0,0
Marko Grujić,SRB,MF,Porto,28-187,1996,0.4,2,5.45,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Rafik Guitane,FRA,"FW,MF",Estoril,25-144,1999,1.1,3,2.76,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Rafik Guitane,FRA,FW,Braga,25-144,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Deniz Gül,SWE,FW,Porto,20-107,2004,0.5,1,1.96,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Viktor Gyökeres,SWE,FW,Sporting CP,26-135,1998,7.8,49,6.26,29,0,6,8,6,0,9,1.15,6,0,1,0,2,0
Justin de Haas,NED,DF,Famalicão,24-259,2000,8.0,6,0.75,5,0,0,1,0,0,2,0.25,2,0,0,0,0,0
Tomás Händel,POR,MF,Vitória,23-325,2000,7.7,19,2.47,15,0,0,1,0,3,2,0.26,2,0,0,0,0,0
Conrad Harder,DEN,"FW,MF",Sporting CP,19-193,2005,1.5,9,6.00,4,1,1,2,1,0,1,0.67,1,0,0,0,0,0
Thiago Helguera,URU,MF,Braga,18-205,2006,0.1,1,10.00,1,0,0,0,0,0,1,10.00,1,0,0,0,0,0
Gustavo Henrique,BRA,"MF,FW",Estrela,25-168,1999,2.5,5,1.97,5,0,0,0,0,0,1,0.39,1,0,0,0,0,0
Morten Hjulmand,DEN,MF,Sporting CP,25-114,1999,5.3,20,3.79,18,1,0,1,0,0,1,0.19,1,0,0,0,0,0
Jordan Holsgrove,SCO,MF,Estoril,25-037,1999,1.6,2,1.24,1,1,0,0,0,0,1,0.62,1,0,0,0,0,0
Lukáš Horníček,CZE,GK,Braga,22-096,2002,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
André Horta,POR,MF,Braga,27-345,1996,2.9,7,2.41,6,1,0,0,0,0,1,0.34,1,0,0,0,0,0
Ricardo Horta,POR,"MF,FW",Braga,30-032,1994,7.9,28,3.53,17,10,0,0,1,0,2,0.25,2,0,0,0,0,0
Igor,BRA,MF,Estrela,21-224,2003,3.2,11,3.46,9,0,1,1,0,0,1,0.31,1,0,0,0,0,0
André Inácio,BRA,MF,Estrela,22-237,2002,3.5,8,2.29,3,1,2,0,2,0,0,0.00,0,0,0,0,0,0
Gonçalo Inácio,POR,DF,Sporting CP,23-053,2001,6.1,11,1.80,10,0,0,1,0,0,3,0.49,3,0,0,0,0,0
Isaac,BRA,FW,Nacional,20-205,2004,1.2,3,2.60,1,0,1,0,1,0,1,0.87,0,0,1,0,0,0
Ismael,POR,MF,Moreirense,25-206,1999,7.2,19,2.66,13,0,1,0,3,2,2,0.28,1,0,0,0,1,0
Franco Israel,URU,GK,Sporting CP,24-178,2000,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ivan Jaime Pajuelo,ESP,FW,Porto,24-021,2000,4.1,16,3.95,12,0,2,0,2,0,5,1.23,4,0,1,0,0,0
Jason,ESP,FW,Arouca,30-103,1994,5.8,13,2.25,7,4,0,1,1,0,0,0.00,0,0,0,0,0,0
Jhonatan,BRA,GK,Rio Ave,33-162,1991,8.0,1,0.12,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Luiz Lúcio Reis Júnior,BRA,GK,Famalicão,23-277,2001,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Issa Kaboré,BFA,DF,Benfica,23-158,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kaio,BRA,FW,Vitória,20-245,2004,5.6,13,2.34,9,0,1,0,3,0,0,0.00,0,0,0,0,0,0
