Player,Nation,Pos,Squad,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Patrick van Aanholt,NED,DF,PSV Eindhoven,31,1990,1.5,1,1,1,0,0,1,3,33.3,2,2,0,2,2,3,4,0
Myenty Abena,SUR,DF,Ferencváros,27,1994,2.0,5,2,3,1,1,3,5,60.0,2,4,3,1,1,6,5,0
Matthis Abline,FRA,FW,Rennes,19,2003,1.6,1,1,0,1,0,0,1,0.0,1,2,0,2,1,2,2,0
Abner,BRA,DF,Betis,22,2000,1.3,1,1,1,0,0,1,4,25.0,3,5,1,4,0,1,6,0
Pape Abou Cissé,SEN,DF,Olympiacos,26,1995,3.3,7,5,7,0,0,5,7,71.4,2,3,2,1,4,11,15,1
Tammy Abraham,ENG,FW,Roma,24,1997,9.6,12,6,3,5,4,3,4,75.0,1,9,1,8,0,12,4,0
Malik Abubakari,GHA,FW,HJK,22,2000,4.9,3,0,3,0,0,2,2,100.0,0,4,0,4,2,5,4,0
Marcos Acuña,ARG,DF,Sevilla,30,1991,7.9,24,16,9,13,2,7,17,41.2,10,11,2,9,5,29,13,0
Junior Adamu,AUT,FW,RB Salzburg,21,2001,1.2,2,1,2,0,0,1,1,100.0,0,1,1,0,2,4,0,0
Antonio Adán,ESP,GK,Sporting CP,35,1987,6.3,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,3,1
Simon Adingra,CIV,"FW,DF",Union SG,20,2002,4.6,6,3,3,1,2,5,7,71.4,2,3,0,3,4,10,2,0
Amine Adli,MAR,"FW,MF",Leverkusen,22,2000,3.1,7,1,0,5,2,3,8,37.5,5,4,0,4,2,9,2,0
David Affengruber,AUT,DF,Sturm Graz,21,2001,5.4,8,5,7,1,0,5,10,50.0,5,6,3,3,2,10,36,0
Ruben Aguilar,FRA,"DF,MF",Monaco,29,1993,1.4,1,1,1,0,0,1,7,14.3,6,3,1,2,1,2,0,0
Tosin Aiyegun,BEN,FW,Zürich,24,1998,5.3,3,2,1,1,1,0,4,0.0,4,1,0,1,1,4,1,0
Albian Ajeti,SUI,FW,Sturm Graz,25,1997,3.4,0,0,0,0,0,0,1,0.0,1,4,0,4,1,1,3,0
Samet Akaydın,TUR,DF,Fenerbahçe,28,1994,2.0,5,3,4,1,0,4,6,66.7,2,1,0,1,3,8,11,0
Maghnes Akliouche,FRA,"FW,MF",Monaco,20,2002,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Paul Akouokou,CIV,MF,Betis,24,1997,4.0,5,2,0,3,2,3,7,42.9,4,5,0,5,7,12,3,0
Jordi Alba,ESP,DF,Barcelona,33,1989,0.7,1,1,0,0,1,0,0,,0,3,2,1,2,3,3,0
Luis Alberto,ESP,MF,Lazio,29,1992,3.4,4,3,3,1,0,1,2,50.0,1,1,1,0,1,5,0,0
Doğan Alemdar,TUR,GK,Rennes,19,2002,1.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Mohamed Ali Cho,FRA,"MF,FW",Real Sociedad,18,2004,1.3,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,1,0
Ezgjan Alioski,MKD,DF,Fenerbahçe,30,1992,3.5,4,3,3,1,0,3,4,75.0,1,2,0,2,4,8,3,1
Fidan Aliti,KVX,DF,Zürich,28,1993,3.5,8,6,5,3,0,2,2,100.0,0,1,0,1,1,9,8,0
Richard Almeida,AZE,MF,Qarabağ,33,1989,3.4,3,0,1,2,0,1,5,20.0,4,3,1,2,2,5,2,0
Marcos Alonso,ESP,DF,Barcelona,31,1990,0.8,0,0,0,0,0,0,0,,0,2,2,0,1,1,1,0
