Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Abner,BRA,DF,Juventude,20-181,2004,1.2,1,0.83,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Luiz Adriano,BRA,FW,Vitória,37-188,1987,2.2,2,0.89,2,0,0,0,0,0,1,0.45,1,0,0,0,0,0
Adryelson,BRA,DF,Botafogo (RJ),26-208,1998,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Adson,BRA,FW,Vasco da Gama,24-011,2000,13.6,53,3.90,46,2,5,0,0,0,5,0.37,4,0,1,0,0,0
Lucas Alario,ARG,"FW,MF",Internacional,32-009,1992,7.1,9,1.27,7,0,0,2,0,0,1,0.14,0,0,0,1,0,0
Carlos Alberto,BRA,FW,Botafogo (RJ),22-186,2002,2.3,6,2.62,2,0,3,1,0,0,0,0.00,0,0,0,0,0,0
Yuri Alberto,BRA,FW,Corinthians,23-213,2001,18.4,48,2.60,28,0,3,8,7,2,7,0.38,4,0,1,0,1,1
Carlos Alcaraz,ARG,MF,Flamengo,21-322,2002,2.4,13,5.47,8,3,0,1,1,0,1,0.42,1,0,0,0,0,0
Alerrandro,BRA,FW,Vitória,24-279,2000,18.9,47,2.49,35,0,3,6,2,1,6,0.32,5,0,1,0,0,0
Caio Alexandre,BRA,MF,Bahia,25-236,1999,25.0,58,2.32,55,0,1,1,1,0,3,0.12,3,0,0,0,0,0
Matheus Alexandre,BRA,DF,Cuiabá,25-193,1999,19.3,25,1.30,20,3,1,0,0,1,1,0.05,0,1,0,0,0,0
Alexsander,BRA,MF,Fluminense,21-009,2003,8.8,26,2.96,20,0,3,1,1,1,1,0.11,1,0,0,0,0,0
Alisson,BRA,GK,Criciúma,29-131,1995,3.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alisson,BRA,"DF,FW",Atlético Mineiro,19-026,2005,6.2,20,3.23,9,4,2,0,4,1,0,0.00,0,0,0,0,0,0
Alisson,BRA,MF,São Paulo,31-114,1993,15.0,41,2.73,35,0,2,1,2,1,5,0.33,4,0,1,0,0,0
Allan,BRA,MF,Flamengo,27-228,1997,13.5,28,2.07,26,0,0,1,0,1,1,0.07,1,0,0,0,0,0
Allan,BRA,MF,Botafogo (RJ),33-283,1991,3.1,2,0.65,2,0,0,0,0,0,1,0.33,1,0,0,0,0,0
Allano,BRA,"FW,MF",Criciúma,29-176,1995,11.8,49,4.11,36,0,4,2,6,1,3,0.25,2,0,0,0,1,0
Thiago Almada,ARG,"FW,MF",Botafogo (RJ),23-174,2001,6.5,38,5.84,25,8,1,3,1,0,2,0.31,1,0,0,1,0,0
Júnior Alonso,PAR,DF,Atlético Mineiro,31-251,1993,8.6,14,1.62,13,0,1,0,0,0,1,0.12,1,0,0,0,0,0
Anderson,BRA,GK,Cruzeiro,26-226,1998,15.0,1,0.07,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Felipe Anderson,BRA,"FW,MF",Palmeiras,31-185,1993,8.5,35,4.12,25,5,2,0,3,0,4,0.47,3,0,0,0,1,0
Kervin Andrade,VEN,MF,Fortaleza,19-187,2005,4.6,26,5.61,15,4,1,2,3,1,2,0.43,2,0,0,0,0,0
Rodrigo Andrade,BRA,"MF,FW",Vitória,27-135,1997,4.3,8,1.87,5,2,0,0,0,1,0,0.00,0,0,0,0,0,0
André,BRA,MF,Fluminense,23-093,2001,11.9,25,2.10,22,1,0,0,1,1,2,0.17,2,0,0,0,0,0
José Andrés Martínez,VEN,MF,Corinthians,30-071,1994,4.2,11,2.60,8,0,1,1,0,1,0,0.00,0,0,0,0,0,0
Wilker Ángel,VEN,DF,Criciúma,31-213,1993,9.8,7,0.72,6,0,0,1,0,0,2,0.20,1,0,0,1,0,0
