Player,Nation,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Ivan Schranz,SVK,DF,Slavia Prague,31-056,1993,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Stefan Schwab,AUT,MF,PAOK,34-042,1990,1.4,83,79,3,3,0,2,4,0,0,0,0,0,71,1,0
Nicolás Serrano,ESP,FW,Athletic Club,21-248,2003,0.4,19,18,1,0,0,0,4,0,1,1,0,0,17,0,0
Stephan El Shaarawy,ITA,DF,Roma,32-012,1992,1.2,64,53,11,0,0,0,4,11,0,0,0,0,52,0,0
Ido Shahar,ISR,"FW,DF",Maccabi Tel Aviv,23-080,2001,1.6,37,34,2,1,0,0,0,1,0,0,0,0,28,1,0
Mykola Shaparenko,UKR,MF,Dynamo Kyiv,26-035,1998,2.7,195,174,21,6,0,6,15,2,13,7,3,0,159,0,2
Volodymyr Shepelyev,UKR,MF,Dynamo Kyiv,27-160,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raz Shlomo,ISR,DF,Maccabi Tel Aviv,25-087,1999,4.0,238,223,14,7,0,1,0,0,0,0,0,0,207,1,1
Eldor Shomurodov,UZB,FW,Roma,29-132,1995,1.8,57,52,4,0,0,0,1,0,0,0,0,0,38,1,2
Shola Shoretire,ENG,"FW,MF",PAOK,20-280,2004,0.2,22,22,0,0,1,0,2,0,0,0,0,0,20,0,0
Luka Silagadze,GEO,"MF,DF",FK Rīgas FS,25-201,1999,0.2,14,10,4,0,0,0,3,3,1,0,1,0,7,0,3
Matheus Silva,BRA,DF,Qarabağ,27-036,1997,1.2,54,49,5,1,0,0,1,4,0,0,0,0,46,0,1
Rafa Silva,POR,"MF,FW",Beşiktaş,31-175,1993,3.6,142,136,5,2,5,0,7,1,2,1,1,0,106,1,7
Jan-Carlo Simic,SRB,DF,Anderlecht,19-190,2005,4.0,238,231,7,7,1,3,1,0,0,0,0,0,219,0,0
Aral Şimşir,DEN,MF,Midtjylland,22-142,2002,2.3,92,86,5,1,2,1,9,0,3,2,0,0,75,1,3
Issouf Sissokho,MLI,MF,Maccabi Tel Aviv,22-283,2002,3.8,196,188,8,7,2,0,0,1,0,0,0,0,178,0,1
Fredrik Sjøvold,NOR,DF,Bodø/Glimt,21-083,2003,3.3,151,126,23,4,0,1,0,19,0,0,0,0,129,2,3
Ellyes Skhiri,TUN,MF,Eint Frankfurt,29-182,1995,1.4,96,93,3,2,0,0,0,0,0,0,0,0,85,0,2
Kees Smit,NED,FW,AZ Alkmaar,18-293,2006,0.3,17,17,0,0,1,0,0,0,0,0,0,0,16,0,0
Alexandr Sojka,,MF,Viktoria Plzeň,21-220,2003,1.0,35,34,1,0,0,1,7,0,0,0,0,0,25,0,2
Dominic Solanke,ENG,FW,Tottenham,27-055,1997,1.6,34,32,2,1,0,0,1,0,0,0,0,0,26,0,2
Son,ESP,DF,Ludogorets,30-223,1994,4.0,206,160,45,13,0,1,11,30,2,2,0,0,162,1,3
Cheick Souaré,FRA,DF,Viktoria Plzeň,22-066,2002,0.2,7,7,0,0,0,0,2,0,0,0,0,0,1,0,1
Matìas Soulé,ARG,"MF,FW",Roma,21-207,2003,1.3,82,81,0,0,0,1,2,0,0,0,0,0,71,1,0
John Souttar,SCO,DF,Rangers,28-044,1996,4.0,190,176,14,13,0,1,0,1,0,0,0,0,153,0,0
Çağlar Söyüncü,TUR,DF,Fenerbahçe,28-169,1996,3.0,169,158,11,6,0,1,0,0,0,0,0,0,151,0,1
Anton Stach,GER,DF,Hoffenheim,25-359,1998,3.0,167,161,6,5,0,0,1,0,0,0,0,0,148,0,2
Marko Stamenic,NZL,"MF,FW",Olympiacos,22-263,2002,0.3,12,11,1,1,0,0,0,0,0,0,0,0,10,0,0
Marius Ştefănescu,ROU,FW,FCSB,26-086,1998,1.7,38,32,6,1,0,0,3,2,3,2,0,0,27,0,2
Sem Steijn,NED,MF,Twente,22-357,2001,2.3,52,48,4,2,2,1,3,0,0,0,0,0,39,0,2
Orri Steinn Óskarsson,ISL,FW,Real Sociedad,20-071,2004,1.9,58,55,2,0,0,0,0,0,0,0,0,0,38,1,2
Dujon Sterling,ENG,"DF,FW",Rangers,25-015,1999,0.9,30,23,6,0,1,0,0,6,0,0,0,0,21,1,0
Nemanja Stojić,SRB,DF,Maccabi Tel Aviv,26-298,1998,4.0,211,205,6,6,0,2,0,0,0,0,0,0,186,0,3
Mario Stroeykens,BEL,"MF,FW",Anderlecht,20-040,2004,2.7,182,180,2,1,0,1,7,0,0,0,0,0,154,0,9
Jens Stryger Larsen,DEN,DF,Malmö,33-261,1991,3.0,162,135,26,5,0,0,6,21,0,0,0,0,140,1,2
Elvis Stuglis,LVA,"DF,FW",FK Rīgas FS,31-127,1993,0.5,17,12,5,1,0,0,0,3,0,0,0,0,12,0,1
Luka Sučić,CRO,MF,Real Sociedad,22-061,2002,1.2,67,64,1,0,1,0,3,0,0,0,0,0,50,2,1
Pavel Šulc,CZE,MF,Viktoria Plzeň,23-315,2000,4.0,131,126,3,0,2,0,3,3,0,0,0,0,93,2,6
Adrian Șut,ROU,MF,FCSB,25-192,1999,2.3,90,87,2,2,0,5,1,0,0,0,0,0,76,1,1
Josip Šutalo,CRO,DF,Ajax,24-254,2000,3.0,190,181,9,8,1,0,0,1,0,0,0,0,176,0,0
Jonas Svensson,NOR,DF,Beşiktaş,31-247,1993,3.7,211,187,24,6,0,3,1,18,0,0,0,0,188,0,1
Mile Svilar,SRB,GK,Roma,25-073,1999,4.0,179,151,28,9,0,0,0,0,0,0,0,0,140,0,1
Ross Sykes,ENG,DF,Union SG,25-227,1999,2.0,93,76,17,3,0,0,2,11,0,0,0,0,69,0,1
Gábor Szalai,HUN,DF,Ferencváros,24-152,2000,1.0,45,38,7,2,0,0,1,0,0,0,0,0,34,0,0
Sebastian Szymański,POL,"MF,FW",Fenerbahçe,25-182,1999,3.4,108,100,8,1,0,0,14,1,6,0,3,0,68,0,5
Adam Sørensen,DEN,DF,Bodø/Glimt,23-363,2000,0.1,12,10,2,1,0,0,0,1,0,0,0,0,9,0,0
Sondre Sørli,NOR,FW,Bodø/Glimt,29-009,1995,0.2,11,10,1,0,0,0,3,1,0,0,0,0,8,0,0
Haris Tabakovic,BIH,FW,Hoffenheim,30-141,1994,1.1,19,16,3,0,0,0,0,0,0,0,0,0,15,0,1
Dušan Tadić,SRB,FW,Fenerbahçe,35-354,1988,3.0,103,92,10,0,1,0,7,6,3,0,0,0,78,1,1
Nicolás Tagliafico,ARG,DF,Lyon,32-069,1992,3.0,179,153,24,1,0,0,5,23,0,0,0,0,147,2,3
Benjamin Tahirovic,BIH,MF,Ajax,21-250,2003,0.5,13,13,0,0,0,0,0,0,0,0,0,0,8,0,0
Taison,BRA,FW,PAOK,36-300,1988,3.6,179,172,7,3,3,0,7,1,3,1,2,0,142,0,3
Florin Tănase,ROU,"FW,MF",FCSB,29-314,1994,1.5,57,53,4,3,1,0,1,0,1,1,0,0,41,0,2
Stefan Târnovanu,ROU,GK,FCSB,24-183,2000,4.0,149,100,49,10,0,0,0,1,0,0,0,0,108,0,0
Nuno Tavares,POR,DF,Lazio,24-287,2000,1.0,54,45,9,3,0,0,5,6,0,0,0,0,43,0,0
James Tavernier,ENG,DF,Rangers,33-008,1991,2.7,119,93,25,5,0,0,10,14,6,4,2,0,80,1,1
Kenneth Taylor,NED,MF,Ajax,22-176,2002,2.9,106,96,8,3,1,1,7,0,1,1,0,0,78,2,4
Loum Tchaouna,FRA,FW,Lazio,21-061,2003,2.8,91,86,5,0,0,1,5,2,3,3,0,0,65,0,5
Georgi Terziev,BUL,DF,Ludogorets,32-204,1992,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Tanner Tessmann,USA,MF,Lyon,23-045,2001,2.0,100,96,4,4,0,1,1,0,0,0,0,0,85,0,1
Arthur Theate,BEL,DF,Eint Frankfurt,24-167,2000,2.9,176,161,14,3,0,0,2,8,0,0,0,0,145,1,0
Tarik Tissoudali,MAR,FW,PAOK,31-220,1993,1.4,33,30,3,0,0,0,1,1,0,0,0,0,20,0,0
Umut Tohumcu,GER,MF,Hoffenheim,20-089,2004,2.6,109,98,11,5,2,0,8,1,5,3,2,0,93,0,3
Corentin Tolisso,FRA,MF,Lyon,30-097,1994,3.1,229,218,10,7,0,0,6,3,0,0,0,0,192,1,6
Michal Tomič,SVK,DF,Bodø/Glimt,25-223,1999,0.5,42,33,9,2,0,0,1,7,0,0,0,0,34,0,3
Emir Topçu,TUR,DF,Beşiktaş,24-028,2000,1.1,45,42,3,3,0,0,0,0,0,0,0,0,37,0,1
Lucas Torreira,URU,MF,Galatasaray,28-271,1996,3.8,250,240,10,6,0,1,0,2,0,0,0,0,233,0,1
Cenk Tosun,TUR,"DF,FW",Fenerbahçe,33-154,1991,0.2,5,4,1,0,0,0,0,0,0,0,0,0,5,0,0
Adama Traoré,MLI,FW,Ferencváros,29-156,1995,3.7,100,97,2,0,0,0,7,2,0,0,0,0,81,1,3
Bertrand Traoré,BFA,FW,Ajax,29-063,1995,1.6,65,61,3,1,0,0,4,0,2,0,0,0,53,1,0
Kevin Trapp,GER,GK,Eint Frankfurt,34-123,1990,2.0,68,48,20,3,0,0,0,0,0,0,0,0,48,0,0
Dor Turgeman,ISR,FW,Maccabi Tel Aviv,21-015,2003,1.9,36,27,7,0,0,0,1,0,0,0,0,0,28,2,0
Beñat Turrientes,ESP,MF,Real Sociedad,22-282,2002,1.6,101,99,2,2,0,1,2,0,0,0,0,0,93,0,3
Tuta,BRA,"DF,MF",Eint Frankfurt,25-127,1999,2.9,175,171,2,1,1,0,0,1,0,0,0,0,148,2,2
Oleksandr Tymchyk,UKR,DF,Dynamo Kyiv,27-293,1997,2.0,87,65,22,4,0,0,5,18,0,0,0,0,74,0,2
Przemysław Tytoń,POL,GK,Twente,37-309,1987,1.9,80,63,17,5,0,0,0,0,0,0,0,0,50,0,0
