Player,Nation,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Sofiane Boufal,MAR,MF,Union SG,31-046,1993,1.2,51,45,5,1,0,1,2,1,3,0,1,0,46,1,0
Amine Boukamir,BEL,MF,Charleroi,18-010,2006,0.1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
Rosen Bozhinov,BUL,DF,Antwerp,19-284,2005,0.0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
Bilal Brahimi,ALG,"MF,FW",Sint-Truiden,24-233,2000,4.9,247,200,47,6,2,4,51,9,27,6,18,0,182,0,8
Archie Brown,ENG,DF,Gent,22-158,2002,11.0,572,461,110,7,2,4,45,102,1,0,0,0,415,1,24
Bruninho,BRA,"MF,FW",Cercle Brugge,21-233,2003,3.5,118,98,20,3,2,0,15,0,8,3,4,0,87,0,4
Paris Brunner,GER,"MF,FW",Cercle Brugge,18-261,2006,0.8,8,8,0,0,0,0,0,0,0,0,0,0,5,0,0
Massimo Bruno,BEL,MF,Kortrijk,31-046,1993,4.7,151,134,17,3,2,2,16,2,8,4,4,0,112,0,5
Marko Bulat,CRO,"MF,FW",Standard Liège,23-037,2001,10.6,273,197,73,32,1,3,57,0,36,18,16,0,172,3,8
Christian Burgess,ENG,DF,Union SG,33-026,1991,5.0,251,239,11,9,0,0,0,2,0,0,0,0,208,1,1
Welat Cagro,BEL,MF,Beerschot,25-155,1999,5.9,314,304,7,7,0,1,3,0,0,0,0,0,275,3,3
Alexandro Calut,BEL,"DF,MF",Standard Liège,21-194,2003,1.3,67,65,2,1,0,2,5,1,0,0,0,0,51,0,3
Etienne Camara,FRA,MF,Charleroi,21-217,2003,9.8,523,518,4,3,1,5,3,1,0,0,0,0,452,1,5
Ilay Camara,BEL,DF,Standard Liège,21-289,2003,7.7,279,222,55,5,1,2,16,49,1,1,0,0,207,2,8
Alessio Castro-Montes,BEL,"DF,FW",Union SG,27-169,1997,9.2,480,404,72,12,2,3,70,29,31,6,24,0,341,4,22
Tjaronn Chery,SUR,"MF,FW",Antwerp,36-151,1988,10.4,360,304,51,15,5,3,59,3,33,9,14,0,260,5,10
Antoine Colassin,BEL,"FW,MF",Beerschot,23-250,2001,2.9,90,83,6,0,1,2,3,3,2,0,1,0,61,1,5
Kobe Cools,BEL,DF,Dender,27-100,1997,12.0,521,484,37,30,0,3,1,6,0,0,0,0,423,0,2
Colin Coosemans,BEL,GK,Anderlecht,32-091,1992,12.0,545,475,68,24,0,0,0,0,0,0,0,0,444,2,3
Jo Coppens,BEL,GK,Sint-Truiden,33-317,1990,3.0,108,89,17,7,0,0,0,0,0,0,0,0,68,2,0
Kobe Corbanie,BEL,"MF,DF",Antwerp,19-176,2005,4.8,176,156,19,0,0,0,3,19,0,0,0,0,147,1,3
Ayrton Costa,ARG,DF,Antwerp,25-113,1999,10.1,494,411,81,9,0,0,12,72,0,0,0,0,380,2,9
Carlos Cuesta,COL,DF,Genk,25-238,1999,2.5,162,158,4,1,0,1,0,0,0,0,0,0,159,0,1
Oday Dabbagh,PLE,FW,Charleroi,25-335,1998,3.3,80,75,5,0,0,1,3,0,0,0,0,0,65,0,1
Colin Dagba,FRA,"FW,DF",Beerschot,26-054,1998,3.0,86,77,9,2,1,0,1,7,0,0,0,0,62,0,7
Jón Dagur Þorsteinsson,ISL,"MF,FW",OH Leuven,25-342,1998,1.0,38,27,10,4,0,0,10,1,5,4,1,0,15,1,0
Jesper Daland,NOR,DF,Cercle Brugge,24-301,2000,2.0,110,108,2,1,0,0,0,1,0,0,0,0,72,0,0
Tobi David,CAN,FW,Union SG,23-122,2001,1.8,31,31,0,0,0,0,4,0,0,0,0,0,16,0,2
Maxim De Cuyper,BEL,DF,Club Brugge,23-316,2000,11.1,873,701,167,24,2,19,101,99,44,20,17,1,680,5,13
Dion De Neve,BEL,DF,Kortrijk,22-143,2002,8.1,296,248,47,2,0,0,49,45,0,0,0,0,195,1,16
