Player,Nation,Pos,Squad,Comp,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Rodrigo Abajas,ESP,DF,Valencia,La Liga,21-180,2003,0.7,29,21,8,0,0,0,1,8,0,0,0,0,17,0,2
James Abankwah,IRL,DF,Udinese,Serie A,20-297,2004,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18-217,2006,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,37-041,1987,6.4,290,260,29,15,0,0,0,1,0,0,0,0,253,1,1
Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,24-357,1999,9.8,568,514,51,25,7,2,22,5,7,4,1,0,454,3,11
Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,25-281,1999,4.8,231,217,14,12,0,6,0,2,0,0,0,0,204,0,1
Ali Abdi,TUN,DF,Nice,Ligue 1,30-324,1993,5.5,240,191,46,3,0,2,16,43,0,0,0,0,178,3,6
Abel,ESP,DF,Osasuna,La Liga,24-079,2000,8.1,350,249,99,7,0,0,24,92,0,0,0,0,238,2,14
Nabil Aberdin,FRA,MF,Getafe,La Liga,22-077,2002,2.9,61,58,2,2,0,1,0,0,0,0,0,0,36,1,3
Oliver Abildgaard,DEN,MF,Como,Serie A,28-151,1996,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Matthis Abline,FRA,FW,Nantes,Ligue 1,21-225,2003,8.0,127,120,7,0,1,3,8,0,0,0,0,0,83,0,10
Abner,BRA,DF,Lyon,Ligue 1,24-165,2000,6.2,349,291,56,5,1,1,20,45,6,6,0,0,282,2,9
Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,24-264,2000,8.2,150,142,7,0,0,0,17,3,2,2,0,0,91,1,6
Abdel Abqar,MAR,DF,Alavés,La Liga,25-243,1999,9.5,303,285,17,16,0,6,2,1,0,0,0,0,213,1,2
Tammy Abraham,ENG,FW,Roma,Serie A,27-037,1997,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Tammy Abraham,ENG,FW,Milan,Serie A,27-037,1997,3.9,53,46,7,0,1,0,1,0,0,0,0,0,37,0,2
Federico Accornero,ITA,MF,Genoa,Serie A,20-277,2004,0.1,6,6,0,0,0,0,1,0,0,0,0,0,4,0,1
Francesco Acerbi,ITA,DF,Inter,Serie A,36-272,1988,6.3,497,481,15,10,0,0,3,4,0,0,0,0,472,1,0
Akor Adams,NGA,FW,Montpellier,Ligue 1,24-284,2000,8.8,123,108,14,0,0,1,4,0,0,0,0,0,74,1,4
Che Adams,SCO,FW,Torino,Serie A,28-118,1996,7.5,161,149,11,1,1,1,2,1,0,0,0,0,113,1,5
Tyler Adams,USA,MF,Bournemouth,Premier League,25-268,1999,0.4,11,11,0,0,0,0,0,0,0,0,0,0,8,0,1
Junior Adamu,AUT,FW,Freiburg,Bundesliga,23-155,2001,7.8,154,143,10,0,1,0,2,1,0,0,0,0,97,1,6
Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,27-045,1997,1.9,151,140,10,6,0,0,0,0,0,0,0,0,138,1,1
Martin Adeline,FRA,MF,Reims,Ligue 1,20-342,2003,0.3,10,10,0,0,0,0,0,0,0,0,0,0,8,0,0
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,22-295,2002,3.4,82,80,1,0,1,0,1,0,0,0,0,0,60,1,7
Simon Adingra,CIV,"FW,MF",Brighton,Premier League,22-312,2002,1.6,74,70,3,0,0,0,10,3,0,0,0,0,48,1,3
Amine Adli,MAR,MF,Leverkusen,Bundesliga,24-182,2000,2.3,120,115,5,0,0,1,11,5,0,0,0,0,92,0,3
Yacine Adli,FRA,MF,Fiorentina,Serie A,24-102,2000,3.6,246,223,22,11,2,5,15,1,10,1,9,0,203,1,2
Adryelson,BRA,DF,Lyon,Ligue 1,26-230,1998,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Vasilije Adžić,MNE,MF,Juventus,Serie A,18-180,2006,0.2,10,10,0,0,0,0,0,0,0,0,0,0,9,0,1
Michel Aebischer,SUI,MF,Bologna,Serie A,27-307,1997,4.2,196,184,10,4,1,1,6,0,6,1,3,0,170,2,2
Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,26-270,1998,5.9,122,118,2,0,0,4,16,2,0,0,0,0,86,2,8
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,27-144,1997,10.0,656,610,44,14,2,18,0,1,0,0,0,0,580,2,1
Asher Agbinone,ENG,MF,Crystal Palace,Premier League,19-041,2005,0.0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,23-318,2000,8.4,238,173,63,20,0,0,0,0,0,0,0,0,169,2,0
Lucien Agoume,FRA,MF,Sevilla,La Liga,22-273,2002,6.7,365,351,11,7,1,2,3,4,0,0,0,0,296,3,7
Felix Agu,GER,DF,Werder Bremen,Bundesliga,25-042,1999,7.9,327,276,50,1,0,2,20,49,0,0,0,0,262,1,10
Álvaro Aguado,ESP,MF,Espanyol,La Liga,28-191,1996,3.2,151,141,9,7,1,3,9,0,2,0,1,0,115,1,4
Nayef Aguerd,MAR,DF,Real Sociedad,La Liga,28-223,1996,7.7,580,555,21,12,0,14,0,2,0,0,0,0,523,4,3
Ruben Aguilar,FRA,DF,Lens,Ligue 1,31-196,1993,3.0,205,164,41,3,0,1,9,38,0,0,0,0,165,0,8
Honest Ahanor,ITA,DF,Genoa,Serie A,16-259,2008,0.9,17,14,3,0,0,0,1,3,0,0,0,0,12,0,0
Jean-Eudes Aholou,CIV,MF,Angers,Ligue 1,30-233,1994,7.8,283,278,3,3,0,0,0,0,0,0,0,0,248,2,2
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,29-040,1995,0.0,7,7,0,0,0,0,0,0,0,0,0,0,6,0,1
Ayman Aiki,FRA,"FW,MF",Saint-Étienne,Ligue 1,19-136,2005,1.0,17,17,0,0,0,0,1,0,0,0,0,0,10,0,0
Ola Aina,NGA,DF,Nott'ham Forest,Premier League,28-031,1996,9.6,441,348,92,6,0,0,20,86,0,0,0,0,332,1,16
Rayan Aït-Nouri,ALG,DF,Wolves,Premier League,23-155,2001,9.3,430,351,76,19,0,3,18,55,2,0,1,0,357,3,10
Kristoffer Ajer,NOR,DF,Brentford,Premier League,26-205,1998,7.1,300,267,32,2,0,3,5,30,0,0,0,0,236,1,10
Ludovic Ajorque,FRA,FW,Brest,Ligue 1,30-257,1994,7.8,208,206,2,0,0,3,0,1,0,0,0,0,148,0,5
Manuel Akanji,SUI,DF,Manchester City,Premier League,29-112,1995,8.7,740,729,10,6,3,3,8,3,0,0,0,0,698,1,2
Ümit Akdag,ROU,DF,Toulouse,Ligue 1,21-033,2003,1.6,118,107,11,3,0,0,1,8,0,0,0,0,91,0,3
Nathan Aké,NED,DF,Manchester City,Premier League,29-264,1995,0.8,83,80,3,1,0,0,0,2,0,0,0,0,80,0,1
Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,20-206,2004,6.0,167,159,7,2,1,2,16,2,3,2,0,0,123,1,7
Sergio Akieme,ESP,DF,Reims,Ligue 1,26-328,1997,6.9,266,229,35,1,0,0,22,32,2,2,0,0,202,2,4
Maghnes Akliouche,FRA,"FW,MF",Monaco,Ligue 1,22-257,2002,6.4,306,297,7,2,2,2,13,3,2,0,1,0,247,2,19
Clément Akpa,CIV,DF,Auxerre,Ligue 1,22-350,2001,7.0,352,307,43,10,0,10,21,31,1,1,0,0,272,2,9
David Akpan Ankeye,NGA,"FW,MF",Genoa,Serie A,22-268,2002,0.5,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,29-203,1995,8.0,410,377,31,13,0,3,4,3,0,0,0,0,363,2,3
Andreas Albers,DEN,FW,St. Pauli,Bundesliga,34-230,1990,0.3,15,15,0,0,0,0,0,0,0,0,0,0,6,0,0
Raúl Albiol,ESP,DF,Villarreal,La Liga,39-065,1985,7.2,383,361,21,15,0,2,0,0,0,0,0,0,341,1,1
Carlos Alcaraz,ARG,MF,Southampton,Premier League,21-344,2002,0.1,13,11,2,0,0,0,1,1,1,0,0,0,13,0,0
Omar Alderete,PAR,DF,Getafe,La Liga,27-318,1996,11.0,415,380,30,24,0,11,0,0,0,0,0,0,272,5,7
