Player,Nation,Pos,Squad,Age,Born,90s,GoalsConceded,PKConceded,GoalsFK,GoalsCorner,CSC,PSxG,PSxG/SoT,PSxG+/-,PSxG/90,LaunchCompleted,LaunchAttempted,LaunchCompleted%,PassAttempted,ThrowAttempted,% of throws,PassAvgLen,GoalKicksAtt,% of GoalKicks(+35yards),GoalKicksAvgLen,OppCrosses,CrossesStopped,Stp%,NbrActionSweeper,NbrActionSweeper/90,AvgLenFromGoalLine
Arnaud Bodart,BEL,GK,Liège,25,1998,29.0,35,5,0,4,0,36.4,0.24,+1.4,+0.05,113,402,28.1,725,131,42.3,36.9,224,42.4,37.4,415,29,7.0,17,0.59,11.5
Sinan Bolat,TUR,GK,,34,1988,26.0,44,3,1,6,1,41.9,0.30,-1.1,-0.04,108,323,33.4,798,106,32.7,33.0,184,33.7,34.0,355,20,5.6,17,0.65,12.6
Jean Butez,FRA,GK,,28,1995,30.0,27,5,0,3,1,28.3,0.25,+2.3,+0.08,173,459,37.7,1276,152,31.4,32.5,131,44.3,39.2,340,36,10.6,45,1.50,15.8
Valentin Cojocaru,ROU,GK,Leuven,27,1995,3.0,8,4,0,0,0,8.2,0.29,+0.2,+0.08,14,19,73.7,80,18,20.0,28.7,19,15.8,27.3,31,2,6.5,2,0.67,18.1
Jo Coppens,BEL,GK,,32,1990,4.0,8,0,0,1,0,5.6,0.40,-2.4,-0.59,9,37,24.3,185,19,18.4,25.2,14,21.4,31.9,54,4,7.4,3,0.75,12.5
Gaëtan Coucke,BEL,GK,,24,1998,30.0,34,1,1,1,1,39.8,0.31,+6.8,+0.23,182,428,42.5,841,104,32.7,32.3,252,60.7,42.7,463,32,6.9,21,0.70,11.9
Théo Defourny,BEL,GK,Molenbeek,31,1992,29.8,66,12,1,13,1,68.0,0.31,+3.0,+0.10,196,486,40.3,659,89,52.4,39.5,229,61.6,43.3,514,11,2.1,10,0.34,9.9
Martin Delavallée,BEL,GK,,19,2004,0.0,0,0,0,0,0,0.0,,0.0,0.00,3,3,100.0,1,0,100.0,44.0,2,100.0,48.0,1,0,0.0,0,0.00,
Maxime Dupé,FRA,GK,,30,1993,7.0,7,2,0,0,0,7.0,0.21,0.0,0.00,21,62,33.9,232,18,23.3,28.5,36,22.2,27.6,101,6,5.9,7,1.00,14.4
Nick Gillekens,BEL,GK,,28,1995,4.0,10,0,0,1,1,6.7,0.29,-2.3,-0.57,34,66,51.5,150,19,34.7,32.6,25,56.0,41.8,73,4,5.5,10,2.50,19.6
Laurent Henkinet,BEL,GK,Liège,30,1992,1.0,6,1,0,0,0,5.0,0.44,-1.0,-1.01,0,5,0.0,30,7,16.7,25.6,2,0.0,23.0,8,0,0.0,2,2.00,16.2
Guillaume Hubert,BEL,GK,Molenbeek,29,1994,0.2,1,0,0,0,1,0.0,,0.0,0.00,2,7,28.6,11,1,45.5,39.8,2,100.0,62.5,4,1,25.0,0,0.00,2.0
Joachim Imbrechts,SWE,GK,SG,21,2001,0.2,0,0,0,0,0,0.2,0.19,+0.2,+0.83,0,1,0.0,5,3,20.0,29.8,0,,,4,0,0.0,0,0.00,
Nordin Jackers,BEL,GK,Brugge,25,1997,2.9,3,0,0,1,0,3.0,0.26,0.0,-0.01,26,51,51.0,79,8,43.0,35.1,30,56.7,39.4,32,3,9.4,3,1.03,9.9
Hervé Koffi,BFA,GK,,26,1996,26.0,39,5,0,2,1,42.0,0.29,+4.0,+0.16,160,436,36.7,768,125,40.5,35.9,168,74.4,52.2,358,39,10.9,38,1.46,15.6
Tobe Leysen,BEL,GK,Leuven,21,2002,16.0,18,1,1,4,2,20.7,0.26,+4.7,+0.29,90,283,31.8,486,81,41.2,37.5,142,58.5,47.1,355,19,5.4,15,0.94,12.8
Heinz Lindner,AUT,GK,SG,33,1990,1.0,1,0,0,0,0,1.0,0.49,0.0,-0.02,3,4,75.0,21,1,14.3,28.0,4,25.0,21.5,9,0,0.0,0,0.00,9.0
Simon Mignolet,BEL,GK,Brugge,35,1988,27.1,26,0,2,0,0,25.3,0.29,-0.7,-0.03,151,309,48.9,833,111,28.8,29.9,153,45.1,35.7,245,26,10.6,52,1.92,16.4
Anthony Moris,LUX,GK,SG,33,1990,28.8,30,3,0,6,0,29.8,0.32,-0.2,-0.01,156,342,45.6,885,119,33.8,34.9,113,38.1,37.1,311,21,6.8,32,1.11,15.2
Paul Nardi,FRA,GK,,29,1994,10.0,12,1,0,1,0,11.9,0.26,-0.1,-0.01,45,112,40.2,196,36,36.7,35.2,87,46.0,40.0,154,10,6.5,6,0.60,13.2
Manaf Nurudeen,GHA,GK,,24,1999,2.0,2,1,0,1,0,2.3,0.17,+0.3,+0.16,13,53,24.5,65,6,40.0,36.0,37,73.0,51.3,49,2,4.1,3,1.50,13.3
Pierre Patron,FRA,GK,,25,1997,4.0,9,0,0,1,0,8.3,0.40,-0.7,-0.18,27,57,47.4,97,22,39.2,32.9,19,100.0,54.5,52,6,11.5,4,1.00,11.4
Lucas Pirard,BEL,GK,,28,1995,9.0,10,0,0,3,1,12.0,0.29,+3.0,+0.33,83,212,39.2,211,37,65.4,43.3,91,81.3,51.6,170,12,7.1,10,1.11,13.2
Maxence Prevot,FRA,GK,Leuven,26,1997,11.0,21,2,0,1,0,17.8,0.27,-3.2,-0.29,64,166,38.6,308,70,34.4,33.0,100,60.0,43.9,189,17,9.0,6,0.55,10.6
Davy Roef,BEL,GK,,29,1994,12.0,9,3,0,0,0,15.2,0.23,+6.2,+0.52,58,115,50.4,272,82,27.9,30.9,87,44.8,38.5,168,17,10.1,7,0.58,12.0
Kasper Schmeichel,DEN,GK,,36,1986,23.0,23,1,0,0,0,31.7,0.27,+8.7,+0.38,120,268,44.8,743,94,27.2,31.9,140,47.1,38.1,344,14,4.1,12,0.52,12.4
Daniel Schmidt,JPN,GK,,31,1992,4.0,3,0,0,2,0,2.1,0.17,-0.9,-0.23,21,43,48.8,148,24,27.7,31.9,12,16.7,30.5,52,3,5.8,8,2.00,17.1
Daniel Schmidt,JPN,GK,,31,1992,8.0,17,4,0,2,0,15.5,0.31,-1.5,-0.19,40,100,40.0,201,44,35.8,34.3,48,58.3,43.2,114,9,7.9,4,0.50,12.3
Gaga Slonina,USA,GK,,19,2004,28.0,56,3,0,5,4,50.2,0.30,-1.8,-0.06,97,316,30.7,781,147,25.4,30.3,235,50.2,38.1,427,19,4.4,29,1.04,14.4
Zion Suzuki,JPN,GK,,20,2002,22.0,35,5,0,1,0,33.7,0.29,-1.3,-0.06,107,289,37.0,900,130,27.3,30.9,101,42.6,38.0,319,38,11.9,17,0.77,10.9
Tom Vandenberghe,BEL,GK,,30,1992,21.0,47,1,0,7,3,44.3,0.36,+0.3,+0.01,120,356,33.7,537,104,50.7,40.5,154,54.5,42.1,332,26,7.8,17,0.81,11.5
Maarten Vandevoordt,BEL,GK,,21,2002,30.0,31,2,1,1,0,34.6,0.27,+3.6,+0.12,160,437,36.6,925,117,40.5,36.8,169,36.7,37.6,414,33,8.0,20,0.67,12.6
Warleson,BRA,GK,Brugge,26,1996,30.0,34,0,0,4,2,39.8,0.33,+7.8,+0.26,258,711,36.3,663,37,82.7,49.8,180,90.6,59.8,365,11,3.0,54,1.80,18.5
