Player,Nation,Pos,Squad,Age,Born,90s,GoalsConceded,PKConceded,GoalsFK,GoalsCorner,CSC,PSxG,PSxG/SoT,PSxG+/-,PSxG/90,LaunchCompleted,LaunchAttempted,LaunchCompleted%,PassAttempted,ThrowAttempted,% of throws,PassAvgLen,GoalKicksAtt,% of GoalKicks(+35yards),GoalKicksAvgLen,OppCrosses,CrossesStopped,Stp%,NbrActionSweeper,NbrActionSweeper/90,AvgLenFromGoalLine
Peter Abrahamsson,SWE,GK,Häcken,35,1988,6.0,17,0,1,2,0,13.0,0.39,-4.0,-0.66,19,42,45.2,136,30,27.2,28.1,48,10.4,21.9,55,1,1.8,10,1.67,21.7
Antonio Adán,ESP,GK,Sporting CP,36,1987,6.0,7,1,0,0,0,5.8,0.27,-1.2,-0.21,22,62,35.5,187,19,27.8,29.7,36,27.8,29.5,48,3,6.3,7,1.17,16.9
Alisson,BRA,GK,Liverpool,30,1992,2.0,0,0,0,0,0,0.6,0.19,+0.6,+0.29,12,26,46.2,133,12,18.0,24.9,9,22.2,34.7,19,2,10.5,5,2.50,15.3
Alphonse Areola,FRA,GK,West Ham,30,1993,1.0,2,0,0,0,0,0.9,0.18,-1.1,-1.08,3,6,50.0,18,6,16.7,23.9,11,27.3,25.8,11,0,0.0,1,1.00,22.0
Giorgos Athanasiadis,GRE,GK,AEK Athens,30,1993,2.4,7,2,0,2,0,9.0,0.39,+2.0,+0.86,9,16,56.3,53,15,22.6,26.7,18,22.2,27.6,24,1,4.2,9,3.82,18.7
Noah Atubolu,GER,GK,Freiburg,21,2002,10.3,14,0,0,2,0,13.7,0.37,-0.3,-0.03,59,169,34.9,444,42,29.7,32.3,63,58.7,47.7,109,6,5.5,5,0.50,11.6
David von Ballmoos,SUI,GK,Young Boys,28,1994,2.0,4,1,0,0,1,5.3,0.28,+2.3,+1.15,16,35,45.7,70,13,44.3,35.0,10,40.0,33.7,22,2,9.1,1,0.50,10.4
Rubén Blanco,ESP,GK,Marseille,28,1995,1.0,1,0,0,0,0,1.0,0.52,0.0,+0.04,3,10,30.0,33,2,21.2,24.6,4,75.0,56.0,6,0,0.0,2,2.00,28.0
Claudio Bravo,CHI,GK,Betis,40,1983,2.0,2,0,0,1,0,2.8,0.38,+0.8,+0.41,12,28,42.9,52,5,34.6,30.7,11,90.9,57.6,24,3,12.5,4,2.00,14.8
Alberto Brignoli,ITA,GK,Panathinaikos,31,1991,5.0,8,1,1,0,0,9.1,0.35,+1.1,+0.23,18,59,30.5,142,19,36.6,35.2,12,58.3,53.7,51,5,9.8,6,1.20,15.1
Jack Butland,ENG,GK,Rangers,30,1993,8.0,9,1,0,1,1,9.9,0.26,+1.9,+0.24,31,102,30.4,192,42,35.9,35.6,73,45.2,40.4,116,5,4.3,7,0.88,14.4
Marco Carnesecchi,ITA,GK,Atalanta,23,2000,0.9,,,,,,1.3,0.64,,,3,18,16.7,35,9,31.4,34.4,7,100.0,61.1,15,2,13.3,,,12.4
Łukasz Fabiański,POL,GK,West Ham,38,1985,9.0,6,0,0,2,0,7.8,0.23,+1.8,+0.20,46,101,45.5,183,36,43.7,36.2,53,39.6,35.6,111,7,6.3,4,0.44,13.1
Jérémy Frick,SUI,GK,Servette FC,30,1993,6.0,13,0,0,3,1,9.7,0.41,-2.3,-0.38,46,114,40.4,180,23,48.3,37.7,44,61.4,49.0,54,5,9.3,6,1.00,16.0
Gauthier Gallon,FRA,GK,Rennes,30,1993,1.0,1,1,0,0,0,0.9,0.01,-0.1,-0.06,8,22,36.4,33,0,36.4,35.0,12,83.3,59.8,15,0,0.0,3,3.00,28.0
Jay Gorter,NED,GK,Ajax,23,2000,2.0,4,0,0,1,0,5.0,0.29,+1.0,+0.50,10,35,28.6,102,18,30.4,31.9,12,33.3,34.1,27,2,7.4,0,0.00,9.6
Luka Gugeshashvili,GEO,GK,Qarabağ,24,1999,0.1,1,1,0,0,0,1.0,0.00,0.0,-0.21,0,5,0.0,2,0,100.0,75.5,3,100.0,70.0,0,0,,0,0.00,
Veljko Ilic,SRB,GK,TSC Bačka Top,20,2003,5.0,16,1,1,1,1,12.0,0.36,-3.0,-0.60,14,48,29.2,164,23,24.4,28.5,37,21.6,24.4,88,5,5.7,3,0.60,13.1
Franco Israel,URU,GK,Sporting CP,23,2000,4.0,4,0,0,0,0,4.5,0.38,+0.5,+0.14,16,48,33.3,143,18,22.4,27.7,23,69.6,50.1,70,6,8.6,3,0.75,11.3
Filip Jørgensen,DEN,GK,Villarreal,21,2002,1.0,1,0,0,0,0,1.2,0.59,+0.2,+0.18,2,2,100.0,19,5,10.5,22.5,8,0.0,21.6,9,0,0.0,3,3.00,21.1
Jacob Karlstrom,NOR,GK,Molde,26,1997,1.4,3,0,0,1,0,2.6,0.28,-0.4,-0.28,8,20,40.0,48,10,25.0,30.1,12,66.7,52.4,22,2,9.1,2,1.38,12.8
Caoimhín Kelleher,IRL,GK,Liverpool,24,1998,8.0,12,0,0,1,1,10.6,0.32,-0.4,-0.05,26,81,32.1,342,54,21.6,29.0,30,23.3,29.2,83,8,9.6,11,1.38,14.0
Shareef Keouf,ISR,GK,Maccabi Haifa,22,2001,5.0,6,0,1,1,0,6.0,0.21,0.0,0.00,27,80,33.8,138,17,42.0,36.9,44,50.0,41.8,98,4,4.1,3,0.60,8.1
Vladen Kovačević,BIH,GK,RKS Raków,25,1998,6.0,10,2,0,2,0,12.8,0.31,+2.8,+0.47,25,89,28.1,182,21,28.6,30.4,61,60.7,44.3,89,3,3.4,18,3.00,20.3
Maksym Koval,UKR,GK,Sheriff Tiraspol,30,1992,6.0,17,2,1,1,2,14.6,0.36,-0.4,-0.07,49,150,32.7,175,28,65.1,46.6,52,69.2,54.2,126,10,7.9,3,0.50,8.8
Matej Kovar,CZE,GK,Leverkusen,23,2000,12.0,12,3,0,1,0,17.2,0.28,+5.2,+0.44,30,72,41.7,327,66,16.5,25.4,68,26.5,29.0,124,9,7.3,15,1.25,15.9
Tobias Lawal,AUT,GK,LASK,23,2000,6.0,12,3,0,0,0,12.0,0.32,0.0,0.00,22,87,25.3,134,18,37.3,33.1,63,58.7,45.3,77,2,2.6,9,1.50,13.9
Yuri Lodygin,RUS,GK,Panathinaikos,33,1990,1.0,2,0,0,0,0,1.7,0.43,-0.3,-0.29,4,11,36.4,26,5,42.3,39.2,2,0.0,31.0,5,0,0.0,3,3.00,21.0
